Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,KOR unit Description,Old DDGEEEPUU
ALP,X,PLTEAM4-----------,8FNL,00080001,Alpine Team Event 1/8 Final 8 Run 1,"Ép. alp. par éq., 1/8 finale 8, manche 1",알파인 스키 혼성 단체전 16강전 8 런 1,Alpine Team Event 1/8 Final 8 Run 1,"Épreuve alpine par équipes, huitième de finale 8, manche 1",알파인 스키 혼성 단체전 16강전 8 런 1,SubUnit,,N,0,HATH,N,N,1/8 Final 8 Run 1,"Huitième de finale 8, manche 1",16강전 8 런 1,
ALP,X,PLTEAM4-----------,8FNL,00080002,Alpine Team Event 1/8 Final 8 Run 2,"Ép. alp. par éq., 1/8 finale 8, manche 2",알파인 스키 혼성 단체전 16강전 8 런 2,Alpine Team Event 1/8 Final 8 Run 2,"Épreuve alpine par équipes, huitième de finale 8, manche 2",알파인 스키 혼성 단체전 16강전 8 런 2,SubUnit,,N,0,HATH,N,N,1/8 Final 8 Run 2,"Huitième de finale 8, manche 2",16강전 8 런 2,
ALP,X,PLTEAM4-----------,8FNL,00080003,Alpine Team Event 1/8 Final 8 Run 3,"Ép. alp. par éq., 1/8 finale 8, manche 3",알파인 스키 혼성 단체전 16강전 8 런 3,Alpine Team Event 1/8 Final 8 Run 3,"Épreuve alpine par équipes, huitième de finale 8, manche 3",알파인 스키 혼성 단체전 16강전 8 런 3,SubUnit,,N,0,HATH,N,N,1/8 Final 8 Run 3,"Huitième de finale 8, manche 3",16강전 8 런 3,
ALP,X,PLTEAM4-----------,8FNL,00080004,Alpine Team Event 1/8 Final 8 Run 4,"Ép. alp. par éq., 1/8 finale 8, manche 4",알파인 스키 혼성 단체전 16강전 8 런 4,Alpine Team Event 1/8 Final 8 Run 4,"Épreuve alpine par équipes, huitième de finale 8, manche 4",알파인 스키 혼성 단체전 16강전 8 런 4,SubUnit,,N,0,HATH,N,N,1/8 Final 8 Run 4,"Huitième de finale 8, manche 4",16강전 8 런 4,
ALP,X,PLTEAM4-----------,DRAW,--------,Alpine Team Event Draw,"Ép. alpine par équipes, tirage au sort",알파인 스키 혼성 단체전 추첨,Alpine Team Event Draw,"Épreuve alpine par équipes, tirage au sort",알파인 스키 혼성 단체전 추첨,Draw,,N,0,NONE,N,N,Draw,Tirage au sort,추첨,
ALP,X,PLTEAM4-----------,DRAW,000100--,Alpine Team Event Draw,"Ép. alpine par équipes, tirage au sort",알파인 스키 혼성 단체전 추첨,Alpine Team Event Draw,"Épreuve alpine par équipes, tirage au sort",알파인 스키 혼성 단체전 추첨,Draw,,Y,0,NONE,N,Y,Draw,Tirage au sort,추첨,
ALP,X,PLTEAM4-----------,FNL-,--------,Alpine Team Event Finals,"Épreuve alpine par équipes, finales",알파인 스키 혼성 단체전 결승,Alpine Team Event Finals,"Épreuve alpine par équipes, finales",알파인 스키 혼성 단체전 결승,Phase,,N,0,NONE,N,N,Finals,Finales,결승,
ALP,X,PLTEAM4-----------,FNL-,00010000,Alpine Team Event Big Final,"Épreuve alpine par équipes, finale",알파인 스키 혼성 단체전 1-2위 결정전,Alpine Team Event Big Final,"Épreuve alpine par équipes, finale",알파인 스키 혼성 단체전 1-2위 결정전,Unit,,Y,1,HNOC,Y,Y,Big Final,Finale,1-2위 결정전,
ALP,X,PLTEAM4-----------,FNL-,00010001,Alpine Team Event Big Final Run 1,"Épreuve alp. équipes, finale, manche 1",알파인 스키 혼성 단체전 1-2위 결정전 런 1,Alpine Team Event Big Final Run 1,"Épreuve alpine par équipes, finale, manche 1",알파인 스키 혼성 단체전 1-2위 결정전 런 1,SubUnit,,N,0,HATH,N,N,Big Final Run 1,"Finale, manche 1",1-2위 결정전 런 1,
ALP,X,PLTEAM4-----------,FNL-,00010002,Alpine Team Event Big Final Run 2,"Épreuve alp. équipes, finale, manche 2",알파인 스키 혼성 단체전 1-2위 결정전 런 2,Alpine Team Event Big Final Run 2,"Épreuve alpine par équipes, finale, manche 2",알파인 스키 혼성 단체전 1-2위 결정전 런 2,SubUnit,,N,0,HATH,N,N,Big Final Run 2,"Finale, manche 2",1-2위 결정전 런 2,
ALP,X,PLTEAM4-----------,FNL-,00010003,Alpine Team Event Big Final Run 3,"Épreuve alp. équipes, finale, manche 3",알파인 스키 혼성 단체전 1-2위 결정전 런 3,Alpine Team Event Big Final Run 3,"Épreuve alpine par équipes, finale, manche 3",알파인 스키 혼성 단체전 1-2위 결정전 런 3,SubUnit,,N,0,HATH,N,N,Big Final Run 3,"Finale, manche 3",1-2위 결정전 런 3,
ALP,X,PLTEAM4-----------,FNL-,00010004,Alpine Team Event Big Final Run 4,"Épreuve alp. équipes, finale, manche 4",알파인 스키 혼성 단체전 1-2위 결정전 런 4,Alpine Team Event Big Final Run 4,"Épreuve alpine par équipes, finale, manche 4",알파인 스키 혼성 단체전 1-2위 결정전 런 4,SubUnit,,N,1,HATH,N,N,Big Final Run 4,"Finale, manche 4",1-2위 결정전 런 4,
ALP,X,PLTEAM4-----------,FNL-,00020000,Alpine Team Event Small Final,"Épreuve alpine par équipes, bronze",알파인 스키 혼성 단체전 3-4위 결정전,Alpine Team Event Small Final,"Épreuve alpine par équipes, bronze",알파인 스키 혼성 단체전 3-4위 결정전,Unit,,Y,2,HNOC,Y,Y,Small Final,Bronze,3-4위 결정전,
ALP,X,PLTEAM4-----------,FNL-,00020001,Alpine Team Event Small Final Run 1,"Épreuve alp. équipes, bronze, manche 1",알파인 스키 혼성 단체전 3-4위 결정전 런 1,Alpine Team Event Small Final Run 1,"Épreuve alpine par équipes, bronze, manche 1",알파인 스키 혼성 단체전 3-4위 결정전 런 1,SubUnit,,N,0,HATH,N,N,Small Final Run 1,"Bronze, manche 1",3-4위 결정전 런 1,
ALP,X,PLTEAM4-----------,FNL-,00020002,Alpine Team Event Small Final Run 2,"Épreuve alp. équipes, bronze, manche 2",알파인 스키 혼성 단체전 3-4위 결정전 런 2,Alpine Team Event Small Final Run 2,"Épreuve alpine par équipes, bronze, manche 2",알파인 스키 혼성 단체전 3-4위 결정전 런 2,SubUnit,,N,0,HATH,N,N,Small Final Run 2,"Bronze, manche 2",3-4위 결정전 런 2,
