Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,M,DH------03030-----,TRNO,000300--,Men's Downhill 3rd Trng Run - Vis Imp,KOR,Men's Downhill 3rd Training Run - Visually Impaired,KOR,Training,,Y,0,ATH,Y,Y,3rd Training Run,KOR,ASM310O03
ALP,M,DH------03030-----,VICT,FLOWER--,"Men's Downhill, Vis Imp, Flowers",KOR,"Men's Downhill, Visually Impaired, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM310M02
ALP,M,DH------03030-----,VICT,MEDAL---,"Men's Downhill, Vis Imp, Vict. Ceremony",KOR,"Men's Downhill, Visually Impaired, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM310M01
ALP,M,DH------09110-----,----,--------,Men's Downhill - Standing ,KOR,Men's Downhill - Standing ,KOR,Event,,N,0,ATH,N,N,,,ASM110000
ALP,M,DH------09110-----,DRAW,000100--,"Men's Downhill, Standing, Draw",KOR,"Men's Downhill, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM110E01
ALP,M,DH------09110-----,DRAW,000200--,"Men's Downhill, Standing, Draw",KOR,"Men's Downhill, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM110E02
ALP,M,DH------09110-----,DRAW,000300--,"Men's Downhill, Standing, Draw",KOR,"Men's Downhill, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM110E03
ALP,M,DH------09110-----,DRAW,000400--,"Men's Downhill, Standing, Draw",KOR,"Men's Downhill, Standing, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM110E04
ALP,M,DH------09110-----,FNL-,000100--,Men's Downhill - Standing ,KOR,Men's Downhill - Standing ,KOR,Unit,,Y,1,ATH,Y,Y,,,ASM110101
ALP,M,DH------09110-----,FNL-,000101--,Men's Downhill 1st Run - Standing,KOR,Men's Downhill 1st Run - Standing,KOR,Unit,,Y,0,ATH,Y,Y,1st Run,KOR,ASM110111
ALP,M,DH------09110-----,FNL-,000102--,Men's Downhill 2nd Run - Standing,KOR,Men's Downhill 2nd Run - Standing,KOR,Unit,,Y,1,ATH,Y,Y,2nd Run,KOR,ASM110112
ALP,M,DH------09110-----,TRNO,000100--,Men's Downhill 1st Trng Run - Standing,KOR,Men's Downhill 1st Training Run - Standing,KOR,Training,,Y,0,ATH,Y,Y,1st Training Run,KOR,ASM110O01
ALP,M,DH------09110-----,TRNO,000200--,Men's Downhill 2nd Trng Run - Standing,KOR,Men's Downhill 2nd Training Run - Standing,KOR,Training,,Y,0,ATH,Y,Y,2nd Training Run,KOR,ASM110O02
ALP,M,DH------09110-----,TRNO,000300--,Men's Downhill 3rd Trng Run - Standing,KOR,Men's Downhill 3rd Training Run - Standing,KOR,Training,,Y,0,ATH,Y,Y,3rd Training Run,KOR,ASM110O03
ALP,M,DH------09110-----,VICT,FLOWER--,"Men's Downhill, Standing, Flowers",KOR,"Men's Downhill, Standing, Flower Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Flower Ceremony,KOR,ASM110M02
ALP,M,DH------09110-----,VICT,MEDAL---,"Men's Downhill, Stand, Vict. Ceremony",KOR,"Men's Downhill, Standing, Victory Ceremony",KOR,Medal,,Y,0,NONE,N,Y,Victory Ceremony,KOR,ASM110M01
ALP,M,DH------12050-----,----,--------,Men's Downhill - Sitting,KOR,Men's Downhill - Sitting,KOR,Event,,N,0,NONE,N,N,,,ASM210000
ALP,M,DH------12050-----,DRAW,000100--,"Men's Downhill, Sitting, Draw",KOR,"Men's Downhill, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM210E01
ALP,M,DH------12050-----,DRAW,000200--,"Men's Downhill, Sitting, Draw",KOR,"Men's Downhill, Sitting, Draw",KOR,Draw,,Y,0,NONE,N,Y,Draw,KOR,ASM210E02
