Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
TT1,RC3,1,Y,Riocentro - Pavilion 3-TT Tbl1,Riocentro - Pavilhão 3 - TT M1,Riocentro-Pabellón 3-TT Mesa 1,Riocentro - Pavilion 3 - Table Tennis - Table 1,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 1,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 1,RC3TT1
TT2,RC3,2,Y,Riocentro - Pavilion 3-TT Tbl2,Riocentro - Pavilhão 3 - TT M2,Riocentro-Pabellón 3-TT Mesa 2,Riocentro - Pavilion 3 - Table Tennis - Table 2,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 2,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 2,RC3TT1
TT3,RC3,3,Y,Riocentro - Pavilion 3-TT Tbl3,Riocentro - Pavilhão 3 - TT M3,Riocentro-Pabellón 3-TT Mesa 3,Riocentro - Pavilion 3 - Table Tennis - Table 3,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 3,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 3,RC3TT1
TT4,RC3,4,Y,Riocentro - Pavilion 3-TT Tbl4,Riocentro - Pavilhão 3 - TT M4,Riocentro-Pabellón 3-TT Mesa 4,Riocentro - Pavilion 3 - Table Tennis - Table 4,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 4,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 4,RC3TT1
TT5,RC3,5,Y,Riocentro - Pavilion 3-TT Tbl5,Riocentro - Pavilhão 3 - TT M5,Riocentro-Pabellón 3-TT Mesa 5,Riocentro - Pavilion 3 - Table Tennis - Table 5,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 5,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 5,RC3TT1
TT6,RC3,6,Y,Riocentro - Pavilion 3-TT Tbl6,Riocentro - Pavilhão 3 - TT M6,Riocentro-Pabellón 3-TT Mesa 6,Riocentro - Pavilion 3 - Table Tennis - Table 6,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 6,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 6,RC3TT1
TT7,RC3,7,Y,Riocentro - Pavilion 3-TT Tbl7,Riocentro - Pavilhão 3 - TT M7,Riocentro-Pabellón 3-TT Mesa 7,Riocentro - Pavilion 3 - Table Tennis - Table 7,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 7,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 7,RC3TT1
TT8,RC3,8,Y,Riocentro - Pavilion 3-TT Tbl8,Riocentro - Pavilhão 3 - TT M8,Riocentro-Pabellón 3-TT Mesa 8,Riocentro - Pavilion 3 - Table Tennis - Table 8,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 8,Riocentro - Pabellón 3 - Tenis de mesa - Mesa 8,RC3TT1
VS1,RC6,1,Y,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,RC6VS1
WB1,CA1,1,Y,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,Arena Carioca 1,CA1WB1
WB2,ROA,2,Y,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Arena Olímpica do Rio,Arena Olímpica de Río,ROAWB1
WF0,YOA,1,Y,Youth Arena-WF Blue Piste 1,ArenaJuventude-WF Pista Azul 1,Ar. Juventud - WF pista azul 1,Youth Arena - Wheelchair Fencing Blue Piste 1,ArenaJuventude-Esgrima cadeira rodas Pista Azul 1,Ar. Juventud-Esgrima silla de ruedas pista azul 1,YOAWF1
WF1,YOA,2,Y,Youth Arena-WF Blue Piste 2,ArenaJuventude-WF Pista Azul 2,Ar. Juventud - WF pista azul 2,Youth Arena - Wheelchair Fencing Blue Piste 2,ArenaJuventude-Esgrima cadeira rodas Pista Azul 2,Ar. Juventud-Esgrima silla de ruedas pista azul 2,YOAWF1
WF2,YOA,3,Y,Youth Arena-WF Yellow Piste 1,ArenaJuventude-WF Pista Amar 1,Ar. Juventud -WF pista amar. 1,Youth Arena - Wheelchair Fencing Yellow Piste 1,ArenaJuventude-Esgrima cadeira rodas Pista Amar 1,Ar. Juventud-Esgrima silla de ruedas pista amar. 1,YOAWF1
WF3,YOA,4,Y,Youth Arena-WF Yellow Piste 2,ArenaJuventude-WF Pista Amar 2,Ar. Juventud -WF pista amar. 2,Youth Arena - Wheelchair Fencing Yellow Piste 2,ArenaJuventude-Esgrima cadeira rodas Pista Amar 2,Ar. Juventud-Esgrima silla de ruedas pista amar. 2,YOAWF1
