Function,Discipline,Order,Category,ENG Description,FRA Description,POR Description,SPA Description,Partic,Results
D1,GR,,J,Difficulty Judge 1,Juge de difficulté 1,Árbitro de dificuldade 1 (JD1),Juez de dificultad 1,Y,Y
D2,GR,,J,Difficulty Judge 2,Juge de difficulté 2,Árbitro de dificuldade 2 (JD2),Juez de dificultad 2,Y,Y
D3,GR,,J,Difficulty Judge 3,Juge de difficulté 3,Árbitro de dificuldade 3 (JD3),Juez de dificultad 3,Y,Y
D4,GR,,J,Difficulty Judge 4,Juge de difficulté 4,Árbitro de dificuldade 4 (JD4),Juez de dificultad 4,Y,Y
DR1,GR,,J,Difficulty Reference Judge 1,Juge de référence à la difficulté 1,Árbitro de referência de dificuldade 1,Juez de referencia de dificultad 1,Y,Y
DR2,GR,,J,Difficulty Reference Judge 2,Juge de référence à la difficulté 2,Árbitro de referência de dificuldade 2,Juez de referencia de dificultad 2,Y,Y
E1,GR,,J,Execution Judge 1,Juge d'exécution 1,Árbitro de execução 1,Juez de ejecución 1,Y,Y
E2,GR,,J,Execution Judge 2,Juge d'exécution 2,Árbitro de execução 2,Juez de ejecución 2,Y,Y
E3,GR,,J,Execution Judge 3,Juge d'exécution 3,Árbitro de execução 3,Juez de ejecución 3,Y,Y
E4,GR,,J,Execution Judge 4,Juge d'exécution 4,Árbitro de execução 4,Juez de ejecución 4,Y,Y
E5,GR,,J,Execution Judge 5,Juge d'exécution 5,Árbitro de execução 5,Juez de ejecución 5,Y,Y
ER1,GR,,J,Execution Reference Judge 1,Juge de référence d'exécution 1,Árbitro de referência de execução 1,Juez de referencia de ejecución 1,Y,Y
ER2,GR,,J,Execution Reference Judge 2,Juge de référence d'exécution 2,Árbitro de referência de execução 2,Juez de referencia de ejecución 2,Y,Y
JU,GR,,J,Judge,Juge,Árbitro,Juez,Y,N
Line_Judge_1,GR,,J,Line Judge 1,Juge de ligne 1,Árbitro de linha 1,Juez de línea 1,Y,Y
Line_Judge_2,GR,,J,Line Judge 2,Juge de ligne 2,Árbitro de linha 2,Juez de línea 2,Y,Y
ME,GR,,S,Member,Membre,Membro,Miembro,Y,Y
PR,GR,,S,President,Président,Presidente,Presidente,Y,Y
SUP_3C2H,GR,,J,Difficulty 3 Pairs of Clubs + 2 Hoops Supervisor,Superviseur de difficulté 3 paires de massues + 2 cerceaux,Supervisor de dificuldade de 3 pares de maças + 2 arcos,Supervisor de dificultad de 3 pares de mazas + 2 aros,Y,Y
SUP_5R,GR,,J,Difficulty 5 Ribbons Supervisor,Superviseur de difficulté de 5 rubans,Supervisor de dificuldade de 5 fitas,Supervisor de dificultad de 5 cintas,Y,Y
SUP_B,GR,,J,Ball Supervisor,Superviseur ballon,Supervisor de bola,Supervisor de pelota,Y,Y
SUP_BH,GR,,J,Difficulty Ball & Hoop Supervisor,Superviseur de difficulté de ballon et cerceau,Supervisor de dificuldade de bolas e arco,Supervisor de dificultad de pelota y aro,Y,Y
SUP_BR,GR,,J,Difficulty Ball & Ribbon Supervisor,Superviseur de difficulté de ballon et ruban,Supervisor de dificuldade de bolas e fita,Supervisor de dificultad de pelota y cinta,Y,Y
SUP_C,GR,,J,Clubs Supervisor,Superviseur massues,Supervisor de maças,Supervisor de mazas,Y,Y
SUP_CH,GR,,J,Difficulty Clubs & Hoop Supervisor,Superviseur de difficulté de massues et cerceau,Supervisor de dificuldade de maças e arco,Supervisor de dificultad de mazas y aro,Y,Y
SUP_CR,GR,,J,Difficulty Clubs & Ribbon Supervisor,Superviseur de difficulté de massues et ruban,Supervisor de dificuldade de maças e fita,Supervisor de dificultad de mazas y cinta,Y,Y
SUP_ES,GR,,J,Execution Supervisor,Superviseur d'exécution,Supervisor de execução,Supervisor de ejecución,Y,Y
SUP_H,GR,,J,Hoop Supervisor,Superviseur cerceau,Supervisor de arco,Supervisor de aro,Y,Y
SUP_HB,GR,,J,Difficulty Hoop & Ball Supervisor,Superviseur de difficulté de cerceau et ballon,Supervisor de dificuldade de arco e bolas,Supervisor de dificultad de aro y pelota,Y,Y
SUP_HC,GR,,J,Difficulty Hoop & Clubs Supervisor,Superviseur de difficulté de cerceau et massues,Supervisor de dificuldade de arco e maças,Supervisor de dificultad de aro y mazas,Y,Y
SUP_R,GR,,J,Ribbon Supervisor,Superviseur ruban,Supervisor de fita,Supervisor de cinta,Y,Y
SUP_RB,GR,,J,Difficulty Ribbon & Ball Supervisor,Superviseur de difficulté de ruban et ballon,Supervisor de dificuldade de fita e bolas,Supervisor de dificultad de cinta y pelotas,Y,Y
SUP_RC,GR,,J,Difficulty Ribbon & Clubs Supervisor,Superviseur de difficulté de ruban et massues,Supervisor de dificuldade de fita e maças,Supervisor de dificultad de cinta y mazas,Y,Y
Time_Judge,GR,,J,Time Judge,Juge chronométreur,Árbitro cronometrista,Juez de cronometraje,Y,Y
AA01,GT,0,A,Athlete,Athlète,Atleta,Atleta,Y,Y
