Id,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
SFC,N,Seoul Fleet Call Ctr,서울 플릿 콜센터,Seoul Fleet Call Centre,서울 플릿 콜센터,,SEO,Seoul
SNC,N,Secondary Network Centre,부 네트워크 센터,Secondary Network Centre,부 네트워크 센터,,,
SPH,N,Seaspovil Resort,씨스포빌 리조트,Seaspovil Resort,씨스포빌 리조트,,,
SRH,N,Ski Rental House,스키렌탈하우스,Ski Rental House,스키렌탈하우스,,,
STC,N,Seoul Ticketing Ctr,2018 평창 동계올림픽 메인티켓센터 (서울),Seoul Ticketing Centre,2018 평창 동계올림픽 메인티켓센터 (서울),,SEO,Seoul
STG,N,Gangneung Superstore,강릉 슈퍼스토어,Gangneung Superstore,강릉 슈퍼스토어,,GNG,Gangneung 
STP,N,PyeongChang Superstore,평창 슈퍼스토어,PyeongChang Superstore,평창 슈퍼스토어,,PYE,PyeongChang
STS,N,Seoul Station,서울역,Seoul Train/Railway Station,서울역,,SEO,Seoul
STT,N,Gangeung Yeongdong U. Gym,강릉영동 쇼트트랙 연습경기장,Gangneung Yeongdong Short Track Training Venue,강릉영동 쇼트트랙 연습경기장,,GNG,Gangneung 
THG,N,Gangneung Transport Hub,강릉 수송허브,Transport hub near Gangneung Station,강릉 수송허브,,GNG,Gangneung 
THJ,N,Jinbu Transport hub,진부 수송허브,Transport hub near Jinbu Station,진부 수송허브,,PYE,PyeongChang
TMI,N,Transport Mall near IBC,IBC 수송몰,Transport Mall near IBC,IBC 수송몰,,,
TMM,N,TS near Media village,미디어촌 수송몰,Transport Mall near Media village,미디어촌 수송몰,,,
TOC,N,Tech Operations Centre,기술운영센터,Technology Operations Centre,기술운영센터,,GNG,Gangneung 
TSD,N,Technology Service Desk,정보통신 서비스데스크,Technology Service Desk,정보통신 서비스데스크,,GNG,Gangneung 
TTC,N,Technology Training Ctr,테크놀로지 트레이닝 센터,Technology Training Centre,테크놀로지 트레이닝 센터,,,
UAC,N,Uniform Distribution Ctr,유니폼 배부 및 메인 등록센터,Uniform Distribution and Main Accreditation Centre,유니폼 배부 및 메인 등록센터,,,
WGP,N,Wst Gangneung Park & Ride,서강릉주차장,West Gangneung Park & Ride,서강릉주차장,,,
WSC,N,Wonju Severance Hospital,원주세브란스기독병원,Wonju Severance Christian Hospital,원주세브란스기독병원,,PYE,PyeongChang
YAL,Y,Yongpyong Alpine Centre,용평 알파인 경기장,Yongpyong Alpine Centre,용평 알파인 경기장,O,PYE,PyeongChang
YBH,N,Yongpyong Birch Hill,용평 버치힐,Yongpyong Birch Hill,용평 버치힐,,PYE,PyeongChang
YNY,N,YangYang Int'l Airport,양양국제공항,YangYang International Airport,양양국제공항,,GNG,Gangneung 
YRP,N,Yongpyong Rainbow,용평 레인보우 주차장,Yongpyong Rainbow Parking lot,용평 레인보우 주차장,,,
YRV,N,Yeoju Rem Veh Site,여주원거리차량검색시설,Yeoju Remote Vehicle Screening Site,여주원거리차량검색시설,,,
