Discipline,PRIS_NO,ENG Description,KOR Description
SBD,N86F,Birthdays during the Games,대회 중 생일
SBD,N87A,Flash Quotes,플래시 선수소감
SBD,N87B,Quotes of the Day,오늘의 선수소감
SBD,N88,Press Conference Highlights,기자회견 하이라이트
SBD,N89,Preview / Review,프리뷰/리뷰
SBD,N90A,Media Communication,미디어 전달사항
SBD,N90B,News Article,일반 기사
SBD,N90C,IPC News,IPC 뉴스
SBD,P91A,Victory Ceremony Presenters,메달 시상식 시상자
SBD,P91B,In-venue Ceremony Presenters,경기장 내 시상식 시상자
