Discipline,Gender,Event,Phase,Type,ENG Results Long Name (80),ENG Results Short Name (40),AZE Results Long Name (80),AZE Results Short Name (40)
AR,M,470,M,6,Men's Team Medal Ceremony,Men's Team Medal Ceremony,,
AR,W,000,0,8,Women,Women,,
AR,W,070,0,8,Women's Individual,Women's Individual,,
AR,W,070,1,3,Women's Individual Medal Matches,Women's Individual Medal Matches,,
AR,W,070,2,3,Women's Individual Semifinals,Women's Individual Semifinals,,
AR,W,070,3,3,Women's Individual Quarterfinals,Women's Individual Quarterfinals,,
AR,W,070,4,3,Women's Individual 1/8 Eliminations,Women's Individual 1/8 Eliminations,,
AR,W,070,5,3,Women's Individual 1/16 Eliminations,Women's Individual 1/16 Eliminations,,
AR,W,070,6,3,Women's Individual 1/32 Eliminations,Women's Individual 1/32 Eliminations,,
AR,W,070,9,3,Women's Individual Ranking Rounds,Women's Individual Ranking Rounds,,
AR,W,070,M,6,Women's Individual Medal Ceremony,Women's Individual Medal Ceremony,,
AR,W,470,0,8,Women's Team,Women's Team,,
AR,W,470,1,3,Women's Team Medal Matches,Women's Team Medal Matches,,
AR,W,470,2,3,Women's Team Semifinals,Women's Team Semifinals,,
AR,W,470,3,3,Women's Team 1/4 Eliminations,Women's Team 1/4 Eliminations,,
AR,W,470,4,3,Women's Team 1/8 Eliminations,Women's Team 1/8 Eliminations,,
AR,W,470,9,3,Women's Team Ranking Rounds,Women's Team Ranking Rounds,,
AR,W,470,M,6,Women's Team Medal Ceremony,Women's Team Medal Ceremony,,
AR,X,470,0,8,Mixed Team,Mixed Team,,
AR,X,470,1,3,Mixed Team Medal Matches,Mixed Team Medal Matches,,
AR,X,470,2,3,Mixed Team Semifinals,Mixed Team Semifinals,,
AR,X,470,3,3,Mixed Team 1/4 Eliminations,Mixed Team 1/4 Eliminations,,
AR,X,470,9,3,Mixed Team Ranking Rounds,Mixed Team Ranking Rounds,,
AR,X,470,4,3,Mixed Team 1/8 Eliminations,Mixed Team 1/8 Eliminations,,
AR,X,470,M,6,Mixed Team Medal Ceremony,Mixed Team Medal Ceremony,,
AT,0,000,0,6,Athletics,Athletics,,
AT,0,STA,0,8,Stadium,Stadium,,
AT,0,000,M,6,Athletics Medal Ceremony,Athletics Medal Ceremony,,
AT,M,000,0,8,Men,Men,,
AT,W,000,0,8,Women,Women,,
AT,X,880,0,8,MixedTeam,Mixed Team,,
AT,M,001,0,8,Men's 100m ,Men's 100m ,,
AT,M,001,1,3,Men's 100m ,Men's 100m ,,
AT,M,002,0,8,Men's 200m ,Men's 200m ,,
AT,M,002,1,3,Men's 200m ,Men's 200m ,,
