Discipline,Gender,Event,Phase,Type,ENG Results Long Name (80),ENG Results Short Name (40),AZE Results Long Name (80),AZE Results Short Name (40)
BX,M,064,5,3,Men's Light Welter (64kg) Round of 32,Men's Light Welter (64kg) Round of 32,,
BX,M,064,6,3,Men's Light Welter (64kg) Round of 64,Men's Light Welter (64kg) Round of 64,,
BX,M,064,M,6,Men's Light Welter (64kg) Medal Ceremony,Men's Light Welter (64kg) Mdl Ceremony,,
BX,M,069,0,8,Men's Welter (69kg),Men's Welter (69kg),,
BX,M,069,1,3,Men's Welter (69kg) Final,Men's Welter (69kg) Final,,
BX,M,069,2,3,Men's Welter (69kg) Semifinals,Men's Welter (69kg) Semifinals,,
BX,M,069,3,3,Men's Welter (69kg) Quarterfinals,Men's Welter (69kg) Quarterfinals,,
BX,M,069,4,3,Men's Welter (69kg) Round of 16,Men's Welter (69kg) Round of 16,,
BX,M,069,5,3,Men's Welter (69kg) Round of 32,Men's Welter (69kg) Round of 32,,
BX,M,069,6,3,Men's Welter (69kg) Round of 64,Men's Welter (69kg) Round of 64,,
BX,M,069,M,6,Men's Welter (69kg) Medal Ceremony,Men's Welter (69kg) Medal Ceremony,,
BX,M,075,0,6,Men's Middle (75kg),Men's Middle (75kg),,
BX,M,075,1,3,Men's Middle (75kg) Final,Men's Middle (75kg) Final,,
BX,M,075,2,3,Men's Middle (75kg) Semifinals,Men's Middle (75kg) Semifinals,,
BX,M,075,3,3,Men's Middle (75kg) Quarterfinals,Men's Middle (75kg) Quarterfinals,,
BX,M,075,4,3,Men's Middle (75kg) Round of 16,Men's Middle (75kg) Round of 16,,
BX,M,075,5,3,Men's Middle (75kg) Round of 32,Men's Middle (75kg) Round of 32,,
BX,M,075,6,3,Men's Middle (75kg) Round of 64,Men's Middle (75kg) Round of 64,,
BX,M,075,M,6,Men's Middle (75kg) Medal Ceremony,Men's Middle (75kg) Medal Ceremony,,
BX,M,081,0,8,Men's Light Heavy (81kg),Men's Light Heavy (81kg),,
BX,M,081,1,3,Men's Light Heavy (81kg) Final,Men's Light Heavy (81kg) Final,,
BX,M,081,2,3,Men's Light Heavy (81kg) Semifinals,Men's Light Heavy (81kg) Semifinals,,
BX,M,081,3,3,Men's Light Heavy (81kg) Quarterfinals,Men's Light Heavy (81kg) Quarterfinals,,
BX,M,081,4,3,Men's Light Heavy (81kg) Round of 16,Men's Light Heavy (81kg) Round of 16,,
BX,M,081,5,3,Men's Light Heavy (81kg) Round of 32,Men's Light Heavy (81kg) Round of 32,,
BX,M,081,6,3,Men's Light Heavy (81kg) Round of 64,Men's Light Heavy (81kg) Round of 64,,
BX,M,081,M,6,Men's Light Heavy (81kg) Medal Ceremony,Men's Light Heavy (81kg) Medal Cere...,,
BX,M,091,0,8,Men's Heavy (91kg),Men's Heavy (91kg),,
BX,M,091,1,3,Men's Heavy (91kg) Final,Men's Heavy (91kg) Final,,
BX,M,091,2,3,Men's Heavy (91kg) Semifinals,Men's Heavy (91kg) Semifinals,,
BX,M,091,3,3,Men's Heavy (91kg) Quarterfinals,Men's Heavy (91kg) Quarterfinals,,
BX,M,091,4,3,Men's Heavy (91kg) Round of 16,Men's Heavy (91kg) Round of 16,,
BX,M,091,5,3,Men's Heavy (91kg) Round of 32,Men's Heavy (91kg) Round of 32,,
BX,M,091,6,3,Men's Heavy (91kg) Round of 64,Men's Heavy (91kg) Round of 64,,
BX,M,091,M,6,Men's Heavy (91kg) Medal Ceremony,Men's Heavy (91kg) Medal Ceremony,,
BX,M,191,0,8,Men's Super Heavy (+91kg),Men's Super Heavy (+91kg),,
BX,M,191,1,3,Men's Super Heavy (+91kg) Final,Men's Super Heavy (+91kg) Final,,
BX,M,191,2,3,Men's Super Heavy (+91kg) Semifinals,Men's Super Heavy (+91kg) Semifinals,,
BX,M,191,3,3,Men's Super Heavy (+91kg) Quarterfinals,Men's Super Heavy (+91kg) Quarterfinals,,
BX,M,191,4,3,Men's Super Heavy (+91kg) Round of 16,Men's Super Heavy (+91kg) Round of 16,,
BX,M,191,5,3,Men's Super Heavy (+91kg) Round of 32,Men's Super Heavy (+91kg) Round of 32,,
BX,M,191,6,3,Men's Super Heavy (+91kg) Round of 64,Men's Super Heavy (+91kg) Round of 64,,
BX,M,191,M,6,Men's Super Heavy (+91kg) Medal Ceremony,Men's Super Heavy (+91kg) Mdl Ceremony,,
BX,W,051,0,8,Women's Fly (48 - 51kg),Women's Fly (48 - 51kg),,
BX,W,051,1,3,Women's Fly (48 - 51kg) Final,Women's Fly (48 - 51kg) Final,,
BX,W,051,2,3,Women's Fly (48 - 51kg) Semifinals,Women's Fly (48 - 51kg) Semifinals,,
BX,W,051,3,3,Women's Fly (48 - 51kg) Quarterfinals,Women's Fly (48 - 51kg) Quarterfinals,,
BX,W,051,4,3,Women's Fly (48 - 51kg) Round of 16,Women's Fly (48 - 51kg) Round of 16,,
BX,W,051,M,6,Women's Fly (48 - 51kg) Medal Ceremony,Women's Fly (48 - 51kg) Medal Ceremony,,
BX,W,054,0,8,Women's Bantam (51 - 54kg),Women's Bantam (51 - 54kg),,
BX,W,054,1,3,Women's Bantam (51 - 54kg) Final,Women's Bantam (51 - 54kg) Final,,
BX,W,054,2,3,Women's Bantam (51 - 54kg) Semifinals,Women's Bantam (51 - 54kg) Semifinals,,
BX,W,054,3,3,Women's Bantam (51 - 54kg) Quarterfinals,Women's Bantam (51 - 54kg) Quarterfinals,,
BX,W,054,4,3,Women's Bantam (51 - 54kg) Round of 16,Women's Bantam (51 - 54kg) Round of 16,,
BX,W,054,M,6,Women's Bantam (51 - 54kg) Medal Ceremony,Women's Bantam (51 - 54kg) Medal Ceremony,,
BX,W,060,0,8,Women's Light (54 - 60kg),Women's Light (54 - 60kg),,
BX,W,060,1,3,Women's Light (54 - 60kg) Final,Women's Light (54 - 60kg) Final,,
BX,W,060,2,3,Women's Light (54 - 60kg) Semifinals,Women's Light (54 - 60kg) Semifinals,,
BX,W,060,3,3,Women's Light (54 - 60kg) Quarterfinals,Women's Light (54 - 60kg) Quarterfinals,,
BX,W,060,4,3,Women's Light (54 - 60kg) Round of 16,Women's Light (54 - 60kg) Round of 16,,
BX,W,060,M,6,Women's Light (54 - 60kg) Medal Ceremony,Women's Light (54 - 60kg) Medal Ceremony,,
BX,W,064,0,8,Women's Light Welter (60 - 64kg),Women's  Welter (60 - 64kg),,
BX,W,064,1,3,Women's Light Welter (60 - 64kg) Final,Women's Welter (60 - 64kg) Final,,
BX,W,064,2,3,Women's Light Welter (60 - 64kg) Semifinals,Women's Welter (60 - 64kg) Semifinals,,
BX,W,064,3,3,Women's Light Welter (60 - 64kg) Quarterfinals,Women's  Welter (60 - 64kg) Quarterfinals,,
BX,W,064,4,3,Women's Light Welter (60 - 64kg) Round of 16,Women's Welter (60 - 64kg) Round of 16,,
BX,W,064,M,6,Women's Light Welter (60 - 64kg) Medal Ceremony,Women's Welter (60 - 64kg) Medal Ceremony,,
BX,W,075,0,8,Women's Middle (69 - 75kg),Women's Middle (69 - 75kg),,
BX,W,075,1,3,Women's Middle (69 - 75kg) Final,Women's Middle (69 - 75kg) Final,,
BX,W,075,2,3,Women's Middle (69 - 75kg) Semifinals,Women's Middle (69 - 75kg) Semifinals,,
BX,W,075,3,3,Women's Middle (69 - 75kg) Quarterfinals,Women's Middle (69 - 75kg) Quarterfinals,,
BX,W,075,4,3,Women's Middle (69 - 75kg) Round of 16,Women's Middle (69 - 75kg) Round of 16,,
BX,W,075,M,6,Women's Middle (69 - 75kg) Medal Ceremony,Women's Middle (69 - 75kg) Medal Ceremony,,
CB,0,000,0,8,Cycling BMX,Cycling BMX,,
CB,M,000,0,8,Men's BMX,Men's BMX,,
CB,W,000,0,8,Women's BMX,Women's BMX,,
CB,M,001,0,8,Men's BMX,Men's BMX,,
CB,M,001,1,3,Men's BMX Final,Men's BMX Final,,
CB,M,001,2,3,Men's BMX Semifinals,Men's BMX Semifinals,,
CB,M,001,3,3,Men's BMX Motos,Men's BMX Motos,,
CB,M,001,9,3,Men's BMX Qualifying Time Trial,Men's BMX Qualifying Time Trial,,
CB,M,001,8,3,Men's BMX Time Trial Super Final,Men's BMX Time Trial Super Final,,
CB,M,001,M,6,Men's BMX Victory Ceremony,Men's BMX Victory Ceremony,,
CB,W,000,0,8,Cycling BMX - Women,Cycling BMX - Women,,
CB,W,001,0,8,Women BMX,Women's BMX,,
CB,W,001,1,3,Women's BMX Final,Women's BMX Final,,
CB,W,001,3,3,Women's BMX Motos,Women's BMX Motos,,
CB,W,001,9,3,Women's BMX Qualifying Time Trial,Women's BMX Qualifying Time Trial,,
CB,W,001,8,3,Women's BMX Time Trial Super Final,Women's BMX Time Trial Super Final,,
CB,W,001,M,6,Women's BMX Victory Ceremony,Women's BMX Victory Ceremony,,
CE,0,CLO,0,8,Closing Ceremony,Closing Ceremony,,
CE,0,OPN,0,8,Opening Ceremony,Opening Ceremony,,
CF,0,000,0,8,Canoe Sprint,Canoe Sprint,,
CF,0,MIG,0,8,Mingachevir,Mingachevir,,
CF,0,000,Y,8,Canoe Sprint Daily Schedule,Canoe Sprint Daily Schedule,,
CF,M,000,0,8,Men,Men,,
CF,M,111,0,8,Kayak Single (K1) 1000m Men,Kayak Single (K1) 1000m Men,,
CF,M,111,1,3,Kayak Single (K1) 1000m Men - Finals,Kayak Single (K1) 1000m Men Finals,,
CF,M,111,2,3,Kayak Single (K1) 1000m Men - Semifinals,Kayak Single (K1) 1000m Men Semifinals,,
CF,M,111,9,3,Kayak Single (K1) 1000m Men - Heats,Kayak Single (K1) 1000m Men Heats,,
CF,M,111,M,6,Kayak Single (K1) 1000m Men - Medal Ceremony,Kayak Single (K1) 1000m Men Mdl Ceremony,,
CF,M,112,0,8,Kayak Single (K1) 200m Men,Kayak Single (K1) 200m Men,,
CF,M,112,1,3,Kayak Single (K1) 200m Men - Finals,Kayak Single (K1) 200m Men Finals,,
CF,M,112,2,3,Kayak Single (K1) 200m Men - Semifinals,Kayak Single (K1) 200m Men Semifinals,,
CF,M,112,9,3,Kayak Single (K1) 200m Men - Heats,Kayak Single (K1) 200m Men Heats,,
CF,M,112,M,6,Kayak Single (K1) 200m Men - Medal Ceremony,Kayak Single (K1) 200m Men Mdl Ceremony,,
CF,M,121,0,8,Kayak Double (K2) 1000m Men,Kayak Double (K2) 1000m Men,,
CF,M,121,1,3,Kayak Double (K2) 1000m Men - Finals,Kayak Double (K2) 1000m Men Finals,,
CF,M,121,2,3,Kayak Double (K2) 1000m Men - Semifinals,Kayak Double (K2) 1000m Men Semifinals,,
CF,M,121,9,3,Kayak Double (K2) 1000m Men - Heats,Kayak Double (K2) 1000m Men Heats,,
CF,M,121,M,6,Kayak Double (K2) 1000m Men - Medal Ceremony,Kayak Double (K2) 1000m Men Mdl Ceremony,,
CF,M,122,0,8,Kayak Double (K2) 200m Men,Kayak Double (K2) 200m Men,,
CF,M,122,1,3,Kayak Double (K2) 200m Men - Finals,Kayak Double (K2) 200m Men Finals,,
CF,M,122,2,3,Kayak Double (K2) 200m Men - Semifinals,Kayak Double (K2) 200m Men Semifinals,,
CF,M,122,9,3,Kayak Double (K2) 200m Men - Heats,Kayak Double (K2) 200m Men Heats,,
CF,M,122,M,6,Kayak Double (K2) 200m Men - Medal Ceremony,Kayak Double(K2) 200m Men Mdl Ceremony,,
CF,M,141,0,8,Kayak Four (K4) 1000m Men,Kayak Four (K4) 1000m Men,,
CF,M,141,1,3,Kayak Four (K4) 1000m Men - Finals,Kayak Four (K4) 1000m Men Finals,,
CF,M,141,2,3,Kayak Four (K4) 1000m Men - Semifinals,Kayak Four (K4) 1000m Men Semifinals,,
CF,M,141,9,3,Kayak Four (K4) 1000m Men - Heats,Kayak Four (K4) 1000m Men Heats,,
CF,M,141,M,6,Kayak Four (K4) 1000m Men - Medal Ceremony,Kayak Four (K4) 1000m Men Mdl Ceremony,,
CF,M,211,0,8,Canoe Single (C1) 1000m Men,Canoe Single (C1) 1000m Men,,
CF,M,211,1,3,Canoe Single (C1) 1000m Men - Finals,Canoe Single (C1) 1000m Men Finals,,
CF,M,211,2,3,Canoe Single (C1) 1000m Men - Semifinals,Canoe Single (C1) 1000m Men Semifinals,,
CF,M,211,9,3,Canoe Single (C1) 1000m Men - Heats,Canoe Single (C1) 1000m Men Heats,,
CF,M,211,M,6,Canoe Single (C1) 1000m Men - Medal Ceremony,Canoe Single (C1) 1000m Men Mdl Ceremony,,
CF,M,212,0,8,Canoe Single (C1) 200m Men,Canoe Single (C1) 200m Men,,
CF,M,212,1,3,Canoe Single (C1) 200m Men - Finals,Canoe Single (C1) 200m Men Finals,,
CF,M,212,2,3,Canoe Single (C1) 200m Men - Semifinals,Canoe Single (C1) 200m Men Semifinals,,
CF,M,212,9,3,Canoe Single (C1) 200m Men - Heats,Canoe Single (C1) 200m Men Heats,,
CF,M,212,M,6,Canoe Single (C1) 200m Men - Medal Ceremony,Canoe Single (C1) 200m Men Mdl Ceremony,,
CF,M,221,0,8,Canoe Double (C2) 1000m Men,Canoe Double (C2) 1000m Men,,
CF,M,221,1,3,Canoe Double (C2) 1000m Men - Finals,Canoe Double (C2) 1000m Men Finals,,
CF,M,221,2,3,Canoe Double (C2) 1000m Men - Semifinals,Canoe Double (C2) 1000m Men Semifinals,,
CF,M,221,9,3,Canoe Double (C2) 1000m Men - Heats,Canoe Double (C2) 1000m Men Heats,,
CF,M,221,M,6,Canoe Double (C2) 1000m Men - Medal Ceremony,Canoe Double (C2) 1000m Men Mdl Ceremony,,
CF,M,116,0,8,Kayak Single (K1) 5000m Men,Kayak Single (K1) 5000m Men,,
CF,M,116,1,3,Kayak Single (K1) 5000m Men - Finals,Kayak Single (K1) 5000m Men Finals,,
CF,M,116,M,6,Kayak Single (K1) 5000m Men - Medal Ceremony,Kayak Double (K2) 5000m Men Mdl Ceremony,,
CF,W,000,0,8,Women,Women,,
CF,W,112,0,8,Kayak Single (K1) 200m Women,Kayak Single (K1) 200m Women,,
CF,W,112,1,3,Kayak Single (K1) 200m Women - Finals,Kayak Single (K1) 200m Women Finals,,
CF,W,112,2,3,Kayak Single (K1) 200m Women - Semifinals,Kayak Single (K1) 200m Women Semifinals,,
CF,W,112,9,3,Kayak Single (K1) 200m Women - Heats,Kayak Single (K1) 200m Women Heats,,
CF,W,112,M,6,Kayak Single (K1) 200m Women - Medal Ceremony,Kayak Single(K1) 200m Women Mdl Ceremony,,
CF,W,122,0,8,Kayak Single (K2) 200m Women,Kayak Single (K2) 200m Women,,
CF,W,122,1,3,Kayak Single (K2) 200m Women - Finals,Kayak Single (K2) 200m Women Finals,,
CF,W,122,2,3,Kayak Single (K2) 200m Women - Semifinals,Kayak Single (K2) 200m Women Semifinals,,
CF,W,122,9,3,Kayak Single (K2) 200m Women - Heats,Kayak Single (K2) 200m Women Heats,,
CF,W,122,M,6,Kayak Single (K2) 200m Women - Medal Ceremony,Kayak Single(K2) 200m Women Mdl Ceremony,,
CF,W,115,0,8,Kayak Single (K1) 500m Women,Kayak Single (K1) 500m Women,,
CF,W,115,1,3,Kayak Single (K1) 500m Women - Finals,Kayak Single (K1) 500m Women Finals,,
CF,W,115,2,3,Kayak Single (K1) 500m Women - Semifinals,Kayak Single (K1) 500m Women Semifinals,,
CF,W,115,9,3,Kayak Single (K1) 500m Women - Heats,Kayak Single (K1) 500m Women Heats,,
CF,W,115,M,6,Kayak Single (K1) 500m Women - Medal Ceremony,Kayak Single (K1) 500m Wom. Mdl Ceremony,,
CF,W,125,0,8,Kayak Double (K2) 500m Women,Kayak Double (K2) 500m Women,,
CF,W,125,1,3,Kayak Double (K2) 500m Women - Finals,Kayak Double (K2) 500m Women Finals,,
CF,W,125,2,3,Kayak Double (K2) 500m Women - Semifinals,Kayak Double (K2) 500m Women Semifinals,,
CF,W,125,9,3,Kayak Double (K2) 500m Women - Heats,Kayak Double (K2) 500m Women Heats,,
CF,W,125,M,6,Kayak Double (K2) 500m Women - Medal Ceremony,Kayak Double(K2) 500m Women Mdl Ceremony,,
CF,W,145,0,8,Kayak Four (K4) 500m Women,Kayak Four (K4) 500m Women,,
CF,W,145,1,3,Kayak Four (K4) 500m Women - Finals,Kayak Four (K4) 500m Women Finals,,
CF,W,145,2,3,Kayak Four (K4) 500m Women - Semifinals,Kayak Four (K4) 500m Women Semifinals,,
CF,W,145,9,3,Kayak Four (K4) 500m Women - Heats,Kayak Four (K4) 500m Women Heats,,
CF,W,145,M,6,Kayak Four (K4) 500m Women - Medal Ceremony,Kayak Four (K4) 500m Women Mdl Ceremony,,
CF,W,116,0,8,Kayak Single (K1) 5000m Women,Kayak Single (K1) 5000m Women,,
CF,W,116,1,3,Kayak Single (K1) 5000m Women - Finals,Kayak Single (K1) 5000m Women Finals,,
CF,W,116,M,6,Kayak Single (K1) 5000m Women - Medal Ceremony,Kayak Double(K2) 5000m Women Med Cerem.,,
CM,0,000,0,8,Cycling Mountain Bike,Cycling Mountain Bike,,
CM,0,VEL,0,8,Mountain Bike Velopark,Mountain Bike Velopark,,
CM,M,021,0,8,Men's Cross-country,Men's Cross-country,,
CM,M,021,1,3,Men's Cross-country,Men's Cross-country,,
CM,M,021,M,6,Men's Cross-country Medal Ceremony,Men's Cross-country Medal Ceremony,,
CM,W,021,0,8,Women's Cross-country,Women's Cross-country,,
CM,W,021,1,3,Women's Cross-country,Women's Cross-country,,
CM,W,021,M,6,Women's Cross-country Medal Ceremony,Women's Cross-country Medal Ceremony,,
CR,0,BIL,0,8,Bilgah Beach,Bilgah Beach,,
CR,0,FSQ,0,8,Freedom Square,Freedom Square,,
CR,0,000,0,8,Cycling Road,Cycling Road,,
CR,0,000,Y,8,Cycling Road Daily Schedule,Cycling Road Daily Schedule,,
CR,M,000,0,8,Men,Men,,
CR,M,011,0,8,Men's Individual Time Trial,Men's Individual Time Trial,,
CR,M,011,1,3,Men's Individual Time Trial,Men's Individual Time Trial,,
CR,M,011,M,6,Men's Individual Time Trial Medal Ceremony,Men's Ind. Time Trial Medal Ceremony,,
CR,M,012,0,8,Men's Road Race,Men's Road Race,,
CR,M,012,1,3,Men's Road Race,Men's Road Race,,
CR,M,012,M,6,Men's Road Race Medal Ceremony,Men's Road Race Medal Ceremony,,
CR,W,000,0,8,Women,Women,,
CR,W,011,0,8,Women's Individual Time Trial,Women's Individual Time Trial,,
CR,W,011,1,3,Women's Individual Time Trial,Women's Individual Time Trial,,
CR,W,011,M,6,Women's Individual Time Trial Medal Ceremony,Women's Ind. Time Trial Medal Ceremony,,
CR,W,012,0,8,Women's Road Race,Women's Road Race,,
CR,W,012,1,3,Women's Road Race,Women's Road Race,,
CR,W,012,M,6,Women's Road Race Medal Ceremony,Women's Road Race Medal Ceremony,,
DV,0,000,0,8,Diving,Diving,,
DV,0,BAC,0,8,Baku Aquatics Centre,Baku Aquatics Centre,,
DV,M,000,0,8,Men,Men,,
DV,M,001,0,8,Men's 1m Springboard,Men's 1m Springboard,,
DV,M,001,1,3,Men's 1m Springboard Final,Men's 1m Springboard Final,,
DV,M,001,9,3,Men's 1m Springboard Preliminary,Men's 1m Springboard Preliminary,,
DV,M,001,M,6,Men's 1m Springboard Medal Ceremony,Men's 1m Springboard Medal Ceremony,,
DV,M,003,0,8,Men's 3m Springboard,Men's 3m Springboard,,
DV,M,003,1,3,Men's 3m Springboard Final,Men's 3m Springboard Final,,
DV,M,003,9,3,Men's 3m Springboard Preliminary,Men's 3m Springboard Preliminary,,
DV,M,003,M,6,Men's 3m Springboard Medal Ceremony,Men's 3m Springboard Medal Ceremony,,
DV,M,100,0,8,Men's Platform,Men's Platform,,
DV,M,100,1,3,Men's Platform Final,Men's Platform Final,,
DV,M,100,9,3,Men's Platform Preliminary,Men's Platform Preliminary,,
DV,M,100,M,6,Men's Platform Medal Ceremony,Men's Platform Medal Ceremony,,
DV,M,203,0,8,Men's Synchronised 3m Springboard,Men's Synchronised 3m Springboard,,
DV,M,203,1,3,Men's Synchronised 3m Springboard Final,Men's Synchronised 3m Springboard Final,,
DV,M,203,9,3,Men's Synchronised 3m Springboard Preliminary,Men's Synchronised 3m Springboard Prel.,,
DV,M,203,M,6,Men's Synchronised 3m Springboard Medal Ceremony,Men's Synchro 3m Springboard Medal Cer,,
DV,W,000,0,8,Women,Women,,
DV,W,001,0,8,Women's 1m Springboard,Women's 1m Springboard,,
DV,W,001,1,3,Women's 1m Springboard Final,Women's 1m Springboard Final,,
DV,W,001,9,3,Women's 1m Springboard Preliminary,Women's 1m Springboard Preliminary,,
DV,W,001,M,6,Women's 1m Springboard Medal Ceremony,Women's 1m Springboard Medal Ceremony,,
DV,W,003,0,8,Women's 3m Springboard,Women's 3m Springboard,,
DV,W,003,1,3,Women's 3m Springboard Final,Women's 3m Springboard Final,,
DV,W,003,9,3,Women's 3m Springboard Preliminary,Women's 3m Springboard Preliminary,,
DV,W,003,M,6,Women's 3m Springboard Medal Ceremony,Women's 3m Springboard Medal Ceremony,,
DV,W,100,0,8,Women's Platform,Women's Platform,,
DV,W,100,1,3,Women's Platform Final,Women's Platform Final,,
DV,W,100,9,3,Women's Platform Preliminary,Women's Platform Preliminary,,
DV,W,100,M,6,Women's Platform Medal Ceremony,Women's Platform Medal Ceremony,,
DV,W,203,0,8,Women's Synchronised 3m Springboard,Women's Synchro 3m Springboard,,
DV,W,203,1,3,Women's Synchronised 3m Springboard Final,Women's Synchro 3m Springboard Final,,
DV,W,203,9,3,Women's Synchronised 3m Springboard Preliminary,Women's Synchro 3m Springboard Prel.,,
DV,W,203,M,6,Women's Synchronised 3m Springboard Medal Ceremony,Women's Synchro 3m Springboard Med. Cer.,,
FE,0,000,0,8,Fencing,Fencing,,
FE,0,CH3,0,8,Crystal Hall 3,Crystal Hall 3,,
FE,0,000,Y,8,Fencing Daily Schedule,Fencing Daily Schedule,,
FE,0,100,Z,8,Fencing Individual - Session,Fencing Individual - Session,,
FE,0,400,Z,8,Fencing Team - Session,Fencing Team - Session,,
FE,M,000,0,8,Men,Men,,
FE,M,001,0,8,Men's Foil Individual,Men's Foil Individual,,
FE,M,001,1,3,Men's Foil Individual Finals,Men's Foil Individual Finals,,
FE,M,001,2,3,Men's Foil Individual Semifinals,Men's Foil Individual Semifinals,,
FE,M,001,3,3,Men's Foil Individual Quarterfinals,Men's Foil Individual Quarterfinals,,,,
FE,M,001,4,3,Men's Foil Individual Table of 16,Men's Foil Individual Table of 16,,,,
FE,M,001,5,3,Men's Foil Individual Table of 32,Men's Foil Individual Table of 32,,,,
FE,M,001,9,3,Men's Foil Individual Pool Round,Men's Foil Individual Pool Round,,,,
FE,M,001,A,3,Men's Foil Individual Pool Round Group A,Men's Foil Ind Pool Round Group A,,,,
FE,M,001,B,3,Men's Foil Individual Pool Round Group B,Men's Foil Ind Pool Round Group B,,,,
FE,M,001,C,3,Men's Foil Individual Pool Round Group C,Men's Foil Ind Pool Round Group C,,,,
FE,M,001,D,3,Men's Foil Individual Pool Round Group D,Men's Foil Ind Pool Round Group D,,,,
FE,M,001,E,3,Men's Foil Individual Pool Round Group E,Men's Foil Ind Pool Round Group E,,,,
FE,M,001,F,3,Men's Foil Individual Pool Round Group F,Men's Foil Ind Pool Round Group F,,,,
FE,M,001,M,6,Men's Foil Individual Medal Ceremony,Men's Foil Individual Medal Ceremony,,,,
FE,M,002,0,8,Men's Epee Individual,Men's Epee Individual,,,,
FE,M,002,1,3,Men's Epee Individual Finals,Men's Epee Individual Finals,,,,
FE,M,002,2,3,Men's Epee Individual Semifinals,Men's Epee Individual Semifinals,,,,
FE,M,002,3,3,Men's Epee Individual Quarterfinals,Men's Epee Individual Quarterfinals,,,,
FE,M,002,4,3,Men's Epee Individual Table of 16,Men's Epee Individual Table of 16,,,,
FE,M,002,5,3,Men's Epee Individual Table of 32,Men's Epee Individual Table of 32,,,,
FE,M,002,9,3,Men's Epee Individual Pool Round,Men's Epee Individual Pool Round,,,,
FE,M,002,A,3,Men's Epee Individual Pool Round Group A,Men's Epee Ind Pool Round Group A,,,,
FE,M,002,B,3,Men's Epee Individual Pool Round Group B,Men's Epee Ind Pool Round Group B,,,,
FE,M,002,C,3,Men's Epee Individual Pool Round Group C,Men's Epee Ind Pool Round Group C,,,,
FE,M,002,D,3,Men's Epee Individual Pool Round Group D,Men's Epee Ind Pool Round Group D,,,,
FE,M,002,E,3,Men's Epee Individual Pool Round Group E,Men's Epee Ind Pool Round Group E,,,,
FE,M,002,F,3,Men's Epee Individual Pool Round Group F,Men's Epee Ind Pool Round Group F,,,,
FE,M,002,M,6,Men's Epee Individual Medal Ceremony,Men's Epee Individual Medal Ceremony,,,,
FE,M,003,0,8,Men's Sabre Individual,Men's Sabre Individual,,,,
FE,M,003,1,3,Men's Sabre Individual Finals,Men's Sabre Individual Finals,,,,
FE,M,003,2,3,Men's Sabre Individual Semifinals,Men's Sabre Individual Semifinals,,,,
FE,M,003,3,3,Men's Sabre Individual Quarterfinals,Men's Sabre Individual Quarterfinals,,,,
FE,M,003,4,3,Men's Sabre Individual Table of 16,Men's Sabre Individual Table of 16,,,,
FE,M,003,5,3,Men's Sabre Individual Table of 32,Men's Sabre Individual Table of 32,,,,
FE,M,003,9,3,Men's Sabre Individual Pool Round,Men's Sabre Individual Pool Round,,,,
FE,M,003,A,3,Men's Sabre Individual Pool Round Group A,Men's Sabre Ind Pool Round Group A,,,,
FE,M,003,B,3,Men's Sabre Individual Pool Round Group B,Men's Sabre Ind Pool Round Group B,,,,
FE,M,003,C,3,Men's Sabre Individual Pool Round Group C,Men's Sabre Ind Pool Round Group C,,,,
FE,M,003,D,3,Men's Sabre Individual Pool Round Group D,Men's Sabre Ind Pool Round Group D,,,,
FE,M,003,E,3,Men's Sabre Individual Pool Round Group E,Men's Sabre Ind Pool Round Group E,,,,
FE,M,003,F,3,Men's Sabre Individual Pool Round Group F,Men's Sabre Ind Pool Round Group F,,,,
FE,M,003,M,6,Men's Sabre Individual Medal Ceremony,Men's Sabre Individual Medal Ceremony,,,,
FE,M,401,0,8,Men's Foil Team,Men's Foil Team,,
FE,M,401,1,3,Men's Foil Team Finals,Men's Foil Team Finals,,
FE,M,401,2,3,Men's Foil Team Semifinals,Men's Foil Team Semifinals,,
FE,M,401,3,3,Men's Foil Team Quarterfinals,Men's Foil Team Quarterfinals,,
FE,M,401,M,6,Men's Foil Team Medal Ceremony,Men's Foil Team Medal Ceremony,,
FE,M,402,0,8,Men's Epee Team,Men's Epee Team,,
FE,M,402,1,3,Men's Epee Team Finals,Men's Epee Team Finals,,
FE,M,402,2,3,Men's Epee Team Semifinals,Men's Epee Team Semifinals,,
FE,M,402,3,3,Men's Epee Team Quarterfinals,Men's Epee Team Quarterfinals,,
FE,M,402,M,6,Men's Epee Team Medal Ceremony,Men's Epee Team Medal Ceremony,,
FE,M,403,0,8,Men's Sabre Team,Men's Sabre Team,,
FE,M,403,1,3,Men's Sabre Team Finals,Men's Sabre Team Finals,,
FE,M,403,2,3,Men's Sabre Team Semifinals,Men's Sabre Team Semifinals,,
FE,M,403,3,3,Men's Sabre Team Quarterfinals,Men's Sabre Team Quarterfinals,,
FE,M,403,M,6,Men's Sabre Team Medal Ceremony,Men's Sabre Team Medal Ceremony,,
FE,W,000,0,8,Women,Women,,
FE,W,001,0,8,Women's Foil Individual,Women's Foil Individual,,
FE,W,001,1,3,Women's Foil Individual Finals,Women's Foil Individual Finals,,
FE,W,001,2,3,Women's Foil Individual Semifinals,Women's Foil Individual Semifinals,,
FE,W,001,3,3,Women's Foil Individual Quarterfinals,Women's Foil Individual Quarterfinals,,
FE,W,001,4,3,Women's Foil Individual Table of 16,Women's Foil Individual Table of 16,,,,
FE,W,001,5,3,Women's Foil Individual Table of 32,Women's Foil Individual Table of 32,,,,
