Discipline,Gender,Event,Phase,Event Unit,Schedule Flag,Medal Flag,Event Unit Type,ENG Results Long Name (80),ENG Results Short Name (40),ENG Print Name (40),ENG TV Name,AZE Results Long Name (80),AZE Results Short Name (40),AZE Print Name (40)
FE,W,003,5,08,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,09,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,10,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,11,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,12,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,13,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,14,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,15,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,5,16,Y,0,HATH,Women's Sabre Individual Table of 32,Women's Sabre Individual Table of 32,Table of 32,,,,
FE,W,003,9,00,Y,0,NONE,Women's Sabre Pool Round,Women's Sabre Pool Round,Pool Round,,,,
FE,W,003,A,01,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 1,Women's Sabre Ind Pool Round Gr A Bout 1,Pool Round Group A Bout 1,,,,
FE,W,003,A,02,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 2,Women's Sabre Ind Pool Round Gr A Bout 2,Pool Round Group A Bout 2,,,,
FE,W,003,A,03,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 3,Women's Sabre Ind Pool Round Gr A Bout 3,Pool Round Group A Bout 3,,,,
FE,W,003,A,04,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 4,Women's Sabre Ind Pool Round Gr A Bout 4,Pool Round Group A Bout 4,,,,
FE,W,003,A,05,Y,0,HATH,Women's Sabre Individual Pool Round Group A Bout 5,Women's Sabre Ind Pool Round Gr A Bout 5,Pool Round Group A Bout 5,,,,
