Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,POR unit Description
TT,W,004,E,03,Y,0,Women's Singles - Class 4 Group E,"Simples fem - classe 4, grupo E",Women's Singles - Class 4 Group E,"Simples feminino - classe 4, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group E Match 3,Group E,Grupo E
TT,W,004,E,04,Y,0,Women's Singles - Class 4 Group E,"Simples fem - classe 4, grupo E",Women's Singles - Class 4 Group E,"Simples feminino - classe 4, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group E Match 4,Group E,Grupo E
TT,W,004,E,05,Y,0,Women's Singles - Class 4 Group E,"Simples fem - classe 4, grupo E",Women's Singles - Class 4 Group E,"Simples feminino - classe 4, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group E Match 5,Group E,Grupo E
TT,W,004,E,06,Y,0,Women's Singles - Class 4 Group E,"Simples fem - classe 4, grupo E",Women's Singles - Class 4 Group E,"Simples feminino - classe 4, grupo E",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group E Match 6,Group E,Grupo E
TT,W,004,F,01,Y,0,Women's Singles - Class 4 Group F,"Simples fem - classe 4, grupo F",Women's Singles - Class 4 Group F,"Simples feminino - classe 4, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group F Match 1,Group F,Grupo F
TT,W,004,F,02,Y,0,Women's Singles - Class 4 Group F,"Simples fem - classe 4, grupo F",Women's Singles - Class 4 Group F,"Simples feminino - classe 4, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group F Match 2,Group F,Grupo F
TT,W,004,F,03,Y,0,Women's Singles - Class 4 Group F,"Simples fem - classe 4, grupo F",Women's Singles - Class 4 Group F,"Simples feminino - classe 4, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group F Match 3,Group F,Grupo F
TT,W,004,F,04,Y,0,Women's Singles - Class 4 Group F,"Simples fem - classe 4, grupo F",Women's Singles - Class 4 Group F,"Simples feminino - classe 4, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group F Match 4,Group F,Grupo F
TT,W,004,F,05,Y,0,Women's Singles - Class 4 Group F,"Simples fem - classe 4, grupo F",Women's Singles - Class 4 Group F,"Simples feminino - classe 4, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group F Match 5,Group F,Grupo F
TT,W,004,F,06,Y,0,Women's Singles - Class 4 Group F,"Simples fem - classe 4, grupo F",Women's Singles - Class 4 Group F,"Simples feminino - classe 4, grupo F",EventUnit,15,HATH,N,Y,Women's Singles - Class 4 Group F Match 6,Group F,Grupo F
TT,W,004,M,00,Y,0,Women's Singles - Class 4 VC,"Simples fem - classe 4, premiação",Women's Singles - Class 4 Victory Ceremony,"Simples feminino - classe 4, cerimônia de premiação",Medals,17,NONE,N,Y,Women's Singles - Class 4 Victory Ceremony,Victory Ceremony,Cerimônia de premiação
TT,W,005,0,00,N,0,Women's Singles - Class 5,Simples feminino - classe 5,Women's Singles - Class 5,Simples feminino - classe 5,Event,13,NONE,N,N,Women's Singles - Class 5,"",""
TT,W,005,1,00,N,0,Women's Singles - Cl 5 Finals,"Simples feminino - classe 5, finais",Women's Singles - Class 5 Finals,"Simples feminino - classe 5, finais",Phase,14,NONE,N,N,Women's Singles - Class 5 Finals,Finals,Finais
