Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SW,M,113,11,Men's 50m Freestyle - S13,50m livre masculino - S13,Men's 50m Freestyle - S13,50m livre masculino - S13,N
SW,M,124,12,Men's 100m Freestyle - S4,100m livre masculino - S4,Men's 100m Freestyle - S4,100m livre masculino - S4,N
SW,M,125,13,Men's 100m Freestyle - S5,100m livre masculino - S5,Men's 100m Freestyle - S5,100m livre masculino - S5,N
SW,M,126,14,Men's 100m Freestyle - S6,100m livre masculino - S6,Men's 100m Freestyle - S6,100m livre masculino - S6,N
SW,M,127,15,Men's 100m Freestyle - S7,100m livre masculino - S7,Men's 100m Freestyle - S7,100m livre masculino - S7,N
SW,M,128,16,Men's 100m Freestyle - S8,100m livre masculino - S8,Men's 100m Freestyle - S8,100m livre masculino - S8,N
SW,M,129,17,Men's 100m Freestyle - S9,100m livre masculino - S9,Men's 100m Freestyle - S9,100m livre masculino - S9,N
SW,M,130,18,Men's 100m Freestyle - S10,100m livre masculino - S10,Men's 100m Freestyle - S10,100m livre masculino - S10,N
SW,M,131,19,Men's 100m Freestyle - S11,100m livre masculino - S11,Men's 100m Freestyle - S11,100m livre masculino - S11,N
SW,M,133,20,Men's 100m Freestyle - S13,100m livre masculino - S13,Men's 100m Freestyle - S13,100m livre masculino - S13,N
SW,M,162,21,Men's 200m Freestyle - S2,200m livre masculino - S2,Men's 200m Freestyle - S2,200m livre masculino - S2,N
SW,M,163,22,Men's 200m Freestyle - S3,200m livre masculino - S3,Men's 200m Freestyle - S3,200m livre masculino - S3,N
SW,M,164,23,Men's 200m Freestyle - S4,200m livre masculino - S4,Men's 200m Freestyle - S4,200m livre masculino - S4,N
SW,M,165,24,Men's 200m Freestyle - S5,200m livre masculino - S5,Men's 200m Freestyle - S5,200m livre masculino - S5,N
SW,M,174,25,Men's 200m Freestyle - S14,200m livre masculino - S14,Men's 200m Freestyle - S14,200m livre masculino - S14,N
SW,M,186,26,Men's 400m Freestyle - S6,400m livre masculino - S6,Men's 400m Freestyle - S6,400m livre masculino - S6,N
