Id,Related Event,order,ENG Description,FRA Description,POR Description
SWM022000,SWM022,11,Men's 200m Butterfly,200 m papillon - hommes,200m borboleta masculino
SWM031000,SWM031,8,Men's 100m Breaststroke,100 m brasse - hommes,100m peito masculino
SWM032000,SWM032,9,Men's 200m Breaststroke,200 m brasse - hommes,200m peito masculino
SWM041000,SWM041,6,Men's 100m Backstroke,100 m dos - hommes,100m costas masculino
SWM042000,SWM042,7,Men's 200m Backstroke,200 m dos - hommes,200m costas masculino
SWM052000,SWM052,12,Men's 200m Individual Medley,200 m quatre nages individuel - hommes,200m medley masculino
SWM054000,SWM054,13,Men's 400m Individual Medley,400 m quatre nages individuel - hommes,400m medley masculino
SWM411000,SWM411,14,Men's 4 x 100m Freestyle Relay,Relais 4x100 m nage libre - hommes,Revezamento 4x100m livre masculino
SWM412000,SWM412,15,Men's 4 x 200m Freestyle Relay,Relais 4x200 m nage libre - hommes,Revezamento 4x200m livre masculino
SWM451000,SWM451,16,Men's 4 x 100m Medley Relay,Relais 4x100 m quatre nages - hommes,Revezamento 4x100m medley masculino
SWW010000,SWW010,18,Women's 50m Freestyle,50 m nage libre - femmes,50m livre feminino
SWW011000,SWW011,19,Women's 100m Freestyle,100 m nage libre - femmes,100m livre feminino
SWW012000,SWW012,20,Women's 200m Freestyle,200 m nage libre - femmes,200m livre feminino
SWW014000,SWW014,21,Women's 400m Freestyle,400 m nage libre - femmes,400m livre feminino
SWW018000,SWW018,22,Women's 800m Freestyle,800 m nage libre - femmes,800m livre feminino
SWW021000,SWW021,27,Women's 100m Butterfly,100 m papillon - femmes,100m borboleta feminino
SWW022000,SWW022,28,Women's 200m Butterfly,200 m papillon - femmes,200m borboleta feminino
SWW031000,SWW031,25,Women's 100m Breaststroke,100 m brasse - femmes,100m peito feminino
SWW032000,SWW032,26,Women's 200m Breaststroke,200 m brasse - femmes,200m peito feminino
SWW041000,SWW041,23,Women's 100m Backstroke,100 m dos - femmes,100m costas feminino
SWW042000,SWW042,24,Women's 200m Backstroke,200 m dos - femmes,200m costas feminino
SWW052000,SWW052,29,Women's 200m Individual Medley,200 m 4 nages individuel - femmes,200m medley feminino
SWW054000,SWW054,30,Women's 400m Individual Medley,400 m 4 nages individuel - femmes,400m medley feminino
SWW411000,SWW411,31,Women's 4 x 100m Freestyle Relay,Relais 4x100 m nage libre - femmes,Revezamento 4x100m livre feminino
SWW412000,SWW412,32,Women's 4 x 200m Freestyle Relay,Relais 4x200 m nage libre - femmes,Revezamento 4x200m livre feminino
SWW451000,SWW451,33,Women's 4 x 100m Medley Relay,Relais 4x100 m quatre nages - femmes,Revezamento 4x100m medley feminino
WLM005000,WLM005,42,Men's 105kg,Jusqu'à 105 kg - hommes,Até 105kg masculino
WLM025000,WLM025,45,Men's +105kg,+105 kg - hommes,Acima de 105kg masculino
WLM056000,WLM056,24,Men's 56kg,Jusqu'à 56 kg - hommes,Até 56kg masculino
WLM062000,WLM062,27,Men's 62kg,Jusqu'à 62 kg - hommes,Até 62kg masculino
WLM069000,WLM069,30,Men's 69kg,Jusqu'à 69 kg - hommes,Até 69kg masculino
WLM077000,WLM077,33,Men's 77kg,Jusqu'à 77 kg - hommes,Até 77kg masculino
WLM085000,WLM085,36,Men's 85kg,Jusqu'à 85 kg - hommes,Até 85kg masculino
WLM094000,WLM094,39,Men's 94kg,Jusqu'à 94 kg - hommes,Até 94kg masculino
WLM105000,WLM005,40,Men's 105kg - Snatch,"Jusqu'à 105 kg - hommes, arraché","Até 105kg masculino, arranco"
WLM125000,WLM025,43,Men's +105kg - Snatch,"+105 kg - hommes, arraché","Acima de 105kg masculino, arranco"
WLM156000,WLM056,22,Men's 56kg - Snatch,"Jusqu'à 56 kg - hommes, arraché","Até 56kg masculino, arranco"
WLM162000,WLM062,25,Men's 62kg - Snatch,"Jusqu'à 62 kg - hommes, arraché","Até 62kg masculino, arranco"
WLM169000,WLM069,28,Men's 69kg - Snatch,"Jusqu'à 69 kg - hommes, arraché","Até 69kg masculino, arranco"
WLM177000,WLM077,31,Men's 77kg - Snatch,"Jusqu'à 77 kg - hommes, arraché","Até 77kg masculino, arranco"
WLM185000,WLM085,34,Men's 85kg - Snatch,"Jusqu'à 85 kg - hommes, arraché","Até 85kg masculino, arranco"
WLM194000,WLM094,37,Men's 94kg - Snatch,"Jusqu'à 94 kg - hommes, arraché","Até 94kg masculino, arranco"
WLM205000,WLM005,41,Men's 105kg - Clean & Jerk,"Jusqu'à 105 kg - hommes, épaulé-jeté","Até 105kg masculino, arremesso"
WLM225000,WLM025,44,Men's +105kg - Clean & Jerk,"+105 kg - hommes, épaulé-jeté","Acima de 105kg masculino, arremesso"
WLM256000,WLM056,23,Men's 56kg - Clean & Jerk,"Jusqu'à 56 kg - hommes, épaulé-jeté","Até 56kg masculino, arremesso"
WLM262000,WLM062,26,Men's 62kg - Clean & Jerk,"Jusqu'à 62 kg - hommes, épaulé-jeté","Até 62kg masculino, arremesso"
WLM269000,WLM069,29,Men's 69kg - Clean & Jerk,"Jusqu'à 69 kg - hommes, épaulé-jeté","Até 69kg masculino, arremesso"
WLM277000,WLM077,32,Men's 77kg - Clean & Jerk,"Jusqu'à 77 kg - hommes, épaulé-jeté","Até 77kg masculino, arremesso"
WLM285000,WLM085,35,Men's 85kg - Clean & Jerk,"Jusqu'à 85 kg - hommes, épaulé-jeté","Até 85kg masculino, arremesso"
WLM294000,WLM094,38,Men's 94kg - Clean & Jerk,"Jusqu'à 94 kg - hommes, épaulé-jeté","Até 94kg masculino, arremesso"
WLW026000,WLW026,21,Women's +75kg,+75 kg - femmes,Acima de 75kg feminino
WLW048000,WLW048,3,Women's 48kg,Jusqu'à 48 kg - femmes,Até 48kg feminino
WLW053000,WLW053,6,Women's 53kg,Jusqu'à 53 kg - femmes,Até 53kg feminino
WLW058000,WLW058,9,Women's 58kg,Jusqu'à 58 kg - femmes,Até 58kg feminino
WLW063000,WLW063,12,Women's 63kg,Jusqu'à 63 kg - femmes,Até 63kg feminino
WLW069000,WLW069,15,Women's 69kg,Jusqu'à 69 kg - femmes,Até 69kg feminino
WLW075000,WLW075,18,Women's 75kg,Jusqu'à 75 kg - femmes,Até 75kg feminino
WLW126000,WLW026,19,Women's +75kg - Snatch,"+75 kg - femmes, arraché","Acima de 75kg feminino, arranco"
WLW148000,WLW048,1,Women's 48kg - Snatch,"Jusqu'à 48 kg - femmes, arraché","Até 48kg feminino, arranco"
WLW153000,WLW053,4,Women's 53kg - Snatch,"Jusqu'à 53 kg - femmes, arraché","Até 53kg feminino, arranco"
WLW158000,WLW058,7,Women's 58kg - Snatch,"Jusqu'à 58 kg - femmes, arraché","Até 58kg feminino, arranco"
WLW163000,WLW063,10,Women's 63kg - Snatch,"Jusqu'à 63 kg - femmes, arraché","Até 63kg feminino, arranco"
WLW169000,WLW069,13,Women's 69kg - Snatch,"Jusqu'à 69 kg - femmes, arraché","Até 69kg feminino, arranco"
WLW175000,WLW075,16,Women's 75kg - Snatch,"Jusqu'à 75 kg - femmes, arraché","Até 75kg feminino, arranco"
WLW226000,WLW026,20,Women's +75kg - Clean & Jerk,"+75 kg - femmes, épaulé-jeté","Acima de 75kg feminino, arremesso"
WLW248000,WLW048,2,Women's 48kg - Clean & Jerk,"Jusqu'à 48 kg - femmes, épaulé-jeté","Até 48kg feminino, arremesso"
WLW253000,WLW053,5,Women's 53kg - Clean & Jerk,"Jusqu'à 53 kg - femmes, épaulé-jeté","Até 53kg feminino, arremesso"
WLW258000,WLW058,8,Women's 58kg - Clean & Jerk,"Jusqu'à 58 kg - femmes, épaulé-jeté","Até 58kg feminino, arremesso"
WLW263000,WLW063,11,Women's 63kg - Clean & Jerk,"Jusqu'à 63 kg - femmes, épaulé-jeté","Até 63kg feminino, arremesso"
WLW269000,WLW069,14,Women's 69kg - Clean & Jerk,"Jusqu'à 69 kg - femmes, épaulé-jeté","Até 69kg feminino, arremesso"
WLW275000,WLW075,17,Women's 75kg - Clean & Jerk,"Jusqu'à 75 kg - femmes, épaulé-jeté","Até 75kg feminino, arremesso"
