Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,FRA unit Description,POR unit Description
BV,M,400,F,04,Men's Preliminary - Pool F - Match 24,"Hom., tour prélim. - poule F - match 24","masc, fase de grupos - grupo F - jogo 24",Men's Preliminary - Pool F - Match 24,"Hommes, tour préliminaire - poule F - match 24","Masculino, fase de grupos - grupo F - jogo 24",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool F - Match 4,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
BV,M,400,F,05,Men's Preliminary - Pool F - Match 35,"Hom., tour prélim. - poule F - match 35","masc, fase de grupos - grupo F - jogo 35",Men's Preliminary - Pool F - Match 35,"Hommes, tour préliminaire - poule F - match 35","Masculino, fase de grupos - grupo F - jogo 35",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool F - Match 5,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
BV,M,400,F,06,Men's Preliminary - Pool F - Match 36,"Hom., tour prélim. - poule F - match 36","masc, fase de grupos - grupo F - jogo 36",Men's Preliminary - Pool F - Match 36,"Hommes, tour préliminaire - poule F - match 36","Masculino, fase de grupos - grupo F - jogo 36",EventUnit,15,Y,0,HTEAM,Y,Y,Men's Preliminary - Pool F - Match 6,Preliminary - Pool F,Tour Préliminaire - poule F,Fase de grupos - grupo F
BV,M,400,M,00,Men's Victory Ceremony,"Hommes, remise des médailles","Masculino, cer. premiação",Men's Victory Ceremony,"Hommes, cérémonie de remise des médailles","Masculino, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Men's Victory Ceremony,Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
BV,W,000,0,00,Women,Femmes,Feminino,Women,Femmes,Feminino,Gender,10,N,0,NONE,N,N,Women,"","",""
BV,W,400,0,00,Women's Team,Femmes,Competição por equipes feminina,Women's Team,Femmes,Competição por equipes feminina,Event,13,N,0,NONE,N,N,Women's Team,"","",""
BV,W,400,1,00,Women's Finals,"Femmes, finales","Feminino, finais",Women's Finals,"Femmes, finales","Feminino, finais",Phase,14,N,0,NONE,N,N,Women's Finals,Finals,Finales,Finais
BV,W,400,1,01,Women's Gold Medal Match - Match 54,"Femmes, médaille d'or - match 54","Feminino, disputa pelo ouro - jogo 54",Women's Gold Medal Match - Match 54,"Femmes, match médaille d'or - match 54","Feminino, disputa pela medalha de ouro - jogo 54",EventUnit,15,Y,1,HTEAM,Y,Y,Women's Gold Medal Match,Gold Medal Match,Match médaille d'or,Disputa pela medalha de ouro
BV,W,400,1,02,Women's Bronze Medal Match - Match 53,"Femmes, médaille de bronze - match 53","Feminino, disputa pelo bronze - jogo 53",Women's Bronze Medal Match - Match 53,"Femmes, match médaille de bronze - match 53","Feminino, disputa pela medalha de bronze - jogo 53",EventUnit,15,Y,2,HTEAM,Y,Y,Women's Bronze Medal Match,Bronze Medal Match,Match médaille de bronze,Disputa pela medalha de  bronze
BV,W,400,2,00,Women's Semifinals,"Femmes, demi-finales","Feminino, semifinais",Women's Semifinals,"Femmes, demi-finales","Feminino, semifinais",Phase,14,N,0,NONE,N,N,Women's Semifinals,Semifinals,Demi-finales,Semifinais
BV,W,400,2,01,Women's Semifinal - Match 51,"Femmes, demi-finale - match 51","Feminino, semifinal - jogo 51",Women's Semifinal - Match 51,"Femmes, demi-finale - match 51","Feminino, semifinal - jogo 51",EventUnit,15,Y,0,HTEAM,Y,Y,Women's Semifinal 1,Semifinal,Demi-finale,Semifinal
