Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,Competition Schedule Description,ENG unit Description,FRA unit Description,POR unit Description
RO,W,042,2,03,Women's Quad. Sculls Semifinal C/D 1,"4 de couple - femmes, 1/2 finale C/D 1","Four-skiff feminino, semifinal C/D 1",Women's Quadruple Sculls Semifinal C/D 1,"Quatre de couple - femmes, demi-finale C/D 1","Four-skiff feminino, semifinal C/D 1",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Semifinal C/D 1,Semifinal C/D 1,Demi-finale C/D 1,Semifinal C/D 1
RO,W,042,2,04,Women's Quad. Sculls Semifinal C/D 2,"4 de couple - femmes, 1/2 finale C/D 2","Four-skiff feminino, semifinal C/D 2",Women's Quadruple Sculls Semifinal C/D 2,"Quatre de couple - femmes, demi-finale C/D 2","Four-skiff feminino, semifinal C/D 2",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Semifinal C/D 2,Semifinal C/D 2,Demi-finale C/D 2,Semifinal C/D 2
RO,W,042,2,05,Women's Quad. Sculls Semifinal E/F 1,"4 de couple - femmes, 1/2 finale E/F 1","Four-skiff feminino, semifinal E/F 1",Women's Quadruple Sculls Semifinal E/F 1,"Quatre de couple - femmes, demi-finale E/F 1","Four-skiff feminino, semifinal E/F 1",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Semifinal E/F 1,Semifinal E/F 1,Demi-finale E/F 1,Semifinal E/F 1
RO,W,042,2,06,Women's Quad. Sculls Semifinal E/F 2,"4 de couple - femmes, 1/2 finale E/F 2","Four-skiff feminino, semifinal E/F 2",Women's Quadruple Sculls Semifinal E/F 2,"Quatre de couple - femmes, demi-finale E/F 2","Four-skiff feminino, semifinal E/F 2",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Semifinal E/F 2,Semifinal E/F 2,Demi-finale E/F 2,Semifinal E/F 2
RO,W,042,2,60,Women's Quad. Sculls Semi Re-Row,"4 de couple - femmes,1/2 finale reprise","Four-skiff feminino, repetição da 1/2",Women's Quadruple Sculls Semifinal Re-Row,"Quatre de couple - femmes, demi-finales reprise","Four-skiff feminino, repetição da semifinal",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Semifinal Re-Row,Semifinal Re-Row,Demi-finales reprise,Repetição da Semifinal
RO,W,042,2,61,Women's Quad. Sculls Semi Re-Row,"4 de couple - femmes,1/2 finale reprise","Four-skiff feminino, repetição da 1/2",Women's Quadruple Sculls Semifinal Re-Row,"Quatre de couple - femmes, demi-finales reprise","Four-skiff feminino, repetição da semifinal",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Semifinal Re-Row,Semifinal Re-Row,Demi-finales reprise,Repetição da Semifinal
RO,W,042,2,62,Women's Quad. Sculls Semi Re-Row,"4 de couple - femmes,1/2 finale reprise","Four-skiff feminino, repetição da 1/2",Women's Quadruple Sculls Semifinal Re-Row,"Quatre de couple - femmes, demi-finales reprise","Four-skiff feminino, repetição da semifinal",EventUnit,15,Y,0,NONE,N,Y,Women's Quadruple Sculls Semifinal Re-Row,Semifinal Re-Row,Demi-finales reprise,Repetição da Semifinal
RO,W,042,3,00,Women's Quad. Sculls Quarterfinals,"4 de couple - femmes, 1/4 finale","Four-skiff feminino, quartas de final",Women's Quadruple Sculls Quarterfinals,"Quatre de couple - femmes, quarts de finale","Four-skiff feminino, quartas de final",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Quarterfinals,Quarterfinals,Quarts de finale,Quartas de Final
RO,W,042,3,01,Women's Quad. Sculls Quarterfinal 1,"4 de couple - femmes, 1/4 finale 1","Four-skiff feminino, quartas de final 1",Women's Quadruple Sculls Quarterfinal 1,"Quatre de couple - femmes, quart de finale 1","Four-skiff feminino, quartas de final 1",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Quarterfinal 1,Quarterfinal 1,Quart de finale 1,Quartas de Final 1
RO,W,042,3,02,Women's Quad. Sculls Quarterfinal 2,"4 de couple - femmes, 1/4 finale 2","Four-skiff feminino, quartas de final 2",Women's Quadruple Sculls Quarterfinal 2,"Quatre de couple - femmes, quart de finale 2","Four-skiff feminino, quartas de final 2",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Quarterfinal 2,Quarterfinal 2,Quart de finale 2,Quartas de Final 2
RO,W,042,3,03,Women's Quad. Sculls Quarterfinal 3,"4 de couple - femmes, 1/4 finale 3","Four-skiff feminino, quartas de final 3",Women's Quadruple Sculls Quarterfinal 3,"Quatre de couple - femmes, quart de finale 3","Four-skiff feminino, quartas de final 3",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Quarterfinal 3,Quarterfinal 3,Quart de finale 3,Quartas de Final 3
RO,W,042,3,04,Women's Quad. Sculls Quarterfinal 4,"4 de couple - femmes, 1/4 finale 4","Four-skiff feminino, quartas de final 4",Women's Quadruple Sculls Quarterfinal 4,"Quatre de couple - femmes, quart de finale 4","Four-skiff feminino, quartas de final 4",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Quarterfinal 4,Quarterfinal 4,Quart de finale 4,Quartas de Final 4
RO,W,042,3,60,Women's Quad. Sculls Quarterfinal Re-Row,"4 de couple - femmes, 1/4 finale reprise","Four-skiff feminino, repetição das 1/4 ",Women's Quadruple Sculls Quarterfinal Re-Row,"Quatre de couple - femmes, quarts de finale reprise","Four-skiff feminino, repetição das quartas de final ",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Quarterfinal Re-Row,Quarterfinal Re-Row,Quarts de finale reprise,Repetição das Quartas de Final 
RO,W,042,3,61,Women's Quad. Sculls Quarterfinal Re-Row,"4 de couple - femmes, 1/4 finale reprise","Four-skiff feminino, repetição das 1/4 ",Women's Quadruple Sculls Quarterfinal Re-Row,"Quatre de couple - femmes, quarts de finale reprise","Four-skiff feminino, repetição das quartas de final ",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Quarterfinal Re-Row,Quarterfinal Re-Row,Quarts de finale reprise,Repetição das Quartas de Final 
RO,W,042,3,62,Women's Quad. Sculls Quarterfinal Re-Row,"4 de couple - femmes, 1/4 finale reprise","Four-skiff feminino, repetição das 1/4 ",Women's Quadruple Sculls Quarterfinal Re-Row,"Quatre de couple - femmes, quarts de finale reprise","Four-skiff feminino, repetição das quartas de final ",EventUnit,15,Y,0,NONE,N,Y,Women's Quadruple Sculls Quarterfinal Re-Row,Quarterfinal Re-Row,Quarts de finale reprise,Repetição das Quartas de Final 
RO,W,042,8,00,Women's Quad. Sculls Repechages,"4 de couple - femmes, repêchages","Four-skiff feminino, repescagens",Women's Quadruple Sculls Repechages,"Quatre de couple - femmes, repêchages","Four-skiff feminino, repescagens",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Repechages,Repechages,Repêchages,Repescagens
RO,W,042,8,50,Women's Quad. Sculls Repechages,"4 de couple - femmes, repêchages","Four-skiff feminino, repescagens",Women's Quadruple Sculls Repechages,"Quatre de couple - femmes, repêchages","Four-skiff feminino, repescagens",Phase,14,N,0,NONE,N,N,Women's Quadruple Sculls Repechages,Repechages,Repêchages,Repescagens
RO,W,042,8,51,Women's Quad. Sculls Repechage 1,"4 de couple - femmes, 1e repêchage","Four-skiff feminino, repescagem 1",Women's Quadruple Sculls Repechage 1,"Quatre de couple - femmes, 1e repêchage","Four-skiff feminino, repescagem 1",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage 1,Repechage 1,1e repêchage,Repescagem 1
RO,W,042,8,52,Women's Quad. Sculls Repechage 2,"4 de couple - femmes, 2e repêchage","Four-skiff feminino, repescagem 2",Women's Quadruple Sculls Repechage 2,"Quatre de couple - femmes, 2e repêchage","Four-skiff feminino, repescagem 2",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage 2,Repechage 2,2e repêchage,Repescagem 2
RO,W,042,8,53,Women's Quad. Sculls Repechage 3,"4 de couple - femmes, 3e repêchage","Four-skiff feminino, repescagem 3",Women's Quadruple Sculls Repechage 3,"Quatre de couple - femmes, 3e repêchage","Four-skiff feminino, repescagem 3",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage 3,Repechage 3,3e repêchage,Repescagem 3
RO,W,042,8,54,Women's Quad. Sculls Repechage 4,"4 de couple - femmes, 4e repêchage","Four-skiff feminino, repescagem 4",Women's Quadruple Sculls Repechage 4,"Quatre de couple - femmes, 4e repêchage","Four-skiff feminino, repescagem 4",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage 4,Repechage 4,4e repêchage,Repescagem 4
RO,W,042,8,55,Women's Quad. Sculls Repechage 5,"4 de couple - femmes, 5e repêchage","Four-skiff feminino, repescagem 5",Women's Quadruple Sculls Repechage 5,"Quatre de couple - femmes, 5e repêchage","Four-skiff feminino, repescagem 5",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage 5,Repechage 5,5e repêchage,Repescagem 5
RO,W,042,8,56,Women's Quad. Sculls Repechage 6,"4 de couple - femmes, 6e repêchage","Four-skiff feminino, repescagem 6",Women's Quadruple Sculls Repechage 6,"Quatre de couple - femmes, 6e repêchage","Four-skiff feminino, repescagem 6",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage 6,Repechage 6,6e repêchage,Repescagem 6
RO,W,042,8,60,Women's Quad. Sculls Repechage Re-Row,"4 de couple - femmes, repêch. reprise","Four-skiff fem, repetição da repescagem",Women's Quadruple Sculls Repechage Re-Row,"Quatre de couple - femmes, repêchages reprise","Four-skiff feminino, repetição da repescagem",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Repechage Re-Row,Repechage Re-Row,Repêchages reprise,Repetição da Repescagem
RO,W,042,8,61,Women's Quad. Sculls Repechage Re-Row,"4 de couple - femmes, repêch. reprise","Four-skiff fem, repetição da repescagem",Women's Quadruple Sculls Repechage Re-Row,"Quatre de couple - femmes, repêchages reprise","Four-skiff feminino, repetição da repescagem",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage Re-Row,Repechage Re-Row,Repêchages reprise,Repetição da Repescagem
RO,W,042,8,62,Women's Quad. Sculls Repechage Re-Row,"4 de couple - femmes, repêch. reprise","Four-skiff fem, repetição da repescagem",Women's Quadruple Sculls Repechage Re-Row,"Quatre de couple - femmes, repêchages reprise","Four-skiff feminino, repetição da repescagem",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Repechage Re-Row,Repechage Re-Row,Repêchages reprise,Repetição da Repescagem
RO,W,042,9,00,Women's Quad. Sculls Heats,"4 de couple - femmes, éliminatoires","Four-skiff fem, fase classificatória",Women's Quadruple Sculls Heats,"Quatre de couple - femmes, éliminatoires","Four-skiff feminino, fase classificatória",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Heats,Heats,Éliminatoires,Fase classificatória
RO,W,042,9,01,Women's Quad. Sculls Heat 1,"4 de couple - femmes, 1e tr. élimin.","Four-skiff feminino, bateria 1",Women's Quadruple Sculls Heat 1,"Quatre de couple - femmes, 1e tour éliminatoire","Four-skiff feminino, bateria 1",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat 1,Heat 1,1e tour éliminatoire,Bateria 1
RO,W,042,9,02,Women's Quad. Sculls Heat 2,"4 de couple - femmes, 2e tr. élimin.","Four-skiff feminino, bateria 2",Women's Quadruple Sculls Heat 2,"Quatre de couple - femmes, 2e tour éliminatoire","Four-skiff feminino, bateria 2",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat 2,Heat 2,2e tour éliminatoire,Bateria 2
RO,W,042,9,03,Women's Quad. Sculls Heat 3,"4 de couple - femmes, 3e tr. élimin.","Four-skiff feminino, bateria 3",Women's Quadruple Sculls Heat 3,"Quatre de couple - femmes, 3e tour éliminatoire","Four-skiff feminino, bateria 3",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat 3,Heat 3,3e tour éliminatoire,Bateria 3
RO,W,042,9,04,Women's Quad. Sculls Heat 4,"4 de couple - femmes, 4e tr. élimin.","Four-skiff feminino, bateria 4",Women's Quadruple Sculls Heat 4,"Quatre de couple - femmes, 4e tour éliminatoire","Four-skiff feminino, bateria 4",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat 4,Heat 4,4e tour éliminatoire,Bateria 4
RO,W,042,9,05,Women's Quad. Sculls Heat 5,"4 de couple - femmes, 5e tr. élimin.","Four-skiff feminino, bateria 5",Women's Quadruple Sculls Heat 5,"Quatre de couple - femmes, 5e tour éliminatoire","Four-skiff feminino, bateria 5",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat 5,Heat 5,5e tour éliminatoire,Bateria 5
RO,W,042,9,06,Women's Quad. Sculls Heat 6,"4 de couple - femmes, 6e tr. élimin.","Four-skiff feminino, bateria 6",Women's Quadruple Sculls Heat 6,"Quatre de couple - femmes, 6e tour éliminatoire","Four-skiff feminino, bateria 6",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat 6,Heat 6,6e tour éliminatoire,Bateria 6
RO,W,042,9,60,Women's Quad. Sculls Heat Re-Row,"4 de couple - femmes, élimin. reprise","Four-skiff fem, repetição da bateria",Women's Quadruple Sculls Heat Re-Row,"Quatre de couple - femmes, éliminatoires reprise","Four-skiff feminino, repetição da bateria",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Heat Re-Row,Heat Re-Row,Éliminatoires reprise,Repetição da bateria
RO,W,042,9,61,Women's Quad. Sculls Heat Re-Row,"4 de couple - femmes, élimin. reprise","Four-skiff fem, repetição da bateria",Women's Quadruple Sculls Heat Re-Row,"Quatre de couple - femmes, éliminatoires reprise","Four-skiff feminino, repetição da bateria",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat Re-Row,Heat Re-Row,Éliminatoires reprise,Repetição da bateria
RO,W,042,9,62,Women's Quad. Sculls Heat Re-Row,"4 de couple - femmes, élimin. reprise","Four-skiff fem, repetição da bateria",Women's Quadruple Sculls Heat Re-Row,"Quatre de couple - femmes, éliminatoires reprise","Four-skiff feminino, repetição da bateria",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Heat Re-Row,Heat Re-Row,Éliminatoires reprise,Repetição da bateria
RO,W,042,M,00,Women's Quad. Sculls Victory Ceremony,"4 de couple - femmes, remise des méd.","Four-skiff fem, cer. premiação",Women's Quadruple Sculls Victory Ceremony,"Quatre de couple - femmes, remise des médailles","Four-skiff feminino, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Women's Quadruple Sculls Victory Ceremony,Victory Ceremony,Remise des médailles,Cerimônia de entrega das medalhas
RO,W,042,P,00,Women's Quad. Sculls Pre. Race for Ln,"4 de couple - femmes, prélim. couloirs","Four-skiff fem, baterias classifics",Women's Quadruple Sculls Preliminary Race for Lanes,"Quatre de couple - femmes, course préliminaire pour les couloirs","Four-skiff feminino, baterias classificatórias",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Preliminary Race for Lanes,Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,W,042,P,01,Women's Quad. Sculls Pre. Race for Ln,"4 de couple - femmes, prélim. couloirs","Four-skiff fem, baterias classifics",Women's Quadruple Sculls Preliminary Race for Lanes,"Quatre de couple - femmes, course préliminaire pour les couloirs","Four-skiff feminino, baterias classificatórias",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Preliminary Race for Lanes,Preliminary Race for Lanes,Course préliminaire pour les couloirs,Baterias classificatórias
RO,W,042,P,60,Women's Quad. Sculls Pre. Race for Ln RR,"4 de couple - femmes, couloirs reprise","Four-skiff fem, rep baterias classific",Women's Quadruple Sculls Preliminary Race for Lanes Re-Row,"Quatre de couple - femmes, course préliminaire pour les couloirs reprise","Four-skiff feminino, repetição das baterias classificatórias",Phase,14,Y,0,NONE,Y,N,Women's Quadruple Sculls Preliminary Race for Lanes Re-Row,Preliminary Race for Lanes Re-Row,Course préliminaire pour les couloirs reprise,Repetição das Baterias classificatórias
RO,W,042,P,61,Women's Quad. Sculls Pre. Race for Ln RR,"4 de couple - femmes, couloirs reprise","Four-skiff fem, rep baterias classific",Women's Quadruple Sculls Preliminary Race for Lanes Re-Row,"Quatre de couple - femmes, course préliminaire pour les couloirs reprise","Four-skiff feminino, repetição das baterias classificatórias",EventUnit,15,Y,0,NOC,N,Y,Women's Quadruple Sculls Preliminary Race for Lanes Re-Row,Preliminary Race for Lanes Re-Row,Course préliminaire pour les couloirs reprise,Repetição das Baterias classificatórias
RO,W,083,0,00,Women's Eight,8 de pointe - femmes,Oito com feminino,Women's Eight,Huit de pointe - femmes,Oito com feminino,Event,13,N,0,NONE,N,N,Women's Eight,"","",""
RO,W,083,1,00,Women's Eight Finals,"8 de pointe - femmes, finales","Oito com feminino, finais",Women's Eight Finals,"Huit de pointe - femmes, finales","Oito com feminino, finais",Phase,14,Y,0,NONE,Y,N,Women's Eight Finals,Finals,Finales,Finais
RO,W,083,1,01,Women's Eight Final A,"8 de pointe - femmes, finale A","Oito com feminino, final A",Women's Eight Final A,"Huit de pointe - femmes, finale A","Oito com feminino, final A",EventUnit,15,Y,1,NOC,N,Y,Women's Eight Final A,Final A,Finale A,Final A
RO,W,083,1,02,Women's Eight Final B,"8 de pointe - femmes, finale B","Oito com feminino, final B",Women's Eight Final B,"Huit de pointe - femmes, finale B","Oito com feminino, final B",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Final B,Final B,Finale B,Final B
RO,W,083,1,03,Women's Eight Final C,"8 de pointe - femmes, finale C","Oito com feminino, final C",Women's Eight Final C,"Huit de pointe - femmes, finale C","Oito com feminino, final C",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Final C,Final C,Finale C,Final C
RO,W,083,1,04,Women's Eight Final D,"8 de pointe - femmes, finale D","Oito com feminino, final D",Women's Eight Final D,"Huit de pointe - femmes, finale D","Oito com feminino, final D",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Final D,Final D,Finale D,Final D
RO,W,083,1,05,Women's Eight Final E,"8 de pointe - femmes, finale E","Oito com feminino, final E",Women's Eight Final E,"Huit de pointe - femmes, finale E","Oito com feminino, final E",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Final E,Final E,Finale E,Final E
RO,W,083,1,06,Women's Eight Final F,"8 de pointe - femmes, finale F","Oito com feminino, final F",Women's Eight Final F,"Huit de pointe - femmes, finale F","Oito com feminino, final F",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Final F,Final F,Finale F,Final F
RO,W,083,2,00,Women's Eight Semifinals,"8 de pointe - femmes, 1/2 finale","Oito com feminino, semifinais",Women's Eight Semifinals,"Huit de pointe - femmes, demi-finales","Oito com feminino, semifinais",Phase,14,Y,0,NONE,Y,N,Women's Eight Semifinals,Semifinals,Demi-finales,Semifinais
RO,W,083,2,01,Women's Eight Semifinal A/B 1,"8 de pointe - femmes, 1/2 finale A/B 1","Oito com feminino, semifinal A/B 1",Women's Eight Semifinal A/B 1,"Huit de pointe - femmes, demi-finale A/B 1","Oito com feminino, semifinal A/B 1",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal A/B 1,Semifinal A/B 1,Demi-finale A/B 1,Semifinal A/B 1
RO,W,083,2,02,Women's Eight Semifinal A/B 2,"8 de pointe - femmes, 1/2 finale A/B 2","Oito com feminino, semifinal A/B 2",Women's Eight Semifinal A/B 2,"Huit de pointe - femmes, demi-finale A/B 2","Oito com feminino, semifinal A/B 2",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal A/B 2,Semifinal A/B 2,Demi-finale A/B 2,Semifinal A/B 2
RO,W,083,2,03,Women's Eight Semifinal C/D 1,"8 de pointe - femmes, 1/2 finale C/D 1","Oito com feminino, semifinal C/D 1",Women's Eight Semifinal C/D 1,"Huit de pointe - femmes, demi-finale C/D 1","Oito com feminino, semifinal C/D 1",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal C/D 1,Semifinal C/D 1,Demi-finale C/D 1,Semifinal C/D 1
RO,W,083,2,04,Women's Eight Semifinal C/D 2,"8 de pointe - femmes, 1/2 finale C/D 2","Oito com feminino, semifinal C/D 2",Women's Eight Semifinal C/D 2,"Huit de pointe - femmes, demi-finale C/D 2","Oito com feminino, semifinal C/D 2",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal C/D 2,Semifinal C/D 2,Demi-finale C/D 2,Semifinal C/D 2
RO,W,083,2,05,Women's Eight Semifinal E/F 1,"8 de pointe - femmes, 1/2 finale E/F 1","Oito com feminino, semifinal E/F 1",Women's Eight Semifinal E/F 1,"Huit de pointe - femmes, demi-finale E/F 1","Oito com feminino, semifinal E/F 1",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal E/F 1,Semifinal E/F 1,Demi-finale E/F 1,Semifinal E/F 1
RO,W,083,2,06,Women's Eight Semifinal E/F 2,"8 de pointe - femmes, 1/2 finale E/F 2","Oito com feminino, semifinal E/F 2",Women's Eight Semifinal E/F 2,"Huit de pointe - femmes, demi-finale E/F 2","Oito com feminino, semifinal E/F 2",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal E/F 2,Semifinal E/F 2,Demi-finale E/F 2,Semifinal E/F 2
RO,W,083,2,60,Women's Eight Semifinal Re-Row,"8 de pointe - femmes,1/2 finale reprise","Oito com feminino, repetição da 1/2",Women's Eight Semifinal Re-Row,"Huit de pointe - femmes, demi-finales reprise","Oito com feminino, repetição da semifinal",Phase,14,Y,0,NONE,Y,N,Women's Eight Semifinal Re-Row,Semifinal Re-Row,Demi-finales reprise,Repetição da Semifinal
RO,W,083,2,61,Women's Eight Semifinal Re-Row,"8 de pointe - femmes,1/2 finale reprise","Oito com feminino, repetição da 1/2",Women's Eight Semifinal Re-Row,"Huit de pointe - femmes, demi-finales reprise","Oito com feminino, repetição da semifinal",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Semifinal Re-Row,Semifinal Re-Row,Demi-finales reprise,Repetição da Semifinal
RO,W,083,2,62,Women's Eight Semifinal Re-Row,"8 de pointe - femmes,1/2 finale reprise","Oito com feminino, repetição da 1/2",Women's Eight Semifinal Re-Row,"Huit de pointe - femmes, demi-finales reprise","Oito com feminino, repetição da semifinal",EventUnit,15,Y,0,NONE,N,Y,Women's Eight Semifinal Re-Row,Semifinal Re-Row,Demi-finales reprise,Repetição da Semifinal
RO,W,083,3,00,Women's Eight Quarterfinals,"8 de pointe - femmes, 1/4 finale","Oito com feminino, quartas de final ",Women's Eight Quarterfinals,"Huit de pointe - femmes, quarts de finale","Oito com feminino, quartas de final ",Phase,14,Y,0,NONE,Y,N,Women's Eight Quarterfinals,Quarterfinals,Quarts de finale,Quartas de Final 
RO,W,083,3,01,Women's Eight Quarterfinal 1,"8 de pointe - femmes, 1/4 finale 1","Oito com feminino, quartas de final 1",Women's Eight Quarterfinal 1,"Huit de pointe - femmes, quart de finale 1","Oito com feminino, quartas de final 1",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Quarterfinal 1,Quarterfinal 1,Quart de finale 1,Quartas de Final 1
RO,W,083,3,02,Women's Eight Quarterfinal 2,"8 de pointe - femmes, 1/4 finale 2","Oito com feminino, quartas de final 2",Women's Eight Quarterfinal 2,"Huit de pointe - femmes, quart de finale 2","Oito com feminino, quartas de final 2",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Quarterfinal 2,Quarterfinal 2,Quart de finale 2,Quartas de Final 2
RO,W,083,3,03,Women's Eight Quarterfinal 3,"8 de pointe - femmes, 1/4 finale 3","Oito com feminino, quartas de final 3",Women's Eight Quarterfinal 3,"Huit de pointe - femmes, quart de finale 3","Oito com feminino, quartas de final 3",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Quarterfinal 3,Quarterfinal 3,Quart de finale 3,Quartas de Final 3
RO,W,083,3,04,Women's Eight Quarterfinal 4,"8 de pointe - femmes, 1/4 finale 4","Oito com feminino, quartas de final 4",Women's Eight Quarterfinal 4,"Huit de pointe - femmes, quart de finale 4","Oito com feminino, quartas de final 4",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Quarterfinal 4,Quarterfinal 4,Quart de finale 4,Quartas de Final 4
RO,W,083,3,60,Women's Eight Quarterfinal Re-Row,"8 de pointe - femmes, 1/4 finale reprise","Oito com feminino, repetição das 1/4 ",Women's Eight Quarterfinal Re-Row,"Huit de pointe - femmes, quarts de finale reprise","Oito com feminino, repetição das quartas de final ",Phase,14,Y,0,NONE,Y,N,Women's Eight Quarterfinal Re-Row,Quarterfinal Re-Row,Quarts de finale reprise,Repetição das Quartas de Final 
RO,W,083,3,61,Women's Eight Quarterfinal Re-Row,"8 de pointe - femmes, 1/4 finale reprise","Oito com feminino, repetição das 1/4 ",Women's Eight Quarterfinal Re-Row,"Huit de pointe - femmes, quarts de finale reprise","Oito com feminino, repetição das quartas de final ",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Quarterfinal Re-Row,Quarterfinal Re-Row,Quarts de finale reprise,Repetição das Quartas de Final 
RO,W,083,3,62,Women's Eight Quarterfinal Re-Row,"8 de pointe - femmes, 1/4 finale reprise","Oito com feminino, repetição das 1/4 ",Women's Eight Quarterfinal Re-Row,"Huit de pointe - femmes, quarts de finale reprise","Oito com feminino, repetição das quartas de final ",EventUnit,15,Y,0,NONE,N,Y,Women's Eight Quarterfinal Re-Row,Quarterfinal Re-Row,Quarts de finale reprise,Repetição das Quartas de Final 
RO,W,083,8,00,Women's Eight Repechages,"8 de pointe - femmes, repêchages","Oito com feminino, repescagens",Women's Eight Repechages,"Huit de pointe - femmes, repêchages","Oito com feminino, repescagens",Phase,14,Y,0,NONE,Y,N,Women's Eight Repechages,Repechages,Repêchages,Repescagens
RO,W,083,8,50,Women's Eight Repechages,"8 de pointe - femmes, repêchages","Oito com feminino, repescagens",Women's Eight Repechages,"Huit de pointe - femmes, repêchages","Oito com feminino, repescagens",Phase,14,N,0,NONE,N,N,Women's Eight Repechages,Repechages,Repêchages,Repescagens
RO,W,083,8,51,Women's Eight Repechage 1,"8 de pointe - femmes, 1e repêchage","Oito com feminino, repescagem 1",Women's Eight Repechage 1,"Huit de pointe - femmes, 1e repêchage","Oito com feminino, repescagem 1",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Repechage 1,Repechage 1,1e repêchage,Repescagem 1
RO,W,083,8,52,Women's Eight Repechage 2,"8 de pointe - femmes, 2e repêchage","Oito com feminino, repescagem 2",Women's Eight Repechage 2,"Huit de pointe - femmes, 2e repêchage","Oito com feminino, repescagem 2",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Repechage 2,Repechage 2,2e repêchage,Repescagem 2
RO,W,083,8,53,Women's Eight Repechage 3,"8 de pointe - femmes, 3e repêchage","Oito com feminino, repescagem 3",Women's Eight Repechage 3,"Huit de pointe - femmes, 3e repêchage","Oito com feminino, repescagem 3",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Repechage 3,Repechage 3,3e repêchage,Repescagem 3
RO,W,083,8,54,Women's Eight Repechage 4,"8 de pointe - femmes, 4e repêchage","Oito com feminino, repescagem 4",Women's Eight Repechage 4,"Huit de pointe - femmes, 4e repêchage","Oito com feminino, repescagem 4",EventUnit,15,Y,0,NOC,N,Y,Women's Eight Repechage 4,Repechage 4,4e repêchage,Repescagem 4
