Discipline,Gender,Event,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Team Event,Old DDGEEE
FSK,X,TEAM--------------,5,Team Event,FRA,KOR,Team Event,FRA,KOR,Y,FSX400
FSK,-,------------------,,Figure Skating,Patinage artistique,피겨 스케이팅,Figure Skating,Patinage artistique,피겨 스케이팅,,FS0000
FSK,X,------------------,,Exhibition Gala,Gala d'exhibition,갈라쇼,Exhibition Gala,Gala d'exhibition,갈라쇼,,FSX000
GEN,-,------------------,,General,Comptes rendus généraux,일반,General,Comptes rendus généraux,일반,,GL0000
IHO,M,TEAM6-------------,1,Men,Hommes,남자,Men,Hommes,남자,Y,IHM400
IHO,W,TEAM6-------------,2,Women,Femmes,여자,Women,Femmes,여자,Y,IHW400
IHO,-,------------------,,Ice Hockey,Hockey sur glace,아이스 하키,Ice Hockey,Hockey sur glace,아이스 하키,,IH0000
IHO,M,------------------,,Men's Ice Hockey,Hockey sur glace hommes,아이스 하키 남자경기,Men's Ice Hockey,Hockey sur glace hommes,아이스 하키 남자경기,,IHM000
IHO,W,------------------,,Women's Ice Hockey,Hockey sur glace femmes,아이스 하키 여자경기,Women's Ice Hockey,Hockey sur glace femmes,아이스 하키 여자경기,,IHW000
IOC,-,MEETINGS----------,,IOC Meetings,Réunions du CIO,IOC 회의,IOC Meetings,Réunions du CIO,IOC 회의,,IA0MET
LUG,M,SINGLES-----------,1,Men's Singles,Simple hommes,남자 싱글,Men's Singles,Simple hommes,남자 싱글,N,LGM010
LUG,W,SINGLES-----------,2,Women's Singles,Simple femmes,여자 싱글,Women's Singles,Simple femmes,여자 싱글,N,LGW010
LUG,O,DOUBLES-----------,3,Doubles,Double,더블,Doubles,Double,더블,N,LGX020
LUG,X,RELAY4------------,4,Team Relay,Relais par équipes,팀 계주,Team Relay,Relais par équipes,팀 계주,Y,LGX400
LUG,-,------------------,,Luge,Luge,루지,Luge,Luge,루지,,LG0000
NCB,M,NH10KM------------,1,Individual Gundersen NH/10km,Individuel NH hommes,노멀힐 개인 10 km,Individual Gundersen NH/10km,Individuel NH hommes,노멀힐 개인 10 km,N,NCM070
NCB,M,LH10KM------------,2,Individual Gundersen LH/10km,Individuel LH hommes,라지힐 개인 10 km,Individual Gundersen LH/10km,Individuel LH hommes,라지힐 개인 10 km,N,NCM690
NCB,M,LH4X5KM-----------,3,Team Gundersen LH/4x5km,Par équipes 4x5km hommes,라지힐 팀 4 x 5 km,Team Gundersen LH/4x5km,Par équipes 4x5km hommes,라지힐 팀 4 x 5 km,Y,NCM490
NCB,-,------------------,,Nordic Combined,Combiné nordique,노르딕 복합,Nordic Combined,Combiné nordique,노르딕 복합,,NC0000
NCB,M,------------------,,Nordic Combined,Combiné nordique,노르딕 복합,Nordic Combined,Combiné nordique,노르딕 복합,,NCM000
NEV,-,------------------,,Nordic Events,Épreuves nordiques,노르딕 이벤트,Nordic Events,Épreuves nordiques,노르딕 이벤트,,NE0000
OLV,-,ELECTION----------,,IOC Athletes' Commission Election,La Commission des Athlètes du CIO,IOC 선수 위원회 선거,IOC Athletes' Commission Election,La Commission des Athlètes du CIO,IOC 선수 위원회 선거,,OV0IOC
