Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
KTP,POP,,N,Korean Traditional Pavilion,Pavillon tradition coréenne,평창 올림픽 플라자 - 전통문화관,PyeongChang Olympic Plaza - Korean Tradit Pavilion,Espla. olymp. PyeongChang - Pavillon trad coréenne,평창 올림픽 플라자 - 전통문화관,,
PLS,POP,,N,Live Site,Live site,평창 올림픽 플라자 - 라이브사이트,PyeongChang Olympic Plaza - Live Site,Esplanade olympique de PyeongChang - Live site,평창 올림픽 플라자 - 라이브사이트,,
POP,POP,,N,PyeongChang Olympic Plaza,Espla. olymp. PyeongChang,평창 올림픽 플라자,PyeongChang Olympic Plaza,Esplanade olympique de PyeongChang,평창 올림픽 플라자,,
POS,POS,,N,PyeongChang Olympic Stad.,Stade olymp. PyeongChang,평창 올림픽 스타디움,PyeongChang Olympic Stadium,Stade olympique de PyeongChang,평창 올림픽 스타디움,,
PRV,PRV,,N,PyeongChang Rem Veh Site,Contrôle véhi PyeongChang,평창원거리차량검색시설,PyeongChang Remote Vehicle Screening Site,Site à distance de contrôle véhicules PyeongChang,평창원거리차량검색시설,,
OTM,PVL,,N,Olympic Truce Mural,Mur de la trève olympique,평창 올림픽 선수촌 - 올림픽 휴전벽,PyeongChang Olympic Village - Olympic Truce Mural,Vill. olymp. PyeongChang - Mur olymp. de la trêve,평창 올림픽 선수촌 - 올림픽 휴전벽,,
P14,PVL,,N,Press Conference Room,Salle de conférence de presse,평창 올림픽 선수촌 - 기자회견장,PyeongChang Olympic Vill. - Press Conference Room,Vill. olymp. PyeongChang - Salle conférence presse,평창 올림픽 선수촌 - 기자회견장,,
PCE,PVL,,N,Ceremonies Stage,Scène de cérémonies ,평창 올림픽 선수촌 - 야외무대,PyeongChang Olympic Village - Ceremonies Stage,Village olymp. PyeongChang - Scène de cérémonies,평창 올림픽 선수촌 - 야외무대,,
PVL,PVL,,N,PyeongChang Olympic Vill.,Vill. olymp. PyeongChang,평창 올림픽 선수촌,PyeongChang Olympic Village,Village olympique de PyeongChang,평창 올림픽 선수촌,,
SCD,SCD,,N,Sokcho Depot,Dépôt de Sokcho,속초 차고지,Sokcho Depot,Dépôt de Sokcho,속초 차고지,,
SDC,SDC,,N,Secondary Data Centre,Ctr secondaire de données,보조데이터센터,Secondary Data Centre,Centre secondaire de données,보조데이터센터,,
SFC,SFC,,N,Seoul Fleet Call Ctr,Ctr appel véhic Séoul,서울 플릿 콜센터,Seoul Fleet Call Centre,Centre d'appel des véhicules de Séoul,서울 플릿 콜센터,,
SNC,SNC,,N,Secondary Network Centre,Centre secondaire réseau,부 네트워크 센터,Secondary Network Centre,Centre secondaire de réseau,부 네트워크 센터,,
SPH,SPH,,N,Seaspovil Resort,Hôtel Seaspovil,씨스포빌 리조트,Seaspovil Resort,Hôtel Seaspovil,씨스포빌 리조트,,
SRH,SRH,,N,Ski Rental House,Maison location skis,스키렌탈하우스,Ski Rental House,Maison de location de skis,스키렌탈하우스,,
STC,STC,,N,Seoul Ticketing Ctr,Billetterie Séoul,2018 평창 동계올림픽 메인티켓센터 (서울),Seoul Ticketing Centre,Billetterie Séoul,2018 평창 동계올림픽 메인티켓센터 (서울),,
STG,STG,,N,Gangneung Superstore,Superboutique Gangneung,강릉 슈퍼스토어,Gangneung Superstore,Superboutique de Gangneung,강릉 슈퍼스토어,,
STP,STP,,N,PyeongChang Superstore,Superboutique PyeongChang,평창 슈퍼스토어,PyeongChang Superstore,Superboutique de PyeongChang,평창 슈퍼스토어,,
STS,STS,,N,Seoul Station,Gare de Séoul,서울역,Seoul Train/Railway Station,Gare de Séoul,서울역,,
STT,STT,,N,Gangeung Yeongdong U. Gym,Ctr Gangneung Yeongdong,강릉영동 쇼트트랙 연습경기장,Gangneung Yeongdong Short Track Training Venue,Ctr entraînement piste courte Gangneung Yeongdong,강릉영동 쇼트트랙 연습경기장,,
THG,THG,,N,Gangneung Transport Hub,Pôle transport Gangneung,강릉 수송허브,Transport hub near Gangneung Station,Pôle de transport de Gangneung,강릉 수송허브,,
THJ,THJ,,N,Jinbu Transport hub,Pôle transport Jinbu,진부 수송허브,Transport hub near Jinbu Station,Pôle de transport de Jinbu,진부 수송허브,,
TMI,TMI,,N,Transport Mall near IBC,Esplanade transports IBC,IBC 수송몰,Transport Mall near IBC,Esplanade des transports près de l'IBC,IBC 수송몰,,
TMM,TMM,,N,TS near Media village,Espl. transp. Vill médias,미디어촌 수송몰,Transport Mall near Media village,Esplanade des transports près du Village médias,미디어촌 수송몰,,
TOC,TOC,,N,Tech Operations Centre,Centre exploitation tech.,기술운영센터,Technology Operations Centre,Centre d'exploitation technologique,기술운영센터,,
TSD,TSD,,N,Technology Service Desk,Bureau services tech.,정보통신 서비스데스크,Technology Service Desk,Bureau des services technologiques,정보통신 서비스데스크,,
TTC,TTC,,N,Technology Training Ctr,Centre entraînament tech.,테크놀로지 트레이닝 센터,Technology Training Centre,Centre d'entraînement technologique,테크놀로지 트레이닝 센터,,
UAC,UAC,,N,Uniform Distribution Ctr,Centre distrib. uniformes,유니폼 배부 및 메인 등록센터,Uniform Distribution and Main Accreditation Centre,Centre d'accréditation et distribution uniformes,유니폼 배부 및 메인 등록센터,,
WGP,WGP,,N,Wst Gangneung Park & Ride,Parking Gangneung Ouest,서강릉주차장,West Gangneung Park & Ride,Parking relais de Gangneung Ouest,서강릉주차장,,
WSC,WSC,,N,Wonju Severance Hospital,Hôpital Severance Wonju,원주세브란스기독병원,Wonju Severance Christian Hospital,Hôpital Severance de Wonju,원주세브란스기독병원,,
P15,YAL,,N,Press Conference Room,Salle de conférence de presse,용평 알파인 경기장 - 기자회견장,Yongpyong Alpine Centre - Press Conference Room,Centre alpin Yongpyong - Salle conférence presse,용평 알파인 경기장 - 기자회견장,,
YAL,YAL,,Y,Yongpyong Alpine Centre,Centre alpin Yongpyong,용평 알파인 경기장,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,YALALP1,
YBH,YBH,,N,Yongpyong Birch Hill,Yongpyong Birch Hill,용평 버치힐,Yongpyong Birch Hill,Yongpyong Birch Hill,용평 버치힐,,
YNY,YNY,,N,YangYang Int’l Airport,Aéroport intl. Yangyang,양양국제공항,YangYang International Airport,Aéroport international de Yangyang,양양국제공항,,
YRP,YRP,,N,Yongpyong Rainbow,Parking Yongpyong Rainbow,용평 레인보우 주차장,Yongpyong Rainbow Parking lot,Parking relais de Yongpyong Rainbow,용평 레인보우 주차장,,
YRV,YRV,,N,Yeoju Rem Veh Site,Contrôle véhicules Yeoju,여주원거리차량검색시설,Yeoju Remote Vehicle Screening Site,Site de contrôle à distance des véhicules de Yeoju,여주원거리차량검색시설,,
