Id,type,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
MON,OC,Monaco,Monaco,모나코,Monaco,Monaco,모나코
MOZ,OC,Mozambique,Mozambique,모잠비크,Mozambique,Mozambique,모잠비크
MRI,OC,Mauritius,Maurice,모리셔스,Mauritius,Maurice,모리셔스
MTN,OC,Mauritania,Mauritanie,모리타니,Mauritania,Mauritanie,모리타니
MYA,OC,Myanmar,Myanmar,미얀마,Myanmar,Myanmar,미얀마
NAM,OC,Namibia,Namibie,나미비아,Namibia,Namibie,나미비아
NCA,OC,Nicaragua,Nicaragua,니카라과,Nicaragua,Nicaragua,니카라과
NED,OC,Netherlands,Pays-Bas,네덜란드,Netherlands,Pays-Bas,네덜란드
NEP,OC,Nepal,Népal,네팔,Nepal,Népal,네팔
NGR,OC,Nigeria,Nigéria,나이지리아,Nigeria,Nigéria,나이지리아
NIG,OC,Niger,Niger,니제르,Niger,Niger,니제르
NOR,OC,Norway,Norvège,노르웨이,Norway,Norvège,노르웨이
NRU,OC,Nauru,Nauru,나우루,Nauru,Nauru,나우루
NZL,OC,New Zealand,Nouvelle-Zélande,뉴질랜드,New Zealand,Nouvelle-Zélande,뉴질랜드
OAR,OC,OAR,OAR,러시아 출신 올림픽 선수,Olympic Athlete from Russia,Athlète Olympique de Russie,러시아 출신 올림픽 선수
OMA,OC,Oman,Oman,오만,Oman,Oman,오만
PAK,OC,Pakistan,Pakistan,파키스탄,Pakistan,Pakistan,파키스탄
PAN,OC,Panama,Panama,파나마,Panama,Panama,파나마
PAR,OC,Paraguay,Paraguay,파라과이,Paraguay,Paraguay,파라과이
PER,OC,Peru,Pérou,페루,Peru,Pérou,페루
PHI,OC,Philippines,Philippines,필리핀,Philippines,Philippines,필리핀
PLE,OC,Palestine,Palestine,팔레스타인,Palestine,Palestine,팔레스타인
PLW,OC,Palau,Palaos,팔라우,Palau,Palaos,팔라우
PNG,OC,Papua New Guinea,Pap. Nouv. Guinée,파푸아뉴기니,Papua New Guinea,Papouasie-Nouvelle-Guinée,파푸아뉴기니
POL,OC,Poland,Pologne,폴란드,Poland,Pologne,폴란드
POR,OC,Portugal,Portugal,포르투갈,Portugal,Portugal,포르투갈
PRK,OC,DPR Korea,RPD Corée,조선민주주의인민공화국,Democratic People's Republic of Korea,République populaire démocratique de Corée,조선민주주의인민공화국
PUR,OC,Puerto Rico,Porto Rico,푸에르토리코,Puerto Rico,Porto Rico,푸에르토리코
QAT,OC,Qatar,Qatar,카타르,Qatar,Qatar,카타르
ROT,OC,R.O.T.,Équipe de réfugiés,난민 올림픽 대표팀,Refugee Olympic Team,Équipe olympique de réfugiés,난민 올림픽 대표팀
ROU,OC,Romania,Roumanie,루마니아,Romania,Roumanie,루마니아
RSA,OC,South Africa,Afrique du Sud,남아프리카공화국,South Africa,Afrique du Sud,남아프리카공화국
RUS,OC,Russian Federation,Russie,러시아,Russian Federation,Fédération de Russie,러시아
RWA,OC,Rwanda,Rwanda,르완다,Rwanda,Rwanda,르완다
SAM,OC,Samoa,Samoa,사모아,Samoa,Samoa,사모아
SCG,OC,Serbia & Montenegro,Serbie-et-Monténégro,세르비아몬테네그로,Serbia and Montenegro,Serbie-et-Monténégro,세르비아몬테네그로
SEN,OC,Senegal,Sénégal,세네갈,Senegal,Sénégal,세네갈
SEY,OC,Seychelles,Seychelles,세이셸,Seychelles,Seychelles,세이셸
SGP,OC,Singapore,Singapour,싱가포르,Singapore,Singapour,싱가포르
SKN,OC,Saint Kitts & Nevis,Saint-Kitts-et-Nevis,세인트키츠네비스,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,세인트키츠네비스
SLE,OC,Sierra Leone,Sierra Leone,시에라리온,Sierra Leone,Sierra Leone,시에라리온
SLO,OC,Slovenia,Slovénie,슬로베니아,Slovenia,Slovénie,슬로베니아
SMR,OC,San Marino,Saint-Marin,산마리노,San Marino,Saint-Marin,산마리노
SOL,OC,Solomon Islands,Îles Salomon,솔로몬 제도,Solomon Islands,Îles Salomon,솔로몬 제도
SOM,OC,Somalia,Somalie,소말리아,Somalia,Somalie,소말리아
SRB,OC,Serbia,Serbie,세르비아,Serbia,Serbie,세르비아
SRI,OC,Sri Lanka,Sri Lanka,스리랑카,Sri Lanka,Sri Lanka,스리랑카
SSD,OC,South Sudan,Soudan du Sud,남수단,South Sudan,Soudan du Sud,남수단
STP,OC,S Tome & Principe,São Tomé Príncipe,상투메프린시페,Sao Tome and Principe,São Tomé-et-Príncipe,상투메프린시페
SUD,OC,Sudan,Soudan,수단,Sudan,Soudan,수단
SUI,OC,Switzerland,Suisse,스위스,Switzerland,Suisse,스위스
SUR,OC,Suriname,Suriname,수리남,Suriname,Suriname,수리남
SVK,OC,Slovakia,Slovaquie,슬로바키아,Slovakia,Slovaquie,슬로바키아
SWE,OC,Sweden,Suède,스웨덴,Sweden,Suède,스웨덴
SWZ,OC,Swaziland,Swaziland,스와질란드,Swaziland,Swaziland,스와질란드
SYR,OC,Syrian Arab Rep.,Syrie,시리아,Syrian Arab Republic,République arabe syrienne,시리아
TAH,OC,Tahiti,Tahiti,타이티,Tahiti,Tahiti,타이티
TAN,OC,Tanzania,Tanzanie,탄자니아,United Republic of Tanzania,République-Unie de Tanzanie,탄자니아
TCH,OC,Czechoslovakia,Tchécoslovaquie,체코슬로바키아,Czechoslovakia,Tchécoslovaquie,체코슬로바키아
TGA,OC,Tonga,Tonga,통가,Tonga,Tonga,통가
THA,OC,Thailand,Thaïlande,태국,Thailand,Thaïlande,태국
TJK,OC,Tajikistan,Tadjikistan,타지키스탄,Tajikistan,Tadjikistan,타지키스탄
TKM,OC,Turkmenistan,Turkménistan,투르크메니스탄,Turkmenistan,Turkménistan,투르크메니스탄
TLS,OC,Timor-Leste,Timor-Leste,동티모르,Democratic Republic of Timor-Leste,République démocratique du Timor-Leste,동티모르
TOG,OC,Togo,Togo,토고,Togo,Togo,토고
TPE,OC,Chinese Taipei,Chinese Taipei,차이니스 타이베이,Chinese Taipei,Chinese Taipei,차이니스 타이베이,,,,,,,,
TTO,OC,Trinidad & Tobago,Trinité et Tobago,트리니다드토바고,Trinidad and Tobago,Trinité-et-Tobago,트리니다드토바고
TUN,OC,Tunisia,Tunisie,튀니지,Tunisia,Tunisie,튀니지,,,,,,,,
TUR,OC,Turkey,Turquie,터키,Turkey,Turquie,터키
TUV,OC,Tuvalu,Tuvalu,투발루,Tuvalu,Tuvalu,투발루
UAE,OC,Utd Arab Emirates,Émirats arabes,아랍에미리트,United Arab Emirates,Émirats arabes unis,아랍에미리트
UCI,IF,UCI,UCI,국제사이클연맹,International Cycling Union,Union Cycliste Internationale,국제사이클연맹,,,,,,,,
UGA,OC,Uganda,Ouganda,우간다,Uganda,Ouganda,우간다
UIPM,IF,UIPM,UIPM,국제근대5종연맹,International Modern Pentathlon Union,Union internationale de pentathlon moderne,국제근대5종연맹,,,,,,,,
UKR,OC,Ukraine,Ukraine,우크라이나,Ukraine,Ukraine,우크라이나
URS,OC,USSR,U.R.S.S.,소비에트연방,USSR,U.R.S.S.,소비에트연방
URU,OC,Uruguay,Uruguay,우루과이,Uruguay,Uruguay,우루과이
USA,OC,United States,États-Unis,미국,United States of America,États-Unis d'Amérique,미국,,,,,,,,
