Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
MGL,Mongolia,Mongolie,몽골,Mongolia,Mongolie,몽골
MHL,Marshall Islands,Îles Marshall,마셜 제도,Marshall Islands,Îles Marshall,마셜 제도
MKD,MKD,MKD,구유고슬라비아 마케도니아 공화국,The Former Yugoslav Republic of Macedonia,ex-République yougoslave de Macédoine,구유고슬라비아 마케도니아 공화국
MLI,Mali,Mali,말리,Mali,Mali,말리
MLT,Malta,Malte,몰타,Malta,Malte,몰타
MNE,Montenegro,Monténégro,몬테네그로,Montenegro,Monténégro,몬테네그로
MNP,Northern Marianas Islands,Îles Mariannes du Nord,북마리아나군도,Northern Marianas Islands,Îles Mariannes du Nord,북마리아나군도
MON,Monaco,Monaco,모나코,Monaco,Monaco,모나코
MOZ,Mozambique,Mozambique,모잠비크,Mozambique,Mozambique,모잠비크
MRI,Mauritius,Maurice,모리셔스,Mauritius,Maurice,모리셔스
MSR,Montserrat,Montserrat,몬서래트,Montserrat,Montserrat,몬서래트
MTN,Mauritania,Mauritanie,모리타니,Mauritania,Mauritanie,모리타니
MTQ,Martinique,Martinique,마르티니크,Martinique,Martinique,마르티니크
MYA,Myanmar,Myanmar,미얀마,Myanmar,Myanmar,미얀마
MYT,Mayotte,Mayotte,마요트,Mayotte,Mayotte,마요트
NAM,Namibia,Namibie,나미비아,Namibia,Namibie,나미비아
NCA,Nicaragua,Nicaragua,니카라과,Nicaragua,Nicaragua,니카라과
NCL,New Caledonia,Nouvelle-Calédonie,뉴칼레도니아,New Caledonia,Nouvelle-Calédonie,뉴칼레도니아
NED,Netherlands,Pays-Bas,네덜란드,Netherlands,Pays-Bas,네덜란드
NEP,Nepal,Népal,네팔,Nepal,Népal,네팔
NFK,Norfolk Island,Île Norfolk,노퍽,Norfolk Island,Île Norfolk,노퍽
NGR,Nigeria,Nigéria,나이지리아,Nigeria,Nigéria,나이지리아
NIG,Niger,Niger,니제르,Niger,Niger,니제르
NIU,Niue,Niue,니우에,Niue,Niue,니우에
NOR,Norway,Norvège,노르웨이,Norway,Norvège,노르웨이
NRU,Nauru,Nauru,나우루,Nauru,Nauru,나우루
NZL,New Zealand,Nouvelle-Zélande,뉴질랜드,New Zealand,Nouvelle-Zélande,뉴질랜드
OMA,Oman,Oman,오만,Oman,Oman,오만
PAK,Pakistan,Pakistan,파키스탄,Pakistan,Pakistan,파키스탄
PAN,Panama,Panama,파나마,Panama,Panama,파나마
PAR,Paraguay,Paraguay,파라과이,Paraguay,Paraguay,파라과이
PCN,Pitcairn Islands,Îles Pitcairn,핏케언 제도,Pitcairn Islands,Îles Pitcairn,핏케언 제도
PER,Peru,Pérou,페루,Peru,Pérou,페루
PHI,Philippines,Philippines,필리핀,Philippines,Philippines,필리핀
PLE,Palestine,Palestine,팔레스타인,Palestine,Palestine,팔레스타인
PLW,Palau,Palaos,팔라우,Palau,Palaos,팔라우
PNG,Papua New Guinea,Pap. Nouv. Guinée,파푸아뉴기니,Papua New Guinea,Papouasie-Nouvelle-Guinée,파푸아뉴기니
POL,Poland,Pologne,폴란드,Poland,Pologne,폴란드
POR,Portugal,Portugal,포르투갈,Portugal,Portugal,포르투갈
PRK,DPR Korea,RPD Corée,조선민주주의인민공화국,Democratic People's Republic of Korea,République populaire démocratique de Corée,조선민주주의인민공화국
PUR,Puerto Rico,Porto Rico,푸에르토리코,Puerto Rico,Porto Rico,푸에르토리코
PYF,French Polynesia,Polynésie française,불령폴리네시아,French Polynesia,Polynésie française,불령폴리네시아
QAT,Qatar,Qatar,카타르,Qatar,Qatar,카타르
REU,Réunion,Réunion,레위니옹,Réunion,Réunion,레위니옹
ROT,R.O.T.,Équipe de réfugiés,난민 올림픽 대표팀,Refugee Olympic Team,Équipe olympique de réfugiés,난민 올림픽 대표팀
ROU,Romania,Roumanie,루마니아,Romania,Roumanie,루마니아
RSA,South Africa,Afrique du Sud,남아프리카공화국,South Africa,Afrique du Sud,남아프리카공화국
RUS,Russian Federation,Russie,러시아,Russian Federation,Fédération de Russie,러시아
RWA,Rwanda,Rwanda,르완다,Rwanda,Rwanda,르완다
SAM,Samoa,Samoa,사모아,Samoa,Samoa,사모아
SCG,Serbia and Montenegro,Serbie-et-Monténégro,세르비아몬테네그로,Serbia and Montenegro,Serbie-et-Monténégro,세르비아몬테네그로
SEN,Senegal,Sénégal,세네갈,Senegal,Sénégal,세네갈
SEY,Seychelles,Seychelles,세이셸,Seychelles,Seychelles,세이셸
SGP,Singapore,Singapour,싱가포르,Singapore,Singapour,싱가포르
SGS,S. Georgia and S. Sandwich Is.,Géorgie Sud et Î. Sandwich Sud,남조지아남샌드위치군도,South Georgia and the South Sandwich Islands,Géorgie du Sud-et-les Îles Sandwich du Sud,남조지아남샌드위치군도
SHN,Saint Helena,Sainte-Hélène,세인트헬레나,"Saint Helena, Ascension and Tristan da Cunha","Sainte-Hélène, Ascension et Tristan da Cunha",세인트헬레나
SJM,Svalbard and Jan Mayen,Svalbard et Jan Mayen,스발바르,Svalbard and Jan Mayen,Svalbard et Jan Mayen,스발바르
SKN,Saint Kitts & Nevis,Saint-Kitts-et-Nevis,세인트키츠네비스,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,세인트키츠네비스
SLE,Sierra Leone,Sierra Leone,시에라리온,Sierra Leone,Sierra Leone,시에라리온
SLO,Slovenia,Slovénie,슬로베니아,Slovenia,Slovénie,슬로베니아
SMR,San Marino,Saint-Marin,산마리노,San Marino,Saint-Marin,산마리노
SOL,Solomon Islands,Îles Salomon,솔로몬 제도,Solomon Islands,Îles Salomon,솔로몬 제도
SOM,Somalia,Somalie,소말리아,Somalia,Somalie,소말리아
SPM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,상피에르미클롱,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon,상피에르미클롱
SRB,Serbia,Serbie,세르비아,Serbia,Serbie,세르비아
SRI,Sri Lanka,Sri Lanka,스리랑카,Sri Lanka,Sri Lanka,스리랑카
SSD,South Sudan,Soudan du Sud,남수단,South Sudan,Soudan du Sud,남수단
STP,S Tome & Principe,São Tomé Príncipe,상투메프린시페,Sao Tome and Principe,São Tomé-et-Príncipe,상투메프린시페
SUD,Sudan,Soudan,수단,Sudan,Soudan,수단
SUI,Switzerland,Suisse,스위스,Switzerland,Suisse,스위스
SUR,Suriname,Suriname,수리남,Suriname,Suriname,수리남
SVK,Slovakia,Slovaquie,슬로바키아,Slovakia,Slovaquie,슬로바키아
SWE,Sweden,Suède,스웨덴,Sweden,Suède,스웨덴
SWZ,Swaziland,Swaziland,스와질란드,Swaziland,Swaziland,스와질란드
SXM,Sint Maarten,Saint-Martin (PartieNéerland.),신트마르턴,Sint Maarten,Saint-Martin (Partie Néerlandaise),신트마르턴
SYR,Syrian Arab Rep.,Syrie,시리아,Syrian Arab Republic,République arabe syrienne,시리아
TAH,Tahiti,Tahiti,타이티,Tahiti,Tahiti,타이티
TAN,Tanzania,Tanzanie,탄자니아,United Republic of Tanzania,République-Unie de Tanzanie,탄자니아
TCA,Turks and Caicos Islands,Îles Turks-et-Caïcos,터크스케이커스,Turks and Caicos Islands,Îles Turks-et-Caïcos,터크스케이커스
TCH,Czechoslovakia,Tchécoslovaquie,체코슬로바키아,Czechoslovakia,Tchécoslovaquie,체코슬로바키아
TGA,Tonga,Tonga,통가,Tonga,Tonga,통가
THA,Thailand,Thaïlande,태국,Thailand,Thaïlande,태국
TJK,Tajikistan,Tadjikistan,타지키스탄,Tajikistan,Tadjikistan,타지키스탄
TKL,Tokelau,Tokelau,토켈라우,Tokelau,Tokelau,토켈라우
TKM,Turkmenistan,Turkménistan,투르크메니스탄,Turkmenistan,Turkménistan,투르크메니스탄
TLS,Timor-Leste,Timor-Leste,동티모르,Democratic Republic of Timor-Leste,République démocratique du Timor-Leste,동티모르
TOG,Togo,Togo,토고,Togo,Togo,토고
TPE,Chinese Taipei,Chinese Taipei,차이니스 타이베이,Chinese Taipei,Chinese Taipei,차이니스 타이베이
TTO,Trinidad & Tobago,Trinité et Tobago,트리니다드토바고,Trinidad and Tobago,Trinité-et-Tobago,트리니다드토바고
TUN,Tunisia,Tunisie,튀니지,Tunisia,Tunisie,튀니지
TUR,Turkey,Turquie,터키,Turkey,Turquie,터키
TUV,Tuvalu,Tuvalu,투발루,Tuvalu,Tuvalu,투발루
UAE,Utd Arab Emirates,Émirats arabes,아랍에미리트,United Arab Emirates,Émirats arabes unis,아랍에미리트
UGA,Uganda,Ouganda,우간다,Uganda,Ouganda,우간다
UKR,Ukraine,Ukraine,우크라이나,Ukraine,Ukraine,우크라이나
UMI,US Outlying Islands,Îles min. éloignées des É.-U.,미국인근섬,US Outlying Islands,Îles min. éloignées des É.-U.,미국인근섬
URS,USSR,U.R.S.S.,소비에트연방,USSR,U.R.S.S.,소비에트연방
URU,Uruguay,Uruguay,우루과이,Uruguay,Uruguay,우루과이
USA,United States,États-Unis,미국,United States of America,États-Unis d'Amérique,미국
UZB,Uzbekistan,Ouzbékistan,우즈베키스탄,Uzbekistan,Ouzbékistan,우즈베키스탄
VAN,Vanuatu,Vanuatu,바누아투,Vanuatu,Vanuatu,바누아투
VAT,Vatican,Vatican,교황청,Vatican,Vatican,교황청
VEN,Venezuela,Venezuela,베네수엘라,Venezuela,Venezuela,베네수엘라
VIE,Vietnam,Viet Nam,베트남,Vietnam,Viet Nam,베트남
VIN,St Vincent & Gren.,St-Vincent-Gr.,세인트빈센트그레나딘,St Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,세인트빈센트그레나딘
WLF,Wallis and Futuna,Wallis-et-Futuna,월리스푸투나,Wallis and Futuna,Wallis-et-Futuna,월리스푸투나
YEM,Yemen,Yémen,예멘,Yemen,Yémen,예멘
YUG,Yugoslavia,Yougoslavie,유고슬라비아연방,The Federal Republic of Yugoslavia,Yougoslavie,유고슬라비아연방
ZAM,Zambia,Zambie,잠비아,Zambia,Zambie,잠비아
ZIM,Zimbabwe,Zimbabwe,짐바브웨,Zimbabwe,Zimbabwe,짐바브웨
