Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
SW,M,433,9,3,Men's 100m Backstroke - S13 Heats,"100m costas masculino-S13, eliminatórias","100m espalda masc - S13, eliminatorias",Men's 100m Backstroke - S13 Heats,"100m costas masculino - S13, eliminatórias","100m espalda masculino - S13, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,433,M,6,Men's 100m Backstroke - S13 VC,"100m costas masculino-S13,cer. premiação","100m espalda masc - S13, cer. medallas",Men's 100m Backstroke - S13 Victory Ceremony,"100m costas masculino - S13, cerimônia de premiação","100m espalda masculino - S13, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,434,0,8,Men's 100m Backstroke - S14,100m costas masculino - S14,100m espalda masculino - S14,Men's 100m Backstroke - S14,100m costas masculino - S14,100m espalda masculino - S14,"","",
SW,M,434,1,3,Men's 100m Backstroke - S14 Final,"100m costas masculino - S14, final","100m espalda masc - S14, final",Men's 100m Backstroke - S14 Final,"100m costas masculino - S14, final","100m espalda masculino - S14, final",Final,Final,Final
SW,M,434,9,3,Men's 100m Backstroke - S14 Heats,"100m costas masculino-S14, eliminatórias","100m espalda masc - S14, eliminatorias",Men's 100m Backstroke - S14 Heats,"100m costas masculino - S14, eliminatórias","100m espalda masculino - S14, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,434,M,6,Men's 100m Backstroke - S14 VC,"100m costas masculino-S14,cer. premiação","100m espalda masc - S14, cer. medallas",Men's 100m Backstroke - S14 Victory Ceremony,"100m costas masculino - S14, cerimônia de premiação","100m espalda masculino - S14, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,543,0,8,Men's 150m IM - SM3,150m medley masculino - SM3,150m combinado individual masc - SM3,Men's 150m Individual Medley - SM3,150m medley masculino - SM3,150m combinado individual masculino - SM3,"","",
SW,M,543,1,3,Men's 150m IM - SM3 Final,"150m medley masculino - SM3, final","150m combinado ind. masc - SM3, final",Men's 150m Individual Medley - SM3 Final,"150m medley masculino - SM3, final","150m combinado individual masculino - SM3, final",Final,Final,Final
SW,M,543,9,3,Men's 150m IM - SM3 Heats,"150m medley masculino-SM3, eliminatórias","150m combinado ind. masc - SM3, elim.",Men's 150m Individual Medley - SM3 Heats,"150m medley masculino - SM3, eliminatórias","150m combinado individual masculino - SM3, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,543,M,6,Men's 150m IM - SM3 VC,"150m medley masc - SM3, cer. premiação","150m comb. ind. masc-SM3, cer. medallas",Men's 150m Individual Medley - SM3 Victory Ceremony,"150m medley masculino - SM3, cerimônia de premiação","150m combinado individual masculino - SM3, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,544,0,8,Men's 150m IM - SM4,150m medley masculino - SM4,150m combinado individual masc - SM4,Men's 150m Individual Medley - SM4,150m medley masculino - SM4,150m combinado individual masculino - SM4,"","",
SW,M,544,1,3,Men's 150m IM - SM4 Final,"150m medley masculino - SM4, final","150m combinado ind. masc - SM4, final",Men's 150m Individual Medley - SM4 Final,"150m medley masculino - SM4, final","150m combinado individual masculino - SM4, final",Final,Final,Final
SW,M,544,9,3,Men's 150m IM - SM4 Heats,"150m medley masculino-SM4, eliminatórias","150m combinado ind. masc - SM4, elim.",Men's 150m Individual Medley - SM4 Heats,"150m medley masculino - SM4, eliminatórias","150m combinado individual masculino - SM4, eliminatorias",Heats,Eliminatórias,Eliminatorias
