Id,Related Event,order,ENG Description,POR Description,SPA Description
ARM0710000,ARM071,1,M Recurve/Comp. W1 - 72 Arrw. Rkg. Rnd.,Arco composto masculino - W1,"Recurvo/Comp masc W1-72 flechas, clasif"
ARM0710001,ARM071,2,M Recurve/Compound W1 - 15 Arrows Match,Arco composto masculino - W1,Recurvo/Comp masc W1 - 15 flechas
ARM0720000,ARM072,3,M Compound Open - 72 Arrw. Rkg. Rnd.,Arco composto masculino - aberto,"Compuesto masc abierto-72 flechas,clasif"
ARM0720001,ARM072,4,M Compound Open - 15 Arrows Match,Arco composto masculino - aberto,Compuesto masc abierto - 15 flechas
ARM0730000,ARM073,5,M Recurve Open - 72 Arrw. Rkg. Rnd.,Arco recurvo masculino - aberto,"Recurvo masc abierto-72 flechas, clasif"
ARW0710000,ARW071,6,W Recurve/Compound W1-72 Arrw. Rkg. Rnd.,Arco composto feminino - W1,"Recurvo/Comp fem W1 - 72 flechas, clasif"
ARW0710001,ARW071,7,W Recurve/Compound W1 - 15 Arrows Match,Arco composto feminino - W1,Recurvo/Comp fem W1 - 15 flechas
ARW0720000,ARW072,8,W Compound Open - 72 Arrw. Rkg. Rnd.,Arco composto feminino - aberto,"Compuesto fem abierto-72 flechas, clasif"
ARW0720001,ARW072,9,W Compound Open - 15 Arrows Match,Arco composto feminino - aberto,Compuesto fem abierto - 15 flechas
ARW0730000,ARW073,10,W Recurve Open - 72 Arrw. Rkg. Rnd.,Arco recurvo feminino - aberto,"Recurvo fem abierto - 72 flechas, clasif"
ARX4710005,ARX471,11,X Team W1 Rec./Comp.-144 Arrw. Rkg. Rnd.,Arco Recurvo/Composto W1 times mistos,"Rec/Comp eq. mix W1-144 flechas, clasif"
ARX4710006,ARX471,12,X Team W1 Recurve/Comp.-16 Arrw. Match,Times mistos recurvo/comp W1 16 flechas,"Rec/Comp eq. mix W1-16 flechas, clasif"
ARX4720005,ARX472,13,X Team Compound Open-144 Arrw. Rkg. Rnd.,Arco Composto Aberto times mistos,"Compuesto eq. mix W1-144 flechas, clasif"
ARX4720006,ARX472,14,X Team Compound Open - 16 Arrw. Match,Times mistos composto aberto 16 flechas,Compuesto eq. mix abierto - 16 flechas
ARX4730005,ARX473,15,X Team Recurve Open- 144 Arrw. Rkg. Rnd.,Arco Recurvo Aberto times mistos,"Recurvo eq. mix W1-144 flechas, clasif"
ATM111000,ATM111,1,Men's 100m - T11,100m rasos masculino - T11,100m masculino - T11
ATM112000,ATM112,2,Men's 100m - T12,100m rasos masculino - T12,100m masculino - T12
ATM113000,ATM113,3,Men's 100m - T13,100m rasos masculino - T13,100m masculino - T13
ATM133000,ATM133,4,Men's 100m - T33,100m rasos masculino - T33,100m masculino - T33
ATM134000,ATM134,5,Men's 100m - T34,100m rasos masculino - T34,100m masculino - T34
ATM135000,ATM135,6,Men's 100m - T35,100m rasos masculino - T35,100m masculino - T35
ATM136000,ATM136,7,Men's 100m - T36,100m rasos masculino - T36,100m masculino - T36
ATM137000,ATM137,8,Men's 100m - T37,100m rasos masculino - T37,100m masculino - T37
ATM138000,ATM138,9,Men's 100m - T38,100m rasos masculino - T38,100m masculino - T38
ATM142000,ATM142,10,Men's 100m - T42,100m rasos masculino - T42,100m masculino - T42
ATM143000,ATM144,11,Men's 100m - T43,100m rasos masculino - T43,100m masculino - T43
ATM144000,ATM144,12,Men's 100m - T44,100m rasos masculino - T44,100m masculino - T44
ATM145000,ATM147,13,Men's 100m - T45,100m rasos masculino - T45,100m masculino - T45
ATM146000,ATM147,14,Men's 100m - T46,100m rasos masculino - T46,100m masculino - T46
ATM147000,ATM147,15,Men's 100m - T47,100m rasos masculino - T47,100m masculino - T47
ATM151000,ATM151,16,Men's 100m - T51,100m rasos masculino - T51,100m masculino - T51
ATM152000,ATM152,17,Men's 100m - T52,100m rasos masculino - T52,100m masculino - T52
ATM153000,ATM153,18,Men's 100m - T53,100m rasos masculino - T53,100m masculino - T53
ATM154000,ATM154,19,Men's 100m - T54,100m rasos masculino - T54,100m masculino - T54
ATM211000,ATM211,20,Men's 200m - T11,200m rasos masculino - T11,200m masculino - T11
ATM212000,ATM212,21,Men's 200m - T12,200m rasos masculino - T12,200m masculino - T12
ATM235000,ATM235,22,Men's 200m - T35,200m rasos masculino - T35,200m masculino - T35
ATM242000,ATM242,23,Men's 200m - T42,200m rasos masculino - T42,200m masculino - T42
ATM243000,ATM244,24,Men's 200m - T43,200m rasos masculino - T43,200m masculino - T43
ATM244000,ATM244,25,Men's 200m - T44,200m rasos masculino - T44,200m masculino - T44
ATM411000,ATM411,26,Men's 400m - T11,400m rasos masculino - T11,400m masculino - T11
ATM412000,ATM412,27,Men's 400m - T12,400m rasos masculino - T12,400m masculino - T12
ATM413000,ATM413,28,Men's 400m - T13,400m rasos masculino - T13,400m masculino - T13
ATM420000,ATM420,29,Men's 400m - T20,400m rasos masculino - T20,400m masculino - T20
ATM436000,ATM436,30,Men's 400m - T36,400m rasos masculino - T36,400m masculino - T36
ATM437000,ATM437,31,Men's 400m - T37,400m rasos masculino - T37,400m masculino - T37
ATM438000,ATM438,32,Men's 400m - T38,400m rasos masculino - T38,400m masculino - T38
ATM443000,ATM444,33,Men's 400m - T43,400m rasos masculino - T43,400m masculino - T43
ATM444000,ATM444,34,Men's 400m - T44,400m rasos masculino - T44,400m masculino - T44
ATM445000,ATM447,35,Men's 400m - T45,400m rasos masculino - T45,400m masculino - T45
ATM446000,ATM447,36,Men's 400m - T46,400m rasos masculino - T46,400m masculino - T46
ATM447000,ATM447,37,Men's 400m - T47,400m rasos masculino - T47,400m masculino - T47
ATM451000,ATM451,38,Men's 400m - T51,400m rasos masculino - T51,400m masculino - T51
ATM452000,ATM452,39,Men's 400m - T52,400m rasos masculino - T52,400m masculino - T52
ATM453000,ATM453,40,Men's 400m - T53,400m rasos masculino - T53,400m masculino - T53
ATM454000,ATM454,41,Men's 400m - T54,400m rasos masculino - T54,400m masculino - T54
ATM511000,ATM511,60,Men's 5000m - T11,5.000m rasos masculino - T11,5000m masculino - T11
ATM512000,ATM513,61,Men's 5000m - T12,5.000m rasos masculino - T12,5000m masculino - T12
ATM513000,ATM513,62,Men's 5000m - T13,5.000m rasos masculino - T13,5000m masculino - T13
ATM553000,ATM554,63,Men's 5000m - T53,5.000m rasos masculino - T53,5000m masculino - T53
ATM554000,ATM554,64,Men's 5000m - T54,5.000m rasos masculino - T54,5000m masculino - T54
ATM833000,ATM834,42,Men's 800m - T33,800m rasos masculino - T33,800m masculino - T33
ATM834000,ATM834,43,Men's 800m - T34,800m rasos masculino - T34,800m masculino - T34
ATM836000,ATM836,44,Men's 800m - T36,800m rasos masculino - T36,800m masculino - T36
ATM852000,ATM853,45,Men's 800m - T52,800m rasos masculino - T52,800m masculino - T52
ATM853000,ATM853,46,Men's 800m - T53,800m rasos masculino - T53,800m masculino - T53
ATM854000,ATM854,47,Men's 800m - T54,800m rasos masculino - T54,800m masculino - T54
ATM911000,ATM911,48,Men's 1500m - T11,1500m rasos masculinos -T11,1500m masculino - T11
ATM912000,ATM913,49,Men's 1500m - T12,1500m rasos masculinos -T12,1500m masculino - T12
ATM913000,ATM913,50,Men's 1500m - T13,1500m rasos masculinos -T13,1500m masculino - T13
ATM920000,ATM920,51,Men's 1500m - T20,1500m rasos masculinos -T20,1500m masculino - T20
ATM937000,ATM937,52,Men's 1500m - T37,1500m rasos masculinos -T37,1500m masculino - T37
ATM938000,ATM938,53,Men's 1500m - T38,1500m rasos masculinos -T38,1500m masculino - T38
ATM945000,ATM946,54,Men's 1500m - T45,1500m rasos masculinos -T45,1500m masculino - T45
ATM946000,ATM946,55,Men's 1500m - T46,1500m rasos masculinos -T46,1500m masculino - T46
ATM951000,ATM952,56,Men's 1500m - T51,1500m rasos masculinos -T51,1500m masculino - T51
ATM952000,ATM952,57,Men's 1500m - T52,1500m rasos masculinos -T52,1500m masculino - T52
ATM953000,ATM954,58,Men's 1500m - T53,1500m rasos masculinos -T53,1500m masculino - T53
ATM954000,ATM954,59,Men's 1500m - T54,1500m rasos masculinos -T54,1500m masculino - T54
ATMC31000,ATMC32,132,Men's Club Throw - F31,Arremesso de bastão masculino - F31,Lanzamiento de club masculino - F31
ATMC32000,ATMC32,133,Men's Club Throw - F32,Arremesso de bastão masculino - F32,Lanzamiento de club masculino - F32
ATMC51000,ATMC51,134,Men's Club Throw - F51,Arremesso de bastão masculino - F51,Lanzamiento de club masculino - F51
ATMD11000,ATMD11,109,Men's Discus Throw - F11,Lançamento do disco masculino - F11,Lanzamiento de disco masc - F11
ATMD37000,ATMD37,110,Men's Discus Throw - F37,Lançamento do disco masculino - F37,Lanzamiento de disco masc - F37
ATMD43000,ATMD44,111,Men's Discus Throw - F43,Lançamento do disco masculino - F43,Lanzamiento de disco masc - F43
ATMD44000,ATMD44,112,Men's Discus Throw - F44,Lançamento do disco masculino - F44,Lanzamiento de disco masc - F44
ATMD51000,ATMD52,113,Men's Discus Throw - F51,Lançamento do disco masculino - F51,Lanzamiento de disco masc - F51
ATMD52000,ATMD52,114,Men's Discus Throw - F52,Lançamento do disco masculino - F52,Lanzamiento de disco masc - F52
ATMD54000,ATMD56,115,Men's Discus Throw - F54,Lançamento do disco masculino - F54,Lanzamiento de disco masc - F54
ATMD55000,ATMD56,116,Men's Discus Throw - F55,Lançamento do disco masculino - F55,Lanzamiento de disco masc - F55
ATMD56000,ATMD56,117,Men's Discus Throw - F56,Lançamento do disco masculino - F56,Lanzamiento de disco masc - F56
ATMH42000,ATMH42,75,Men's High Jump - T42,Salto em altura masculino - T42,Salto de altura masculino - T42
ATMH44000,ATMH44,76,Men's High Jump - T44,Salto em altura masculino - T44,Salto de altura masculino - T44
ATMH45000,ATMH47,77,Men's High Jump - T45,Salto em altura masculino - T45,Salto de altura masculino - T45
ATMH46000,ATMH47,78,Men's High Jump - T46,Salto em altura masculino - T46,Salto de altura masculino - T46
ATMH47000,ATMH47,79,Men's High Jump - T47,Salto em altura masculino - T47,Salto de altura masculino - T47
ATMJ12000,ATMJ13,118,Men's Javelin Throw - F12,Lançamento do dardo masculino - F12,Lanzamiento de jabalina masc - F12
ATMJ13000,ATMJ13,119,Men's Javelin Throw - F13,Lançamento do dardo masculino - F13,Lanzamiento de jabalina masc - F13
ATMJ34000,ATMJ34,120,Men's Javelin Throw - F34,Lançamento do dardo masculino - F34,Lanzamiento de jabalina masc - F34
ATMJ38000,ATMJ38,121,Men's Javelin Throw - F38,Lançamento do dardo masculino - F38,Lanzamiento de jabalina masc - F38
ATMJ40000,ATMJ41,122,Men's Javelin Throw - F40,Lançamento do dardo masculino - F40,Lanzamiento de jabalina masc - F40
ATMJ41000,ATMJ41,123,Men's Javelin Throw - F41,Lançamento do dardo masculino - F41,Lanzamiento de jabalina masc - F41
ATMJ42000,ATMJ44,124,Men's Javelin Throw - F42,Lançamento do dardo masculino - F42,Lanzamiento de jabalina masc - F42
ATMJ43000,ATMJ44,125,Men's Javelin Throw - F43,Lançamento do dardo masculino - F43,Lanzamiento de jabalina masc - F43
ATMJ44000,ATMJ44,126,Men's Javelin Throw - F44,Lançamento do dardo masculino - F44,Lanzamiento de jabalina masc - F44
ATMJ46000,ATMJ46,127,Men's Javelin Throw - F46,Lançamento do dardo masculino - F46,Lanzamiento de jabalina masc - F46
ATMJ53000,ATMJ54,128,Men's Javelin Throw - F53,Lançamento do dardo masculino - F53,Lanzamiento de jabalina masc - F53
ATMJ54000,ATMJ54,129,Men's Javelin Throw - F54,Lançamento do dardo masculino - F54,Lanzamiento de jabalina masc - F54
ATMJ56000,ATMJ57,130,Men's Javelin Throw - F56,Lançamento do dardo masculino - F56,Lanzamiento de jabalina masc - F56
ATMJ57000,ATMJ57,131,Men's Javelin Throw - F57,Lançamento do dardo masculino - F57,Lanzamiento de jabalina masc - F57
ATML11000,ATML11,80,Men's Long Jump - T11,Salto em distância masculino - T11,Salto de longitud masculino - T11
ATML12000,ATML12,81,Men's Long Jump - T12,Salto em distância masculino - T12,Salto de longitud masculino - T12
ATML20000,ATML20,82,Men's Long Jump - T20,Salto em distância masculino - T20,Salto de longitud masculino - T20
ATML36000,ATML36,83,Men's Long Jump - T36,Salto em distância masculino - T36,Salto de longitud masculino - T36
ATML37000,ATML37,84,Men's Long Jump - T37,Salto em distância masculino - T37,Salto de longitud masculino - T37
ATML38000,ATML38,85,Men's Long Jump - T38,Salto em distância masculino - T38,Salto de longitud masculino - T38
ATML42000,ATML42,86,Men's Long Jump - T42,Salto em distância masculino - T42,Salto de longitud masculino - T42
ATML43000,ATML44,87,Men's Long Jump - T43,Salto em distância masculino - T43,Salto de longitud masculino - T43
ATML44000,ATML44,88,Men's Long Jump - T44,Salto em distância masculino - T44,Salto de longitud masculino - T44
ATML45000,ATML47,89,Men's Long Jump - T45,Salto em distância masculino - T45,Salto de longitud masculino - T45
ATML46000,ATML47,90,Men's Long Jump - T46,Salto em distância masculino - T46,Salto de longitud masculino - T46
ATML47000,ATML47,91,Men's Long Jump - T47,Salto em distância masculino - T47,Salto de longitud masculino - T47
ATMM11000,ATMM12,68,Men's Marathon - T11,Maratona masculina - T11,Maratón masculino - T11
ATMM12000,ATMM12,69,Men's Marathon - T12,Maratona masculina - T12,Maratón masculino - T12
ATMM45000,ATMM46,70,Men's Marathon - T45,Maratona masculina - T45,Maratón masculino - T45
ATMM46000,ATMM46,71,Men's Marathon - T46,Maratona masculina - T46,Maratón masculino - T46
ATMM52000,ATMM54,72,Men's Marathon - T52,Maratona masculina - T52,Maratón masculino - T52
ATMM53000,ATMM54,73,Men's Marathon - T53,Maratona masculina - T53,Maratón masculino - T53
ATMM54000,ATMM54,74,Men's Marathon - T54,Maratona masculina - T54,Maratón masculino - T54
ATMR13000,ATMR13,65,Men's 4x100m Relay - T11-13,Revezamento 4x100m masculino - T11-13,Relevo 4x100m masculino - T11-13
ATMR47000,ATMR47,66,Men's 4x100m Relay - T42-47,Revezamento 4x100m masculino - T42-47,Relevo 4x100m masculino - T42-47
ATMR54000,ATMR54,67,Men's 4x400m Relay - T53/54,Revezamento 4x400m masculino - T53/54,Relevo 4x400m masculino - T53/54
ATMS11000,ATMS12,92,Men's Shot Put - F11,Arremesso do peso masculino - F11,Lanzamiento de bala masculino - F11
ATMS12000,ATMS12,93,Men's Shot Put - F12,Arremesso do peso masculino - F12,Lanzamiento de bala masculino - F12
ATMS20000,ATMS20,94,Men's Shot Put - F20,Arremesso do peso masculino - F20,Lanzamiento de bala masculino - F20
ATMS32000,ATMS32,95,Men's Shot Put - F32,Arremesso do peso masculino - F32,Lanzamiento de bala masculino - F32
ATMS33000,ATMS33,96,Men's Shot Put - F33,Arremesso do peso masculino - F33,Lanzamiento de bala masculino - F33
ATMS34000,ATMS34,97,Men's Shot Put - F34,Arremesso do peso masculino - F34,Lanzamiento de bala masculino - F34
ATMS35000,ATMS35,98,Men's Shot Put - F35,Arremesso do peso masculino - F35,Lanzamiento de bala masculino - F35
ATMS36000,ATMS36,99,Men's Shot Put - F36,Arremesso do peso masculino - F36,Lanzamiento de bala masculino - F36
ATMS37000,ATMS37,100,Men's Shot Put - F37,Arremesso do peso masculino - F37,Lanzamiento de bala masculino - F37
ATMS40000,ATMS40,101,Men's Shot Put - F40,Arremesso do peso masculino - F40,Lanzamiento de bala masculino - F40
ATMS41000,ATMS41,102,Men's Shot Put - F41,Arremesso do peso masculino - F41,Lanzamiento de bala masculino - F41
ATMS42000,ATMS42,103,Men's Shot Put - F42,Arremesso do peso masculino - F42,Lanzamiento de bala masculino - F42
ATMS53000,ATMS53,104,Men's Shot Put - F53,Arremesso do peso masculino - F53,Lanzamiento de bala masculino - F53
ATMS54000,ATMS55,105,Men's Shot Put - F54,Arremesso do peso masculino - F54,Lanzamiento de bala masculino - F54
ATMS55000,ATMS55,106,Men's Shot Put - F55,Arremesso do peso masculino - F55,Lanzamiento de bala masculino - F55
ATMS56000,ATMS57,107,Men's Shot Put - F56,Arremesso do peso masculino - F56,Lanzamiento de bala masculino - F56
ATMS57000,ATMS57,108,Men's Shot Put - F57,Arremesso do peso masculino - F57,Lanzamiento de bala masculino - F57
ATW111000,ATW111,135,Women's 100m - T11,100m rasos feminino - T11,100m femenino - T11
ATW112000,ATW112,136,Women's 100m - T12,100m rasos feminino - T12,100m femenino - T12
ATW113000,ATW113,137,Women's 100m - T13,100m rasos feminino - T13,100m femenino - T13
ATW133000,ATW134,138,Women's 100m - T33,100m rasos feminino - T33,100m femenino - T33
ATW134000,ATW134,139,Women's 100m - T34,100m rasos feminino - T34,100m femenino - T34
ATW135000,ATW135,140,Women's 100m - T35,100m rasos feminino - T35,100m femenino - T35
ATW136000,ATW136,141,Women's 100m - T36,100m rasos feminino - T36,100m femenino - T36
ATW137000,ATW137,142,Women's 100m - T37,100m rasos feminino - T37,100m femenino - T37
ATW138000,ATW138,143,Women's 100m - T38,100m rasos feminino - T38,100m femenino - T38
ATW142000,ATW142,144,Women's 100m - T42,100m rasos feminino - T42,100m femenino - T42
ATW143000,ATW144,145,Women's 100m - T43,100m rasos feminino - T43,100m femenino - T43
ATW144000,ATW144,146,Women's 100m - T44,100m rasos feminino - T44,100m femenino - T44
ATW145000,ATW147,147,Women's 100m - T45,100m rasos feminino - T45,100m femenino - T45
ATW146000,ATW147,148,Women's 100m - T46,100m rasos feminino - T46,100m femenino - T46
ATW147000,ATW147,149,Women's 100m - T47,100m rasos feminino - T47,100m femenino - T47
ATW151000,ATW152,150,Women's 100m - T51,100m rasos feminino - T51,100m femenino - T51
ATW152000,ATW152,151,Women's 100m - T52,100m rasos feminino - T52,100m femenino - T52
ATW153000,ATW153,152,Women's 100m - T53,100m rasos feminino - T53,100m femenino - T53
ATW154000,ATW154,153,Women's 100m - T54,100m rasos feminino - T54,100m femenino - T54
ATW211000,ATW211,154,Women's 200m - T11,200m rasos feminino - T11,200m femenino - T11
ATW212000,ATW212,155,Women's 200m - T12,200m rasos feminino - T12,200m femenino - T12
ATW235000,ATW235,156,Women's 200m - T35,200m rasos feminino - T35,200m femenino - T35
ATW236000,ATW236,157,Women's 200m - T36,200m rasos feminino - T36,200m femenino - T36
ATW243000,ATW244,158,Women's 200m - T43,200m rasos feminino - T43,200m femenino - T43
ATW244000,ATW244,159,Women's 200m - T44,200m rasos feminino - T44,200m femenino - T44
ATW245000,ATW247,160,Women's 200m - T45,200m rasos feminino - T45,200m femenino - T45
ATW246000,ATW247,161,Women's 200m - T46,200m rasos feminino - T46,200m femenino - T46
ATW247000,ATW247,162,Women's 200m - T47,200m rasos feminino - T47,200m femenino - T47
ATW411000,ATW411,163,Women's 400m - T11,400m rasos feminino - T11,400m femenino - T11
ATW412000,ATW412,164,Women's 400m - T12,400m rasos feminino - T12,400m femenino - T12
ATW413000,ATW413,165,Women's 400m - T13,400m rasos feminino - T13,400m femenino - T13
ATW420000,ATW420,166,Women's 400m - T20,400m rasos feminino - T20,400m femenino - T20
ATW433000,ATW434,167,Women's 400m - T33,400m rasos feminino - T33,400m femenino - T33
ATW434000,ATW434,168,Women's 400m - T34,400m rasos feminino - T34,400m femenino - T34
ATW437000,ATW437,169,Women's 400m - T37,400m rasos feminino - T37,400m femenino - T37
ATW438000,ATW438,170,Women's 400m - T38,400m rasos feminino - T38,400m femenino - T38
ATW443000,ATW444,171,Women's 400m - T43,400m rasos feminino - T43,400m femenino - T43
ATW444000,ATW444,172,Women's 400m - T44,400m rasos feminino - T44,400m femenino - T44
ATW445000,ATW447,173,Women's 400m - T45,400m rasos feminino - T45,400m femenino - T45
ATW446000,ATW447,174,Women's 400m - T46,400m rasos feminino - T46,400m femenino - T46
ATW447000,ATW447,175,Women's 400m - T47,400m rasos feminino - T47,400m femenino - T47
ATW451000,ATW452,176,Women's 400m - T51,400m rasos feminino - T51,400m femenino - T51
ATW452000,ATW452,177,Women's 400m - T52,400m rasos feminino - T52,400m femenino - T52
ATW453000,ATW453,178,Women's 400m - T53,400m rasos feminino - T53,400m femenino - T53
ATW454000,ATW454,179,Women's 400m - T54,400m rasos feminino - T54,400m femenino - T54
ATW553000,ATW554,190,Women's 5000m - T53,5.000m rasos feminino - T53,5000m femenino - T53
ATW554000,ATW554,191,Women's 5000m - T54,5.000m rasos feminino - T54,5000m femenino - T54
ATW834000,ATW834,180,Women's 800m - T34,800m rasos feminino - T34,800m femenino - T34
ATW852000,ATW853,181,Women's 800m - T52,800m rasos feminino - T52,800m femenino - T52
ATW853000,ATW853,182,Women's 800m - T53,800m rasos feminino - T53,800m femenino - T53
ATW854000,ATW854,183,Women's 800m - T54,800m rasos feminino - T54,800m femenino - T54
ATW911000,ATW911,184,Women's 1500m - T11,1.500m rasos feminino - T11,1500m femenino - T11
ATW912000,ATW913,185,Women's 1500m - T12,1.500m rasos feminino - T12,1500m femenino - T12
ATW913000,ATW913,186,Women's 1500m - T13,1.500m rasos feminino - T13,1500m femenino - T13
ATW920000,ATW920,187,Women's 1500m - T20,1.500m rasos feminino - T20,1500m femenino - T20
ATW953000,ATW954,188,Women's 1500m - T53,1.500m rasos feminino - T53,1500m femenino - T53
ATW954000,ATW954,189,Women's 1500m - T54,1.500m rasos feminino - T54,1500m femenino - T54
ATWC31000,ATWC32,249,Women's Club Throw - F31,Arremesso de bastão feminino - F31,Lanzamiento de club femenino - F31
ATWC32000,ATWC32,250,Women's Club Throw - F32,Arremesso de bastão feminino - F32,Lanzamiento de club femenino - F32
ATWC51000,ATWC51,251,Women's Club Throw - F51,Arremesso de bastão feminino - F51,Lanzamiento de club femenino - F51
ATWD11000,ATWD11,226,Women's Discus Throw - F11,Lançamento do disco feminino - F11,Lanzamiento de disco femenino - F11
ATWD37000,ATWD38,227,Women's Discus Throw - F37,Lançamento do disco feminino - F37,Lanzamiento de disco femenino - F37
ATWD38000,ATWD38,228,Women's Discus Throw - F38,Lançamento do disco feminino - F38,Lanzamiento de disco femenino - F38
ATWD40000,ATWD41,229,Women's Discus Throw - F40,Lançamento do disco feminino - F40,Lanzamiento de disco femenino - F40
ATWD41000,ATWD41,230,Women's Discus Throw - F41,Lançamento do disco feminino - F41,Lanzamiento de disco femenino - F41
ATWD43000,ATWD44,231,Women's Discus Throw - F43,Lançamento do disco feminino - F43,Lanzamiento de disco femenino - F43
ATWD44000,ATWD44,232,Women's Discus Throw - F44,Lançamento do disco feminino - F44,Lanzamiento de disco femenino - F44
ATWD51000,ATWD52,233,Women's Discus Throw - F51,Lançamento do disco feminino - F51,Lanzamiento de disco femenino - F51
ATWD52000,ATWD52,234,Women's Discus Throw - F52,Lançamento do disco feminino - F52,Lanzamiento de disco femenino - F52
ATWD54000,ATWD55,235,Women's Discus Throw - F54,Lançamento do disco feminino - F54,Lanzamiento de disco femenino - F54
ATWD55000,ATWD55,236,Women's Discus Throw - F55,Lançamento do disco feminino - F55,Lanzamiento de disco femenino - F55
ATWD56000,ATWD57,237,Women's Discus Throw - F56,Lançamento do disco feminino - F56,Lanzamiento de disco femenino - F56
ATWD57000,ATWD57,238,Women's Discus Throw - F57,Lançamento do disco feminino - F57,Lanzamiento de disco femenino - F57
ATWJ12000,ATWJ13,239,Women's Javelin Throw - F12,Lançamento do dardo feminino - F12,Lanzamiento de jabalina fem - F12
ATWJ13000,ATWJ13,240,Women's Javelin Throw - F13,Lançamento do dardo feminino - F13,Lanzamiento de jabalina fem - F13
ATWJ34000,ATWJ34,241,Women's Javelin Throw - F34,Lançamento do dardo feminino - F34,Lanzamiento de jabalina fem - F34
ATWJ37000,ATWJ37,242,Women's Javelin Throw - F37,Lançamento do dardo feminino - F37,Lanzamiento de jabalina fem - F37
ATWJ45000,ATWJ46,243,Women's Javelin Throw - F45,Lançamento do dardo feminino - F45,Lanzamiento de jabalina fem - F45
ATWJ46000,ATWJ46,244,Women's Javelin Throw - F46,Lançamento do dardo feminino - F46,Lanzamiento de jabalina fem - F46
ATWJ53000,ATWJ54,245,Women's Javelin Throw - F53,Lançamento do dardo feminino - F53,Lanzamiento de jabalina fem - F53
ATWJ54000,ATWJ54,246,Women's Javelin Throw - F54,Lançamento do dardo feminino - F54,Lanzamiento de jabalina fem - F54
ATWJ55000,ATWJ56,247,Women's Javelin Throw - F55,Lançamento do dardo feminino - F55,Lanzamiento de jabalina fem - F55
ATWJ56000,ATWJ56,248,Women's Javelin Throw - F56,Lançamento do dardo feminino - F56,Lanzamiento de jabalina fem - F56
ATWL11000,ATWL11,200,Women's Long Jump - T11,Salto em distância feminino - T11,Salto de longitud femenino - T11
ATWL12000,ATWL12,201,Women's Long Jump - T12,Salto em distância feminino - T12,Salto de longitud femenino - T12
ATWL20000,ATWL20,202,Women's Long Jump - T20,Salto em distância feminino - T20,Salto de longitud femenino - T20
ATWL37000,ATWL37,203,Women's Long Jump - T37,Salto em distância feminino - T37,Salto de longitud femenino - T37
ATWL38000,ATWL38,204,Women's Long Jump - T38,Salto em distância feminino - T38,Salto de longitud femenino - T38
ATWL42000,ATWL42,205,Women's Long Jump - T42,Salto em distância feminino - T42,Salto de longitud femenino - T42
ATWL43000,ATWL44,206,Women's Long Jump - T43,Salto em distância feminino - T43,Salto de longitud femenino - T43
ATWL44000,ATWL44,207,Women's Long Jump - T44,Salto em distância feminino - T44,Salto de longitud femenino - T44
ATWL45000,ATWL47,208,Women's Long Jump - T45,Salto em distância feminino - T45,Salto de longitud femenino - T45
ATWL46000,ATWL47,209,Women's Long Jump - T46,Salto em distância feminino - T46,Salto de longitud femenino - T46
ATWL47000,ATWL47,210,Women's Long Jump - T47,Salto em distância feminino - T47,Salto de longitud femenino - T47
ATWM11000,ATWM12,195,Women's Marathon - T11,Maratona feminina - T11,Maratón femenino - T11
ATWM12000,ATWM12,196,Women's Marathon - T12,Maratona feminina - T12,Maratón femenino - T12
ATWM52000,ATWM54,197,Women's Marathon - T52,Maratona feminina - T52,Maratón femenino - T52
ATWM53000,ATWM54,198,Women's Marathon - T53,Maratona feminina - T53,Maratón femenino - T53
ATWM54000,ATWM54,199,Women's Marathon - T54,Maratona feminina - T54,Maratón femenino - T54
ATWR13000,ATWR13,192,Women's 4x100m Relay - T11-13,Revezamento 4x100m feminino - T11-13,Relevo 4x100m femenino - T11-13
ATWR38000,ATWR38,193,Women's 4x100m Relay - T35-38,Revezamento 4x100m feminino - T35-38,Relevo 4x100m femenino - T35-38
ATWR54000,ATWR54,194,Women's 4x400m Relay - T53/54,Revezamento 4x400m feminino - T53/54,Relevo 4x400m femenino - T53/54
ATWS11000,ATWS12,211,Women's Shot Put - F11,Arremesso do peso feminino - F11,Lanzamiento de bala femenino - F11
ATWS12000,ATWS12,212,Women's Shot Put - F12,Arremesso do peso feminino - F12,Lanzamiento de bala femenino - F12
ATWS20000,ATWS20,213,Women's Shot Put - F20,Arremesso do peso feminino - F20,Lanzamiento de bala femenino - F20
ATWS32000,ATWS32,214,Women's Shot Put - F32,Arremesso do peso feminino - F32,Lanzamiento de bala femenino - F32
ATWS33000,ATWS33,215,Women's Shot Put - F33,Arremesso do peso feminino - F33,Lanzamiento de bala femenino - F33
ATWS34000,ATWS34,216,Women's Shot Put - F34,Arremesso do peso feminino - F34,Lanzamiento de bala femenino - F34
ATWS35000,ATWS35,217,Women's Shot Put - F35,Arremesso do peso feminino - F35,Lanzamiento de bala femenino - F35
ATWS36000,ATWS36,218,Women's Shot Put - F36,Arremesso do peso feminino - F36,Lanzamiento de bala femenino - F36
ATWS37000,ATWS37,219,Women's Shot Put - F37,Arremesso do peso feminino - F37,Lanzamiento de bala femenino - F37
ATWS40000,ATWS40,220,Women's Shot Put - F40,Arremesso do peso feminino - F40,Lanzamiento de bala femenino - F40
ATWS41000,ATWS41,221,Women's Shot Put - F41,Arremesso do peso feminino - F41,Lanzamiento de bala femenino - F41
