Id,Related Event,order,ENG Description,POR Description,SPA Description
SWM331000,SWM331,100,Men's 100m Breaststroke - SB11,100m peito masculino - SB11,100m braza masculino - SB11
SWM332000,SWM332,101,Men's 100m Breaststroke - SB12,100m peito masculino - SB12,100m braza masculino - SB12
SWM333000,SWM333,102,Men's 100m Breaststroke - SB13,100m peito masculino - SB13,100m braza masculino - SB13
SWM334000,SWM334,103,Men's 100m Breaststroke - SB14,100m peito masculino - SB14,100m braza masculino - SB14
SWM401000,SWM401,52,Men's 50m Backstroke - S1,50m costas masculino - S1,50m espalda masculino - S1
SWM402000,SWM402,53,Men's 50m Backstroke - S2,50m costas masculino - S2,50m espalda masculino - S2
SWM403000,SWM403,54,Men's 50m Backstroke - S3,50m costas masculino - S3,50m espalda masculino - S3
SWM404000,SWM404,55,Men's 50m Backstroke - S4,50m costas masculino - S4,50m espalda masculino - S4
SWM405000,SWM405,56,Men's 50m Backstroke - S5,50m costas masculino - S5,50m espalda masculino - S5
SWM406000,SWM426,57,Men's 50m Backstroke - S6,50m costas masculino - S6,50m espalda masculino - S6
SWM407000,SWM427,58,Men's 50m Backstroke - S7,50m costas masculino - S7,50m espalda masculino - S7
SWM408000,SWM428,59,Men's 50m Backstroke - S8,50m costas masculino - S8,50m espalda masculino - S8
SWM409000,SWM429,60,Men's 50m Backstroke - S9,50m costas masculino - S9,50m espalda masculino - S9
SWM410000,SWM430,61,Men's 50m Backstroke - S10,50m costas masculino - S10,50m espalda masculino - S10
SWM411000,SWM431,62,Men's 50m Backstroke - S11,50m costas masculino - S11,50m espalda masculino - S11
SWM412000,SWM432,63,Men's 50m Backstroke - S12,50m costas masculino - S12,50m espalda masculino - S12
SWM413000,SWM433,64,Men's 50m Backstroke - S13,50m costas masculino - S13,50m espalda masculino - S13
SWM421000,SWM421,65,Men's 100m Backstroke - S1,100m costas masculino - S1,100m espalda masculino - S1
SWM422000,SWM422,66,Men's 100m Backstroke - S2,100m costas masculino - S2,100m espalda masculino - S2
SWM423000,SWM000,67,Men's 100m Backstroke - S3,100m costas masculino - S3,100m espalda masculino - S3
SWM424000,SWM000,68,Men's 100m Backstroke - S4,100m costas masculino - S4,100m espalda masculino - S4
SWM425000,SWM000,69,Men's 100m Backstroke - S5,100m costas masculino - S5,100m espalda masculino - S5
SWM426000,SWM426,70,Men's 100m Backstroke - S6,100m costas masculino - S6,100m espalda masculino - S6
SWM427000,SWM427,71,Men's 100m Backstroke - S7,100m costas masculino - S7,100m espalda masculino - S7
SWM428000,SWM428,72,Men's 100m Backstroke - S8,100m costas masculino - S8,100m espalda masculino - S8
SWM429000,SWM429,73,Men's 100m Backstroke - S9,100m costas masculino - S9,100m espalda masculino - S9
SWM430000,SWM430,74,Men's 100m Backstroke - S10,100m costas masculino - S10,100m espalda masculino - S10
SWM431000,SWM431,75,Men's 100m Backstroke - S11,100m costas masculino - S11,100m espalda masculino - S11
SWM432000,SWM432,76,Men's 100m Backstroke - S12,100m costas masculino - S12,100m espalda masculino - S12
SWM433000,SWM433,77,Men's 100m Backstroke - S13,100m costas masculino - S13,100m espalda masculino - S13
SWM434000,SWM434,78,Men's 100m Backstroke - S14,100m costas masculino - S14,100m espalda masculino - S14
SWM541000,SWM000,127,Men's 150m Individual Medley - SM1,150m medley masculino - SM1,150m combinado individual masc - SM1
SWM542000,SWM000,128,Men's 150m Individual Medley - SM2,150m medley masculino - SM2,150m combinado individual masc - SM2
SWM543000,SWM543,129,Men's 150m Individual Medley - SM3,150m medley masculino - SM3,150m combinado individual masc - SM3
SWM544000,SWM544,130,Men's 150m Individual Medley - SM4,150m medley masculino - SM4,150m combinado individual masc - SM4
SWM563000,SWM000,131,Men's 200m Individual Medley - SM3,200m medley masculino - SM3,200m combinado individual masc - SM3
SWM564000,SWM000,132,Men's 200m Individual Medley - SM4,200m medley masculino - SM4,200m combinado individual masc - SM4
SWM565000,SWM000,133,Men's 200m Individual Medley - SM5,200m medley masculino - SM5,200m combinado individual masc - SM5
SWM566000,SWM566,134,Men's 200m Individual Medley - SM6,200m medley masculino - SM6,200m combinado individual masc - SM6
SWM567000,SWM567,135,Men's 200m Individual Medley - SM7,200m medley masculino - SM7,200m combinado individual masc - SM7
SWM568000,SWM568,136,Men's 200m Individual Medley - SM8,200m medley masculino - SM8,200m combinado individual masc - SM8
SWM569000,SWM569,137,Men's 200m Individual Medley - SM9,200m medley masculino - SM9,200m combinado individual masc - SM9
SWM570000,SWM570,138,Men's 200m Individual Medley - SM10,200m medley masculino - SM10,200m combinado individual masc - SM10
SWM571000,SWM571,139,Men's 200m Individual Medley - SM11,200m medley masculino - SM11,200m combinado individual masc - SM11
SWM572000,SWM000,140,Men's 200m Individual Medley - SM12,200m medley masculino - SM12,200m combinado individual masc - SM12
SWM573000,SWM573,141,Men's 200m Individual Medley - SM13,200m medley masculino - SM13,200m combinado individual masc - SM13
SWM574000,SWM574,142,Men's 200m Individual Medley - SM14,200m medley masculino - SM14,200m combinado individual masc - SM14
SWM712000,SWM712,143,Men's 4x100m Freestyle Relay - 34 Points,Revezamento 4x100m livre masc -34 pontos,4x100m estilo libre masculino -34 puntos
SWM752000,SWM752,144,Men's 4x100m Medley Relay - 34 Points,Revezamento 4x100m medley masc-34 pontos,4x100m combinado masculino - 34 puntos
SWW101000,SWW000,145,Women's 50m Freestyle - S1,50m livre feminino - S1,50m estilo libre femenino - S1
SWW102000,SWW000,146,Women's 50m Freestyle - S2,50m livre feminino - S2,50m estilo libre femenino - S2
SWW103000,SWW123,147,Women's 50m Freestyle - S3,50m livre feminino - S3,50m estilo libre femenino - S3
SWW104000,SWW104,148,Women's 50m Freestyle - S4,50m livre feminino - S4,50m estilo libre femenino - S4
SWW105000,SWW105,149,Women's 50m Freestyle - S5,50m livre feminino - S5,50m estilo libre femenino - S5
SWW106000,SWW106,150,Women's 50m Freestyle - S6,50m livre feminino - S6,50m estilo libre femenino - S6
SWW107000,SWW107,151,Women's 50m Freestyle - S7,50m livre feminino - S7,50m estilo libre femenino - S7
SWW108000,SWW108,152,Women's 50m Freestyle - S8,50m livre feminino - S8,50m estilo libre femenino - S8
SWW109000,SWW109,153,Women's 50m Freestyle - S9,50m livre feminino - S9,50m estilo libre femenino - S9
SWW110000,SWW110,154,Women's 50m Freestyle - S10,50m livre feminino - S10,50m estilo libre femenino - S10
SWW111000,SWW111,155,Women's 50m Freestyle - S11,50m livre feminino - S11,50m estilo libre femenino - S11
SWW112000,SWW112,156,Women's 50m Freestyle - S12,50m livre feminino - S12,50m estilo libre femenino - S12
SWW113000,SWW113,157,Women's 50m Freestyle - S13,50m livre feminino - S13,50m estilo libre femenino - S13
