Id,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,IndoorOutdoor,Cluster,City
FH4,N,Hotel FB - São Paulo,Hôtel FB - São Paulo,Hotel FB - São Paulo,Hotel FB - São Paulo,Football City Hotel - São Paulo,Hôtel -Ville de São Paulo (rencontres de football),Hotel da Cidade do Futebol - São Paulo,Hotel de la Ciudad del Fútbol - São Paulo,,FBC,São Paulo
FH5,N,Hotel FB - Manaus,Hôtel FB - Manaus,Hotel FB - Manaus,Hotel FB - Manaus,Football City Hotel - Manaus,Hôtel - Ville de Manaus (rencontres de football),Hotel da Cidade do Futebol - Manaus,Hotel de la Ciudad del Fútbol - Manaus,,FBC,Manaus
FNA,Y,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,Arena Fonte Nova,Fonte Nova Arena,Arena Fonte Nova,Arena Fonte Nova,Arena Fonte Nova,O,FBC,Salvador
FPT,N,Physical Trn Ctr Brasilia,Ctre pr physique Brasília,Ctr. Cap. Física Brasília,Ctro Entr Físico Brasília,Fireman Physical Training Centre (Brasília),Ctre préparation physique des pompiers (Brasília),Centro Capacitação Física dos Bombeiros (Brasília),Centro Entrenamiento Físico de Bomberos (Brasília),,FBC,Brasília
FTA,Y,Future Arena,Halle du futur,Arena do Futuro,Arena del Futuro,Future Arena,Halle du futur,Arena do Futuro,Arena del Futuro,I,BAT,Rio de Janeiro
FTC,Y,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fuerte de Copacabana,O,COP,Rio de Janeiro
FTS,N,George Helal Trn Site,Site d'entra George Helal,George Helal Trn Site,George Helal Trn Site,George Helal Training Site,Site d'entrainement George Helal,George Helal Training Site,George Helal Training Site,,,
FUR,N,Federal University of Rio,Univ. Fédérale de Rio,Universidade Federal Rio,Univ. Federal de Río,Federal University of Rio de Janeiro,Université Fédérale de Rio de Janeiro,Universidade Federal do Rio de Janeiro (UFRJ),Universidad Federal de Río de Janeiro (UFRJ),,MRZ,Rio de Janeiro
GIG,N,Tom Jobim Intl Airport,Aéroport Inter. Tom Jobim,Aeroporto Intl Tom Jobim,Aeropuerto Int. Tom Jobim,Tom Jobim International Airport,Aéroport International Tom Jobim,Aeroporto Internacional Tom Jobim,Aeropuerto Internacional Tom Jobim,,MRZ,Rio de Janeiro
GLO,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,O,COP,Rio de Janeiro
GRA,N,Grooms Accommodation,Hébergement palefreniers,Acomodação dos Tratadores,Acomodación palafreneros,Grooms Accommodation,Hébergement des palefreniers,Acomodação dos Tratadores,Acomodación de los palafreneros,,DEO,Rio de Janeiro
GRU,N,Guarulhos Intl Airport,Aéroport inter. Guarulhos,Aeroporto Intl Guarulhos,Aeropuerto Int. Guarulhos,Guarulhos International Airport,Aéroport international de Guarulhos,Aeroporto Internacional de Guarulhos,Aeropuerto Internacional de Guarulhos,,FBC,Guarulhos
IBC,N,Intl Broadcast Centre,Ctre Inter. Radio et TV,Centro Intl Radiodifusão,Ctro Int. Radiodifusión,International Broadcast Centre (IBC),Ctre International de Radio et Télévision (CIRTV),Centro Internacional de Radiodifusão (IBC),Centro Internacional de Radiodifusión (IBC),,BAT,Rio de Janeiro
