Id,Venue,LocationOrder,competition,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,Source
CIG,CIG,,N,Gericinó Instruction Camp,Campo Instrução Gericinó,Campo de Instr. Gericinó,Gericinó Instruction Camp Headquarter,Sede do Campo de Instrução de Gericinó,Sede del Campo de Instrucción de Gericinó,
CNF,CNF,,N,Confins Intl Airport,Aeroporto Intl de Confins,Aeropuerto Int. Confins,Confins International Airport,Aeroporto Internacional de Confins,Aeropuerto Internacional de Confins,
COR,COR,,N,Rio Operational Centre,Centro De Operações Rio,Centro de Operaciones Río,Rio Operational Centre,Centro De Operações Rio,Centro de Operaciones de Río,
CR1,PON,1,Y,Pontal - Cycling Road,Pontal - Ciclismo de Estrada,Pontal - Ciclismo de ruta,Pontal - Cycling Road,Pontal - Ciclismo de Estrada,Pontal - Ciclismo de ruta,PONCR1
CT1,ROV,1,Y,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,ROVCT1
DAV,DAV,,N,Deodoro ACM Village,Vila de ACM de Deodoro,Villa de Acom. Deodoro,Deodoro Accommodation Village,Vila de Acomodações de Deodoro,Villa de Acomodaciones de Deodoro,
DCD,DCD,,N,Deodoro Common Domain,Área Comum de Deodoro,Espacio Común de Deodoro,Deodoro Common Domain,Área Comum de Deodoro,Espacio Común de Deodoro,
DES,DES,,Y,Deodoro Stadium,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Estádio de Deodoro,Estadio de Deodoro,DESFT1
DUD,DUD,,N,Deodoro Urban Domain,Área Urbana de Deodoro,Espacio Urbano de Deodoro,Deodoro Urban Domain,Área Urbana de Deodoro,Espacio Urbano de Deodoro,
EQ1,EQC,1,Y,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,EQCEQ1
EQ2,EQC,2,Y,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,EQCEQ1
EQ3,EQC,3,Y,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,EQCEQ1
EQC,EQC,,Y,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,EQCEQ1
F30,OTN,,N,Olympic Tennis Ctr - Training,Olympic Tennis Ctr - Training,Olympic Tennis Ctr - Training,Olympic Tennis Ctr - Training,Olympic Tennis Ctr - Training,Olympic Tennis Ctr - Training,
FB1,OTN,1,Y,Olympic Tennis Centre,Centro Olímpico de Tênis,Centro Olímpico de Tenis,Olympic Tennis Centre,Centro Olímpico de Tênis,Centro Olímpico de Tenis,OTNFB1
FH1,FH1,,N,Hotel FB - Belo Horizonte,Hotel FB - Belo Horizonte,Hotel FB - Belo Horizonte,Football City Hotel - Belo Horizonte,Hotel da Cidade do Futebol - Belo Horizonte,Hotel de la Ciudad del Fútbol - Belo Horizonte,
FH2,FH2,,N,Hotel FB - Brasília,Hotel FB - Brasília,Hotel FB - Brasília,Football City Hotel - Brasília,Hotel da Cidade do Futebol - Brasília,Hotel de la Ciudad del Fútbol - Brasília,
FH3,FH3,,N,Hotel FB - Salvador,Hotel FB - Salvador,Hotel FB - Salvador,Football City Hotel - Salvador,Hotel da Cidade do Futebol - Salvador,Hotel de la Ciudad del Fútbol - Salvador,
FH4,FH4,,N,Hotel FB - São Paulo,Hotel FB - São Paulo,Hotel FB - São Paulo,Football City Hotel - São Paulo,Hotel da Cidade do Futebol - São Paulo,Hotel de la Ciudad del Fútbol - São Paulo,
FH5,FH5,,N,Hotel FB - Manaus,Hotel FB - Manaus,Hotel FB - Manaus,Football City Hotel - Manaus,Hotel da Cidade do Futebol - Manaus,Hotel de la Ciudad del Fútbol - Manaus,
FPT,FPT,,N,Physical Trn Ctr Brasilia,Ctr. Cap. Física Brasília,Ctro Entr Físico Brasília,Fireman Physical Training Centre (Brasília),Centro Capacitação Física dos Bombeiros (Brasília),Centro Entrenamiento Físico de Bomberos (Brasília),
FT1,DES,1,Y,Deodoro Stadium,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Estádio de Deodoro,Estadio de Deodoro,DESFT1
FTA,FTA,,Y,Future Arena,Arena do Futuro,Arena del Futuro,Future Arena,Arena do Futuro,Arena del Futuro,FTAGB1
FTC,FTC,,Y,Fort Copacabana,Forte de Copacabana,Fuerte de Copacabana,Fort Copacabana,Forte de Copacabana,Fuerte de Copacabana,FTCTR1
FUR,FUR,,N,Federal University of Rio,Universidade Federal Rio,Univ. Federal de Río,Federal University of Rio de Janeiro,Universidade Federal do Rio de Janeiro (UFRJ),Universidad Federal de Río de Janeiro (UFRJ),
GB1,FTA,1,Y,Future Arena,Arena do Futuro,Arena del Futuro,Future Arena,Arena do Futuro,Arena del Futuro,FTAGB1
GB2,OVP,,N,Athletes' Park 1 - Goalball,Athletes' Park 1 - Goalball,Athletes' Park 1 - Goalball,Athletes' Park 1 - Goalball,Athletes' Park 1 - Goalball,Athletes' Park 1 - Goalball,
GB3,OVP,,N,Athletes' Park 2 - Goalball,Athletes' Park 2 - Goalball,Athletes' Park 2 - Goalball,Athletes' Park 2 - Goalball,Athletes' Park 2 - Goalball,Athletes' Park 2 - Goalball,
GIG,GIG,,N,Tom Jobim Intl Airport,Aeroporto Intl Tom Jobim,Aeropuerto Int. Tom Jobim,Tom Jobim International Airport,Aeroporto Internacional Tom Jobim,Aeropuerto Internacional Tom Jobim,
GLO,GLO,,Y,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,GLOSA1
GRA,GRA,,N,Grooms Accommodation,Acomodação dos Tratadores,Acomodación palafreneros,Grooms Accommodation,Acomodação dos Tratadores,Acomodación de los palafreneros,
GRU,GRU,,N,Guarulhos Intl Airport,Aeroporto Intl Guarulhos,Aeropuerto Int. Guarulhos,Guarulhos International Airport,Aeroporto Internacional de Guarulhos,Aeropuerto Internacional de Guarulhos,
IBC,IBC,,N,Intl Broadcast Centre,Centro Intl Radiodifusão,Ctro Int. Radiodifusión,International Broadcast Centre (IBC),Centro Internacional de Radiodifusão (IBC),Centro Internacional de Radiodifusión (IBC),
