Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,Source,Sub-Locations
A11,OLS,11,Y,Olympic Stadium - Long Throws,Stade Olympique - Lancer,Estádio Olímpico - Arremessos,Estadio Olímpico-Lanzamientos,Olympic Stadium - Long Throws,Stade Olympique - Lancer,Estádio Olímpico - Arremessos,Estadio Olímpico - Lanzamientos,OLSAT1,
A12,PON,12,Y,Pontal - Race walk,Pontal - Marche,Pontal - Marcha atlética,Pontal - Marcha atlética,Pontal - Race walk,Pontal - Marche,Pontal - Marcha atlética,Pontal - Marcha atlética,PONAT1,
A13,SBD,13,Y,Sambódromo - Marathon,Sambódromo - Marathon,Sambódromo - Maratona,Sambódromo - Maratón,Sambódromo - Marathon,Sambódromo - Marathon,Sambódromo - Maratona,Sambódromo - Maratón,SBDAT1,
A20,OLS,,N,Olympic Stadium Warm-Up Track,OLS - échauffement -athlétisme,Olympic Stadium Warm-Up Track,Olympic Stadium Warm-Up Track,Olympic Stadium Warm - Up Track,Stade Olympique - échauffement - athlétisme,Olympic Stadium Warm - Up Track,Olympic Stadium Warm - Up Track,,
A21,AFU,,N,Air Force Univ. -Track & Jumps,AFU - athlétisme et sauts,Air Force Univ. -Track & Jumps,Air Force Univ. -Track & Jumps,Air Force University - Track & Jumps,Université de l'armée de l'air-athlétisme et sauts,Air Force University - Track & Jumps,Air Force University - Track & Jumps,,
A22,AFU,,N,Air Force Univ. - Throws,Uni armée de l'air - lancer,Air Force Univ. - Throws,Air Force Univ. - Throws,Air Force University - Throws,Université de l'armée de l'air - lancer,Air Force University - Throws,Air Force University - Throws,,
A23,AFU,,N,Air Force Univ. - Marathon,Uni armée de l'air - marathon,Air Force Univ. - Marathon,Air Force Univ. - Marathon,Air Force University - Marathon,Université de l'armée de l'air - marathon,Air Force University - Marathon,Air Force University - Marathon,,
A24,AFU,,N,Air Force Univ. - Race Walk,Uni armée de l'air - marche,Air Force Univ. - Race Walk,Air Force Univ. - Race Walk,Air Force University - Race Walk,Université de l'armée de l'air - marche,Air Force University - Race Walk,Air Force University - Race Walk,,
A25,AFC,,N,Air Force Club - Track & Jumps,Club aéro.-athlétisme et sauts,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,Club aéronautique - athlétisme et sauts,Air Force Club - Track & Jumps,Air Force Club - Track & Jumps,,
AB3,AB3,,N,Army Barracks 3,Casernes,31º GAC,Cuarteles Militares 3,Army Barracks 3,Casernes,31º GAC,Cuarteles Militares 3,,
ACS,ACS,,N,Anacleto Campanella Stad,Stade Anacleto Campanella,Anacleto Campanella Stad,Anacleto Campanella Stad,Anacleto Campanella Stadium,Stade Anacleto Campanella,Anacleto Campanella Stadium,Anacleto Campanella Stadium,,
AFC,AFC,,N,Air Force Club,Club aéronautique,Clube de Aeronáutica,Club de Aeronáutica,Air Force Club,Club aéronautique,Clube de Aeronáutica,Club de Aeronáutica,,
AFU,AFU,,N,Air Force University,Univ. de l'armée de l'air,Universid. da Força Aérea,Universidad Fuerza Aérea,Air Force University (UNIFA),Université de l'armée de l'air (UNIFA),Universidade da Força Aérea(UNIFA),Universidad de la Fuerza Aérea (UNIFA),,
AMC,AMC,,N,Alt Main Operation Centre,2e Ctre princ. opérations,Ctr Principal de Ops Alt,Ctro Principal de Op. Alt,Alternative Main Operation Centre,2e Centre principal des opérations,Centro Principal de Operações Alternativo,Centro Principal de Operaciones Alternativo,,
AMZ,AMZ,,Y,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,Arena da Amazônia,Amazônia Arena,Arena da Amazônia,Arena da Amazônia,Arena da Amazônia,AMZFB1,
AQC,AQC,,Y,Maria Lenk Aquatics Centre,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,Maria Lenk Aquatics Centre,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk,Centro Acuático Maria Lenk,,
AR1,SBD,1,Y,Sambódromo - AR Ranking Range,Sambódromo - AR classement,Sambódromo-AR Classificatória,Sambódromo - AR campo clasif.,Sambódromo - AR Ranking Range Field,Sambódromo - AR stand du tour de classement,Sambódromo - AR Campo da Rodada Classificatória,Sambódromo - AR campo de tiro clasificación,SBDAR1,
AR2,SBD,2,Y,Sambódromo - AR Elimination,Sambódromo - AR élimination,Sambódromo - AR Eliminatórias,Sambódromo - AR campo elimin.,Sambódromo - AR Elimination Range,Sambódromo - AR stand d'élimination,Sambódromo - AR Campo das Rodadas Eliminatórias,Sambódromo - AR campo de tiro eliminatorias,SBDAR1,
B00,BVA,1,Y,Beach Volleyball Arena-Centre,A. de Volleyball de Plage -Ctr,A. de Vôlei de Praia - Qdr Ctr,Arena de Vóley-Playa - Central,Beach Volleyball Arena - Centre Court,Arène de Volleyball de Plage - Court central,Arena de Vôlei de Praia - Quadra Central,Arena de Vóley-Playa - Cancha central,BVABV1,
B01,BVA,2,Y,Beach Volleyball Arena - Crt 1,A. de Volleyball de Plage-Crt1,Arena de Vôlei de Praia - Qdr1,Arena de Vóley-Playa -Cancha 1,Beach Volleyball Arena - Court 1,Arène de Volleyball de Plage - Court nº1,Arena de Vôlei de Praia - Quadra 1,Arena de Vóley-Playa - Cancha 1,BVABV1,
B02,BVA,3,Y,Beach Volleyball Arena - Crt 2,A. de Volleyball de Plage-Crt2,Arena de Vôlei de Praia - Qdr2,Arena de Vóley-Playa -Cancha 2,Beach Volleyball Arena - Court 2,Arène de Volleyball de Plage - Court nº2,Arena de Vôlei de Praia - Quadra 2,Arena de Vóley-Playa - Cancha 2,BVABV1,
BAS,BAS,,N,Barradão Stadium,Stade Barradão (Salvador),Estádio Barradão,Estadio Barradão,Barradão Stadium (Salvador),Stade Barradão (Salvador),Estádio Barradão (Salvador),Estadio Barradão,,
BD1,RC4,1,Y,Riocentro - Pavilion 4-Crt 1,Riocentro - Pavillion 4-Crt 1,Riocentro - Pavilhão 4 - Qdr 1,Riocentro-Pabellón 4-Cancha 1,Riocentro - Pavilion 4 - Court 1,Riocentro - Pavillion 4 - Court nº1,Riocentro - Pavilhão 4 - Quadra 1,Riocentro - Pabellón 4 - Cancha 1,RC4BD1,
BD2,RC4,2,Y,Riocentro - Pavilion 4-Crt 2,Riocentro - Pavillion 4-Crt 2,Riocentro - Pavilhão 4 - Qdr 2,Riocentro-Pabellón 4-Cancha 2,Riocentro - Pavilion 4 - Court 2,Riocentro - Pavillion 4 - Court nº2,Riocentro - Pavilhão 4 - Quadra 2,Riocentro - Pabellón 4 - Cancha 2,RC4BD1,
BD3,RC4,3,Y,Riocentro - Pavilion 4-Crt 3,Riocentro - Pavillion 4-Crt 3,Riocentro - Pavilhão 4 - Qdr 3,Riocentro-Pabellón 4-Cancha 3,Riocentro - Pavilion 4 - Court 3,Riocentro - Pavillion 4 - Court nº3,Riocentro - Pavilhão 4 - Quadra 3,Riocentro - Pabellón 4 - Cancha 3,RC4BD1,
BD4,RC4,,N,Riocentro - Pav 4-Training Crt,RC4 - court d'entrainement ,Riocentro - Pav 4-Training Crt,Riocentro - Pav 4-Training Crt,Riocentro - Pavilion 4 - Training Court,Riocentro - pavillion 4 - court d'entrainement ,Riocentro - Pavillion 4 - Training Court,Riocentro - Pavillion 4 - Training Court,,
BDS,BDS,,N,Bruno José Daniel Stadium,Stade Bruno José Daniel,Bruno José Daniel Stadium,Bruno José Daniel Stadium,Bruno José Daniel Stadium,Stade Bruno José Daniel,Bruno José Daniel Stadium,Bruno José Daniel Stadium,,
BK1,CA1,1,Y,Carioca Arena 1 - Basketball,Aréna Carioca 1 - Basketball,Arena Carioca 1 - Basquetebol,Arena Carioca 1 - Baloncesto,Carioca Arena 1 - Basketball,Aréna Carioca 1 - Basketball,Arena Carioca 1 - Basquetebol,Arena Carioca 1 - Baloncesto,CA1BK1,
BK2,YOA,2,Y,Youth Arena - Basketball,Arène de la Jeunesse - BK,Arena da Juventude-Basquetebol,Ar. de la Juventud- Baloncesto,Youth Arena - Basketball,Arène de la Jeunesse - Basketball,Arena da Juventude - Basquetebol,Arena de la Juventud - Baloncesto,YOABK1,
BK3,CA1,,N,Carioca Arena 1 - Warm Up,Halle Carioca 1 - échauffement,Carioca Arena 1 - Warm Up,Carioca Arena 1 - Warm Up,Carioca Arena 1 - Warm Up,Halle Carioca 1 - échauffement,Carioca Arena 1 - Warm Up,Carioca Arena 1 - Warm Up,,
BK4,YOA,,N,Youth Arena - Warm Up,YOA - échauffement,Youth Arena - Warm Up,Youth Arena - Warm Up,Youth Arena - Warm Up,Halle de la jeunesse - échauffement,Youth Arena - Warm Up,Youth Arena - Warm Up,,
BMX,BMX,,Y,Olympic BMX Centre,Centre Olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre Olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,BMXCB1,
BSB,BSB,,N,Brasília Intl Airport,Aéroport inter. Brasília,Aeroporto Int de Brasília,Aeropuerto Int. Brasília,Brasília International Airport,Aéroport international de Brasília,Aeroporto Internacional de Brasília,Aeropuerto Internacional de Brasília,,
BV1,BV1,,N,Barra ACM Village 1,Village de Barra 1,Vila de ACM da Barra 1,Villa de Acom. Barra 1,Barra Accommodation Village 1,Village de Barra 1,Vila de Acomodações da Barra 1,Villa de Acomodaciones de Barra 1,,
BV2,BV2,,N,Barra ACM Village 2,Village de Barra 2,Vila de ACM da Barra 2,Villa de Acom. Barra 2,Barra Accommodation Village 2,Village de Barra 2,Vila de Acomodações da Barra 2,Villa de Acomodaciones de Barra 2,,
BV3,BV3,,N,Barra ACM Village 3,Village de Barra 3,Vila de ACM da Barra 3,Villa de Acom. Barra 3,Barra Accommodation Village 3,Village de Barra 3,Vila de Acomodações da Barra 3,Villa de Acomodaciones de Barra 3,,
BVA,BVA,,Y,Beach Volleyball Arena,Arène de Volleyball de Plage,Arena de Vôlei de Praia,Arena de Vóley-Playa,Beach Volleyball Arena,Arène de Volleyball de Plage,Arena de Vôlei de Praia,Arena de Vóley-Playa,BVABV1,
BVO,BVO,,N,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,Brasil Vale Ouro,,
BX1,RC6,1,Y,Riocentro - Pavilion 6,Riocentro - Pavillion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavillion 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,RC6BX1,
BX2,RC5,,N,Riocentro - Pavilion 5 - BX,Riocentro - pavilion 5 -boxing,Riocentro - Pavilion 5 - BX,Riocentro - Pavilion 5 - BX,Riocentro - Pavilion 5 - Boxing,Riocentro - pavilion 5 - boxing,Riocentro - Pavilion 5 - Boxing,Riocentro - Pavilion 5 - Boxing,,
BZS,BZS,,N,Bezerrão Stadium,Stade Bezerrão (Brasília),Estádio Bezerrão,Estadio Bezerrão,Bezerrão Stadium (Brasília),Stade Bezerrão (Brasília),Estádio Bezerrão (Brasília),Estadio Bezerrão (Brasília),,
CA1,CA1,,Y,Carioca Arena 1,Aréna Carioca 1,Arena Carioca 1,Arena Carioca 1,Carioca Arena 1,Aréna Carioca 1,Arena Carioca 1,Arena Carioca 1,CA1BK1,
CA2,CA2,,Y,Carioca Arena 2,Aréna Carioca 2,Arena Carioca 2,Arena Carioca 2,Carioca Arena 2,Aréna Carioca 2,Arena Carioca 2,Arena Carioca 2,,
CA3,CA3,,Y,Carioca Arena 3,Aréna Carioca 3,Arena Carioca 3,Arena Carioca 3,Carioca Arena 3,Aréna Carioca 3,Arena Carioca 3,Arena Carioca 3,,
CAS,CAS,,N,Cidade das Artes,Cité des Arts,Cidade das Artes,Ciudad de las Artes,Cidade das Artes,Cité des Arts,Cidade das Artes,Ciudad de las Artes,,
CB1,BMX,1,Y,Olympic BMX Centre,Centre Olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre Olympique de BMX,Centro Olímpico de BMX,Centro Olímpico de BMX,BMXCB1,
CF1,LAG,1,Y,Lagoa Stadium - Canoe Sprint,Stade de Lagoa - CS,Estádio da Lagoa - CS,Estadio de Lagoa - CF,Lagoa Stadium - Canoe Sprint,"Stade de Lagoa - Canoë-kayak, course en ligne",Estádio da Lagoa - Canoagem Velocidade,Estadio de Lagoa - Canotaje de velocidad,LAGCF1,
CF2,LAG,,N,Lagoa Stadium - Warm Up,Stade de Lagoa - échauffement,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,Stade de Lagoa - échauffement,Lagoa Stadium - Warm Up,Lagoa Stadium - Warm Up,,
CF3,LAG,,N,Lagoa Stadium-Canoe Trn Course,LAG - parcours d'entrainement,Lagoa Stadium-Canoe Trn Course,Lagoa Stadium-Canoe Trn Course,Lagoa Stadium - Canoe Trn Course,Stade de Lagoa - parcours d'entrainement de canoe,Lagoa Stadium - Canoe Trn Course,Lagoa Stadium - Canoe Trn Course,,
CFZ,CFZ,,N,Zico Football Trn Site,Site d'entrainement Zico,Zico Football Trn Site,Zico Football Trn Site,Zico Football Training Site,Site d'entrainement Zico Football,Zico Football Training Site,Zico Football Training Site,,
CIG,CIG,,N,Gericinó Instruction Camp,Camp d'entr. Gericinó,Campo Instrução Gericinó,Campo de Instr. Gericinó,Gericinó Instruction Camp Headquarter,Camp d'entraînement militaire de Gericinó,Sede do Campo de Instrução de Gericinó,Sede del Campo de Instrucción de Gericinó,,
CLS,CLS,,N,Colina Stadium,Stade Colina,Colina Stadium,Colina Stadium,Colina Stadium,Stade Colina,Colina Stadium,Colina Stadium,,
CM1,MBT,1,Y,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Centro de Ciclismo de Montaña,MBTCM1,
CNF,CNF,,N,Confins Intl Airport,Aéroport inter. Confins,Aeroporto Intl de Confins,Aeropuerto Int. Confins,Confins International Airport,Aéroport international de Confins,Aeroporto Internacional de Confins,Aeropuerto Internacional de Confins,,
COR,COR,,N,Rio Operational Centre,Centre opera. de la ville,Centro De Operações Rio,Centro de Operaciones Río,Rio Operational Centre,Centre des operations de la ville,Centro De Operações Rio,Centro de Operaciones de Río,,
CR1,FTC,1,Y,Fort Copacabana - Cycling Road,Fort de Copacabana - CR,Forte de Copacabana - CR,Fuerte de Copacabana - CR,Fort Copacabana - Cycling Road,Fort de Copacabana - Cyclisme sur route,Forte de Copacabana - Ciclismo de Estrada,Fuerte de Copacabana - Ciclismo de ruta,FTCCR1,
CR2,PON,2,Y,Pontal - Cycling Road,Pontal - Cyclisme sur route,Pontal - Ciclismo de Estrada,Pontal - Ciclismo de ruta,Pontal - Cycling Road,Pontal - Cyclisme sur route,Pontal - Ciclismo de Estrada,Pontal - Ciclismo de ruta,PONCR1,
CRS,CRS,,N,Coroado Stadium,Stade Coroado,Coroado Stadium,Coroado Stadium,Coroado Stadium,Stade Coroado,Coroado Stadium,Coroado Stadium,,
CS1,WWS,1,Y,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Estadio de Canotaje Slalom,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Estadio de Canotaje Slalom,WWSCS1,
CS2,WWS,,N,WWS - Training Channel,WWS - parcours d'entrainement,WWS - Training Channel,WWS - Training Channel,Whitewater Stadium - Training Channel,Parcours de canoë slalom - parcours d'entrainement, Whitewater Stadium - Training Channel,Whitewater Stadium - Training Channel,,
CT1,ROV,1,Y,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,ROVCT1,
DAQ,DAQ,,Y,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Centro Acuático de Deodoro,DAQMP1,
DAV,DAV,,N,Deodoro ACM Village,Village de Deodoro,Vila de ACM de Deodoro,Villa de Acom. Deodoro,Deodoro Accommodation Village,Village de Deodoro,Vila de Acomodações de Deodoro,Villa de Acomodaciones de Deodoro,,
DCD,DCD,,N,Deodoro Common Domain,Zone publique de Deodoro,Área Comum de Deodoro,Espacio Común de Deodoro,Deodoro Common Domain,Zone publique de Deodoro,Área Comum de Deodoro,Espacio Común de Deodoro,,
DES,DES,,Y,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Estadio de Deodoro,,
DF3,DF3,,N,Abadiao Stadium,Stade Abadiao,Abadiao Stadium,Abadiao Stadium,Abadiao Stadium,Stade Abadiao,Abadiao Stadium,Abadiao Stadium,,
DUD,DUD,,N,Deodoro Urban Domain,Zone Urbaine de Deodoro,Área Urbana de Deodoro,Espacio Urbano de Deodoro,Deodoro Urban Domain,Zone Urbaine de Deodoro,Área Urbana de Deodoro,Espacio Urbano de Deodoro,,
DV1,AQC,1,Y,Maria Lenk Aquatics - Diving,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk,Maria Lenk - Clavados,Maria Lenk Aquatics Centre - Diving Pool,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk - Piscina de Saltos,Centro Acuático Maria Lenk - Piscina de Clavados,AQCDV1,
EQ1,EQC,1,Y,Olympic Equestrian - Dressage,Olympique Équitation -Dressage,Ctr Olímpico de Hipismo -Ades.,C. O. Ecuestre-Adiestramiento,Olympic Equestrian Centre - Dressage Arena,Centre Olympique d´Équitation - Dressage,Centro Olímpico de Hipismo - Arena de Adestramento,Centro Olímpico Ecuestre - Arena de Adiestramiento,EQCEQ1,
EQ2,EQC,2,Y,Olympic Equestrian - XC Course,Olympique d´Équitation - CC,Ctr Olímpico de Hipismo - CCE,C. O. Ecuestre-Cross country,Olympic Equestrian Centre - Cross Country Course,Centre Olympique d´Équitation - Cross country,Centro Olímpico de Hipismo - CCE,Centro Olímpico Ecuestre - Recorrido Cross country,EQCEQ1,
EQ3,EQC,3,Y,Olympic Equestrian - Jumping,Olympique d´Équitation - Saut,Ctr Olímpico de Hipismo-Saltos,C. O. Ecuestre-Salto,Olympic Equestrian Centre - Jumping Arena,Centre Olympique d´Équitation - Saut,Centro Olímpico de Hipismo - Arena de Saltos,Centro Olímpico Ecuestre - Arena de Salto,EQCEQ1,
EQC,EQC,,Y,Olympic Equestrian Centre,Centre Olympique d´Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,Olympic Equestrian Centre,Centre Olympique d´Équitation,Centro Olímpico de Hipismo,Centro Olímpico Ecuestre,EQCEQ1,
F01,TR2,,N,Toca da Raposa 1,Toca da Raposa 1,Toca da Raposa 1,Toca da Raposa 1,Toca da Raposa 1,Toca da Raposa 1,Toca da Raposa 1,Toca da Raposa 1,,
F02,TR2,,N,Toca da Raposa 2,Toca da Raposa 2,Toca da Raposa 2,Toca da Raposa 2,Toca da Raposa 2,Toca da Raposa 2,Toca da Raposa 2,Toca da Raposa 2,,
F03,LDT,,N,Lanna Drumond Training Center,Ctr de formation Lanna Drumond,Lanna Drumond Training Center,Lanna Drumond Training Center,Lanna Drumond Training Center,Centre de formation Lanna Drumond,Lanna Drumond Training Center,Lanna Drumond Training Center,,
F04,SVN,,N,SESC Venda Nova,SESC Venda Nova,SESC Venda Nova,SESC Venda Nova,SESC Venda Nova,SESC Venda Nova,SESC Venda Nova,SESC Venda Nova,,
F05,DF3,,N,Abadiao Stadium,Stade d'Abadiao,Abadiao Stadium,Abadiao Stadium,Abadiao Stadium,Stade d'Abadiao,Abadiao Stadium,Abadiao Stadium,,
F06,OFS,,N,Antonio Otoni Filho Stad-CAVE,Stade Antonio Otoni Filho-CAVE,Antonio Otoni Filho Stad-CAVE,Antonio Otoni Filho Stad-CAVE,Antonio Otoni Filho Stad-CAVE,Stade Antonio Otoni Filho - CAVE,Antonio Otoni Filho Stad-CAVE,Antonio Otoni Filho Stad-CAVE,,
F07,FPT,,N,Physical Trn Ctr Brasilia,Ctr d'édu physique de Brasilia,Physical Trn Ctr Brasilia,Physical Trn Ctr Brasilia,Physical Training Centre Brasilia,Centre d'éducation physique de Brasilia,Physical Training Centre Brasilia,Physical Training Centre Brasilia,,
F08,CLS,,N,Colina Stadium,Stade Colina,Colina Stadium,Colina Stadium,Colina Stadium,Stade Colina,Colina Stadium,Colina Stadium,,
F09,CRS,,N,Coroado Stadium,Stade Coroado,Coroado Stadium,Coroado Stadium,Coroado Stadium,Stade Coroado,Coroado Stadium,Coroado Stadium,,
F10,TM3,,N,SESI Manaus Training Site,Site entrainement SESI Manaus,SESI Manaus Training Site,SESI Manaus Training Site,SESI Manaus Training Site,Site d'entrainement SESI Manaus,SESI Manaus Training Site,SESI Manaus Training Site,,
F11,CFZ,,N,Zico Football Training Site,Site d'entrainement Zico FB,Zico Football Training Site,Zico Football Training Site,Zico Football Training Site,Site d'entrainement Zico Football,Zico Football Training Site,Zico Football Training Site,,
F12,FTS,,N,George Helal Training Site 1,George Helal 1,George Helal Training Site 1,George Helal Training Site 1,George Helal Training Site 1,Site d'entrainement George Helal 1,George Helal Training Site 1,George Helal Training Site 1,,
F13,FTS,,N,George Helal Training Site 2,George Helal 2,George Helal Training Site 2,George Helal Training Site 2,George Helal Training Site 2,Site d'entrainement George Helal 2,George Helal Training Site 2,George Helal Training Site 2,,
F14,OLS,,N,Olympic Stadium - Warm-Up - FB,OLS - échauffement - football,Olympic Stadium - Warm-Up - FB,Olympic Stadium - Warm-Up - FB,Olympic Stadium - Warm-Up - Football,Stade olympique - échauffement - football,Olympic Stadium - Warm-Up - Football,Olympic Stadium - Warm-Up - Football,,
F15,BAS,,N,Barradão Stadium 1,Stade Barradão 1,Barradão Stadium 1,Barradão Stadium 1,Barradão Stadium 1,Stade Barradão 1,Barradão Stadium 1,Barradão Stadium 1,,
F16,BAS,,N,Barradão Stadium 2,Stade Barradão 2,Barradão Stadium 2,Barradão Stadium 2,Barradão Stadium 2,Stade Barradão 2,Barradão Stadium 2,Barradão Stadium 2,,
F17,MSJ,,N,Mata de São João Training Site,Mata de São João,Mata de São João Training Site,Mata de São João Training Site,Mata de São João Training Site,Site d'entrainement Mata de São João,Mata de São João Training Site,Mata de São João Training Site,,
F18,PMS,,N,Primeiro de Maio Stadium,Stade Primeiro de Maio,Primeiro de Maio Stadium,Primeiro de Maio Stadium,Primeiro de Maio Stadium,Stade Primeiro de Maio,Primeiro de Maio Stadium,Primeiro de Maio Stadium,,
F19,ACS,,N,Anacleto Campanella Stadium,Stade Anacleto Campanella,Anacleto Campanella Stadium,Anacleto Campanella Stadium,Anacleto Campanella Stadium,Stade Anacleto Campanella,Anacleto Campanella Stadium,Anacleto Campanella Stadium,,
F20,BDS,,N,Bruno José Daniel Stadium,Stade Bruno José Daniel,Bruno José Daniel Stadium,Bruno José Daniel Stadium,Bruno José Daniel Stadium,Stade Bruno José Daniel,Bruno José Daniel Stadium,Bruno José Daniel Stadium,,
F21,PSJ,,N,Parque São Jorge,Parc São Jorge,Parque São Jorge,Parque São Jorge,Parque São Jorge,Parc São Jorge,Parque São Jorge,Parque São Jorge,,
FB1,MRC,1,Y,Maracanã - FB,Maracanã - FB,Maracanã - FB,Maracanã - FB,Maracanã - Football,Maracanã - Football,Maracanã - Futebol,Maracanã - Fútbol,MRCFB1,
FB2,MGA,2,Y,Mané Garrincha Stadium - FB,Stade Mané Garrincha - FB,Estádio Mané Garrincha - FB,Estadio Mané Garrincha - FB,Mané Garrincha Stadium - Football,Stade Mané Garrincha - Football,Estádio Mané Garrincha - Futebol,Estadio Mané Garrincha - Fútbol,MGAFB1,
FB3,MIN,3,Y,Mineirão - FB,Mineirão - FB,Mineirão - FB,Mineirão - FB,Mineirão - Football,Mineirão - Football,Mineirão - Futebol,Mineirão - Fútbol,MINFB1,
