Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
CT,W,036,0,8,Women's Individual B 1km Time Trial,Quilômetro feminino - B,Women's Individual B 1km Time Trial,Quilômetro feminino - B ,"",""
CT,W,036,1,3,Women's Individual B 1km Time Trial,Quilômetro feminino - B,Women's Individual B 1km Time Trial,Quilômetro feminino - B ,"",""
CT,W,036,M,6,Women's Individual B 1km Time Trial VC,"Quilômetro feminino - B, premiação",Women's Individual B 1km Time Trial Victory Ceremony,"Quilômetro feminino - B, cerimônia de premiação ",Victory Ceremony,Cerimônia de premiação
CT,W,037,0,8,Women's Indv. C1-2-3 500m Time Trial,500m feminino - C1-2-3,Women's Individual C1-2-3 500m Time Trial,500m feminino - C1-2-3,"",""
CT,W,037,1,3,Women's Indv. C1-2-3 500m Time Trial,500m feminino - C1-2-3,Women's Individual C1-2-3 500m Time Trial,500m feminino - C1-2-3,"",""
CT,W,037,M,6,Women's Indv. C1-2-3 500m Time Trial VC,"500m feminino - C1-2-3, cer. premiação",Women's Individual C1-2-3 500m Time Trial Victory Ceremony,"500m feminino - C1-2-3, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
CT,W,038,0,8,Women's Indv. C4-5 500m Time Trial,500m feminino - C4-5,Women's Individual C4-5 500m Time Trial,500m feminino - C4-5,"",""
CT,W,038,1,3,Women's Indv. C4-5 500m Time Trial,500m feminino - C4-5,Women's Individual C4-5 500m Time Trial,500m feminino - C4-5,"",""
CT,W,038,M,6,Women's Indv. C4-5 500m Time Trial VC,"500m feminino - C4-5, cer. de premiação",Women's Individual C4-5 500m Time Trial Victory Ceremony,"500m feminino - C4-5, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
CT,X,000,0,8,Mixed Cycling Track,Ciclismo de pista misto,Mixed Cycling Track,Ciclismo de pista misto,"",""
CT,X,052,0,8,Mixed C1 to 5 Team Sprint,Velocidade equipes mista - C1-C5,Mixed C1 to 5 Team Sprint,Velocidade por equipes mista - C1-C5,"",""
CT,X,052,1,3,Mixed C1 to 5 Team Sprint Final,"Velocidade equipes mista - C1-C5, final",Mixed C1 to 5 Team Sprint Final,"Velocidade por equipes mista - C1-C5, final",Final,Final
CT,X,052,9,3,Mixed C1 to 5 Team Sprint Qual.,"Velocidade equipes mista - C1-C5, classi",Mixed C1 to 5 Team Sprint Qualification,"Velocidade por equipes mista - C1-C5, fase classificatória",Qualification,Qualification
CT,X,052,M,6,Mixed C1 to 5 Team Sprint VC,"Velocidade equipes mista - C1-C5, premia",Mixed C1 to 5 Team Sprint Victory Ceremony,"Velocidade por equipes mista - C1-C5, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
CY,0,000,0,8,Cycling,Ciclismo,Cycling,Ciclismo,"",""
EQ,0,000,0,8,Equestrian,Hipismo,Equestrian,Hipismo,"",""
EQ,0,000,N,7,Chef d'Equipe Meeting and Draw,Reunião dos chefes de equipe e sorteio,Chef d'Equipe Meeting and Draw,Reunião dos chefes de equipe e sorteio,"",""
EQ,0,EQC,0,8,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Olympic Equestrian Centre,Centro Olímpico de Hipismo,"",""
EQ,X,000,0,8,Equestrian,Hipismo,Equestrian,Hipismo,"",""
EQ,X,000,R,3,Horse Inspection,Inspeção dos cavalos,Horse Inspection,Inspeção dos cavalos,"",""
EQ,X,001,0,8,Ind. Championship Test - Grade Ia,Campeonato individual misto - grau Ia,Individual Championship Test - Grade Ia,Campeonato individual misto - grau Ia,"",""
EQ,X,001,1,3,Ind. Championship Test - Grade Ia,Campeonato individual misto - grau Ia,Individual Championship Test - Grade Ia,Campeonato individual misto - grau Ia,"",""
EQ,X,001,M,6,Ind. Championship Test - Grade Ia VC,"Campeonato ind misto - grau Ia,premiação",Individual Championship Test - Grade Ia Victory Ceremony,"Campeonato individual misto - grau Ia, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,001,T,1,Ind. Championship Test - Grade Ia Warmup,"Campeonato ind misto-grau Ia,aquecimento",Individual Championship Test - Grade Ia Warmup,"Campeonato individual misto - grau Ia, aquecimento",Warmup,Aquecimento
EQ,X,002,0,8,Ind. Championship Test - Grade II,Campeonato individual misto - grau II,Individual Championship Test - Grade II,Campeonato individual misto - grau II,"",""
EQ,X,002,1,3,Ind. Championship Test - Grade II,Campeonato individual misto - grau II,Individual Championship Test - Grade II,Campeonato individual misto - grau II,"",""
EQ,X,002,M,6,Ind. Championship Test - Grade II VC,"Campeonato ind misto - grau II,premiação",Individual Championship Test - Grade II Victory Ceremony,"Campeonato individual misto - grau II, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,002,T,1,Ind. Championship Test - Grade II Warmup,"Campeonato ind misto-grau II,aquecimento",Individual Championship Test - Grade II Warmup,"Campeonato individual misto - grau II, aquecimento",Warmup,Aquecimento
EQ,X,003,0,8,Ind. Championship Test - Grade III,Campeonato individual misto - grau III,Individual Championship Test - Grade III,Campeonato individual misto - grau III,"",""
EQ,X,003,1,3,Ind. Championship Test - Grade III,Campeonato individual misto - grau III,Individual Championship Test - Grade III,Campeonato individual misto - grau III,"",""
EQ,X,003,M,6,Ind. Championship Test - Grade III VC,"Campeonato ind misto-grau III,premiação",Individual Championship Test - Grade III Victory Ceremony,"Campeonato individual misto - grau III, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,003,T,1,Ind. Championship Test- Grade III Warmup,"Campeonato ind misto-grau III,aqueciment",Individual Championship Test - Grade III Warmup,"Campeonato individual misto - grau III, aquecimento",Warmup,Aquecimento
EQ,X,004,0,8,Ind. Championship Test - Grade IV,Campeonato individual misto - grau IV,Individual Championship Test - Grade IV,Campeonato individual misto - grau IV,"",""
EQ,X,004,1,3,Ind. Championship Test - Grade IV,Campeonato individual misto - grau IV,Individual Championship Test - Grade IV,Campeonato individual misto - grau IV,"",""
EQ,X,004,M,6,Ind. Championship Test - Grade IV VC,"Campeonato ind misto - grau IV,premiação",Individual Championship Test - Grade IV Victory Ceremony,"Campeonato individual misto - grau IV, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,004,T,1,Ind. Championship Test - Grade IV Warmup,"Campeonato ind misto-grau IV,aquecimento",Individual Championship Test - Grade IV Warmup,"Campeonato individual misto - grau IV, aquecimento",Warmup,Aquecimento
EQ,X,012,0,8,Ind. Championship Test - Grade Ib,Campeonato individual misto - grau Ib,Individual Championship Test - Grade Ib,Campeonato individual misto - grau Ib,"",""
EQ,X,012,1,3,Ind. Championship Test - Grade Ib,Campeonato individual misto - grau Ib,Individual Championship Test - Grade Ib,Campeonato individual misto - grau Ib,"",""
EQ,X,012,M,6,Ind. Championship Test - Grade Ib VC,"Campeonato ind misto - grau Ib,premiação",Individual Championship Test - Grade Ib Victory Ceremony,"Campeonato individual misto - grau Ib, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,012,T,1,Ind. Championship Test - Grade Ib Warmup,"Campeonato ind misto-grau Ib,aquecimento",Individual Championship Test - Grade Ib Warmup,"Campeonato individual misto - grau Ib, aquecimento",Warmup,Aquecimento
EQ,X,201,0,8,Ind. Freestyle Test - Grade Ia,Estilo livre individual misto - grau Ia,Individual Freestyle Test - Grade Ia,Estilo livre individual misto - grau Ia,"",""
EQ,X,201,1,3,Ind. Freestyle Test - Grade Ia,Estilo livre individual misto - grau Ia,Individual Freestyle Test - Grade Ia,Estilo livre individual misto - grau Ia,"",""
EQ,X,201,M,6,Ind. Freestyle Test - Grade Ia VC,"Estilo livre ind misto-grau Ia,premiação",Individual Freestyle Test - Grade Ia Victory Ceremony,"Estilo livre individual misto - grau Ia, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,201,T,1,Ind. Freestyle Test - Grade Ia Warmup,"Estilo livre ind misto-grau Ia,aquecimen",Individual Freestyle Test - Grade Ia Warmup,"Estilo livre individual misto - grau Ia, aquecimento",Warmup,Aquecimento
EQ,X,202,0,8,Ind. Freestyle Test - Grade II,Estilo livre individual misto - grau II,Individual Freestyle Test - Grade II,Estilo livre individual misto - grau II,"",""
EQ,X,202,1,3,Ind. Freestyle Test - Grade II,Estilo livre individual misto - grau II,Individual Freestyle Test - Grade II,Estilo livre individual misto - grau II,"",""
EQ,X,202,M,6,Ind. Freestyle Test - Grade II VC,"Estilo livre ind misto-grau II,premiação",Individual Freestyle Test - Grade II Victory Ceremony,"Estilo livre individual misto - grau II, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,202,T,1,Ind. Freestyle Test - Grade II Warmup,"Estilo livre ind misto-grau II,aquecimen",Individual Freestyle Test - Grade II Warmup,"Estilo livre individual misto - grau II, aquecimento",Warmup,Aquecimento
EQ,X,203,0,8,Ind. Freestyle Test - Grade III,Estilo livre individual misto - grau III,Individual Freestyle Test - Grade III,Estilo livre individual misto - grau III,"",""
EQ,X,203,1,3,Ind. Freestyle Test - Grade III,Estilo livre individual misto - grau III,Individual Freestyle Test - Grade III,Estilo livre individual misto - grau III,"",""
EQ,X,203,M,6,Ind. Freestyle Test - Grade III VC,"Estilo livre ind misto-grau III,premiaçã",Individual Freestyle Test - Grade III Victory Ceremony,"Estilo livre individual misto - grau III, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,203,T,1,Ind. Freestyle Test - Grade III Warmup,"Estilo livre ind misto-grau III,aquecime",Individual Freestyle Test - Grade III Warmup,"Estilo livre individual misto - grau III, aquecimento",Warmup,Aquecimento
EQ,X,204,0,8,Ind. Freestyle Test - Grade IV,Estilo livre individual misto - grau IV,Individual Freestyle Test - Grade IV,Estilo livre individual misto - grau IV,"",""
EQ,X,204,1,3,Ind. Freestyle Test - Grade IV,Estilo livre individual misto - grau IV,Individual Freestyle Test - Grade IV,Estilo livre individual misto - grau IV,"",""
EQ,X,204,M,6,Ind. Freestyle Test - Grade IV VC,"Estilo livre ind misto-grau IV,premiação",Individual Freestyle Test - Grade IV Victory Ceremony,"Estilo livre individual misto - grau IV, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,204,T,1,Ind. Freestyle Test - Grade IV Warmup,"Estilo livre ind misto-grau IV,aquecimen",Individual Freestyle Test - Grade IV Warmup,"Estilo livre individual misto - grau IV, aquecimento",Warmup,Aquecimento
EQ,X,212,0,8,Ind. Freestyle Test - Grade Ib,Estilo livre individual misto - grau Ib,Individual Freestyle Test - Grade Ib,Estilo livre individual misto - grau Ib,"",""
EQ,X,212,1,3,Ind. Freestyle Test - Grade Ib,Estilo livre individual misto - grau Ib,Individual Freestyle Test - Grade Ib,Estilo livre individual misto - grau Ib,"",""
EQ,X,212,M,6,Ind. Freestyle Test - Grade Ib VC,"Estilo livre ind misto-grau Ib,premiação",Individual Freestyle Test - Grade Ib Victory Ceremony,"Estilo livre individual misto - grau Ib, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
EQ,X,212,T,1,Ind. Freestyle Test - Grade Ib Warmup,"Estilo livre ind misto-grau Ib,aquecimen",Individual Freestyle Test - Grade Ib Warmup,"Estilo livre individual misto - grau Ib, aquecimento",Warmup,Aquecimento
EQ,X,400,0,3,Team Test,Competição por equipes,Team Test,Competição por equipes,"",""
EQ,X,401,0,8,Team Test - Grade Ia,Competição por equipes - grau Ia,Team Test - Grade Ia,Competição por equipes - grau Ia,"",""
EQ,X,401,1,3,Team Test - Grade Ia,Competição por equipes - grau Ia,Team Test - Grade Ia,Competição por equipes - grau Ia,"",""
EQ,X,401,T,1,Team Test - Grade Ia Warmup,"Por equipes - grau Ia, aquecimento",Team Test - Grade Ia Warmup,"Competição por equipes - grau Ia, aquecimento",Warmup,Aquecimento
EQ,X,402,0,8,Team Test - Grade II,Competição por equipes - grau II,Team Test - Grade II,Competição por equipes - grau II,"",""
EQ,X,402,1,3,Team Test - Grade II,Competição por equipes - grau II,Team Test - Grade II,Competição por equipes - grau II,"",""
EQ,X,402,T,1,Team Test - Grade II Warmup,"Por equipes - grau II, aquecimento",Team Test - Grade II Warmup,"Competição por equipes - grau II, aquecimento",Warmup,Aquecimento
EQ,X,403,0,8,Team Test - Grade III,Competição por equipes - grau III,Team Test - Grade III,Competição por equipes - grau III,"",""
EQ,X,403,1,3,Team Test - Grade III,Competição por equipes - grau III,Team Test - Grade III,Competição por equipes - grau III,"",""
EQ,X,403,T,1,Team Test - Grade III Warmup,"Por equipes - grau III, aquecimento",Team Test - Grade III Warmup,"Competição por equipes - grau III, aquecimento",Warmup,Aquecimento
EQ,X,404,0,8,Team Test - Grade IV,Competição por equipes - grau IV,Team Test - Grade IV,Competição por equipes - grau IV,"",""
EQ,X,404,1,3,Team Test - Grade IV,Competição por equipes - grau IV,Team Test - Grade IV,Competição por equipes - grau IV,"",""
EQ,X,404,T,1,Team Test - Grade IV Warmup,"Por equipes - grau IV, aquecimento",Team Test - Grade IV Warmup,"Competição por equipes - grau IV, aquecimento",Warmup,Aquecimento
EQ,X,412,0,8,Team Test - Grade Ib,Competição por equipes - grau Ib,Team Test - Grade Ib,Competição por equipes - grau Ib,"",""
EQ,X,412,1,3,Team Test - Grade Ib,Competição por equipes - grau Ib,Team Test - Grade Ib,Competição por equipes - grau Ib,"",""
EQ,X,412,T,1,Team Test - Grade Ib Warmup,"Por equipes - grau Ib, aquecimento",Team Test - Grade Ib Warmup,"Competição por equipes - grau Ib, aquecimento",Warmup,Aquecimento
EQ,X,420,0,8,Team Championship,Campeonato por equipes,Team Championship,Campeonato por equipes,"",""
EQ,X,420,1,3,Team Championship-Ind. Championship Test,Campeonato equipes-campeão individual,Team Championship - Individual Championship Test,Campeonato por equipes - campeão individual,Team Championship - Individual Championship Test,Campeonato por equipes - campeão individual
EQ,X,420,9,3,Team Championship - Team Test,Campeonato equipes-competição equipes,Team Championship - Team Test,Campeonato por equipes - competição por equipes,Team Test,Competição por equipes
EQ,X,420,M,6,Team VC,"Campeonato por equipes, cer. premiação",Team Victory Ceremony,"Campeonato por equipes, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
FB,0,000,0,8,Football 5-a-side,Futebol de 5,Football 5-a-side,Futebol de 5,,
FB,0,000,Y,8,Football 5-a-side Daily Schedule,"Futebol de 5, programação diária",Football 5-a-side Daily Schedule,"Futebol de 5, programação diária",,
FB,0,OTN,0,8,Olympic Tennis Centre,Centro Olímpico de Tênis,Olympic Tennis Centre,Centro Olímpico de Tênis,,
FB,M,000,0,8,Men's Football 5-a-side,Futebol de 5 masculino,Men's Football 5-a-side,Futebol de 5 masculino,,
FB,M,400,0,8,Men's - B1,Masculino - B1,Men's - B1,Masculino - B1,,
FB,M,400,1,3,Men's - B1 Finals,"Masculino - B1, finais",Men's - B1 Finals,"Masculino - B1, finais",Finals,Finais
FB,M,400,2,3,Men's - B1 Semifinals,"Masculino, semifinais",Men's - B1 Semifinals,"Masculino, semifinais",Semifinals,Semifinais
FB,M,400,9,3,Men's - B1 Preliminaries,"Masculino, primeira fase",Men's - B1 Preliminaries,"Masculino, primeira fase",Preliminaries,Primeira fase
FB,M,400,A,3,Men's  - B1 Preliminaries Pool A,"Masculino, primeira fase, grupo A",Men's  - B1 Preliminaries Pool A,"Masculino, primeira fase, grupo A",Preliminaries Pool A,"Primeira fase, grupo A"
FB,M,400,B,3,Men's - B1 Preliminaries Pool B,"Masculino, primeira fase, grupo B",Men's - B1 Preliminaries Pool B,"Masculino, primeira fase, grupo B",Preliminaries Pool B,"Primeira fase, grupo B"
FB,M,400,M,6,Men's B1 VC,"Masculino - B1, cerimônia de premiação",Men's B1 VC,"Masculino - B1, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
FT,0,000,0,8,Football 7-a-side,Futebol de 7,Football 7-a-side,Futebol de 7,"",""
FT,0,000,Y,8,Football 7-a-side Daily Schedule,"Futebol de 7, programação diária",Football 7-a-side Daily Schedule,"Futebol de 7, programação diária","",""
FT,0,DES,0,8,Deodoro Stadium,Estádio de Deodoro,Deodoro Stadium,Estádio de Deodoro,"",""
FT,M,000,0,8,Men's Football 7-a-side,Futebol de 7 masculino,Men's Football 7-a-side,Futebol de 7 masculino,"",""
FT,M,400,0,8,Men's 7-a-side,Futebol de 7,Men's 7-a-side,Futebol de 7,"",""
FT,M,400,1,3,Men's Finals,"Masculino, finais",Men's Finals,"Masculino, finais",Finals,Finais
FT,M,400,2,3,Men's Semifinals,"Masculino, semifinais",Men's Semifinals,"Masculino, semifinais",Semifinals,Semifinais
FT,M,400,9,3,Men's Preliminaries,"Masculino, primeira fase",Men's Preliminaries,"Masculino, primeira fase",Preliminaries,Primeira fase
FT,M,400,A,3,Men's Preliminaries Pool A,"Masculino, primeira fase, grupo A",Men's Preliminaries Pool A,"Masculino, primeira fase, grupo A",Preliminaries Pool A,"Primeira fase, grupo A"
FT,M,400,B,3,Men's Preliminaries Pool B,"Masculino, primeira fase, grupo B",Men's Preliminaries Pool B,"Masculino, primeira fase, grupo B",Preliminaries Pool B,"Primeira fase, grupo B"
FT,M,400,M,6,Men's VC,"Masculino, cerimônia de premiação",Men's VC,"Masculino, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
GB,0,000,0,8,Goalball,Goalball,Goalball,Goalball,"",""
GB,0,000,Q,4,Goalball Technical Meeting,Reunião técnica,Goalball Technical Meeting,Reunião técnica,"",""
GB,0,000,Y,8,Goalball Daily Schedule,"Goalball, programação diária",Goalball Daily Schedule,"Goalball, programação diária","",""
GB,0,FTA,0,8,Future Arena,Arena do Futuro,Future Arena,Arena do Futuro,"",""
GB,M,000,0,8,Men's Goalball,Goalball masculino,Men's Goalball,Goalball masculino,"",""
GB,M,000,Y,8,Goalball Men's Daily Schedule,"Goalball masculino, programação diária",Goalball Men's Daily Schedule,"Goalball masculino, programação diária","",""
GB,M,400,0,8,Men's Team,Torneio masculino,Men's Team,Torneio masculino,"",""
GB,M,400,1,3,Men's Finals,"Masculino, finais",Men's Finals,"Masculino, finais",Finals,Finais
GB,M,400,2,3,Men's Semifinals,"Masculino, semifinais",Men's Semifinals,"Masculino, semifinais",Semifinals,Semifinais
GB,M,400,3,3,Men's Quarterfinals,"Masculino, quartas de final",Men's Quarterfinals,"Masculino, quartas de final",Quarterfinals,Quartas de finais
GB,M,400,9,3,Men's Preliminaries,"Masculino, primeira fase",Men's Preliminaries,"Masculino, primeira fase",Preliminaries,Primeira fase
GB,M,400,A,3,Men's Preliminaries Group A,"Masculino, primeira fase, grupo A",Men's Preliminaries Group A,"Masculino, primeira fase, grupo A",Preliminaries Group A,"Primeira fase, grupo A"
GB,M,400,B,3,Men's Preliminaries Group B,"Masculino, primeira fase, grupo B",Men's Preliminaries Group B,"Masculino, primeira fase, grupo B",Preliminaries Group B,"Primeira fase, grupo B"
GB,M,400,M,6,Men's VC,"Masculino, cerimônia de premiação",Men's VC,"Masculino, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
GB,W,000,0,8,Women's Goalball,Goalball feminino,Women's Goalball,Goalball feminino,"",""
GB,W,000,Y,8,Goalball Women's Daily Schedule,"Goalball feminino, programação diária",Goalball Women's Daily Schedule,"Goalball feminino, programação diária","",""
GB,W,400,0,8,Women's Team,Torneio feminino,Women's Team,Torneio feminino,"",""
GB,W,400,1,3,Women's Finals,"Feminino, finais",Women's Finals,"Feminino, finais",Finals,Finais
GB,W,400,2,3,Women's Semifinals,"Feminino, semifinais",Women's Semifinals,"Feminino, semifinais",Semifinals,Semifinais
GB,W,400,3,3,Women's Quarterfinals,"Feminino, quartas de final",Women's Quarterfinals,"Feminino, quartas de final",Quarterfinals,Quartas de finais
GB,W,400,9,3,Women's Preliminaries,"Feminino, primeira fase",Women's Preliminaries,"Feminino, primeira fase",Preliminaries,Primeira Fase
GB,W,400,A,3,Women's Preliminaries Group A,"Feminino, primeira fase, grupo A",Women's Preliminaries Group A,"Feminino, primeira fase, grupo A",Preliminaries Group A,"Primeira Fase, grupo A"
GB,W,400,B,3,Women's Preliminaries Group B,"Feminino, primeira fase, grupo B",Women's Preliminaries Group B,"Feminino, primeira fase, grupo B",Preliminaries Group B,"Primeira Fase, grupo B"
GB,W,400,M,6,Women's VC,"Feminino, cerimônia de premiação",Women's VC,"Feminino, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
GL,0,000,0,8,General,Geral,General,Geral,"",""
GL,0,BAT,0,8,BAT Place Conditions / Weather Alerts,BAT Condições do Local / Alertas meteoro,BAT Place Conditions / Weather Alerts,BAT Condições do Local / Alertas meteorológicos,"",""
GL,0,CA1,0,8,Carioca Arena 1,Arena Carioca 1,Carioca Arena 1,Arena Carioca 1,"",""
GL,0,CA2,0,8,Carioca Arena 2,Arena Carioca 2,Carioca Arena 2,Arena Carioca 2,"",""
GL,0,CA3,0,8,Carioca Arena 3,Arena Carioca 3,Carioca Arena 3,Arena Carioca 3,"",""
GL,0,COP,0,8,COP Place Conditions / Weather Alerts,COP Condições do Local / Alertas meteoro,COP Place Conditions / Weather Alerts,COP Condições do Local / Alertas meteorológicos,"",""
GL,0,DEO,0,8,DEO Place Conditions / Weather Alerts,DEO Condições do Local / Alertas meteoro,DEO Place Conditions / Weather Alerts,DEO Condições do Local / Alertas meteorológicos,"",""
GL,0,DES,0,8,Deodoro Stadium,Estádio de Deodoro,Deodoro Stadium,Estádio de Deodoro,"",""
GL,0,EQC,0,8,Olympic Equestrian Centre,Centro Olímpico de Hipismo,Olympic Equestrian Centre,Centro Olímpico de Hipismo,"",""
GL,0,FTA,0,8,Future Arena,Arena do Futuro,Future Arena,Arena do Futuro,"",""
GL,0,FTC,0,8,Fort Copacabana,Forte de Copacabana,Fort Copacabana,Forte de Copacabana,"",""
GL,0,GLO,0,8,Marina da Glória,Marina da Glória,Marina da Glória,Marina da Glória,"",""
GL,0,LAG,0,8,Lagoa Stadium,Estádio da Lagoa,Lagoa Stadium,Estádio da Lagoa,"",""
GL,0,MRZ,0,8,MRZ Place Conditions / Weather Alerts,MRZ Condições do Local / Alertas meteoro,MRZ Place Conditions / Weather Alerts,MRZ Condições do Local / Alertas meteorológicos,"",""
GL,0,OAS,0,8,Olympic Aquatics Stadium,Estádio Aquático Olímpico,Olympic Aquatics Stadium,Estádio Aquático Olímpico,"",""
GL,0,OLS,0,8,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,"",""
GL,0,OSC,0,8,Olympic Shooting Centre,Centro Olímpico de Tiro,Olympic Shooting Centre,Centro Olímpico de Tiro,"",""
GL,0,OTN,0,8,Olympic Tennis Centre,Centro Olímpico de Tênis,Olympic Tennis Centre,Centro Olímpico de Tênis,"",""
GL,0,PON,0,8,Pontal,Pontal,Pontal,Pontal,"",""
GL,0,RC2,0,8,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,Riocentro - Pavilion 2,Riocentro - Pavilhão 2,"",""
GL,0,RC3,0,8,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,Riocentro - Pavilion 3,Riocentro - Pavilhão 3,"",""
GL,0,RC6,0,8,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,Riocentro - Pavilion 6,Riocentro - Pavilhão 6,"",""
GL,0,ROA,0,8,Rio Olympic Arena,Arena Olímpica do Rio,Rio Olympic Arena,Arena Olímpica do Rio,"",""
GL,0,ROV,0,8,Rio Olympic Velodrome,Velódromo Olímpico do Rio,Rio Olympic Velodrome,Velódromo Olímpico do Rio,"",""
GL,0,SBD,0,8,Sambódromo,Sambódromo,Sambódromo,Sambódromo,"",""
GL,0,YOA,0,8,Youth Arena,Arena da Juventude,Youth Arena,Arena da Juventude,"",""
JU,0,000,0,8,Judo,Judô,Judo,Judô,"",""
JU,0,000,N,7,Judo Draw,"Judô, sorteio",Judo Draw,"Judô, sorteio","",""
JU,0,000,Y,8,Judo Daily Schedule,"Judô, programação diária",Judo Daily Schedule,"Judô, programação diária","",""
JU,0,000,Z,8,Judo - Sessions,"Judô, sessões",Judo - Sessions,"Judô, sessões","",""
JU,0,CA3,0,8,Carioca Arena 3,Arena Carioca 3,Carioca Arena 3,Arena Carioca 3,"",""
JU,M,000,0,8,Men Judo,Judô masculino,Men Judo,Judô masculino,"",""
JU,M,060,0,8,Men -60 kg,Até 60kg masculino,Men -60 kg,Até 60kg masculino,,
JU,M,060,1,3,Men -60 kg Gold Medal Contest,"Até 60kg masculino, disputa pelo ouro",Men -60 kg Gold Medal Contest,"Até 60kg masculino, disputa pelo ouro",Gold Medal Contest,Disputa pelo Ouro
JU,M,060,2,3,Men -60 kg Semifinals/Brz Mdl Contests,"Até 60kg masc,semifinais/disputas bronze",Men -60 kg Semifinals/Bronze Medal Contests,"Até 60kg masculino, semifinais / disputas pelo bronze ",Semifinals/Bronze Medal Contests,Semifinals/Bronze Medal Contests
JU,M,060,3,3,Men -60 kg Quarterfinals/Finals of Rep,"Até 60kg masculino, quartas / repescagem",Men -60 kg Quarterfinals/Finals of Repechage,"Até 60kg masculino, quartas de final / finais da repescagem",Quarterfinals/Finals of Repechage,Quarterfinals/Finais da Repescagem
JU,M,060,4,3,Men -60 kg Prelim. Rnd of 16/Rep,"Até 60kg masculino, segunda / repescagem",Men -60 kg Preliminary Round of 16 / Repechages,"Até 60kg masculino, segunda fase / repescagem",Preliminary Round of 16 / Repechages,Segunda fase / repescagem
JU,M,060,M,6,Men -60 kg Victory Ceremony,"Até 60kg masculino, cerimônia premiação",Men -60 kg Victory Ceremony,"Até 60kg masculino, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
JU,M,066,0,8,Men -66 kg,Até 66kg masculino,Men -66 kg,Até 66kg masculino,"",""
JU,M,066,1,3,Men -66 kg Gold Medal Contest,"Até 66kg masculino, disputa pelo ouro",Men -66 kg Gold Medal Contest,"Até 66kg masculino, disputa pelo ouro",Gold Medal Contest,Disputa pelo Ouro
JU,M,066,2,3,Men -66 kg Semifinals/Brz Mdl Contests,"Até 66kg masc,semifinais/disputas bronze",Men -66 kg Semifinals/Bronze Medal Contests,"Até 66kg masculino, semifinais / disputas pelo bronze",Semifinals/Bronze Medal Contests,Semifinals/Bronze Medal Contests
JU,M,066,3,3,Men -66 kg Quarterfinals/Finals of Rep,"Até 66kg masculino, quartas / repescagem",Men -66 kg Quarterfinals/Finals of Repechage,"Até 66kg masculino, quartas de final / finais da repescagem",Quarterfinals/Finals of Repechage,Quarterfinals/Finais da Repescagem
JU,M,066,4,3,Men -66 kg Prelim. Rnd of 16/Rep,"Até 66kg masculino, segunda / repescagem",Men -66 kg Preliminary Round of 16 / Repechages,"Até 66kg masculino, segunda fase / repescagens",Preliminary Round of 16 / Repechages,Segunda fase / Repecagens
JU,M,066,M,6,Men -66 kg Victory Ceremony,"Até 66kg masculino, cerimônia premiação",Men -66 kg Victory Ceremony,"Até 66kg masculino, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
JU,M,073,0,8,Men -73 kg,Até 73kg masculino,Men -73 kg,Até 73kg masculino,"",""
JU,M,073,1,3,Men -73 kg Gold Medal Contest,"Até 73kg masculino, disputa pelo ouro",Men -73 kg Gold Medal Contest,"Até 73kg masculino, disputa pelo ouro",Gold Medal Contest,Disputa pelo Ouro
JU,M,073,2,3,Men -73 kg Semifinals/Brz Mdl Contests,"Até 73kg masc,semifinais/disputas bronze",Men -73 kg Semifinals/Bronze Medal Contests,"Até 73kg masculino, semifinais / disputas pela medalha de bronze",Semifinals/Bronze Medal Contests,Semifinals/Bronze Medal Contests
JU,M,073,3,3,Men -73 kg Quarterfinals/Finals of Rep,"Até 73kg masculino, quartas / repescagem",Men -73 kg Quarterfinals/Finals of Repechage,"Até 73kg masculino, quartas de final / finais da repescagem",Quarterfinals/Finals of Repechage,Quarterfinals/Finais da Repescagem
