Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AT,M,640,N,7,Men's Discus Throw - F40 Draw,"Lançamento disco masc - F40, sorteio",Men's Discus Throw - F40 Draw,"Lançamento do disco masculino - F40, sorteio",Draw,Sorteio
AT,M,642,0,8,Men's Discus Throw - F42,Lançamento disco masc - F42,Men's Discus Throw - F42,Lançamento do disco masculino - F42,"",""
AT,M,642,1,3,Men's Discus Throw - F42 Final,"Lançamento disco masc - F42, final",Men's Discus Throw - F42 Final,"Lançamento do disco masculino - F42, final ",Final,Final
AT,M,642,9,3,Men's Discus Throw - F42 Qualifying,"Lançamento disco masc - F42, class",Men's Discus Throw - F42 Qualifying,"Lançamento do disco masculino - F42, classificatórias",Qualifying,Classificatória
AT,M,642,M,6,Men's Discus Throw - F42 VC,"Lançamento disco masc - F42, premiação",Men's Discus Throw - F42 Victory Ceremony,"Lançamento do disco masculino - F42, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,642,N,7,Men's Discus Throw - F42 Draw,"Lançamento disco masc - F42, sorteio",Men's Discus Throw - F42 Draw,"Lançamento do disco masculino - F42, sorteio",Draw,Sorteio
AT,M,651,0,8,Men's Discus Throw - F51/52/53,Lançamento disco masc - F51/52/53,Men's Discus Throw - F51/52/53,Lançamento do disco masculino - F51/52/53,"",""
AT,M,651,1,3,Men's Discus Throw - F51/52/53 Final,"Lançamento disco masc - F51/52/53, final",Men's Discus Throw - F51/52/53 Final,"Lançamento do disco masculino - F51/52/53, final",Final,Final
AT,M,651,9,3,Men's Discus Throw- F51/52/53 Qualifying,"Lançamento disco masc - F51/52/53, class",Men's Discus Throw - F51/52/53 Qualifying,"Lançamento do disco masculino - F51/52/53, classificatórias",Qualifying,Classificatória
AT,M,651,M,6,Men's Discus Throw - F51/52/53 VC,"Lançamento disco masc-F51/52/53,premiaçã",Men's Discus Throw - F51/52/53 Victory Ceremony,"Lançamento do disco masculino - F51/52/53, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,651,N,7,Men's Discus Throw - F51/52/53 Draw,"Lançamento disco masc-F51/52/53, sorteio",Men's Discus Throw - F51/52/53 Draw,"Lançamento do disco masculino - F51/52/53, sorteio",Draw,Sorteio
