Id,type,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
FIN,OC,Finland,Finlande,Finlândia,Finland,Finlande,Finlândia
FINA,IF,FINA,FINA,FINA,International Aquatics Federation,Fédération Internationale de Natation,Federação Internacional de Desportos Aquáticos
FISA,IF,FISA,FISA,FISA,International Rowing Federation,Fédération Internationale des Sociétés d'Aviron,Federação Internacional de Remo
FIVB,IF,FIVB,FIVB,FIVB,International Volleyball Federation,Fédération Internationale de Volleyball,Federação Internacional de Voleibol
FRA,OC,France,France,França,France,France,França
FRG,OC,FRG,FRG,Alemanha Ocidental,Federal Republic of Germany,République Fédérale d'Allemagne,República Federal da Alemanha
FSM,OC,Micronesia,Micronésie,Micronésia,Federated States of Micronesia,États fédérés de Micronésie,Estados Federados da Micronésia
GAB,OC,Gabon,Gabon,Gabão,Gabon,Gabon,Gabão
GAM,OC,Gambia,Gambie,Gâmbia,Gambia,Gambie,Gâmbia
GBR,OC,Great Britain,Grande-Bretagne,Grã-Bretanha,Great Britain,Grande-Bretagne,Grã-Bretanha
GBS,OC,Guinea-Bissau,Guinée-Bissau,Guiné-Bissau,Guinea-Bissau,Guinée-Bissau,Guiné-Bissau
GDR,OC,GDR,RDA,Alemanha Oriental,GDR,RDA,República Democrática Alemã
GEO,OC,Georgia,Géorgie,Geórgia,Georgia,Géorgie,Geórgia
GEQ,OC,Equatorial Guinea,Guinée équatoriale,Guiné Equatorial,Equatorial Guinea,Guinée équatoriale,Guiné Equatorial
GER,OC,Germany,Allemagne,Alemanha,Germany,Allemagne,Alemanha
GHA,OC,Ghana,Ghana,Gana,Ghana,Ghana,Gana
GRE,OC,Greece,Grèce,Grécia,Greece,Grèce,Grécia
GRN,OC,Grenada,Grenade,Granada,Grenada,Grenade,Granada
GUA,OC,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
GUI,OC,Guinea,Guinée,Guiné,Guinea,Guinée,Guiné
GUM,OC,Guam,Guam,Guam,Guam,Guam,Guam
GUY,OC,Guyana,Guyana,Guiana,Guyana,Guyana,Guiana
HAI,OC,Haiti,Haïti,Haiti,Haiti,Haïti,Haiti
HKG,OC,"Hong Kong, China","Hong Kong, Chine","Hong Kong, China","Hong Kong, China","Hong Kong, Chine","Hong Kong, China"
HON,OC,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras
HUN,OC,Hungary,Hongrie,Hungria,Hungary,Hongrie,Hungria
IAAF,IF,IAAF,IAAF,IAAF,International Association of Athletics Federations,Association Internationale des Fédérations d'Athletisme,Federação Internacional de Atletismo
ICF,IF,ICF,ICF,ICF,International Canoe Federation,Fédération Internationale de Canoë,Federação Internacional de Canoagem
IGF,IF,IGF,IGF,IGF,International Golf Federation,Fédération Internationale de Golf,Federação International de Golfe
IHF,IF,IHF,IHF,IHF,International Handball Federation,Fédération Internationale de Handball,Federação Internacional de Handebol
IJF,IF,IJF,IJF,IJF,International Judo Federation,Fédération Internationale de Judo,Federação Internacional de Judô
INA,OC,Indonesia,Indonésie,Indonésia,Indonesia,Indonésie,Indonésia
IND,OC,India,Inde,Índia,India,Inde,Índia
IOA,OC,IOA,AOI,AOI,Independent Olympic Athlete,Athlète Olympique Indépendant,Atleta Olímpico Independente
IOP,OC,IOP,POI,POI,Independent Olympic Participant,Participant Olympique Indépendant,Participante Olímpico Independente
IRI,OC,Iran,Iran,Irã,Islamic Republic of Iran,République islamique d'Iran,República Islâmica do Irã
IRL,OC,Ireland,Irlande,Irlanda,Ireland,Irlande,Irlanda
IRQ,OC,Iraq,Iraq,Iraque,Iraq,Iraq,Iraque
ISL,OC,Iceland,Islande,Islândia,Iceland,Islande,Islândia
ISR,OC,Israel,Israël,Israel,Israel,Israël,Israel
ISSF,IF,ISSF,ISSF,ISSF,International Shooting Sport Federation,Fédération Internationale de Tir Sportif,Federação Internacional de Tiro Esportivo
ISV,OC,"Virgin Islands, US",Îles Vierges EU,"Ilhas Virgens, EU","Virgin Islands, US",Îles Vierges des États-Unis,Ilhas Virgens Americanas
ITA,OC,Italy,Italie,Itália,Italy,Italie,Itália
ITF,IF,ITF,ITF,ITF,International Tennis Federation,Fédération Internationale de Tennis,Federação Internacional de Tênis
ITTF,IF,ITTF,ITTF,ITTF,International Table Tennis Federation,Fédération Internationale de Tennis de Table,Federação Internacional de Tênis de Mesa
ITU,IF,ITU,ITU,ITU,International Triathlon Union,Fédération Internationale de Triathlon,Federação Internacional de Triatlo
IVB,OC,"Virgin Islands, GB",Îles Vierges RU,Ilhas V. Britânicas,"Virgin Islands, British",Îles Vierges britanniques,Ilhas Virgens Britânicas
IWF,IF,IWF,IWF,IWF,International Weightlifting Federation,Fédération Internationale d'Haltérophilie,Federação Internacional de Levantamento de Peso
JAM,OC,Jamaica,Jamaïque,Jamaica,Jamaica,Jamaïque,Jamaica
JOR,OC,Jordan,Jordanie,Jordânia,Jordan,Jordanie,Jordânia
JPN,OC,Japan,Japon,Japão,Japan,Japon,Japão
KAZ,OC,Kazakhstan,Kazakhstan,Cazaquistão,Kazakhstan,Kazakhstan,Cazaquistão
KEN,OC,Kenya,Kenya,Quênia,Kenya,Kenya,Quênia
KGZ,OC,Kyrgyzstan,Kirghizistan,Quirguistão,Kyrgyzstan,Kirghizistan,Quirguistão
KIR,OC,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
KOR,OC,Republic of Korea,République de Corée,República da Coréia,Republic of Korea,République de Corée,República da Coréia
KOS,OC,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
KSA,OC,Saudi Arabia,Arabie saoudite,Arábia Saudita,Saudi Arabia,Arabie saoudite,Arábia Saudita
KUW,OC,Kuwait,Koweït,Kuaite,Kuwait,Koweït,Kuaite
LAO,OC,Lao PDR,RDP lao,Laos,Lao People's Democratic Republic,République démocratique populaire lao,República Democrática Popular do Laos
LAT,OC,Latvia,Lettonie,Letônia,Latvia,Lettonie,Letônia
LBA,OC,Libya,Libye,Líbia,Libya,Libye,Líbia
LBR,OC,Liberia,Libéria,Libéria,Liberia,Libéria,Libéria
LCA,OC,Saint Lucia,Sainte-Lucie,Santa Lúcia,Saint Lucia,Sainte-Lucie,Santa Lúcia
LES,OC,Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,Lesoto
LIB,OC,Lebanon,Liban,Líbano,Lebanon,Liban,Líbano
LIE,OC,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
LTU,OC,Lithuania,Lituanie,Lituânia,Lithuania,Lituanie,Lituânia
LUX,OC,Luxembourg,Luxembourg,Luxemburgo,Luxembourg,Luxembourg,Luxemburgo
MAD,OC,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
MAR,OC,Morocco,Maroc,Marrocos,Morocco,Maroc,Marrocos
MAS,OC,Malaysia,Malaisie,Malásia,Malaysia,Malaisie,Malásia
MAW,OC,Malawi,Malawi,Maláui,Malawi,Malawi,Maláui
MDA,OC,Republic of Moldova,Rép. de Moldova,República da Moldova,Republic of Moldova,République de Moldova,República da Moldova
MDV,OC,Maldives,Maldives,Maldivas,Maldives,Maldives,Maldivas
MEX,OC,Mexico,Mexique,México,Mexico,Mexique,México
MGL,OC,Mongolia,Mongolie,Mongólia,Mongolia,Mongolie,Mongólia
MHL,OC,Marshall Islands,Îles Marshall,Ilhas Marshall,Marshall Islands,Îles Marshall,Ilhas Marshall
MKD,OC,MKD,MKD,Macedônia,The Former Yugoslav Republic of Macedonia,Ex-République Yougoslave de Macédoine,Ex-República Iugoslava da Macedônia
MLI,OC,Mali,Mali,Mali,Mali,Mali,Mali
MLT,OC,Malta,Malte,Malta,Malta,Malte,Malta
MNE,OC,Montenegro,Monténégro,Montenegro,Montenegro,Monténégro,Montenegro
MON,OC,Monaco,Monaco,Mônaco,Monaco,Monaco,Mônaco
MOZ,OC,Mozambique,Mozambique,Moçambique,Mozambique,Mozambique,Moçambique
MRI,OC,Mauritius,Maurice,Maurício,Mauritius,Maurice,Maurício
MTN,OC,Mauritania,Mauritanie,Mauritânia,Mauritania,Mauritanie,Mauritânia
MYA,OC,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar
NAM,OC,Namibia,Namibie,Namíbia,Namibia,Namibie,Namíbia
NCA,OC,Nicaragua,Nicaragua,Nicarágua,Nicaragua,Nicaragua,Nicarágua
NED,OC,Netherlands,Pays-Bas,Países Baixos,Netherlands,Pays-Bas,Países Baixos
NEP,OC,Nepal,Népal,Nepal,Nepal,Népal,Nepal
NGR,OC,Nigeria,Nigéria,Nigéria,Nigeria,Nigéria,Nigéria
NIG,OC,Niger,Niger,Níger,Niger,Niger,Níger
NOR,OC,Norway,Norvège,Noruega,Norway,Norvège,Noruega
NRU,OC,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru
NZL,OC,New Zealand,Nouvelle-Zélande,Nova Zelândia,New Zealand,Nouvelle-Zélande,Nova Zelândia
OMA,OC,Oman,Oman,Omã,Oman,Oman,Omã
PAK,OC,Pakistan,Pakistan,Paquistão,Pakistan,Pakistan,Paquistão
PAN,OC,Panama,Panama,Panamá,Panama,Panama,Panamá
PAR,OC,Paraguay,Paraguay,Paraguai,Paraguay,Paraguay,Paraguai
PER,OC,Peru,Pérou,Peru,Peru,Pérou,Peru
PHI,OC,Philippines,Philippines,Filipinas,Philippines,Philippines,Filipinas
PLE,OC,Palestine,Palestine,Palestina,Palestine,Palestine,Palestina
PLW,OC,Palau,Palaos,Palau,Palau,Palaos,Palau
PNG,OC,Papua New Guinea,Papouasie-N.-Guinée,Papua Nova Guiné,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nova Guiné
POL,OC,Poland,Pologne,Polônia,Poland,Pologne,Polônia
POR,OC,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
PRK,OC,DPR Korea,RPD de Corée,RPD da Coréia,Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática da Coréia
PUR,OC,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico,Porto Rico,Porto Rico
QAT,OC,Qatar,Qatar,Catar,Qatar,Qatar,Catar
ROA,OC,ROA,AOR,AOR,Refugee Olympic Athletes,Athlètes Olympiques Réfugiés,Atletas Olímpicos Refugiados
ROU,OC,Romania,Roumanie,Romênia,Romania,Roumanie,Romênia
RSA,OC,South Africa,Afrique du Sud,África do Sul,South Africa,Afrique du Sud,África do Sul
RUS,OC,Russian Federation,Fédération de Russie,Federação da Rússia,Russian Federation,Fédération de Russie,Federação da Rússia
RWA,OC,Rwanda,Rwanda,Ruanda,Rwanda,Rwanda,Ruanda
SAM,OC,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa
SCG,OC,Serbia & Montenegro,Serbie-et-Monténégro,Sérvia e Montenegro,Serbia and Montenegro,Serbie-et-Monténégro,Estado da Sérvia e Montenegro
SEN,OC,Senegal,Sénégal,Senegal,Senegal,Sénégal,Senegal
SEY,OC,Seychelles,Seychelles,Seicheles,Seychelles,Seychelles,Seicheles
SIN,OC,Singapore,Singapour,Cingapura,Singapore,Singapour,Cingapura
SKN,OC,Saint Kitts & Nevis,Saint-Kitts-et-Nevis,São Cristóvão-Névis,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,São Cristóvão e Névis
SLE,OC,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leone,Sierra Leone,Serra Leoa
SLO,OC,Slovenia,Slovénie,Eslovênia,Slovenia,Slovénie,Eslovênia
SMR,OC,San Marino,Saint-Marin,San Marino,San Marino,Saint-Marin,San Marino
SOL,OC,Solomon Islands,Îles Salomon,Ilhas Salomão,Solomon Islands,Îles Salomon,Ilhas Salomão
SOM,OC,Somalia,Somalie,Somália,Somalia,Somalie,Somália
SRB,OC,Serbia,Serbie,Sérvia,Serbia,Serbie,Sérvia
SRI,OC,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
SSD,OC,South Sudan,Soudan du Sud,Sudão do Sul,South Sudan,Soudan du Sud,Sudão do Sul
STP,OC,Sao Tome & Principe,Sao Tomé-et-Principe,São Tomé e Príncipe,Sao Tome and Principe,Sao Tomé-et-Principe,São Tomé e Príncipe
SUD,OC,Sudan,Soudan,Sudão,Sudan,Soudan,Sudão
SUI,OC,Switzerland,Suisse,Suíça,Switzerland,Suisse,Suíça
SUR,OC,Suriname,Suriname,Suriname,Suriname,Suriname,Suriname
SVK,OC,Slovakia,Slovaquie,Eslováquia,Slovakia,Slovaquie,Eslováquia
SWE,OC,Sweden,Suède,Suécia,Sweden,Suède,Suécia
SWZ,OC,Swaziland,Swaziland,Suazilândia,Swaziland,Swaziland,Suazilândia
SYR,OC,Syria,Syrie,Síria,Syrian Arab Republic,République arabe syrienne,República Árabe da Síria
TAH,OC,Tahiti,Tahiti,Taiti,Tahiti,Tahiti,Taiti
TAN,OC,Tanzania,Tanzanie,Tanzânia,United Republic of Tanzania,République unie de Tanzanie,República Unida da Tanzânia
TCH,OC,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia
TGA,OC,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga
THA,OC,Thailand,Thaïlande,Tailândia,Thailand,Thaïlande,Tailândia
TJK,OC,Tajikistan,Tadjikistan,Tadjiquistão,Tajikistan,Tadjikistan,Tadjiquistão
TKM,OC,Turkmenistan,Turkménistan,Turcomenistão,Turkmenistan,Turkménistan,Turcomenistão
TLS,OC,Timor-Leste,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,République démocratique du Timor-Leste,República Democrática de Timor-Leste
TOG,OC,Togo,Togo,Togo,Togo,Togo,Togo
TPE,OC,Chinese Taipei,Chinese Taipei,Taipé Chinesa,Chinese Taipei,Chinese Taipei,Taipé Chinesa
TTO,OC,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago
TUN,OC,Tunisia,Tunisie,Tunísia,Tunisia,Tunisie,Tunísia
TUR,OC,Turkey,Turquie,Turquia,Turkey,Turquie,Turquia
TUV,OC,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu
UAE,OC,United Arab Emirates,Émirats arabes unis,Emirados Árab Unidos,United Arab Emirates,Émirats arabes unis,Emirados Árabes Unidos
UCI,IF,UCI,UCI,UCI,International Cycling Union,Union Cycliste Internationale,Federação Internacional de Ciclismo
UGA,OC,Uganda,Ouganda,Uganda,Uganda,Ouganda,Uganda
UIPM,IF,UIPM,UIPM,UIPM,International Modern Pentathlon Union,Union Internationale de Pentathlon Moderne,International Modern Pentathlon Union
UKR,OC,Ukraine,Ukraine,Ucrânia,Ukraine,Ukraine,Ucrânia
URS,OC,USSR,U.R.S.S.,U.R.S.S.,USSR,U.R.S.S.,União das Repúblicas Socialistas Soviéticas
URU,OC,Uruguay,Uruguay,Uruguai,Uruguay,Uruguay,Uruguai
USA,OC,United States,États-Unis,Estados Unidos,United States of America,États-Unis d'Amérique,Estados Unidos da América
UWW,IF,UWW,UWW,UWW,United World Wrestling,Fédération Mondiale de Lutte,Federação Internacional de Lutas Associadas
UZB,OC,Uzbekistan,Ouzbékistan,Uzbequistão,Uzbekistan,Ouzbékistan,Uzbequistão
VAN,OC,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
VEN,OC,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
VIE,OC,Vietnam,Vietnam,Vietnã,Vietnam,Vietnam,Vietnã
VIN,OC,St Vinc & Grenadines,St Vinc & Grenadines,São Vicente e Granad,St Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,São Vicente e Granadinas
WA,IF,WA,WA,WA,World Archery,Fédération Internationale de Tir à l'arc,Federação Internacional de Tiro com Arco
WR,IF,WR,WR,WR,World Rugby,Fédération Internationale de Rugby,Federação Internacional de Rugby
WS,IF,WS,WS,WS,World Sailing,Fédération Internationale de Voile,Federação Internacional de Vela
WTF,IF,WTF,WTF,WTF,World Taekwondo Federation,Fédération Mondiale de Taekwondo,Federação Internacional de Taekwondo
YEM,OC,Yemen,Yémen,Iêmen,Yemen,Yémen,Iêmen
YUG,OC,Yugoslavia,Yougoslavie,Iugoslávia,The Federal Republic of Yugoslavia,Yougoslavie,República Socialista Federativa da Iugoslávia
ZAM,OC,Zambia,Zambie,Zâmbia,Zambia,Zambie,Zâmbia
ZIM,OC,Zimbabwe,Zimbabwe,Zimbábue,Zimbabwe,Zimbabwe,Zimbábue
