Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,POR unit Description
AT,M,062,N,01,Men's Triple Jump - Draw,"Triple saut - hommes, tirage au sort","Salto triplo masculino, sorteio",Men's Triple Jump - Draw,"Triple saut - hommes, tirage au sort","Salto triplo masculino, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,071,0,00,Men's High Jump,Saut en hauteur - hommes,Salto em altura masculino,Men's High Jump,Saut en hauteur - hommes,Salto em altura masculino,Event,13,N,0,NONE,N,N,"","",""
AT,M,071,1,00,Men's High Jump Final,"Saut en hauteur - hommes, finale","Salto em altura masculino, final",Men's High Jump Final,"Saut en hauteur - hommes, finale","Salto em altura masculino, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final 
AT,M,071,1,01,Men's High Jump Final,"Saut en hauteur - hommes, finale","Salto em altura masculino, final",Men's High Jump Final,"Saut en hauteur - hommes, finale","Salto em altura masculino, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final 
AT,M,071,9,00,Men's High Jump Qualifying Round,"Saut en hauteur - hommes, qualifications","Salto em altura masc, classificatórias",Men's High Jump Qualifying Round,"Saut en hauteur - hommes, qualifications","Salto em altura masculino, classificatórias",Phase,14,Y,0,NONE,Y,N,Qualifying Round,Qualifications,Classificatórias
AT,M,071,9,01,Men's High Jump Qual. Round - Group A,"Saut en hauteur - hom., qualif. - gr. A","Salto em altura masc, classific - gp A",Men's High Jump Qualifying Round - Group A,"Saut en hauteur - hommes, qualifications - groupe A","Salto em altura masculino, classificatórias - grupo A",EventUnit,15,Y,0,ATH,N,Y,Qualifying Round - Group A,Qualifications - groupe A,Classificatórias - grupo A
AT,M,071,9,02,Men's High Jump Qual. Round - Group B,"Saut en hauteur - hom., qualif. - gr. B","Salto em altura masc, classific - gp B",Men's High Jump Qualifying Round - Group B,"Saut en hauteur - hommes, qualifications - groupe B","Salto em altura masculino, classificatórias - grupo B",EventUnit,15,Y,0,ATH,N,Y,Qualifying Round - Group B,Qualifications - groupe B,Classificatórias - grupo B
AT,M,071,M,00,Men's High Jump Victory Ceremony,"Saut en hauteur - hommes, remise méd.","Salto em altura masc, cer. premiação",Men's High Jump Victory Ceremony,"Saut en hauteur - hommes, cérémonie de remise des médailles","Salto em altura masculino, cerimônia de entrega das medalhas",Medals,17,Y,0,NONE,N,Y,Victory Ceremony,Cérémonie de remise des médailles,Cerimônia de entrega das medalhas
AT,M,071,N,01,Men's High Jump - Draw,"Saut en hauteur - hommes, tirage au sort","Salto em altura masculino, sorteio",Men's High Jump - Draw,"Saut en hauteur - hommes, tirage au sort","Salto em altura masculino, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,M,072,0,00,Men's Pole Vault,Saut à la perche - hommes,Salto com vara masculino,Men's Pole Vault,Saut à la perche - hommes,Salto com vara masculino,Event,13,N,0,NONE,N,N,"","",""
