Id,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,IndoorOutdoor,Cluster,City
MRC,Y,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,Maracanã,O,MRZ,Rio de Janeiro
OAS,Y,Olympic Aquatics Stadium,Ctre aquatique olympique,Estádio Aquático Olímpico,Olympic Aquatics Stadium,Centre aquatique olympique,Estádio Aquático Olímpico,I,BAT,Rio de Janeiro
OGC,Y,Olympic Golf Course,Parcours olympique - golf,Campo Olímpico de Golfe,Olympic Golf Course,Parcours olympique de golf,Campo Olímpico de Golfe,O,BAT,Rio de Janeiro
OHK,Y,Olympic Hockey Centre,Ctre olympique de hockey,Centro Olímpico de Hóquei,Olympic Hockey Centre,Centre olympique de hockey,Centro Olímpico de Hóquei,O,DEO,Rio de Janeiro
OLS,Y,Olympic Stadium,Stade olympique,Estádio Olímpico,Olympic Stadium,Stade olympique,Estádio Olímpico,O,MRZ,Rio de Janeiro
OSC,Y,Olympic Shooting Centre,Centre olympique de tir,Centro Olímpico de Tiro,Olympic Shooting Centre,Centre olympique de tir,Centro Olímpico de Tiro,B,DEO,Rio de Janeiro
OTN,Y,Olympic Tennis Centre,Ctre olympique de tennis,Centro Olímpico de Tênis,Olympic Tennis Centre,Centre olympique de tennis,Centro Olímpico de Tênis,O,BAT,Rio de Janeiro
PON,Y,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,O,BAT,Rio de Janeiro
RC2,Y,Riocentro - Pavilion 2,Riocentro - Pavillon 2,Riocentro - Pavilhão 2,Riocentro - Pavilion 2,Riocentro - Pavillon 2,Riocentro - Pavilhão 2,I,BAT,Rio de Janeiro
RC3,Y,Riocentro - Pavilion 3,Riocentro - Pavillon 3,Riocentro - Pavilhão 3,Riocentro - Pavilion 3,Riocentro - Pavillon 3,Riocentro - Pavilhão 3,I,BAT,Rio de Janeiro
RC4,Y,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,I,BAT,Rio de Janeiro
RC6,Y,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,I,BAT,Rio de Janeiro
ROA,Y,Rio Olympic Arena,Halle olympique de Rio,Arena Olímpica do Rio,Rio Olympic Arena,Halle olympique de Rio,Arena Olímpica do Rio,I,BAT,Rio de Janeiro
