Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
HQ2,HQ2,,N,POCOG Seoul Office,Bureau du COJOP à Séoul,평창조직위 서울사무소,PyeongChang 2018 Secondary Office,Bureau secondaire de PyeongChang 2018,평창조직위 서울사무소,,
HQ3,HQ3,,N,POCOG Coastal Office,Bureau du COJOP - littoral,평창조직위 강릉사무소,PyeongChang 2018 Office in Gangneung,Bureau de PyeongChang 2018 à Gangneung,평창조직위 강릉사무소,,
HQ4,HQ4,,N,POCOG Ski Jumping Office,Bureau saut à ski du COJOP,평창조직위 스키점프사무소,PyeongChang 2018 Office in Ski Jumping Venue,Bureau de saut à ski du COJOP,평창조직위 스키점프사무소,,
HQ5,HQ5,,N,POCOG KAL Office,Bureau de KAL du COJOP,평창조직위 대한항공사무소,PyeongChang 2018 Office in Korean Air Headquarters,Bureau de Korean Air de PyeongChang 2018,평창조직위 대한항공사무소,,
IBC,IBC,,N,Internat Broadcast Ctr ,Ctr Intl. Radio et TV,국제 방송 센터,International Broadcast Centre ,Centre international de radio et de télévision,국제 방송 센터,,
ICN,ICN,,N,Incheon Int’l Airport,Aéroport intl. Incheon,인천국제공항,Incheon International Airport,Aéroport international d'Incheon,인천국제공항,,
ISM,ISM,,N,Security Monitoring Ctr,Ctr surv. de sécu. intégrée,보안관제센터,Integrated Security Monitoring Centre,Centre de surveillance de la sécurité intégrée,보안관제센터,,
ITH,ITH,,N,IBC Transport Hub,Pôle transport du CIRTV,IBC 수송허브,IBC Transport Hub,Pôle transport du CIRTV,IBC 수송허브,,
JAL,JAL,,Y,Jeongseon Alpine Centre,Centre alpin de Jeongseon,정선 알파인 경기장,Jeongseon Alpine Centre,Centre alpin de Jeongseon,정선 알파인 경기장,JALALP1,
JBS,JBS,,N,Jinbu Station,Gare de Jinbu,진부역,Jinbu Station,Gare de Jinbu,진부역,,
KHC,KHC,,Y,Kwandong Hockey Centre,Centre de hockey de Kwandong,관동 하키 센터,Kwandong Hockey Centre,Centre de hockey de Kwandong,관동 하키 센터,KHCIHO1,
KHT,KHT,,N,Kwandong Hockey Training,Entraînement hockey-Kwandong,관동 하키 연습경기장,Kwandong Hockey Training Venue,Centre d'entraînement de hockey de Kwandong,관동 하키 연습경기장,,
KST,KST,,N,Korea Science & Tec Inst.,Inst. coréen sc. et tec.,한국과학기술연구원,Korea Institute of Science and Technology (KIST),Institut coréen des sciences et de la technologie,한국과학기술연구원,,
MAC,MAC,,N,Mountain Accred Ctr,Ctr accréditation - Montagne,마운틴 클러스터 유니폼배부 및 메인 등록센터,Mountain Accreditation Centre,Centre d'accréditation du Pôle de montagne,마운틴 클러스터 유니폼배부 및 메인 등록센터,,
MDC,MDC,,N,Main Distribution Centre,Ctr principal distribution,물류분배센터,Main Distribution Centre,Centre principal de distribution,물류분배센터,,
MOC,MOC,,N,Main Operations Centre,Ctr principal opérations,대회종합상황실,Main Operations Centre,Centre principal d'exploitation,대회종합상황실,,
MPC,MPC,,N,Main Press Centre,Ctr principal presse,메인 프레스 센터,Main Press Centre,Centre principal de presse,메인 프레스 센터,,
MST,MST,,N,Main Superstore,Boutique principale,메인 슈퍼스토어,Main Superstore,Boutique principale,메인 슈퍼스토어,,
MTH,MTH,,N,Media Transport Hub,Pôle trans. Vill. Médias,미디어촌 수송허브,Media Transport Hub,Pôle de transport du village des médias,미디어촌 수송허브,,
MTO,MTO,,N,Main Ticketing Outlet,Billetterie principale,메인 입장권판매점,Main Ticketing Outlet,Billetterie principale,메인 입장권판매점,,
OF2,OF2,,N,Holiday Inn Resort,Hôtel Holiday Inn Resort,홀리데이인 리조트 호텔,Holiday Inn Hotel and Resort,Hôtel Holiday Inn & Resort,홀리데이인 리조트 호텔,,
OF3,OF3,,N,Dragon Valley Hotel,Hôtel Dragon Valley,드래곤밸리 호텔,Dragon Valley Hotel,Hôtel Dragon Valley,드래곤밸리 호텔,,
OF4,OF4,,N,Kensington Flora Hotel,Hôtel Kensington Flora,켄싱턴 플로라 호텔,Kensington Flora Hotel,Hôtel Kensington Flora,켄싱턴 플로라 호텔,,
OF5,OF5,,N,Gangneung Lakai Sandpine,Gangneung Lakai Sandpine,강릉 라카이샌드파인 리조트,Gangneung Lakai Sandpine Resort,Gangneung Lakai Sandpine,강릉 라카이샌드파인 리조트,,
OFH,OFH,,N,InterContinental Hotel,Hôtel Intercontinental ,인터컨티넨탈 호텔,InterContinental Hotel,Hôtel Intercontinental ,인터컨티넨탈 호텔,,
