Discipline,Gender,Event,phase,type,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,ENG phase Description,FRA phase Description,KOR phase Description,Old DDGEEEP
CUR,W,TEAM4-------------,TB--,3,5,Women's Tie-breaker,Jeu décisif femmes,여자 타이 브레이커,Women's Tie-breaker,Jeu décisif femmes,여자 타이 브레이커,,,,CUW4009
CUR,W,TEAM4-------------,TBIF,3,5,Women's Tie-breaker (if needed),Jeu décisif femmes (si nécessaire),여자 타이 브레이커(필요시),Women's Tie-breaker (if needed),Jeu décisif femmes (si nécessaire),여자 타이 브레이커(필요시),,,,
CUR,W,TEAM4-------------,PREL,3,8,Women's Round Robin,Phase préliminaire femmes,여자 예선,Women's Round Robin,Phase préliminaire femmes,여자 예선,Round Robin,Phase préliminaire,예선,CUW4009
CUR,W,TEAM4-------------,PAGE,3,8,Women's Page Play-offs,Play-offs femmes,여자 플레이 오프,Women's Page Play-offs,Play-offs femmes,여자 플레이 오프,Page Play-offs,Play-offs,플레이 오프,
CUR,W,TEAM4-------------,VICT,6,V,Women's Victory Ceremony,"Femmes, cérémonie",여자 빅토리 세레모니,Women's Victory Ceremony,"Femmes, cérémonie de remise des médailles",여자 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,CUW400M
CUR,W,TEAM4-------------,----,8,,Women,Femmes,여자경기,Women,Femmes,여자경기,,,,CUW4000
CUR,X,------------------,----,8,,Mixed Curling,Double mixte ,믹스더블,Mixed Curling,Double mixte ,믹스더블,,,,
CUR,X,TEAM2-------------,FNL-,3,1,Mixed Doubles Finals,"Double mixte, finale",믹스더블 결승,Mixed Doubles Finals,"Double mixte, finale",믹스더블 결승,Finals,Finale,결승,
CUR,X,TEAM2-------------,SFNL,3,2,Mixed Doubles Semi-finals,"Double mixte, demi-finales",믹스더블 준결승,Mixed Doubles Semi-finals,"Double mixte, demi-finales",믹스더블 준결승,Semi-finals,Demi-finales,준결승,
CUR,X,TEAM2-------------,TB--,3,5,Mixed Doubles Tie-breaker,"Jeu décisif, double mixte",믹스더블 타이 브레이커,Mixed Doubles Tie-breaker,"Jeu décisif, double mixte",믹스더블 타이 브레이커,,,,
CUR,X,TEAM2-------------,TBIF,3,5,Mixed Doubles Tie-breaker (if needed),"Jeu décisif, double mixte(si nécessaire)",믹스더블 타이 브레이커 (필요시),Mixed Doubles Tie-breaker (if needed),"Jeu décisif, double mixte (si nécessaire)",믹스더블 타이 브레이커 (필요시),,,,
CUR,X,TEAM2-------------,PREL,3,8,Mixed Doubles Round Robin,"Double mixte, phase préliminaire",믹스더블 예선,Mixed Doubles Round Robin,"Double mixte, phase préliminaire",믹스더블 예선,Round Robin,Phase préliminaire,예선,
CUR,X,TEAM2-------------,VICT,6,V,Mixed Doubles Victory Ceremony,"Double mixte, cérémonie",믹스더블 빅토리 세레모니,Mixed Doubles Victory Ceremony,"Double mixte, cérémonie de remise des médailles",믹스더블 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,
CUR,X,TEAM2-------------,----,8,,Mixed Doubles,Double mixte ,믹스더블,Mixed Doubles,Double mixte ,믹스더블,,,,
FRS,-,------------------,DRAW,7,D,Freestyle Skiing Draw,"Ski acrobatique, tirage au sort",프리스타일 스키 추첨,Freestyle Skiing Draw,"Ski acrobatique, tirage au sort",프리스타일 스키 추첨,Draw,Tirage au sort,추첨,FR0000E
FRS,-,------------------,MEET,9,M,"Freestyle Skiing, Team Captain Meeting","Ski acrobatique, réun. chefs d'équ.",프리스타일 스키 대표자회의,"Freestyle Skiing, Team Captain Meeting","Ski acrobatique, réunion des chefs d'équipes",프리스타일 스키 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FR0000T
FRS,-,------------------,----,8,,Freestyle Skiing,Ski acrobatique,프리스타일 스키,Freestyle Skiing,Ski acrobatique,프리스타일 스키,,,,FR00000
FRS,-,AE----------------,DRAW,7,D,Aerials Draw,"Saut, tirage au sort",에어리얼 추첨,Aerials Draw,"Saut, tirage au sort",에어리얼 추첨,Draw,Tirage au sort,추첨,FR0030E
FRS,-,AE----------------,MEET,9,M,"Aerials, Team Captain Meeting","Saut, réunion chefs d'équipes",에어리얼 대표자회의,"Aerials, Team Captain Meeting","Saut, réunion des chefs d'équipes",에어리얼 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FR0030T
FRS,-,CANCEL------------,----,3,,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,,,,
FRS,-,HP----------------,DRAW,7,D,Ski Halfpipe Draw,"Ski halfpipe, tirage au sort",스키 크로스 추첨,Ski Halfpipe Draw,"Ski halfpipe, tirage au sort",스키 크로스 추첨,Draw,Tirage au sort,추첨,FR0060E
FRS,-,HP----------------,MEET,9,M,"Ski Halfpipe, Team Captains Meeting","Ski halfpipe, réunion chefs d'équipes",스키 크로스 대표자회의,"Ski Halfpipe, Team Captains Meeting","Ski halfpipe, réunion des chefs d'équipes",스키 크로스 대표자회의,Team Captains Meeting,Réunion des chefs d'équipes,대표자회의,FR0060T
FRS,-,MO----------------,DRAW,7,D,Moguls Draw,"Bosses, tirage au sort",모글 추첨,Moguls Draw,"Bosses, tirage au sort",모글 추첨,Draw,Tirage au sort,추첨,FR0020E
FRS,-,MO----------------,MEET,9,M,"Moguls, Team Captain Meeting","Bosses, réunion chefs d'équipes",모글 대표자회의,"Moguls, Team Captain Meeting","Bosses, réunion des chefs d'équipes",모글 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FR0020T
FRS,-,SS----------------,DRAW,7,D,Ski Slopestyle Draw,"Ski slopestyle, tirage au sort",스키 슬로프스타일 추첨,Ski Slopestyle Draw,"Ski slopestyle, tirage au sort",스키 슬로프스타일 추첨,Draw,Tirage au sort,추첨,FR0070E
FRS,-,SS----------------,MEET,9,M,"Ski Slopestyle, Team Captains Meeting","Ski slopestyle, réunion chefs d'équipes",스키 슬로프스타일 대표자회의,"Ski Slopestyle, Team Captains Meeting","Ski slopestyle, réunion des chefs d'équipes",스키 슬로프스타일 대표자회의,Team Captains Meeting,Réunion des chefs d'équipes,대표자회의,FR0070T
FRS,-,SX----------------,DRAW,7,D,Ski Cross Draw,"Ski cross, tirage au sort",스키 크로스 추첨,Ski Cross Draw,"Ski cross, tirage au sort",스키 크로스 추첨,Draw,Tirage au sort,추첨,FR0740E
FRS,-,SX----------------,MEET,9,M,"Ski Cross, Team Captains Meeting","Ski cross, réunion chefs d'équipes",스키 크로스 태표자회의,"Ski Cross, Team Captains Meeting","Ski cross, réunion des chefs d'équipes",스키 크로스 태표자회의,Team Captains Meeting,Réunion des chefs d'équipes,대표자회의,FR0740T
FRS,M,------------------,----,8,,Men's Freestyle Skiing,Ski acrobatique hommes,프리스타일 스키 남자,Men's Freestyle Skiing,Ski acrobatique hommes,프리스타일 스키 남자,,,,FRM0000
FRS,M,AE----------------,FNL-,3,1,Men's Aerials Finals,"Saut hommes, finale",남자 에어리얼 결승,Men's Aerials Finals,"Saut hommes, finale",남자 에어리얼 결승,Finals,Finale,결승,FRM0301
FRS,M,AE----------------,QUAL,3,8,Men's Aerials Qualifications,"Saut hommes, qualifications",남자 에어리얼 예선,Men's Aerials Qualifications,"Saut hommes, qualifications",남자 에어리얼 예선,Qualifications,Qualifications,예선,FRM0309
FRS,M,AE----------------,DRAW,7,D,Men's Aerials Draw,"Saut hommes, tirage au sort",남자 에어리얼 추첨,Men's Aerials Draw,"Saut hommes, tirage au sort",남자 에어리얼 추첨,Draw,Tirage au sort,추첨,FRM030E
FRS,M,AE----------------,MEET,9,M,Men's Aerials Team Captain Meeting,"Saut hommes, réunion chefs d'équipes",남자 에어리얼 대표자회의,Men's Aerials Team Captain Meeting,"Saut hommes, réunion des chefs d'équipes",남자 에어리얼 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FRM030T
FRS,M,AE----------------,VICT,6,V,Men's Aerials Victory Ceremony,"Saut hommes, cérémonie",남자 에어리얼 빅토리 세레모니,Men's Aerials Victory Ceremony,"Saut hommes, cérémonie de remise des médailles",남자 에어리얼 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,FRM030M
FRS,M,AE----------------,----,8,,Men's Aerials,Saut hommes,남자 에어리얼,Men's Aerials,Saut hommes,남자 에어리얼,,,,FRM0300
FRS,M,HP----------------,FNL-,3,1,Men's Ski Halfpipe Final,"Ski halfpipe hommes, finale",남자 스키 하프파이프 결승,Men's Ski Halfpipe Final,"Ski halfpipe hommes, finale",남자 스키 하프파이프 결승,Final,Finale,결승,FRM0601
FRS,M,HP----------------,QUAL,3,8,Men's Ski Halfpipe Qualification,"Ski halfpipe hommes, qualifications",남자 스키 하프파이프 예선,Men's Ski Halfpipe Qualification,"Ski halfpipe hommes, qualifications",남자 스키 하프파이프 예선,Qualification,Qualifications,예선,FRM0609
FRS,M,HP----------------,DRAW,7,D,Men's Ski Halfpipe Draw,"Ski halfpipe hommes, tirage au sort",남자 스키 하프파이프 추첨,Men's Ski Halfpipe Draw,"Ski halfpipe hommes, tirage au sort",남자 스키 하프파이프 추첨,Draw,Tirage au sort,추첨,FRM060E
FRS,M,HP----------------,MEET,9,M,Men's Ski Halfpipe Team Captain Meeting,"Ski halfpipe hom., réun. chefs d'équipes",남자 스키 하프파이프 대표자회의,Men's Ski Halfpipe Team Captain Meeting,"Ski halfpipe hommes, réunion des chefs d'équipes",남자 스키 하프파이프 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FRM060T
FRS,M,HP----------------,VICT,6,V,Men's Ski Halfpipe Victory Ceremony,"Ski halfpipe hommes, cérémonie",남자 스키 하프파이프 빅토리 세레모니,Men's Ski Halfpipe Victory Ceremony,"Ski halfpipe hommes, cérémonie de remise des médailles",남자 스키 하프파이프 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,FRM060M
FRS,M,HP----------------,----,8,,Men's Ski Halfpipe,Ski halfpipe hommes,남자 스키 하프파이프,Men's Ski Halfpipe,Ski halfpipe hommes,남자 스키 하프파이프,,,,FRM0600
FRS,M,MO----------------,FNL-,3,1,Men's Moguls Finals,"Bosses hommes, finale",남자 모글 결승,Men's Moguls Finals,"Bosses hommes, finale",남자 모글 결승,Finals,Finale,결승,FRM0201
FRS,M,MO----------------,QUAL,3,8,Men's Moguls Qualifications,"Bosses hommes, qualifications",남자 모글 예선,Men's Moguls Qualifications,"Bosses hommes, qualifications",남자 모글 예선,Qualifications,Qualifications,예선,FRM0209
FRS,M,MO----------------,DRAW,7,D,Men's Moguls Draw,"Bosses hommes, tirage au sort",남자 모글 추첨,Men's Moguls Draw,"Bosses hommes, tirage au sort",남자 모글 추첨,Draw,Tirage au sort,추첨,FRM020E
FRS,M,MO----------------,MEET,9,M,Men's Moguls Team Captain Meeting,"Bosses hommes, réunion chefs d'équipes",남자 모글 대표자회의,Men's Moguls Team Captain Meeting,"Bosses hommes, réunion des chefs d'équipes",남자 모글 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FRM020T
FRS,M,MO----------------,VICT,6,V,Men's Moguls Victory Ceremony,"Bosses hommes, cérémonie",남자 모글 빅토리 세레모니,Men's Moguls Victory Ceremony,"Bosses hommes, cérémonie de remise des médailles",남자 모글 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,FRM020M
FRS,M,MO----------------,----,8,,Men's Moguls,Bosses hommes,남자 모글,Men's Moguls,Bosses hommes,남자 모글,,,,FRM0200
FRS,M,SS----------------,FNL-,3,1,Men's Ski Slopestyle Final,"Ski slopestyle hommes, finale",남자 스키 슬로프스타일 결승,Men's Ski Slopestyle Final,"Ski slopestyle hommes, finale",남자 스키 슬로프스타일 결승,Final,Finale,결승,FRM0701
FRS,M,SS----------------,QUAL,3,8,Men's Ski Slopestyle Qualification,"Ski slopestyle hommes, qualifications",남자 스키 슬로프스타일 예선,Men's Ski Slopestyle Qualification,"Ski slopestyle hommes, qualifications",남자 스키 슬로프스타일 예선,Qualification,Qualifications,예선,FRM0709
FRS,M,SS----------------,DRAW,7,D,Men's Ski Slopestyle Draw,"Ski slopestyle hommes, tirage au sort",남자 스키 슬로프스타일 추첨,Men's Ski Slopestyle Draw,"Ski slopestyle hommes, tirage au sort",남자 스키 슬로프스타일 추첨,Draw,Tirage au sort,추첨,FRM070E
FRS,M,SS----------------,MEET,9,M,Men's Ski Slopestyle Team Cap. Meeting,"Ski slopestyle hommes, réun. chefs d'éq",남자 스키 슬로프스타일 대표자회의,Men's Ski Slopestyle Team Captain Meeting,"Ski slopestyle hommes, réunion des chefs d'équipes",남자 스키 슬로프스타일 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,FRM070T
FRS,M,SS----------------,VICT,6,V,Men's Ski Slopestyle Victory Ceremony,"Ski slopestyle hommes, cérémonie",남자 스키 슬로프스타일 빅토리 세레모니,Men's Ski Slopestyle Victory Ceremony,"Ski slopestyle hommes, cérémonie de remise des médailles",남자 스키 슬로프스타일 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,FRM070M
FRS,M,SS----------------,----,8,,Men's Ski Slopestyle,Ski slopestyle hommes,남자 스키 슬로프스타일,Men's Ski Slopestyle,Ski slopestyle hommes,남자 스키 슬로프스타일,,,,FRM0700
FRS,M,SX----------------,FNL-,3,1,Men's Ski Cross Finals,"Ski cross hommes, finale",남자 스키 크로스 결승,Men's Ski Cross Finals,"Ski cross hommes, finale",남자 스키 크로스 결승,Finals,Finale,결승,FRM7401
