Id,type,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription
BER,OC,Bermuda,Bermudes,Bermudas,Bermudas,Bermuda,Bermudes,Bermudas,Bermudas
BHU,OC,Bhutan,Bhoutan,Butão,Bhután,Bhutan,Bhoutan,Butão,Bhután
BIH,OC,Bosnia & Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina,Bosnia y Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,Bósnia-Herzegovina,Bosnia y Herzegovina
BIZ,OC,Belize,Belize,Belize,Belice,Belize,Belize,Belize,Belice
BLR,OC,Belarus,Bélarus,Belarus,Bielorrusia,Belarus,Bélarus,Belarus,Bielorrusia
BOL,OC,Bolivia,Bolivie,Bolívia,Bolivia,Bolivia,Bolivie,Bolívia,Bolivia
BOT,OC,Botswana,Botswana,Botsuana,Botsuana,Botswana,Botswana,Botsuana,Botsuana
BRA,OC,Brazil,Brésil,Brasil,Brasil,Brazil,Brésil,Brasil,Brasil
BRN,OC,Bahrain,Bahreïn,Bareine,Bahréin,Bahrain,Bahreïn,Bareine,Bahréin
BRU,OC,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Brunéi,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,Brunéi
BUL,OC,Bulgaria,Bulgarie,Bulgária,Bulgaria,Bulgaria,Bulgarie,Bulgária,Bulgaria
BUR,OC,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BWF,IF,BWF,BWF,BWF,BWF,Badminton World Federation,Fédération Internationale de Badminton,Federação Internacional de Badminton,Federación Mundial de Bádminton
CAF,OC,Central African Rep.,Rép. Centrafricaine,Rep. Centroafricana,Rep. Centroafricana,Central African Republic,République Centrafricaine,República Centroafricana,República Centroafricana
CAM,OC,Cambodia,Cambodge,Camboja,Camboya,Cambodia,Cambodge,Camboja,Camboya
CAN,OC,Canada,Canada,Canadá,Canadá,Canada,Canada,Canadá,Canadá
CAY,OC,Cayman Islands,Îles Caïmans,Ilhas Cayman,Islas Caimán,Cayman Islands,Îles Caïmans,Ilhas Cayman,Islas Caimán
CGO,OC,Congo,Congo,Congo,Congo,Congo,Congo,Congo,Congo
CHA,OC,Chad,Tchad,Chade,Chad,Chad,Tchad,Chade,Chad
CHI,OC,Chile,Chili,Chile,Chile,Chile,Chili,Chile,Chile
CHN,OC,China,Chine,China,China,People's Republic of China,République populaire de Chine,República Popular da China,República Popular de China
CIS,OC,CIS,CIS,CEI,CEI,Commonwealth of Independent States,FRA Commonwealth of Independent States,Comunidade dos Estados Independentes,Comunidad de Estados Independientes
CIV,OC,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim,Costa de Marfil,Côte d'Ivoire,Côte d'Ivoire,Costa do Marfim,Costa de Marfil
CMR,OC,Cameroon,Cameroun,Camarões,Camerún,Cameroon,Cameroun,Camarões,Camerún
COD,OC,DR Congo,RD Congo,RD Congo,RD Congo,Democratic Republic of the Congo,République Démocratique du Congo,República Democrática do Congo,República Democrática del Congo
COK,OC,Cook Islands,Îles Cook,Ilhas Cook,Islas Cook,Cook Islands,Îles Cook,Ilhas Cook,Islas Cook
COL,OC,Colombia,Colombie,Colômbia,Colombia,Colombia,Colombie,Colômbia,Colombia
COM,OC,Comoros,Comores,Comores,Comoras,Comoros,Comores,Comores,Comoras
CPV,OC,Cape Verde,Cap-Vert,Cabo Verde,Cabo Verde,Cape Verde,Cap-Vert,Cabo Verde,Cabo Verde
CRC,OC,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica
CRO,OC,Croatia,Croatie,Croácia,Croacia,Croatia,Croatie,Croácia,Croacia
CUB,OC,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba,Cuba
CYP,OC,Cyprus,Chypre,Chipre,Chipre,Cyprus,Chypre,Chipre,Chipre
CZE,OC,Czech Republic,République tchèque,República Tcheca,República Checa,Czech Republic,République tchèque,República Tcheca,República Checa
DEN,OC,Denmark,Danemark,Dinamarca,Dinamarca,Denmark,Danemark,Dinamarca,Dinamarca
DJI,OC,Djibouti,Djibouti,Djibuti,Djibouti,Djibouti,Djibouti,Djibuti,Djibouti
DMA,OC,Dominica,Dominique,Dominica,Dominica,Dominica,Dominique,Dominica,Dominica
DOM,OC,Dominican Republic,Rép. dominicaine,República Dominicana,República Dominicana,Dominican Republic,République dominicaine,República Dominicana,República Dominicana
ECU,OC,Ecuador,Équateur,Equador,Ecuador,Ecuador,Équateur,Equador,Ecuador
EGY,OC,Egypt,Égypte,Egito,Egipto,Egypt,Égypte,Egito,Egipto
ERI,OC,Eritrea,Érythrée,Eritreia,Eritrea,Eritrea,Érythrée,Eritreia,Eritrea
ESA,OC,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
ESP,OC,Spain,Espagne,Espanha,España,Spain,Espagne,Espanha,España
EST,OC,Estonia,Estonie,Estônia,Estonia,Estonia,Estonie,Estônia,Estonia
ETH,OC,Ethiopia,Éthiopie,Etiópia,Etiopía,Ethiopia,Éthiopie,Etiópia,Etiopía
EUN,OC,Unified Team,Équipe unifiée,Equipe Unificada,Equipo Unificado,Unified Team,Équipe unifiée,Equipe Unificada,Equipo Unificado
FEI,IF,FEI,FEI,FEI,FEI,International Equestrian Federation,Fédération Équestre Internationale,Federação Internacional de Hipismo,Federación Ecuestre Internacional
FIBA,IF,FIBA,FIBA,FIBA,FIBA,International Basketball Federation,Fédération Internationale de Basketball,Federação Internacional de Basquetebol,Federación Internacional de Baloncesto
FIE,IF,FIE,FIE,FIE,FIE,International Fencing Federation,Fédération Internationale d'Escrime,Federação Internacional de Esgrima,Federación Internacional de Esgrima
FIFA,IF,FIFA,FIFA,FIFA,FIFA,International Football Federation,Fédération Internationale de Football Association,Federação Internacional de Futebol,Federación Internacional de Fútbol
FIG,IF,FIG,FIG,FIG,FIG,International Gymnastics Federation,Fédération Internationale de Gymnastique,Federação Internacional de Ginástica,Federación Internacional de Gimnasia
FIH,IF,FIH,FIH,FIH,FIH,International Hockey Federation,Fédération Internationale de Hockey,Federação Internacional de Hóquei sobre Grama,Federación Internacional de Hockey
FIJ,OC,Fiji,Fidji,Fiji,Fiyi,Fiji,Fidji,Fiji,Fiyi
FIN,OC,Finland,Finlande,Finlândia,Finlandia,Finland,Finlande,Finlândia,Finlandia
FINA,IF,FINA,FINA,FINA,FINA,International Aquatics Federation,Fédération Internationale de Natation,Federação Internacional de Desportos Aquáticos,Federación Internacional de Natación
FISA,IF,FISA,FISA,FISA,FISA,International Rowing Federation,Fédération Internationale des Sociétés d'Aviron,Federação Internacional de Remo,Federación Internacional de Sociedades de Remo
FIVB,IF,FIVB,FIVB,FIVB,FIVB,International Volleyball Federation,Fédération Internationale de Volleyball,Federação Internacional de Voleibol,Federación Internacional de Voleibol
FRA,OC,France,France,França,Francia,France,France,França,Francia
FRG,OC,FRG,FRG,Alemanha Ocidental,FRG,Federal Republic of Germany,République Fédérale d'Allemagne,República Federal da Alemanha,República Federal de Alemania
FSM,OC,Micronesia,Micronésie,Micronésia,Micronesia,Federated States of Micronesia,États fédérés de Micronésie,Estados Federados da Micronésia,Estados Fed. de Micronesia
GAB,OC,Gabon,Gabon,Gabão,Gabón,Gabon,Gabon,Gabão,Gabón
GAM,OC,Gambia,Gambie,Gâmbia,Gambia,Gambia,Gambie,Gâmbia,Gambia
GBR,OC,Great Britain,Grande-Bretagne,Grã-Bretanha,Gran Bretaña,Great Britain,Grande-Bretagne,Grã-Bretanha,Gran Bretaña
GBS,OC,Guinea-Bissau,Guinée-Bissau,Guiné-Bissau,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,Guiné-Bissau,Guinea-Bissau
GDR,OC,GDR,RDA,Alemanha Oriental,RDA,GDR,RDA,República Democrática Alemã,RDA
GEO,OC,Georgia,Géorgie,Geórgia,Georgia,Georgia,Géorgie,Geórgia,Georgia
GEQ,OC,Equatorial Guinea,Guinée équatoriale,Guiné Equatorial,Guinea Ecuatorial,Equatorial Guinea,Guinée équatoriale,Guiné Equatorial,Guinea Ecuatorial
GER,OC,Germany,Allemagne,Alemanha,Alemania,Germany,Allemagne,Alemanha,Alemania
GHA,OC,Ghana,Ghana,Gana,Ghana,Ghana,Ghana,Gana,Ghana
GRE,OC,Greece,Grèce,Grécia,Grecia,Greece,Grèce,Grécia,Grecia
GRN,OC,Grenada,Grenade,Granada,Granada,Grenada,Grenade,Granada,Granada
GUA,OC,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala
GUI,OC,Guinea,Guinée,Guiné,Guinea,Guinea,Guinée,Guiné,Guinea
GUM,OC,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam
GUY,OC,Guyana,Guyana,Guiana,Guyana,Guyana,Guyana,Guiana,Guyana
HAI,OC,Haiti,Haïti,Haiti,Haití,Haiti,Haïti,Haiti,Haití
HKG,OC,"Hong Kong, China","Hong Kong, Chine","Hong Kong, China","Hong Kong, China","Hong Kong, China","Hong Kong, Chine","Hong Kong, China","Hong Kong, China"
HON,OC,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras
HUN,OC,Hungary,Hongrie,Hungria,Hungría,Hungary,Hongrie,Hungria,Hungría
IAAF,IF,IAAF,IAAF,IAAF,IAAF,International Association of Athletics Federations,Association Internationale des Fédérations d'Athletisme,Federação Internacional de Atletismo,Asociación Internacional de Federaciones de Atletismo
ICF,IF,ICF,ICF,ICF,ICF,International Canoe Federation,Fédération Internationale de Canoë,Federação Internacional de Canoagem,Federación Internacional de Canotaje
IGF,IF,IGF,IGF,IGF,IGF,International Golf Federation,Fédération Internationale de Golf,Federação International de Golfe,Federación Internacional de Golf
IHF,IF,IHF,IHF,IHF,IHF,International Handball Federation,Fédération Internationale de Handball,Federação Internacional de Handebol,Federación Internacional de Balonmano
IJF,IF,IJF,IJF,IJF,IJF,International Judo Federation,Fédération Internationale de Judo,Federação Internacional de Judô,Federación Internacional de Judo
INA,OC,Indonesia,Indonésie,Indonésia,Indonesia,Indonesia,Indonésie,Indonésia,Indonesia
IND,OC,India,Inde,Índia,India,India,Inde,Índia,India
IOA,OC,IOA,AOI,AOI,AOI,Independent Olympic Athlete,Athlète Olympique Indépendant,Atleta Olímpico Independente,Atleta Olímpico Independiente
IOP,OC,IOP,POI,POI,POI,Independent Olympic Participant,Participant Olympique Indépendant,Participante Olímpico Independente,Participante Olímpico Independiente
IRI,OC,IR Iran,RI Iran,RI Irã,RI Irán,Islamic Republic of Iran,République islamique d'Iran,República Islâmica do Irã,República Islámica de Irán
IRL,OC,Ireland,Irlande,Irlanda,Irlanda,Ireland,Irlande,Irlanda,Irlanda
IRQ,OC,Iraq,Iraq,Iraque,Iraq,Iraq,Iraq,Iraque,Iraq
ISL,OC,Iceland,Islande,Islândia,Islandia,Iceland,Islande,Islândia,Islandia
ISR,OC,Israel,Israël,Israel,Israel,Israel,Israël,Israel,Israel
ISSF,IF,ISSF,ISSF,ISSF,ISSF,International Shooting Sport Federation,Fédération Internationale de Tir Sportif,Federação Internacional de Tiro Esportivo,Federación Internacional de Tiro Deportivo
ISV,OC,"Virgin Islands, US",Îles Vierges US,"Ilhas Virgens, EU","Islas Vírgenes, EEUU","Virgin Islands, US",Îles Vierges des États-Unis,Ilhas Virgens Americanas,"Islas Vírgenes, EEUU"
ITA,OC,Italy,Italie,Itália,Italia,Italy,Italie,Itália,Italia
ITF,IF,ITF,ITF,ITF,ITF,International Tennis Federation,Fédération Internationale de Tennis,Federação Internacional de Tênis,Federación Internacional de Tenis
ITTF,IF,ITTF,ITTF,ITTF,ITTF,International Table Tennis Federation,Fédération Internationale de Tennis de Table,Federação Internacional de Tênis de Mesa,Federación Internacional de Tenis de Mesa
ITU,IF,ITU,ITU,ITU,ITU,International Triathlon Union,Fédération Internationale de Triathlon,Federação Internacional de Triatlo,Unión Internacional de Triatlón
IVB,OC,"Virgin Islands, B",Îles Vierges brit,Ilhas V. Britânicas,"Islas Vírgenes, B","Virgin Islands, British",Îles Vierges britanniques,Ilhas Virgens Britânicas,Islas Vírgenes Británicas
IWF,IF,IWF,IWF,IWF,IWF,International Weightlifting Federation,Fédération Internationale d'Haltérophilie,Federação Internacional de Levantamento de Peso,Federación Internacional de Levantamiento de pesas
JAM,OC,Jamaica,Jamaïque,Jamaica,Jamaica,Jamaica,Jamaïque,Jamaica,Jamaica
JOR,OC,Jordan,Jordanie,Jordânia,Jordania,Jordan,Jordanie,Jordânia,Jordania
JPN,OC,Japan,Japon,Japão,Japón,Japan,Japon,Japão,Japón
KAZ,OC,Kazakhstan,Kazakhstan,Cazaquistão,Kazajstán,Kazakhstan,Kazakhstan,Cazaquistão,Kazajstán
KEN,OC,Kenya,Kenya,Quênia,Kenia,Kenya,Kenya,Quênia,Kenia
KGZ,OC,Kyrgyzstan,Kirghizistan,Quirguistão,Kirguistán,Kyrgyzstan,Kirghizistan,Quirguistão,Kirguistán
KIR,OC,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
KOR,OC,Republic of Korea,République de Corée,República da Coréia,República de Corea,Republic of Korea,République de Corée,República da Coréia,República de Corea
KOS,OC,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
KSA,OC,Saudi Arabia,Arabie saoudite,Arábia Saudita,Arabia Saudí,Saudi Arabia,Arabie saoudite,Arábia Saudita,Arabia Saudí
KUW,OC,Kuwait,Koweït,Kuaite,Kuwait,Kuwait,Koweït,Kuaite,Kuwait
LAO,OC,Lao PDR,RDP lao,Laos,Laos,Lao People's Democratic Republic,République démocratique populaire lao,República Democrática Popular do Laos,República Democrática Popular Lao
LAT,OC,Latvia,Lettonie,Letônia,Letonia,Latvia,Lettonie,Letônia,Letonia
LBA,OC,Libya,Libye,Líbia,Libia,Libya,Libye,Líbia,Libia
LBR,OC,Liberia,Libéria,Libéria,Liberia,Liberia,Libéria,Libéria,Liberia
LCA,OC,Saint Lucia,Sainte-Lucie,Santa Lúcia,Santa Lucia,Saint Lucia,Sainte-Lucie,Santa Lúcia,Santa Lucia
LES,OC,Lesotho,Lesotho,Lesoto,Lesotho,Lesotho,Lesotho,Lesoto,Lesotho
LIB,OC,Lebanon,Liban,Líbano,Líbano,Lebanon,Liban,Líbano,Líbano
LIE,OC,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
LTU,OC,Lithuania,Lituanie,Lituânia,Lituania,Lithuania,Lituanie,Lituânia,Lituania
LUX,OC,Luxembourg,Luxembourg,Luxemburgo,Luxemburgo,Luxembourg,Luxembourg,Luxemburgo,Luxemburgo
MAD,OC,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
MAR,OC,Morocco,Maroc,Marrocos,Marruecos,Morocco,Maroc,Marrocos,Marruecos
MAS,OC,Malaysia,Malaisie,Malásia,Malasia,Malaysia,Malaisie,Malásia,Malasia
MAW,OC,Malawi,Malawi,Maláui,Malawi,Malawi,Malawi,Maláui,Malawi
MDA,OC,Republic of Moldova,Rép. de Moldova,República da Moldova,Rep. de Moldavia,Republic of Moldova,République de Moldova,República da Moldova,República de Moldavia
MDV,OC,Maldives,Maldives,Maldivas,Maldivas,Maldives,Maldives,Maldivas,Maldivas
MEX,OC,Mexico,Mexique,México,México,Mexico,Mexique,México,México
MGL,OC,Mongolia,Mongolie,Mongólia,Mongolia,Mongolia,Mongolie,Mongólia,Mongolia
MHL,OC,Marshall Islands,Îles Marshall,Ilhas Marshall,Islas Marshall,Marshall Islands,Îles Marshall,Ilhas Marshall,Islas Marshall
MKD,OC,MKD,MKD,MKD,MKD,The Former Yugoslav Republic of Macedonia,Ex-République Yougoslave de Macédoine,Ex-República Iugoslava da Macedônia,Ex República Yugoslava de Macedonia
MLI,OC,Mali,Mali,Mali,Mali,Mali,Mali,Mali,Mali
MLT,OC,Malta,Malte,Malta,Malta,Malta,Malte,Malta,Malta
MNE,OC,Montenegro,Monténégro,Montenegro,Montenegro,Montenegro,Monténégro,Montenegro,Montenegro
MON,OC,Monaco,Monaco,Mônaco,Mónaco,Monaco,Monaco,Mônaco,Mónaco
MOZ,OC,Mozambique,Mozambique,Moçambique,Mozambique,Mozambique,Mozambique,Moçambique,Mozambique
MRI,OC,Mauritius,Maurice,Maurício,Mauricio,Mauritius,Maurice,Maurício,Mauricio
MTN,OC,Mauritania,Mauritanie,Mauritânia,Mauritania,Mauritania,Mauritanie,Mauritânia,Mauritania
MYA,OC,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar,Myanmar
NAM,OC,Namibia,Namibie,Namíbia,Namibia,Namibia,Namibie,Namíbia,Namibia
NCA,OC,Nicaragua,Nicaragua,Nicarágua,Nicaragua,Nicaragua,Nicaragua,Nicarágua,Nicaragua
NED,OC,Netherlands,Pays-Bas,Países Baixos,Países Bajos,Netherlands,Pays-Bas,Países Baixos,Países Bajos
NEP,OC,Nepal,Népal,Nepal,Nepal,Nepal,Népal,Nepal,Nepal
NGR,OC,Nigeria,Nigéria,Nigéria,Nigeria,Nigeria,Nigéria,Nigéria,Nigeria
NIG,OC,Niger,Niger,Níger,Níger,Niger,Niger,Níger,Níger
NOR,OC,Norway,Norvège,Noruega,Noruega,Norway,Norvège,Noruega,Noruega
NRU,OC,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru,Nauru
NZL,OC,New Zealand,Nouvelle-Zélande,Nova Zelândia,Nueva Zelanda,New Zealand,Nouvelle-Zélande,Nova Zelândia,Nueva Zelanda
OMA,OC,Oman,Oman,Omã,Omán,Oman,Oman,Omã,Omán
PAK,OC,Pakistan,Pakistan,Paquistão,Pakistán,Pakistan,Pakistan,Paquistão,Pakistán
PAN,OC,Panama,Panama,Panamá,Panamá,Panama,Panama,Panamá,Panamá
PAR,OC,Paraguay,Paraguay,Paraguai,Paraguay,Paraguay,Paraguay,Paraguai,Paraguay
PER,OC,Peru,Pérou,Peru,Perú,Peru,Pérou,Peru,Perú
PHI,OC,Philippines,Philippines,Filipinas,Filipinas,Philippines,Philippines,Filipinas,Filipinas
PLE,OC,Palestine,Palestine,Palestina,Palestina,Palestine,Palestine,Palestina,Palestina
PLW,OC,Palau,Palaos,Palau,Palaos,Palau,Palaos,Palau,Palaos
PNG,OC,Papua New Guinea,Papouasie-N.-Guinée,Papua Nova Guiné,Papúa-Nueva Guinea,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nova Guiné,Papúa-Nueva Guinea
POL,OC,Poland,Pologne,Polônia,Polonia,Poland,Pologne,Polônia,Polonia
POR,OC,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
PRK,OC,DPR Korea,RPD de Corée,RPD da Coréia,RPD de Corea,Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática da Coréia,República Popular Democrática de Corea
PUR,OC,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico,Puerto Rico,Porto Rico,Porto Rico,Puerto Rico
QAT,OC,Qatar,Qatar,Catar,Qatar,Qatar,Qatar,Catar,Qatar
ROT,OC,Refugee Olympic Team,Éq. Olymp. Réfugiés,Time Olím Refugiados,Eq Olímp. Refugiados,Refugee Olympic Team,Équipe Olympique de Réfugiés,Time Olímpico de Refugiados,Equipo Olímpico de Refugiados
ROU,OC,Romania,Roumanie,Romênia,Rumanía,Romania,Roumanie,Romênia,Rumanía
RSA,OC,South Africa,Afrique du Sud,África do Sul,Sudáfrica,South Africa,Afrique du Sud,África do Sul,Sudáfrica
RUS,OC,Russian Federation,Fédération de Russie,Federação da Rússia,Federación de Rusia,Russian Federation,Fédération de Russie,Federação da Rússia,Federación de Rusia
RWA,OC,Rwanda,Rwanda,Ruanda,Ruanda,Rwanda,Rwanda,Ruanda,Ruanda
SAM,OC,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa,Samoa
SCG,OC,Serbia & Montenegro,Serbie-et-Monténégro,Sérvia e Montenegro,Serbia y Montenegro,Serbia and Montenegro,Serbie-et-Monténégro,Estado da Sérvia e Montenegro,Serbia y Montenegro
SEN,OC,Senegal,Sénégal,Senegal,Senegal,Senegal,Sénégal,Senegal,Senegal
SEY,OC,Seychelles,Seychelles,Seicheles,Seychelles,Seychelles,Seychelles,Seicheles,Seychelles
SIN,OC,Singapore,Singapour,Singapura,Singapur,Singapore,Singapour,Singapura,Singapur
SKN,OC,Saint Kitts & Nevis,Saint-Kitts-et-Nevis,São Cristóvão-Névis,San Cristóbal-Nieves,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,São Cristóvão e Névis,San Cristóbal y Nieves
SLE,OC,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leona,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leona
SLO,OC,Slovenia,Slovénie,Eslovênia,Eslovenia,Slovenia,Slovénie,Eslovênia,Eslovenia
SMR,OC,San Marino,Saint-Marin,San Marino,San Marino,San Marino,Saint-Marin,San Marino,San Marino
SOL,OC,Solomon Islands,Îles Salomon,Ilhas Salomão,Islas Salomón,Solomon Islands,Îles Salomon,Ilhas Salomão,Islas Salomón
SOM,OC,Somalia,Somalie,Somália,Somalia,Somalia,Somalie,Somália,Somalia
SRB,OC,Serbia,Serbie,Sérvia,Serbia,Serbia,Serbie,Sérvia,Serbia
SRI,OC,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
SSD,OC,South Sudan,Soudan du Sud,Sudão do Sul,Sudán del Sur,South Sudan,Soudan du Sud,Sudão do Sul,Sudán del Sur
STP,OC,Sao Tome & Principe,Sao Tomé-et-Principe,São Tomé e Príncipe,Sto. Tomé y Príncipe,Sao Tome and Principe,Sao Tomé-et-Principe,São Tomé e Príncipe,Santo Tomé y Príncipe
SUD,OC,Sudan,Soudan,Sudão,Sudán,Sudan,Soudan,Sudão,Sudán
SUI,OC,Switzerland,Suisse,Suíça,Suiza,Switzerland,Suisse,Suíça,Suiza
SUR,OC,Suriname,Suriname,Suriname,Surinam,Suriname,Suriname,Suriname,Surinam
SVK,OC,Slovakia,Slovaquie,Eslováquia,Eslovaquia,Slovakia,Slovaquie,Eslováquia,Eslovaquia
SWE,OC,Sweden,Suède,Suécia,Suecia,Sweden,Suède,Suécia,Suecia
SWZ,OC,Swaziland,Swaziland,Suazilândia,Suazilandia,Swaziland,Swaziland,Suazilândia,Suazilandia
SYR,OC,Syria,Syrie,Síria,Siria,Syrian Arab Republic,République arabe syrienne,República Árabe da Síria,República Árabe Siria
TAH,OC,Tahiti,Tahiti,Taiti,Tahití,Tahiti,Tahiti,Taiti,Tahití
TAN,OC,Tanzania,Tanzanie,Tanzânia,Tanzania,United Republic of Tanzania,République unie de Tanzanie,República Unida da Tanzânia,República Unida de Tanzania
TCH,OC,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia,Checoslovaquia,Czechoslovakia,Tchécoslovaquie,Tchecoslováquia,Checoslovaquia
TGA,OC,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga,Tonga
THA,OC,Thailand,Thaïlande,Tailândia,Tailandia,Thailand,Thaïlande,Tailândia,Tailandia
TJK,OC,Tajikistan,Tadjikistan,Tadjiquistão,Tayikistán,Tajikistan,Tadjikistan,Tadjiquistão,Tayikistán
TKM,OC,Turkmenistan,Turkménistan,Turcomenistão,Turkmenistán,Turkmenistan,Turkménistan,Turcomenistão,Turkmenistán
TLS,OC,Timor-Leste,Timor-Leste,Timor-Leste,Timor Oriental,Democratic Republic of Timor-Leste,République démocratique du Timor-Leste,República Democrática de Timor-Leste,República Democrática de Timor Oriental
TOG,OC,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo
TPE,OC,Chinese Taipei,Chinese Taipei,Taipé Chinesa,China Taipéi,Chinese Taipei,Chinese Taipei,Taipé Chinesa,China Taipéi
TTO,OC,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago,Trinidad y Tobago,Trinidad and Tobago,Trinité-et-Tobago,Trinidad e Tobago,Trinidad y Tobago
TUN,OC,Tunisia,Tunisie,Tunísia,Túnez,Tunisia,Tunisie,Tunísia,Túnez
TUR,OC,Turkey,Turquie,Turquia,Turquía,Turkey,Turquie,Turquia,Turquía
TUV,OC,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu
UAE,OC,United Arab Emirates,Émirats arabes unis,Emirados Árab Unidos,Emiratos Árabes Un.,United Arab Emirates,Émirats arabes unis,Emirados Árabes Unidos,Emiratos Árabes Unidos
UCI,IF,UCI,UCI,UCI,UCI,International Cycling Union,Union Cycliste Internationale,Federação Internacional de Ciclismo,Unión Ciclista Internacional
UGA,OC,Uganda,Ouganda,Uganda,Uganda,Uganda,Ouganda,Uganda,Uganda
