Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
TT,M,008,1,01,Y,1,Men's Singles - Class 8 Gold Mdl Match,"Individual masc-classe 8, disputa ouro",Men's Singles - Class 8 Gold Medal Match,"Individual masculino - classe 8, disputa pelo ouro",EventUnit,15,HATH,N,Y,Gold Medal Match,Disputa pelo ouro
TT,M,008,1,02,Y,2,Men's Singles - Class 8 Bronze Mdl Match,"Individual masc-classe 8, disputa bronze",Men's Singles - Class 8 Bronze Medal Match,"Individual masculino - classe 8, disputa pelo bronze",EventUnit,15,HATH,N,Y,Bronze Medal Match,Disputa pelo bronze
TT,M,008,2,00,N,0,Men's Singles - Class 8 Semifinals,"Individual masc - classe 8, semifinais",Men's Singles - Class 8 Semifinals,"Individual masculino - classe 8, semifinais",Phase,14,NONE,N,N,Semifinals,Semifinais
TT,M,008,2,01,Y,0,Men's Singles - Class 8 Semifinal 1,"Individual masc - classe 8, semifinal 1",Men's Singles - Class 8 Semifinal 1,"Individual masculino - classe 8, semifinal 1",EventUnit,15,HATH,N,Y,Semifinal 1,Semifinal 1
TT,M,008,2,02,Y,0,Men's Singles - Class 8 Semifinal 2,"Individual masc - classe 8, semifinal 2",Men's Singles - Class 8 Semifinal 2,"Individual masculino - classe 8, semifinal 2",EventUnit,15,HATH,N,Y,Semifinal 2,Semifinal 2
TT,M,008,3,00,N,0,Men's Singles - Class 8 Quarterfinals,"Individual masc - classe 8, 1/4 final",Men's Singles - Class 8 Quarterfinals,"Individual masculino - classe 8, quartas de final",Phase,14,NONE,N,N,Quarterfinals,Quartas de final
TT,M,008,3,01,Y,0,Men's Singles - Class 8 Quarterfinal 1,"Individual masc - classe 8, 1/4 final 1",Men's Singles - Class 8 Quarterfinal 1,"Individual masculino - classe 8, quartas de final 1",EventUnit,15,HATH,N,Y,Quarterfinal 1,Quartas de final 1
TT,M,008,3,02,Y,0,Men's Singles - Class 8 Quarterfinal 2,"Individual masc - classe 8, 1/4 final 2",Men's Singles - Class 8 Quarterfinal 2,"Individual masculino - classe 8, quartas de final 2",EventUnit,15,HATH,N,Y,Quarterfinal 2,Quartas de final 2
TT,M,008,3,03,Y,0,Men's Singles - Class 8 Quarterfinal 3,"Individual masc - classe 8, 1/4 final 3",Men's Singles - Class 8 Quarterfinal 3,"Individual masculino - classe 8, quartas de final 3",EventUnit,15,HATH,N,Y,Quarterfinal 3,Quartas de final 3
TT,M,008,3,04,Y,0,Men's Singles - Class 8 Quarterfinal 4,"Individual masc - classe 8, 1/4 final 4",Men's Singles - Class 8 Quarterfinal 4,"Individual masculino - classe 8, quartas de final 4",EventUnit,15,HATH,N,Y,Quarterfinal 4,Quartas de final 4
TT,M,008,4,00,N,0,Men's Singles - Class 8 First Round,"Individual masc - classe 8, 1/8 final",Men's Singles - Class 8 First Round,"Individual masculino - classe 8, oitavas de final",Phase,14,NONE,N,N,First Round,Oitavas de final
