Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
AR,0,000,0,00,N,0,Archery,Tiro com arco,Archery,Tiro com arco,Discipline,2,NONE,N,N,"",""
AR,0,000,N,00,N,0,Archery Draw,"Tiro com arco, sorteio",Archery Draw,"Tiro com arco, sorteio",Draw,18,NONE,N,N,"",""
AR,0,000,N,01,Y,0,Archery Draw,"Tiro com arco, sorteio",Archery Draw,"Tiro com arco, sorteio",Draw,18,NONE,N,Y,"",""
AR,0,000,Q,00,N,0,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Meetings,19,NONE,N,N,"",""
AR,0,000,Q,01,Y,0,Archery Team Captains Meeting,"Tiro com arco, reunião chefes de equipe",Archery Team Captains Meeting,"Tiro com arco, reunião dos chefes de equipe",Meetings,19,NONE,N,Y,"",""
AR,0,000,Y,00,N,0,Archery Daily Schedule,"Tiro com arco, programação diária",Archery Daily Schedule,"Tiro com arco, programação diária",Day,4,NONE,N,N,"",""
AR,0,000,Y,01,N,0,Archery Day 1,"Tiro com arco, dia 1",Archery Day 1,"Tiro com arco, dia 1",Day,4,NONE,N,N,"",""
AR,0,000,Y,02,N,0,Archery Day 2,"Tiro com arco, dia 2",Archery Day 2,"Tiro com arco, dia 2",Day,4,NONE,N,N,"",""
AR,0,000,Y,03,N,0,Archery Day 3,"Tiro com arco, dia 3",Archery Day 3,"Tiro com arco, dia 3",Day,4,NONE,N,N,"",""
AR,0,000,Y,04,N,0,Archery Day 4,"Tiro com arco, dia 4",Archery Day 4,"Tiro com arco, dia 4",Day,4,NONE,N,N,"",""
AR,0,000,Y,05,N,0,Archery Day 5,"Tiro com arco, dia 5",Archery Day 5,"Tiro com arco, dia 5",Day,4,NONE,N,N,"",""
AR,0,000,Y,06,N,0,Archery Day 6,"Tiro com arco, dia 6",Archery Day 6,"Tiro com arco, dia 6",Day,4,NONE,N,N,"",""
AR,0,000,Y,07,N,0,Archery Day 7,"Tiro com arco, dia 7",Archery Day 7,"Tiro com arco, dia 7",Day,4,NONE,N,N,"",""
AR,0,000,Y,08,N,0,Archery Day 8,"Tiro com arco, dia 8",Archery Day 8,"Tiro com arco, dia 8",Day,4,NONE,N,N,"",""
AR,0,000,Y,09,N,0,Archery Day 9,"Tiro com arco, dia 9",Archery Day 9,"Tiro com arco, dia 9",Day,4,NONE,N,N,"",""
AR,0,000,Y,10,N,0,Archery Day 10,"Tiro com arco, dia 10",Archery Day 10,"Tiro com arco, dia 10",Day,4,NONE,N,N,"",""
AR,0,000,Y,11,N,0,Archery Day 11,"Tiro com arco, dia 11",Archery Day 11,"Tiro com arco, dia 11",Day,4,NONE,N,N,"",""
AR,0,000,Y,12,N,0,Archery Day 12,"Tiro com arco, dia 12",Archery Day 12,"Tiro com arco, dia 12",Day,4,NONE,N,N,"",""
AR,0,000,Y,13,N,0,Archery Day 13,"Tiro com arco, dia 13",Archery Day 13,"Tiro com arco, dia 13",Day,4,NONE,N,N,"",""
AR,0,000,Y,14,N,0,Archery Day 14,"Tiro com arco, dia 14",Archery Day 14,"Tiro com arco, dia 14",Day,4,NONE,N,N,"",""
AR,0,000,Y,15,N,0,Archery Day 15,"Tiro com arco, dia 15",Archery Day 15,"Tiro com arco, dia 15",Day,4,NONE,N,N,"",""
AR,0,000,Y,16,N,0,Archery Day 16,"Tiro com arco, dia 16",Archery Day 16,"Tiro com arco, dia 16",Day,4,NONE,N,N,"",""
AR,0,000,Y,17,N,0,Archery Day 17,"Tiro com arco, dia 17",Archery Day 17,"Tiro com arco, dia 17",Day,4,NONE,N,N,"",""
AR,0,000,Y,18,N,0,Archery Day 18,"Tiro com arco, dia 18",Archery Day 18,"Tiro com arco, dia 18",Day,4,NONE,N,N,"",""
AR,0,000,Y,19,N,0,Archery Day 19,"Tiro com arco, dia 19",Archery Day 19,"Tiro com arco, dia 19",Day,4,NONE,N,N,"",""
AR,0,000,Y,20,N,0,Archery Day 20,"Tiro com arco, dia 20",Archery Day 20,"Tiro com arco, dia 20",Day,4,NONE,N,N,"",""
AR,0,000,Y,21,N,0,Archery Day 21,"Tiro com arco, dia 21",Archery Day 21,"Tiro com arco, dia 21",Day,4,NONE,N,N,"",""
AR,0,000,Y,22,N,0,Archery Day 22,"Tiro com arco, dia 22",Archery Day 22,"Tiro com arco, dia 22",Day,4,NONE,N,N,"",""
AR,0,000,Y,23,N,0,Archery Day 23,"Tiro com arco, dia 23",Archery Day 23,"Tiro com arco, dia 23",Day,4,NONE,N,N,"",""
AR,0,000,Y,24,N,0,Archery Day 24,"Tiro com arco, dia 24",Archery Day 24,"Tiro com arco, dia 24",Day,4,NONE,N,N,"",""
AR,0,000,Y,25,N,0,Archery Day 25,"Tiro com arco, dia 25",Archery Day 25,"Tiro com arco, dia 25",Day,4,NONE,N,N,"",""
AR,0,000,Y,26,N,0,Archery Day 26,"Tiro com arco, dia 26",Archery Day 26,"Tiro com arco, dia 26",Day,4,NONE,N,N,"",""
AR,0,000,Y,27,N,0,Archery Day 27,"Tiro com arco, dia 27",Archery Day 27,"Tiro com arco, dia 27",Day,4,NONE,N,N,"",""
AR,0,000,Y,28,N,0,Archery Day 28,"Tiro com arco, dia 28",Archery Day 28,"Tiro com arco, dia 28",Day,4,NONE,N,N,"",""
AR,0,000,Y,29,N,0,Archery Day 29,"Tiro com arco, dia 29",Archery Day 29,"Tiro com arco, dia 29",Day,4,NONE,N,N,"",""
AR,0,000,Y,30,N,0,Archery Day 30,"Tiro com arco, dia 30",Archery Day 30,"Tiro com arco, dia 30",Day,4,NONE,N,N,"",""
AR,0,000,Y,31,N,0,Archery Day 31,"Tiro com arco, dia 31",Archery Day 31,"Tiro com arco, dia 31",Day,4,NONE,N,N,"",""
AR,0,070,Z,00,Y,0,Archery - Sessions,"Tiro com arco, sessões",Archery - Sessions,"Tiro com arco, sessões",Session,8,NONE,N,N,"",""
AR,0,070,Z,01,Y,0,Session 1,Sessão 1,Session 1,Sessão 1,Session,8,NONE,N,N,"",""
AR,0,070,Z,02,Y,0,Session 2,Sessão 2,Session 2,Sessão 2,Session,8,NONE,N,N,"",""
AR,0,070,Z,03,Y,0,Session 3,Sessão 3,Session 3,Sessão 3,Session,8,NONE,N,N,"",""
AR,0,070,Z,04,Y,0,Session 4,Sessão 4,Session 4,Sessão 4,Session,8,NONE,N,N,"",""
AR,0,070,Z,05,Y,0,Session 5,Sessão 5,Session 5,Sessão 5,Session,8,NONE,N,N,"",""
AR,0,070,Z,06,Y,0,Session 6,Sessão 6,Session 6,Sessão 6,Session,8,NONE,N,N,"",""
AR,0,070,Z,07,Y,0,Session 7,Sessão 7,Session 7,Sessão 7,Session,8,NONE,N,N,"",""
AR,0,070,Z,08,Y,0,Session 8,Sessão 8,Session 8,Sessão 8,Session,8,NONE,N,N,"",""
AR,0,070,Z,09,Y,0,Session 9,Sessão 9,Session 9,Sessão 9,Session,8,NONE,N,N,"",""
AR,0,070,Z,10,Y,0,Session 10,Sessão 10,Session 10,Sessão 10,Session,8,NONE,N,N,"",""
AR,0,070,Z,11,Y,0,Session 11,Sessão 11,Session 11,Sessão 11,Session,8,NONE,N,N,"",""
AR,0,070,Z,12,Y,0,Session 12,Sessão 12,Session 12,Sessão 12,Session,8,NONE,N,N,"",""
AR,0,070,Z,13,Y,0,Session 13,Sessão 13,Session 13,Sessão 13,Session,8,NONE,N,N,"",""
AR,0,070,Z,14,Y,0,Session 14,Sessão 14,Session 14,Sessão 14,Session,8,NONE,N,N,"",""
AR,0,070,Z,15,Y,0,Session 15,Sessão 15,Session 15,Sessão 15,Session,8,NONE,N,N,"",""
AR,0,070,Z,16,Y,0,Session 16,Sessão 16,Session 16,Sessão 16,Session,8,NONE,N,N,"",""
AR,0,070,Z,17,Y,0,Session 17,Sessão 17,Session 17,Sessão 17,Session,8,NONE,N,N,"",""
AR,0,070,Z,18,Y,0,Session 18,Sessão 18,Session 18,Sessão 18,Session,8,NONE,N,N,"",""
AR,0,070,Z,19,Y,0,Session 19,Sessão 19,Session 19,Sessão 19,Session,8,NONE,N,N,"",""
AR,0,070,Z,20,Y,0,Session 20,Sessão 20,Session 20,Sessão 20,Session,8,NONE,N,N,"",""
AR,0,070,Z,21,Y,0,Session 21,Sessão 21,Session 21,Sessão 21,Session,8,NONE,N,N,"",""
AR,0,070,Z,22,Y,0,Session 22,Sessão 22,Session 22,Sessão 22,Session,8,NONE,N,N,"",""
AR,0,070,Z,23,Y,0,Session 23,Sessão 23,Session 23,Sessão 23,Session,8,NONE,N,N,"",""
AR,0,070,Z,24,Y,0,Session 24,Sessão 24,Session 24,Sessão 24,Session,8,NONE,N,N,"",""
AR,0,070,Z,25,Y,0,Session 25,Sessão 25,Session 25,Sessão 25,Session,8,NONE,N,N,"",""
AR,0,070,Z,26,Y,0,Session 26,Sessão 26,Session 26,Sessão 26,Session,8,NONE,N,N,"",""
AR,0,070,Z,27,Y,0,Session 27,Sessão 27,Session 27,Sessão 27,Session,8,NONE,N,N,"",""
AR,0,070,Z,28,Y,0,Session 28,Sessão 28,Session 28,Sessão 28,Session,8,NONE,N,N,"",""
AR,0,070,Z,29,Y,0,Session 29,Sessão 29,Session 29,Sessão 29,Session,8,NONE,N,N,"",""
AR,0,070,Z,30,Y,0,Session 30,Sessão 30,Session 30,Sessão 30,Session,8,NONE,N,N,"",""
AR,0,070,Z,31,Y,0,Session 31,Sessão 31,Session 31,Sessão 31,Session,8,NONE,N,N,"",""
AR,0,070,Z,32,Y,0,Session 32,Sessão 32,Session 32,Sessão 32,Session,8,NONE,N,N,"",""
AR,0,070,Z,33,Y,0,Session 33,Sessão 33,Session 33,Sessão 33,Session,8,NONE,N,N,"",""
AR,0,070,Z,34,Y,0,Session 34,Sessão 34,Session 34,Sessão 34,Session,8,NONE,N,N,"",""
AR,0,070,Z,35,Y,0,Session 35,Sessão 35,Session 35,Sessão 35,Session,8,NONE,N,N,"",""
AR,0,070,Z,36,Y,0,Session 36,Sessão 36,Session 36,Sessão 36,Session,8,NONE,N,N,"",""
AR,0,070,Z,37,Y,0,Session 37,Sessão 37,Session 37,Sessão 37,Session,8,NONE,N,N,"",""
AR,0,070,Z,38,Y,0,Session 38,Sessão 38,Session 38,Sessão 38,Session,8,NONE,N,N,"",""
AR,0,070,Z,39,Y,0,Session 39,Sessão 39,Session 39,Sessão 39,Session,8,NONE,N,N,"",""
AR,0,070,Z,40,Y,0,Session 40,Sessão 40,Session 40,Sessão 40,Session,8,NONE,N,N,"",""
AR,0,070,Z,41,Y,0,Session 41,Sessão 41,Session 41,Sessão 41,Session,8,NONE,N,N,"",""
AR,0,070,Z,42,Y,0,Session 42,Sessão 42,Session 42,Sessão 42,Session,8,NONE,N,N,"",""
AR,0,070,Z,43,Y,0,Session 43,Sessão 43,Session 43,Sessão 43,Session,8,NONE,N,N,"",""
AR,0,070,Z,44,Y,0,Session 44,Sessão 44,Session 44,Sessão 44,Session,8,NONE,N,N,"",""
AR,0,070,Z,45,Y,0,Session 45,Sessão 45,Session 45,Sessão 45,Session,8,NONE,N,N,"",""
AR,0,070,Z,46,Y,0,Session 46,Sessão 46,Session 46,Sessão 46,Session,8,NONE,N,N,"",""
AR,0,070,Z,47,Y,0,Session 47,Sessão 47,Session 47,Sessão 47,Session,8,NONE,N,N,"",""
AR,0,070,Z,48,Y,0,Session 48,Sessão 48,Session 48,Sessão 48,Session,8,NONE,N,N,"",""
AR,0,070,Z,49,Y,0,Session 49,Sessão 49,Session 49,Sessão 49,Session,8,NONE,N,N,"",""
AR,0,070,Z,50,Y,0,Session 50,Sessão 50,Session 50,Sessão 50,Session,8,NONE,N,N,"",""
AR,0,470,Z,00,Y,0,Archery - Sessions,"Tiro com arco, sessões",Archery - Sessions,"Tiro com arco, sessões",Session,8,NONE,N,N,"",""
AR,0,470,Z,01,Y,0,Session 51,Sessão 51,Session 51,Sessão 51,Session,8,NONE,N,N,"",""
AR,0,470,Z,02,Y,0,Session 52,Sessão 52,Session 52,Sessão 52,Session,8,NONE,N,N,"",""
AR,0,470,Z,03,Y,0,Session 53,Sessão 53,Session 53,Sessão 53,Session,8,NONE,N,N,"",""
AR,0,470,Z,04,Y,0,Session 54,Sessão 54,Session 54,Sessão 54,Session,8,NONE,N,N,"",""
AR,0,470,Z,05,Y,0,Session 55,Sessão 55,Session 55,Sessão 55,Session,8,NONE,N,N,"",""
AR,0,470,Z,06,Y,0,Session 56,Sessão 56,Session 56,Sessão 56,Session,8,NONE,N,N,"",""
AR,0,470,Z,07,Y,0,Session 57,Sessão 57,Session 57,Sessão 57,Session,8,NONE,N,N,"",""
AR,0,470,Z,08,Y,0,Session 58,Sessão 58,Session 58,Sessão 58,Session,8,NONE,N,N,"",""
AR,0,470,Z,09,Y,0,Session 59,Sessão 59,Session 59,Sessão 59,Session,8,NONE,N,N,"",""
AR,0,470,Z,10,Y,0,Session 60,Sessão 60,Session 60,Sessão 60,Session,8,NONE,N,N,"",""
AR,0,470,Z,11,Y,0,Session 61,Sessão 61,Session 61,Sessão 61,Session,8,NONE,N,N,"",""
AR,0,470,Z,12,Y,0,Session 62,Sessão 62,Session 62,Sessão 62,Session,8,NONE,N,N,"",""
AR,0,470,Z,13,Y,0,Session 63,Sessão 63,Session 63,Sessão 63,Session,8,NONE,N,N,"",""
AR,0,470,Z,14,Y,0,Session 64,Sessão 64,Session 64,Sessão 64,Session,8,NONE,N,N,"",""
AR,0,470,Z,15,Y,0,Session 65,Sessão 65,Session 65,Sessão 65,Session,8,NONE,N,N,"",""
AR,0,470,Z,16,Y,0,Session 66,Sessão 66,Session 66,Sessão 66,Session,8,NONE,N,N,"",""
AR,0,470,Z,17,Y,0,Session 67,Sessão 67,Session 67,Sessão 67,Session,8,NONE,N,N,"",""
AR,0,470,Z,18,Y,0,Session 68,Sessão 68,Session 68,Sessão 68,Session,8,NONE,N,N,"",""
AR,0,470,Z,19,Y,0,Session 69,Sessão 69,Session 69,Sessão 69,Session,8,NONE,N,N,"",""
AR,0,470,Z,20,Y,0,Session 70,Sessão 70,Session 70,Sessão 70,Session,8,NONE,N,N,"",""
AR,0,470,Z,21,Y,0,Session 71,Sessão 71,Session 71,Sessão 71,Session,8,NONE,N,N,"",""
AR,0,470,Z,22,Y,0,Session 72,Sessão 72,Session 72,Sessão 72,Session,8,NONE,N,N,"",""
AR,0,470,Z,23,Y,0,Session 73,Sessão 73,Session 73,Sessão 73,Session,8,NONE,N,N,"",""
AR,0,470,Z,24,Y,0,Session 74,Sessão 74,Session 74,Sessão 74,Session,8,NONE,N,N,"",""
AR,0,470,Z,25,Y,0,Session 75,Sessão 75,Session 75,Sessão 75,Session,8,NONE,N,N,"",""
AR,0,470,Z,26,Y,0,Session 76,Sessão 76,Session 76,Sessão 76,Session,8,NONE,N,N,"",""
AR,0,470,Z,27,Y,0,Session 77,Sessão 77,Session 77,Sessão 77,Session,8,NONE,N,N,"",""
AR,0,470,Z,28,Y,0,Session 78,Sessão 78,Session 78,Sessão 78,Session,8,NONE,N,N,"",""
AR,0,470,Z,29,Y,0,Session 79,Sessão 79,Session 79,Sessão 79,Session,8,NONE,N,N,"",""
AR,0,470,Z,30,Y,0,Session 80,Sessão 80,Session 80,Sessão 80,Session,8,NONE,N,N,"",""
AR,0,470,Z,31,Y,0,Session 81,Sessão 81,Session 81,Sessão 81,Session,8,NONE,N,N,"",""
AR,0,470,Z,32,Y,0,Session 82,Sessão 82,Session 82,Sessão 82,Session,8,NONE,N,N,"",""
AR,0,470,Z,33,Y,0,Session 83,Sessão 83,Session 83,Sessão 83,Session,8,NONE,N,N,"",""
AR,0,470,Z,34,Y,0,Session 84,Sessão 84,Session 84,Sessão 84,Session,8,NONE,N,N,"",""
AR,0,470,Z,35,Y,0,Session 85,Sessão 85,Session 85,Sessão 85,Session,8,NONE,N,N,"",""
AR,0,470,Z,36,Y,0,Session 86,Sessão 86,Session 86,Sessão 86,Session,8,NONE,N,N,"",""
AR,0,470,Z,37,Y,0,Session 87,Sessão 87,Session 87,Sessão 87,Session,8,NONE,N,N,"",""
AR,0,470,Z,38,Y,0,Session 88,Sessão 88,Session 88,Sessão 88,Session,8,NONE,N,N,"",""
AR,0,470,Z,39,Y,0,Session 89,Sessão 89,Session 89,Sessão 89,Session,8,NONE,N,N,"",""
AR,0,470,Z,40,Y,0,Session 90,Sessão 90,Session 90,Sessão 90,Session,8,NONE,N,N,"",""
AR,0,470,Z,41,Y,0,Session 91,Sessão 91,Session 91,Sessão 91,Session,8,NONE,N,N,"",""
AR,0,470,Z,42,Y,0,Session 92,Sessão 92,Session 92,Sessão 92,Session,8,NONE,N,N,"",""
AR,0,470,Z,43,Y,0,Session 93,Sessão 93,Session 93,Sessão 93,Session,8,NONE,N,N,"",""
AR,0,470,Z,44,Y,0,Session 94,Sessão 94,Session 94,Sessão 94,Session,8,NONE,N,N,"",""
AR,0,470,Z,45,Y,0,Session 95,Sessão 95,Session 95,Sessão 95,Session,8,NONE,N,N,"",""
AR,0,470,Z,46,Y,0,Session 96,Sessão 96,Session 96,Sessão 96,Session,8,NONE,N,N,"",""
AR,0,470,Z,47,Y,0,Session 97,Sessão 97,Session 97,Sessão 97,Session,8,NONE,N,N,"",""
AR,0,470,Z,48,Y,0,Session 98,Sessão 98,Session 98,Sessão 98,Session,8,NONE,N,N,"",""
AR,0,470,Z,49,Y,0,Session 99,Sessão 99,Session 99,Sessão 99,Session,8,NONE,N,N,"",""
AR,0,470,Z,50,Y,0,Session 100,Sessão 100,Session 100,Sessão 100,Session,8,NONE,N,N,"",""
AR,0,SBD,0,00,N,0,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Venue,3,NONE,N,N,"",""
AR,M,000,0,00,N,0,Men's Archery,Tiro com arco masculino ,Men's Archery,Tiro com arco masculino ,Gender,10,NONE,N,N,"",""
AR,M,071,0,00,N,0,Men's Individual - W1,Masculino - W1,Men's Individual - W1,Masculino - W1,Event,13,NONE,N,N,,
AR,M,071,1,00,N,0,Men's Individual - W1 Finals,"Masculino - W1, finais",Men's Individual - W1 Finals,"Masculino - W1, finais",Phase,14,NONE,N,N,Finals,Finais
AR,M,071,1,01,Y,1,Men's Individual - W1 Gold,"Masculino - W1, ouro",Men's Individual - W1 Gold Medal,"Masculino - W1, disputa pelo ouro",EventUnit,15,HATH,N,Y,Gold Medal,Disputa pelo ouro
AR,M,071,1,02,Y,2,Men's Individual - W1 Bronze,"Masculino - W1, bronze",Men's Individual - W1 Bronze Medal,"Masculino - W1, disputa pelo bronze",EventUnit,15,HATH,N,Y,Bronze Medal,Disputa pelo bronze
AR,M,071,2,00,N,0,Men's Individual - W1 SF,"Masculino - W1,semifinais",Men's Individual - W1 Semifinals,"Masculino - W1, semifinais",Phase,14,NONE,N,N,Semifinals,Semifinais
AR,M,071,2,01,Y,0,Men's Individual - W1 SF,"Masculino - W1, semifinal",Men's Individual - W1 Semifinal,"Masculino - W1, semifinal",EventUnit,15,HATH,N,Y,Semifinal,Semifinal
AR,M,071,2,02,Y,0,Men's Individual - W1 SF,"Masculino - W1, semifinal",Men's Individual - W1 Semifinal,"Masculino - W1, semifinal",EventUnit,15,HATH,N,Y,Semifinal,Semifinal
AR,M,071,3,00,N,0,Men's Individual - W1 QF,"Masculino - W1, 1/4 final",Men's Individual - W1 Quarterfinals,"Masculino - W1, quartas de final",Phase,14,NONE,N,N,Quarterfinals,Quartas de final
AR,M,071,3,01,Y,0,Men's Individual - W1 QF,"Masculino - W1, 1/4 final",Men's Individual - W1 Quarterfinal,"Masculino - W1, quartas de final",EventUnit,15,HATH,N,Y,Quarterfinal 1,Quartas de final 1
AR,M,071,3,02,Y,0,Men's Individual - W1 QF,"Masculino - W1, 1/4 final",Men's Individual - W1 Quarterfinal,"Masculino - W1, quartas de final",EventUnit,15,HATH,N,Y,Quarterfinal 2,Quartas de final 2
AR,M,071,3,03,Y,0,Men's Individual - W1 QF,"Masculino - W1, 1/4 final",Men's Individual - W1 Quarterfinal,"Masculino - W1, quartas de final",EventUnit,15,HATH,N,Y,Quarterfinal 3,Quartas de final 3
AR,M,071,3,04,Y,0,Men's Individual - W1 QF,"Masculino - W1, 1/4 final",Men's Individual - W1 Quarterfinal,"Masculino - W1, quartas de final",EventUnit,15,HATH,N,Y,Quarterfinal 4,Quartas de final 4
AR,M,071,4,00,N,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Eliminations,"Masculino - W1, oitavas de final",Phase,14,NONE,N,N,1/8 Eliminations,Oitavas de final
AR,M,071,4,01,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 1,Oitavas de final
AR,M,071,4,02,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 2,Oitavas de final
AR,M,071,4,03,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 3,Oitavas de final
AR,M,071,4,04,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 4,Oitavas de final
AR,M,071,4,05,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 5,Oitavas de final
AR,M,071,4,06,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 6,Oitavas de final
AR,M,071,4,07,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 7,Oitavas de final
AR,M,071,4,08,Y,0,Men's Individual - W1 1/8,"Masculino - W1, 1/8 final",Men's Individual - W1 1/8 Elimination,"Masculino - W1, oitavas de final",EventUnit,15,HATH,N,Y,1/8 Elimination 8,Oitavas de final
AR,M,071,5,00,N,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Eliminations,"Masculino - W1, primeira fase",Phase,14,NONE,N,N,1/16 Eliminations,Primeira fase
AR,M,071,5,01,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 1,Primeira fase
AR,M,071,5,02,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 2,Primeira fase
AR,M,071,5,03,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 3,Primeira fase
AR,M,071,5,04,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 4,Primeira fase
AR,M,071,5,05,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 5,Primeira fase
AR,M,071,5,06,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 6,Primeira fase
AR,M,071,5,07,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 7,Primeira fase
AR,M,071,5,08,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 8,Primeira fase
AR,M,071,5,09,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 9,Primeira fase
AR,M,071,5,10,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 10,Primeira fase
AR,M,071,5,11,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 11,Primeira fase
AR,M,071,5,12,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 12,Primeira fase
AR,M,071,5,13,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 13,Primeira fase
AR,M,071,5,14,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 14,Primeira fase
AR,M,071,5,15,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 15,Primeira fase
AR,M,071,5,16,Y,0,Men's Individual - W1 1/16,"Masculino - W1, 1a fase",Men's Individual - W1 1/16 Elimination,"Masculino - W1, primeira fase",EventUnit,15,HATH,N,Y,1/16 Elimination 16,Primeira fase
AR,M,071,9,00,N,0,Men's Individual - W1 RR,"Masculino - W1, classif",Men's Individual - W1 Ranking Round,"Masculino - W1, classificatório",Phase,14,NONE,N,N,Ranking Round,Classificatório
AR,M,071,9,01,Y,0,Men's Individual - W1 RR,"Masculino - W1, classif",Men's Individual - W1 Ranking Round,"Masculino - W1, classificatório",EventUnit,15,ATH,N,Y,Ranking Round,Classificatório
AR,M,071,M,00,Y,0,Men's Individual - W1 VC,"Masculino - W1, premiação",Men's Individual - W1 Victory Ceremony,"Masculino - W1, cerimônia de premiação",Medals,17,NONE,N,Y,"",""
AR,M,072,0,00,N,0,Men's Ind. Compound - Open,Arco composto masculino - aberto,Men's Individual Compound - Open,Arco composto masculino - aberto,Event,13,NONE,N,N,"",""
AR,M,072,1,00,N,0,Men's Ind. Compound - Open Finals,"Arco composto masc - aberto, finais",Men's Individual Compound - Open Finals,"Arco composto masculino - aberto, finais",Phase,14,NONE,N,N,Finals,Finais
AR,M,072,1,01,Y,1,Men's Ind. Compound - Open Gold Medal,"Arco composto masc - aberto, ouro",Men's Individual Compound - Open Gold Medal,"Arco composto masculino - aberto, disputa pelo ouro",EventUnit,15,HATH,N,Y,Gold Medal,Disputa pelo ouro
