Id,Related Event,order,ENG Description,POR Description
SWW227000,,262,Women's 100m Butterfly - S7,100m borboleta feminino - S7
SWW228000,SWW228,263,Women's 100m Butterfly - S8,100m borboleta feminino - S8
SWW229000,SWW229,264,Women's 100m Butterfly - S9,100m borboleta feminino - S9
SWW230000,SWW230,265,Women's 100m Butterfly - S10,100m borboleta feminino - S10
SWW231000,,266,Women's 100m Butterfly - S11,100m borboleta feminino - S11
SWW232000,,267,Women's 100m Butterfly - S12,100m borboleta feminino - S12
SWW233000,SWW233,268,Women's 100m Butterfly - S13,100m borboleta feminino - S13
SWW234000,,269,Women's 100m Butterfly - S14,100m borboleta feminino - S14
SWW301000,,222,Women's 50m Breaststroke - SB1,50m peito feminino - SB1
SWW302000,,223,Women's 50m Breaststroke - SB2,50m peito feminino - SB2
SWW303000,SWW303,224,Women's 50m Breaststroke - SB3,50m peito feminino - SB3
SWW304000,,225,Women's 50m Breaststroke - SB4,50m peito feminino - SB4
SWW305000,,226,Women's 50m Breaststroke - SB5,50m peito feminino - SB5
SWW306000,,227,Women's 50m Breaststroke - SB6,50m peito feminino - SB6
SWW307000,,228,Women's 50m Breaststroke - SB7,50m peito feminino - SB7
SWW308000,,229,Women's 50m Breaststroke - SB8,50m peito feminino - SB8
SWW309000,,230,Women's 50m Breaststroke - SB9,50m peito feminino - SB9
SWW311000,,231,Women's 50m Breaststroke - SB11,50m peito feminino - SB11
SWW312000,,232,Women's 50m Breaststroke - SB12,50m peito feminino - SB12
SWW313000,,233,Women's 50m Breaststroke - SB13,50m peito feminino - SB13
SWW321000,,234,Women's 100m Breaststroke - SB1,100m peito feminino - SB1
SWW322000,,235,Women's 100m Breaststroke - SB2,100m peito feminino - SB2
SWW323000,,236,Women's 100m Breaststroke - SB3,100m peito feminino - SB3
SWW324000,SWW324,237,Women's 100m Breaststroke - SB4,100m peito feminino - SB4
SWW325000,SWW325,238,Women's 100m Breaststroke - SB5,100m peito feminino - SB5
SWW326000,SWW326,239,Women's 100m Breaststroke - SB6,100m peito feminino - SB6
SWW327000,SWW327,240,Women's 100m Breaststroke - SB7,100m peito feminino - SB7
SWW328000,SWW328,241,Women's 100m Breaststroke - SB8,100m peito feminino - SB8
SWW329000,SWW329,242,Women's 100m Breaststroke - SB9,100m peito feminino - SB9
SWW331000,SWW331,243,Women's 100m Breaststroke - SB11,100m peito feminino - SB11
