Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
FB4,FNA,4,Y,Fonte Nova Arena - FB,Arène Fonte Nova - FB,Arena Fonte Nova - FB,Fonte Nova Arena - Football,Arène Fonte Nova - Football,Arena Fonte Nova - Futebol,FNAFB1,
FB5,SPA,5,Y,Itaquera Arena - FB,Itaquera Arena - FB,Arena Itaquera - FB,Itaquera Arena - Football,Itaquera Arena - Football,Arena Itaquera - Futebol,SPAFB1,
FB6,AMZ,6,Y,Amazônia Arena - FB,Arena da Amazônia - FB,Arena da Amazônia - FB,Amazônia Arena - Football,Arena da Amazônia - Football,Arena da Amazônia - Futebol,AMZFB1,
FB7,OLS,7,Y,Olympic Stadium - FB,Stade Olympique - FB,Estádio Olímpico - FB,Olympic Stadium - Football,Stade Olympique - Football,Estádio Olímpico - Futebol,OLSFB1,
FEA,CA3,1,Y,Carioca Arena 3-FE Finals Pist,Aréna Carioca 3-FE Piste Final,Arena Carioca 3-FE Pista Finai,Carioca Arena 3 - Fencing Finals Piste,Aréna Carioca 3 - Escrime Piste Finale,Arena Carioca 3 - Esgrima Pista das Finais,CA3FE1,
FEB,CA3,2,Y,Carioca Arena 3-FE Blue Piste,Aréna Carioca 3-FE Piste Bleue,Arena Carioca 3-FE Pista Azul,Carioca Arena 3 - Fencing Blue Piste,Aréna Carioca 3 - Escrime Piste Bleue,Arena Carioca 3 - Esgrima Pista Azul,CA3FE1,
FEG,CA3,3,Y,Carioca Arena 3-FE Green Piste,Aréna Carioca 3-FE Piste Verte,Arena Carioca 3-FE Pista Verde,Carioca Arena 3 - Fencing Green Piste,Aréna Carioca 3 - Escrime Piste Verte,Arena Carioca 3 - Esgrima Pista Verde,CA3FE1,
FER,CA3,4,Y,Carioca Arena 3-FE Red Piste,Aréna Carioca 3-FE Piste Rouge,Arena Carioca 3-FE Pista Verme,Carioca Arena 3 - Fencing Red Piste,Aréna Carioca 3 - Escrime Piste Rouge,Arena Carioca 3 - Esgrima Pista Vermelha,CA3FE1,
FEY,CA3,5,Y,Carioca Arena 3-FE Yellow Pist,Aréna Carioca 3-FE Piste Jaune,Arena Carioca 3-FE Pista Amare,Carioca Arena 3 - Fencing Yellow Piste,Aréna Carioca 3 - Escrime Piste Jaune,Arena Carioca 3 - Esgrima Pista Amarela,CA3FE1,
FNA,FNA,,Y,Fonte Nova Arena,Arène Fonte Nova,Arena Fonte Nova,Fonte Nova Arena,Arène Fonte Nova,Arena Fonte Nova,FNAFB1,
FTA,FTA,,Y,Future Arena,Arène du Futur,Arena do Futuro,Future Arena,Arène du Futur,Arena do Futuro,FTAHB1,
FTC,FTC,,Y,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,Fort Copacabana,Fort de Copacabana,Forte de Copacabana,,
GA1,ROA,1,Y,Rio Olympic Arena-GA Floor,Rio Olympic Arena-GA Sol,Rio Olympic Arena-GA Solo,Rio Olympic Arena - GA Floor,Rio Olympic Arena - GA Exercices au sol,Rio Olympic Arena - GA Solo,ROAGA1,
GA2,ROA,2,Y,Rio Olympic Arena-GA Pommel Ho,Rio Olympic Arena-GA Cheval d,Rio Olympic Arena-GA Cavalo,Rio Olympic Arena - GA Pommel Horse,Rio Olympic Arena - GA Cheval d'arçons,Rio Olympic Arena - GA Cavalo,ROAGA1,
GA3,ROA,3,Y,Rio Olympic Arena-GA Rings,Rio Olympic Arena-GA Anneaux,Rio Olympic Arena-GA Argolas,Rio Olympic Arena - GA Rings,Rio Olympic Arena - GA Anneaux,Rio Olympic Arena - GA Argolas,ROAGA1,
GA4,ROA,4,Y,Rio Olympic Arena-GA Balance B,Rio Olympic Arena-GA Poutre,Rio Olympic Arena-GA Barra equ,Rio Olympic Arena - GA Balance Beam,Rio Olympic Arena - GA Poutre,Rio Olympic Arena - GA Barra de equilíbrio,ROAGA1,
GA5,ROA,5,Y,Rio Olympic Arena-GA Vault,Rio Olympic Arena GA Cheval sa,Rio Olympic Arena-GA Salto,Rio Olympic Arena - GA Vault,Rio Olympic Arena - GA Saut de cheval,Rio Olympic Arena - GA Salto,ROAGA1,
