Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,M,DH------03030-----,VICT,FLOWER--,"Men's Downhill, Vis Imp, Venue Cer.","남자 활강, 시각 장애, 시상식","Men's Downhill, Visually Impaired, Venue Ceremony","남자 활강, 시각 장애, 시상식",Medal,,Y,0,NONE,N,Y,Venue Ceremony,시상식,ASM310M02
ALP,M,DH------03030-----,VICT,MEDAL---,"Men's Downhill, Vis Imp, Vict. Ceremony","남자 활강, 시각 장애, 메달 시상식","Men's Downhill, Visually Impaired, Victory Ceremony","남자 활강, 시각 장애, 메달 시상식",Medal,,Y,0,NONE,N,Y,Victory Ceremony,메달 시상식,ASM310M01
ALP,M,DH------09110-----,----,--------,Men's Downhill - Standing ,남자 활강 - 입식 ,Men's Downhill - Standing ,남자 활강 - 입식 ,Event,,N,0,ATH,N,N,,,ASM110000
ALP,M,DH------09110-----,DRAW,--------,"Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨","Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨",Draw,,N,0,NONE,N,N,Draw,추첨,
ALP,M,DH------09110-----,DRAW,000100--,"Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨","Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM110E01
ALP,M,DH------09110-----,DRAW,000200--,"Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨","Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM110E02
ALP,M,DH------09110-----,DRAW,000300--,"Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨","Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM110E03
ALP,M,DH------09110-----,DRAW,000400--,"Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨","Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM110E04
ALP,M,DH------09110-----,FNL-,--------,Men's Downhill - Standing ,남자 활강 - 입식 ,Men's Downhill - Standing ,남자 활강 - 입식 ,Phase,,N,0,NONE,N,N,,,
ALP,M,DH------09110-----,FNL-,000100--,Men's Downhill - Standing ,남자 활강 - 입식 ,Men's Downhill - Standing ,남자 활강 - 입식 ,Unit,,Y,1,ATH,Y,Y,,,ASM110101
ALP,M,DH------09110-----,FNL-,000101--,Men's Downhill Run 1 - Standing,남자 활강 1회전 - 입식,Men's Downhill Run 1 - Standing,남자 활강 1회전 - 입식,Unit,,Y,0,ATH,Y,Y,Run 1,1회전,ASM110111
ALP,M,DH------09110-----,FNL-,000102--,Men's Downhill Run 2 - Standing,남자 활강 2회전 - 입식,Men's Downhill Run 2 - Standing,남자 활강 2회전 - 입식,Unit,,Y,1,ATH,Y,Y,Run 2,2회전,ASM110112
ALP,M,DH------09110-----,TRNO,--------,Men's Downhill Trng Run - Standing,남자 활강 공식연습 - 입식,Men's Downhill Training Run - Standing,남자 활강 공식연습 - 입식,Training,,N,0,NONE,N,N,Training Run,공식연습,
ALP,M,DH------09110-----,TRNO,000100--,Men's Downhill 1st Trng Run - Standing,남자 활강 1차 공식연습 - 입식,Men's Downhill 1st Training Run - Standing,남자 활강 1차 공식연습 - 입식,Training,,Y,0,ATH,Y,Y,1st Training Run,1차 공식연습,ASM110O01
ALP,M,DH------09110-----,TRNO,000200--,Men's Downhill 2nd Trng Run - Standing,남자 활강 2차 공식연습 - 입식,Men's Downhill 2nd Training Run - Standing,남자 활강 2차 공식연습 - 입식,Training,,Y,0,ATH,Y,Y,2nd Training Run,2차 공식연습,ASM110O02
