Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
CCS,W,7.5KM---12050-----,FNL-,3,1,"Women's 7.5km Classic, Standing","여자 7.5km 클래식, 입식","Women's 7.5km Classic, Standing","여자 7.5km 클래식, 입식",,,
CCS,W,7.5KM---12050-----,VICT,6,V,"Women's 7.5km Classic, Standing, Vict. C","여자 7.5km 클래식, 입식, 메달 시상식","Women's 7.5km Classic, Standing, Victory Ceremony","여자 7.5km 클래식, 입식, 메달 시상식",Victory Ceremony,메달 시상식,
CCS,W,SPRINT--03030-----,----,8,,"Women's 1.5km Sprint Classic, Vis Imp","여자 1.5km 스프린트 클래식, 시각 장애","Women's 1.5km Sprint Classic, Visually Impaired","여자 1.5km 스프린트 클래식, 시각 장애",,,CCW3020
CCS,W,SPRINT--03030-----,FNL-,3,1,"W 1.5km Sprint Classic Finals, Vis Imp","여자 1.5km 스프린트 클래식 결승, 시각 장애","Women's 1.5km Sprint Classic Finals, Visually Impaired","여자 1.5km 스프린트 클래식 결승, 시각 장애",,,CCW3021
CCS,W,SPRINT--03030-----,QUAL,3,8,"W 1.5km Sprint Classic Qualif, Vis Imp","여자 1.5km 스프린트 클래식 예선, 시각 장애","Women's 1.5km Sprint Classic Qualification, Visually Impaired","여자 1.5km 스프린트 클래식 예선, 시각 장애",Qualification,예선,CCW3029
CCS,W,SPRINT--03030-----,SFNL,3,2,"W 1.5km Sprint Classic Semif, Vis Imp","여자 1.5km 스프린트 클래식 준결승, 시각 장애","Women's 1.5km Sprint Classic Semifinals, Visually Impaired","여자 1.5km 스프린트 클래식 준결승, 시각 장애",Semifinals,준결승,CCW3022
CCS,W,SPRINT--03030-----,VICT,6,V,"W 1.5km Sprint Classic, Vis Imp, Vict. C","여자 1.5km 스프린트 클래식, 시각 장애, 메달 시상식","Women's 1.5km Sprint Classic, Visually Impaired, Victory Ceremony","여자 1.5km 스프린트 클래식, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,CCW302M
CCS,W,SPRINT--09070-----,----,8,,"Women's 1.1km Sprint, Sitting","여자 1.1km 스프린트, 좌식","Women's 1.1km Sprint, Sitting","여자 1.1km 스프린트, 좌식",,,CCW2020
CCS,W,SPRINT--09070-----,FNL-,3,1,"Women's 1.1km Sprint Finals, Sitting","여자 1.1km 스프린트 결승, 좌식","Women's 1.1km Sprint Finals, Sitting","여자 1.1km 스프린트 결승, 좌식",,,CCW2021
CCS,W,SPRINT--09070-----,QUAL,3,8,"Women's 1.1km Sprint Qualif, Sitting","여자 1.1km 스프린트 예선, 좌식","Women's 1.1km Sprint Qualification, Sitting","여자 1.1km 스프린트 예선, 좌식",Qualification,예선,CCW2029
CCS,W,SPRINT--09070-----,SFNL,3,2,"Women's 1.1km Sprint Semif, Sitting","여자 1.1km 스프린트 준결승, 좌식","Women's 1.1km Sprint Semifinals, Sitting","여자 1.1km 스프린트 준결승, 좌식",Semifinals,준결승,CCW2022
CCS,W,SPRINT--09070-----,VICT,6,V,"Women's 1.1km Sprint, Sitting, Vict. Cer","여자 1.1km 스프린트, 좌식, 메달 시상식","Women's 1.1km Sprint, Sitting, Victory Ceremony","여자 1.1km 스프린트, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,CCW202M
CCS,W,SPRINT--12050-----,----,8,,"Women's 1.5km Sprint Classic, Standing","여자 1.5km 스프린트 클래식, 입식","Women's 1.5km Sprint Classic, Standing","여자 1.5km 스프린트 클래식, 입식",,,CCW1020
CCS,W,SPRINT--12050-----,FNL-,3,1,"W 1.5km Sprint Classic Finals, Standing","여자 1.5km 스프린트 클래식 결승, 입식","Women's 1.5km Sprint Classic Finals, Standing","여자 1.5km 스프린트 클래식 결승, 입식",Finals,결승,CCW1021
CCS,W,SPRINT--12050-----,QUAL,3,8,"W 1.5km Sprint Classic Qualif, Standing","여자 1.5km 스프린트 클래식 예선, 입식","Women's 1.5km Sprint Classic Qualification, Standing","여자 1.5km 스프린트 클래식 예선, 입식",Qualification,예선,CCW1029
CCS,W,SPRINT--12050-----,SFNL,3,2,"W 1.5km Sprint Classic Semif, Standing","여자 1.5km 스프린트 클래식 준결승, 입식","Women's 1.5km Sprint Classic Semifinals, Standing","여자 1.5km 스프린트 클래식 준결승, 입식",Semifinals,준결승,CCW1022
CCS,W,SPRINT--12050-----,VICT,6,V,"W 1.5km Sprint Classic, Standing, Vict C","여자 1.5km 스프린트 클래식, 입식, 메달 시상식","Women's 1.5km Sprint Classic, Standing, Victory Ceremony","여자 1.5km 스프린트 클래식, 입식, 메달 시상식",Victory Ceremony,메달 시상식,CCW102M
CCS,X,4X2.5KM-12150-----,----,8,,4x2.5km Mixed Relay,4x2.5km 혼성 계주,4x2.5km Mixed Relay,4x2.5km 혼성 계주,,,CCX4010
CCS,X,4X2.5KM-12150-----,FNL-,3,1,4x2.5km Mixed Relay,4x2.5km 혼성 계주,4x2.5km Mixed Relay,4x2.5km 혼성 계주,,,CCX4011
CCS,X,4X2.5KM-12150-----,VICT,6,V,"4x2.5km Mixed Relay, Victory Ceremony","4x2.5km 혼성 계주, 메달 시상식","4x2.5km Mixed Relay, Victory Ceremony","4x2.5km 혼성 계주, 메달 시상식",Victory Ceremony,메달 시상식,CCX401M
CER,-,CLOSING-----------,----,8,,Closing Ceremony,폐회식,Closing Ceremony,폐회식,,,CE0CLO0
CER,-,OPENING-----------,----,8,,Opening Ceremony,개회식,Opening Ceremony,개회식,,,CE0OPN0
CUR,-,------------------,----,8,,Wheelchair Curling,휠체어컬링,Wheelchair Curling,휠체어컬링,,,CU00000
CUR,-,------------------,MEET,9,M,"Wheelchair Curling, Team Meeting","휠체어컬링, 대표자회의","Wheelchair Curling, Team Meeting","휠체어컬링, 대표자회의",Team Meeting,대표자 회의,CU0000T
CUR,X,TEAM4---00000-----,----,8,,Mixed,혼성,Mixed,혼성,,,CUX4000
CUR,X,TEAM4---00000-----,FNL-,3,1,"Mixed, Finals","혼성, 결승","Mixed, Finals","혼성, 결승",Finals,결승,CUX4001
CUR,X,TEAM4---00000-----,PAGE,3,8,"Mixed, Page Play-offs","혼성, 플레이 오프","Mixed, Page Play-offs","혼성, 플레이 오프",Page Play-offs,플레이 오프,
CUR,X,TEAM4---00000-----,PREL,3,8,"Mixed, Round Robin","혼성, 예선전","Mixed, Round Robin","혼성, 예선전",Round Robin,라운드로빈,CUX4009
CUR,X,TEAM4---00000-----,SFNL,3,2,"Mixed, Semi-finals","혼성, 준결승","Mixed, Semi-finals","혼성, 준결승",Semi-finals,준결승,CUX4002
CUR,X,TEAM4---00000-----,TB--,3,5,Mixed Tie-breaker Games,혼성 타이브레이커,Mixed Tie-breaker Games,혼성 타이브레이커,Tie-breaker Games,타이브레이커,
CUR,X,TEAM4---00000-----,TBIF,3,5,Mixed Tie-breaker Games (if required),혼성 타이브레이커(필요시),Mixed Tie-breaker Games (if required),혼성 타이브레이커(필요시),Tie-breaker Games,타이브레이커,
CUR,X,TEAM4---00000-----,VICT,6,V,"Mixed, Victory Ceremony","혼성, 메달 시상식","Mixed, Victory Ceremony","혼성, 메달 시상식",Victory Ceremony,메달 시상식,CUX400M
