Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
ALP,-,------------------,----,8,,Alpine Skiing,알파인 스키 ,Alpine Skiing,알파인 스키 ,,,AS00000
ALP,-,------------------,MEET,9,M,"Alpine Skiing, Team Captain Meeting","알파인 스키, 대표자회의","Alpine Skiing, Team Captain Meeting","알파인 스키, 대표자회의",Team Captain Meeting,대표자 회의,AS0000T
ALP,-,CANCEL------------,----,3,,No competition,경기 없음,No competition,경기 없음,,,
ALP,M,------------------,----,8,,Men's Alpine Skiing,알파인 스키 남자,Men's Alpine Skiing,알파인 스키 남자,,,ASM0000
ALP,M,AC----------------,----,8,,Men's Super Combined,남자 슈퍼복합,Men's Super Combined,남자 슈퍼복합,,,ASM0600
ALP,M,AC------03030-----,----,8,,"Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애","Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애",,,ASM3600
ALP,M,AC------03030-----,DRAW,7,D,"Men's Super Combined, Vis Imp, Draw","남자 슈퍼복합, 시각 장애, 추첨","Men's Super Combined, Visually Impaired, Draw","남자 슈퍼복합, 시각 장애, 추첨",Draw,추첨,ASM360E
ALP,M,AC------03030-----,FNL-,3,1,"Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애","Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애",,,ASM3601
ALP,M,AC------03030-----,TRNO,1,T,"Men's SC, Vis Imp, Downhill Training","남자 슈퍼복합, 시각 장애, 활강 공식연습","Men's Super Combined, Visually Impaired, Downhill Training","남자 슈퍼복합, 시각 장애, 활강 공식연습",Downhill Training,활강 공식연습,ASM360O
ALP,M,AC------03030-----,VICT,6,V,"Men's SC, Vis Imp, Victory Ceremony","남자 슈퍼복합, 시각 장애, 메달 시상식","Men's Super Combined, Visually Impaired, Victory Ceremony","남자 슈퍼복합, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASM360M
ALP,M,AC------09110-----,----,8,,"Men's Super Combined, Standing","남자 슈퍼복합, 입식","Men's Super Combined, Standing","남자 슈퍼복합, 입식",,,ASM1600
ALP,M,AC------09110-----,DRAW,7,D,"Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨","Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨",Draw,추첨,ASM160E
ALP,M,AC------09110-----,FNL-,3,1,"Men's Super Combined, Standing","남자 슈퍼복합, 입식","Men's Super Combined, Standing","남자 슈퍼복합, 입식",,,ASM1601
ALP,M,AC------09110-----,TRNO,1,T,"Men's SC, Standing, Downhill Training","남자 슈퍼복합, 입식, 활강 공식연습","Men's Super Combined, Standing, Downhill Training","남자 슈퍼복합, 입식, 활강 공식연습",Downhill Training,활강 공식연습,ASM160O
ALP,M,AC------09110-----,VICT,6,V,"Men's SC, Standing, Victory Ceremony","남자 슈퍼복합, 입식, 메달 시상식","Men's Super Combined, Standing, Victory Ceremony","남자 슈퍼복합, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASM160M
ALP,M,AC------12050-----,----,8,,"Men's Super Combined, Sitting","남자 슈퍼복합, 좌식","Men's Super Combined, Sitting","남자 슈퍼복합, 좌식",,,ASM2600
ALP,M,AC------12050-----,DRAW,7,D,"Men's Super Combined, Sitting, Draw","남자 슈퍼복합, 좌식, 추첨","Men's Super Combined, Sitting, Draw","남자 슈퍼복합, 좌식, 추첨",Draw,추첨,ASM260E
ALP,M,AC------12050-----,FNL-,3,1,"Men's Super Combined, Sitting","남자 슈퍼복합, 좌식","Men's Super Combined, Sitting","남자 슈퍼복합, 좌식",,,ASM2601
ALP,M,AC------12050-----,TRNO,1,T,"Men's SC, Sitting, Downhill Training","남자 슈퍼복합, 좌식, 활강 공식연습","Men's Super Combined, Sitting, Downhill Training","남자 슈퍼복합, 좌식, 활강 공식연습",Downhill Training,활강 공식연습,ASM260O
ALP,M,AC------12050-----,VICT,6,V,"Men's SC, Sitting, Victory Ceremony","남자 슈퍼복합, 좌식, 메달 시상식","Men's Super Combined, Sitting, Victory Ceremony","남자 슈퍼복합, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASM260M
ALP,M,DH----------------,----,8,,Men's Downhill,남자 활강,Men's Downhill,남자 활강,,,ASM0100
ALP,M,DH----------------,TRNO,1,T,"Men's Downhill, Training Run","남자 활강, 공식연습","Men's Downhill, Training Run","남자 활강, 공식연습",Training Run,연습 런,ASM010O
ALP,M,DH------03030-----,----,8,,"Men's Downhill, Visually Impaired","남자 활강, 시각 장애","Men's Downhill, Visually Impaired","남자 활강, 시각 장애",,,ASM3100
ALP,M,DH------03030-----,DRAW,7,D,"Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨","Men's Downhill, Visually Impaired, Draw","남자 활강, 시각 장애, 추첨",Draw,추첨,ASM310E
ALP,M,DH------03030-----,FNL-,3,1,"Men's Downhill, Visually Impaired","남자 활강, 시각 장애","Men's Downhill, Visually Impaired","남자 활강, 시각 장애",,,ASM3101
ALP,M,DH------03030-----,TRNO,1,T,"Men's Downhill, Vis Imp, Trng Run","남자 활강, 시각 장애, 공식연습","Men's Downhill, Visually Impaired, Training Run","남자 활강, 시각 장애, 공식연습",Training Run,공식연습,ASM310O
ALP,M,DH------03030-----,VICT,6,V,"Men's Downhill, Vis Imp, Vict. Ceremony","남자 활강, 시각 장애, 메달 시상식","Men's Downhill, Visually Impaired, Victory Ceremony","남자 활강, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASM310M
ALP,M,DH------09110-----,----,8,,"Men's Downhill, Standing","남자 활강, 입식","Men's Downhill, Standing","남자 활강, 입식",,,ASM1100
ALP,M,DH------09110-----,DRAW,7,D,"Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨","Men's Downhill, Standing, Draw","남자 활강, 입식, 추첨",Draw,추첨,ASM110E
ALP,M,DH------09110-----,FNL-,3,1,"Men's Downhill, Standing","남자 활강, 입식","Men's Downhill, Standing","남자 활강, 입식",,,ASM1101
ALP,M,DH------09110-----,TRNO,1,T,"Men's Downhill, Standing, Trng Run","남자 활강, 입식, 공식연습","Men's Downhill, Standing, Training Run","남자 활강, 입식, 공식연습",Training Run,공식연습,ASM110O
ALP,M,DH------09110-----,VICT,6,V,"Men's Downhill, Standing, Vict. Cer.","남자 활강, 입식, 메달 시상식","Men's Downhill, Standing, Victory Ceremony","남자 활강, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASM110M
ALP,M,DH------12050-----,----,8,,"Men's Downhill, Sitting","남자 활강, 좌식","Men's Downhill, Sitting","남자 활강, 좌식",,,ASM2100
ALP,M,DH------12050-----,DRAW,7,D,"Men's Downhill, Sitting, Draw","남자 활강, 좌식, 추첨","Men's Downhill, Sitting, Draw","남자 활강, 좌식, 추첨",Draw,추첨,ASM210E
ALP,M,DH------12050-----,FNL-,3,1,"Men's Downhill, Sitting","남자 활강, 좌식","Men's Downhill, Sitting","남자 활강, 좌식",,,ASM2101
ALP,M,DH------12050-----,TRNO,1,T,"Men's Downhill, Sitting, Trng Run","남자 활강, 좌식, 공식연습","Men's Downhill, Sitting, Trng Run","남자 활강, 좌식, 공식연습",Training Run,공식연습,ASM210O
ALP,M,DH------12050-----,VICT,6,V,"Men's Downhill, Sitting, Vict. Ceremony","남자 활강, 좌식, 메달 시상식","Men's Downhill, Sitting, Victory Ceremony","남자 활강, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASM210M
ALP,M,GS----------------,----,8,,Men's Giant Slalom,남자 대회전,Men's Giant Slalom,남자 대회전,,,ASM0300
ALP,M,GS------03030-----,----,8,,"Men's Giant Slalom, Visually Impaired","남자 대회전, 시각 장애","Men's Giant Slalom, Visually Impaired","남자 대회전, 시각 장애",,,ASM3300
ALP,M,GS------03030-----,DRAW,7,D,"Men's G Slalom, Vis Imp, Draw","남자 대회전, 시각 장애, 추첨","Men's Giant Slalom, Visually Impaired, Draw","남자 대회전, 시각 장애, 추첨",Draw,추첨,ASM330E
ALP,M,GS------03030-----,FNL-,3,1,"Men's Giant Slalom, Visually Impaired","남자 대회전, 시각 장애","Men's Giant Slalom, Visually Impaired","남자 대회전, 시각 장애",,,ASM3301
ALP,M,GS------03030-----,VICT,6,V,"Men's G Slalom, Vis Imp, Vict. Ceremony","남자 대회전, 시각 장애, 메달 시상식","Men's Giant Slalom, Visually Impaired, Victory Ceremony","남자 대회전, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASM330M
ALP,M,GS------09110-----,----,8,,"Men's Giant Slalom, Standing","남자 대회전, 입식","Men's Giant Slalom, Standing","남자 대회전, 입식",,,ASM1300
ALP,M,GS------09110-----,DRAW,7,D,"Men's Giant Slalom, Standing, Draw","남자 대회전, 입식, 추첨","Men's Giant Slalom, Standing, Draw","남자 대회전, 입식, 추첨",Draw,추첨,ASM130E
ALP,M,GS------09110-----,FNL-,3,1,"Men's Giant Slalom, Standing","남자 대회전, 입식","Men's Giant Slalom, Standing","남자 대회전, 입식",,,ASM1301
ALP,M,GS------09110-----,VICT,6,V,"Men's G. Slalom, Stand., Vict. Ceremony","남자 대회전, 입식, 메달 시상식","Men's Giant Slalom, Standing, Victory Ceremony","남자 대회전, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASM130M
ALP,M,GS------12050-----,----,8,,"Men's Giant Slalom, Sitting","남자 대회전, 좌식","Men's Giant Slalom, Sitting","남자 대회전, 좌식",,,ASM2300
ALP,M,GS------12050-----,DRAW,7,D,"Men's Giant Slalom, Sitting, Draw","남자 대회전, 좌식, 추첨","Men's Giant Slalom, Sitting, Draw","남자 대회전, 좌식, 추첨",Draw,추첨,ASM230E
ALP,M,GS------12050-----,FNL-,3,1,"Men's Giant Slalom, Sitting","남자 대회전, 좌식","Men's Giant Slalom, Sitting","남자 대회전, 좌식",,,ASM2301
ALP,M,GS------12050-----,VICT,6,V,"Men's G Slalom, Sitting, Vict. Ceremony","남자 대회전, 좌식, 메달 시상식","Men's Giant Slalom, Sitting, Victory Ceremony","남자 대회전, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASM230M
ALP,M,SG----------------,----,8,,Men's Super-G,남자 슈퍼대회전,Men's Super-G,남자 슈퍼대회전,,,ASM0400
ALP,M,SG------03030-----,----,8,,"Men's Super-G, Visually Impaired","남자 슈퍼대회전, 시각 장애","Men's Super-G, Visually Impaired","남자 슈퍼대회전, 시각 장애",,,ASM3400
ALP,M,SG------03030-----,DRAW,7,D,"Men's Super-G, Vis Imp, Draw","남자 슈퍼대회전, 시각 장애, 추첨","Men's Super-G, Visually Impaired, Draw","남자 슈퍼대회전, 시각 장애, 추첨",Draw,추첨,ASM340E
ALP,M,SG------03030-----,FNL-,3,1,"Men's Super-G, Visually Impaired","남자 슈퍼대회전, 시각 장애","Men's Super-G, Visually Impaired","남자 슈퍼대회전, 시각 장애",,,ASM3401
ALP,M,SG------03030-----,VICT,6,V,"Men's Super-G, Vis Imp, Vict. Ceremony","남자 슈퍼대회전, 시각 장애, 메달 시상식","Men's Super-G, Visually Impaired, Victory Ceremony","남자 슈퍼대회전, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASM340M
ALP,M,SG------09110-----,----,8,,"Men's Super-G, Standing","남자 슈퍼대회전, 입식","Men's Super-G, Standing","남자 슈퍼대회전, 입식",,,ASM1400
ALP,M,SG------09110-----,DRAW,7,D,"Men's Super-G, Standing, Draw","남자 슈퍼대회전, 입식, 추첨","Men's Super-G, Standing, Draw","남자 슈퍼대회전, 입식, 추첨",Draw,추첨,ASM140E
ALP,M,SG------09110-----,FNL-,3,1,"Men's Super-G, Standing","남자 슈퍼대회전, 입식","Men's Super-G, Standing","남자 슈퍼대회전, 입식",,,ASM1401
ALP,M,SG------09110-----,VICT,6,V,"Men's Super-G, Standing, Vict. Ceremony","남자 슈퍼대회전, 입식, 메달 시상식","Men's Super-G, Standing, Victory Ceremony","남자 슈퍼대회전, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASM140M
ALP,M,SG------12050-----,----,8,,"Men's Super-G, Sitting","남자 슈퍼대회전, 좌식","Men's Super-G, Sitting","남자 슈퍼대회전, 좌식",,,ASM2400
ALP,M,SG------12050-----,DRAW,7,D,"Men's Super-G, Sitting, Draw","남자 슈퍼대회전, 좌식, 추첨","Men's Super-G, Sitting, Draw","남자 슈퍼대회전, 좌식, 추첨",Draw,추첨,ASM240E
ALP,M,SG------12050-----,FNL-,3,1,"Men's Super-G, Sitting","남자 슈퍼대회전, 좌식","Men's Super-G, Sitting","남자 슈퍼대회전, 좌식",,,ASM2401
ALP,M,SG------12050-----,VICT,6,V,"Men's Super-G, Sitting, Vict. Ceremony","남자 슈퍼대회전, 좌식, 메달 시상식","Men's Super-G, Sitting, Victory Ceremony","남자 슈퍼대회전, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASM240M
ALP,M,SL----------------,----,8,,Men's Slalom,남자 회전,Men's Slalom,남자 회전,,,ASM0200
ALP,M,SL------03030-----,----,8,,"Men's Slalom, Visually Impaired","남자 회전, 시각 장애","Men's Slalom, Visually Impaired","남자 회전, 시각 장애",,,ASM3200
ALP,M,SL------03030-----,DRAW,7,D,"Men's Slalom, Vis Imp, Draw","남자 회전, 시각 장애, 추첨","Men's Slalom, Visually Impaired, Draw","남자 회전, 시각 장애, 추첨",Draw,추첨,ASM320E
ALP,M,SL------03030-----,FNL-,3,1,"Men's Slalom, Visually Impaired","남자 회전, 시각 장애","Men's Slalom, Visually Impaired","남자 회전, 시각 장애",,,ASM3201
ALP,M,SL------03030-----,VICT,6,V,"Men's Slalom, Vis Imp., Vict. Ceremony","남자 회전, 시각 장애, 메달 시상식","Men's Slalom, Visually Impaired, Victory Ceremony","남자 회전, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASM320M
ALP,M,SL------09110-----,----,8,,"Men's Slalom, Standing","남자 회전, 입식","Men's Slalom, Standing","남자 회전, 입식",,,ASM1200
ALP,M,SL------09110-----,DRAW,7,D,"Men's Slalom, Standing, Draw","남자 회전, 입식, 추첨","Men's Slalom, Standing, Draw","남자 회전, 입식, 추첨",Draw,추첨,ASM120E
ALP,M,SL------09110-----,FNL-,3,1,"Men's Slalom, Standing","남자 회전, 입식","Men's Slalom, Standing","남자 회전, 입식",,,ASM1201
ALP,M,SL------09110-----,VICT,6,V,"Men's Slalom, Standing, Vict. Ceremony","남자 회전, 입식, 메달 시상식","Men's Slalom, Standing, Victory Ceremony","남자 회전, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASM120M
ALP,M,SL------12050-----,----,8,,"Men's Slalom, Sitting","남자 회전, 좌식","Men's Slalom, Sitting","남자 회전, 좌식",,,ASM2200
ALP,M,SL------12050-----,DRAW,7,D,"Men's Slalom, Sitting, Draw","남자 회전, 좌식, 추첨","Men's Slalom, Sitting, Draw","남자 회전, 좌식, 추첨",Draw,추첨,ASM220E
ALP,M,SL------12050-----,FNL-,3,1,"Men's Slalom, Sitting","남자 회전, 좌식","Men's Slalom, Sitting","남자 회전, 좌식",,,ASM2201
ALP,M,SL------12050-----,VICT,6,V,"Men's Slalom, Sitting, Ceremonies","남자 회전, 좌식, 메달 시상식","Men's Slalom, Sitting, Victory Ceremony","남자 회전, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASM220M
ALP,W,------------------,----,8,,Women's Alpine Skiing,알파인 스키 여자,Women's Alpine Skiing,알파인 스키 여자,,,ASW0000
ALP,W,AC----------------,----,8,,Women's Super Combined,여자 슈퍼복합,Women's Super Combined,여자 슈퍼복합,,,ASW0600
ALP,W,AC------03030-----,----,8,,"Women's Super Combined, Visually Imp","여자 슈퍼복합, 시각 장애","Women's Super Combined, Visually Impaired","여자 슈퍼복합, 시각 장애",,,ASW3600
ALP,W,AC------03030-----,DRAW,7,D,"Women's Super Combined, Vis Imp, Draw","여자 슈퍼복합, 시각 장애, 추첨","Women's Super Combined, Visually Impaired, Draw","여자 슈퍼복합, 시각 장애, 추첨",Draw,추첨,ASW360E
ALP,W,AC------03030-----,FNL-,3,1,"Women's Super Combined, Visually Imp","여자 슈퍼복합, 시각 장애","Women's Super Combined, Visually Impaired","여자 슈퍼복합, 시각 장애",,,ASW3601
ALP,W,AC------03030-----,TRNO,1,T,"Women's SC, Vis Imp, Downhill Training","여자 슈퍼복합, 시각 장애, 활강 공식연습","Women's Super Combined, Visually Impaired, Downhill Training","여자 슈퍼복합, 시각 장애, 활강 공식연습",Downhill Training,활강 공식연습,ASW360O
ALP,W,AC------03030-----,VICT,6,V,"Women's SC, Vis Imp, Victory Ceremony","여자 슈퍼복합, 시각 장애, 메달 시상식","Women's Super Combined, Visually Impaired, Victory Ceremony","여자 슈퍼복합, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASW360M
ALP,W,AC------09110-----,----,8,,"Women's Super Combined, Standing","여자 슈퍼복합, 입식","Women's Super Combined, Standing","여자 슈퍼복합, 입식",,,ASW1600
ALP,W,AC------09110-----,DRAW,7,D,"Women's Super Combined, Standing, Draw","여자 슈퍼복합, 입식, 추첨","Women's Super Combined, Standing, Draw","여자 슈퍼복합, 입식, 추첨",Draw,추첨,ASW160E
ALP,W,AC------09110-----,FNL-,3,1,"Women's Super Combined, Standing","여자 슈퍼복합, 입식","Women's Super Combined, Standing","여자 슈퍼복합, 입식",,,ASW1601
ALP,W,AC------09110-----,TRNO,1,T,"Women's SC, Standing, Downhill Training","여자 슈퍼복합, 입식, 활강 공식연습","Women's Super Combined, Standing, Downhill Training","여자 슈퍼복합, 입식, 활강 공식연습",Downhill Training,활강 공식연습,ASW160O
ALP,W,AC------09110-----,VICT,6,V,"Women's SC, Standing, Victory Ceremony","여자 슈퍼복합, 입식, 메달 시상식","Women's Super Combined, Standing, Victory Ceremony","여자 슈퍼복합, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASW160M
ALP,W,AC------12050-----,----,8,,"Women's Super Combined, Sitting","여자 슈퍼복합, 좌식","Women's Super Combined, Sitting","여자 슈퍼복합, 좌식",,,ASW2600
ALP,W,AC------12050-----,DRAW,7,D,"Women's Super Combined, Sitting, Draw","여자 슈퍼복합, 좌식, 추첨","Women's Super Combined, Sitting, Draw","여자 슈퍼복합, 좌식, 추첨",Draw,추첨,ASW260E
ALP,W,AC------12050-----,FNL-,3,1,"Women's Super Combined, Sitting","여자 슈퍼복합, 좌식","Women's Super Combined, Sitting","여자 슈퍼복합, 좌식",,,ASW2601
ALP,W,AC------12050-----,TRNO,1,T,"Women's SC, Sitting, Downhill Training","여자 슈퍼복합, 좌식, 활강 공식연습","Women's Super Combined, Sitting, Downhill Training","여자 슈퍼복합, 좌식, 활강 공식연습",Downhill Training,활강 공식연습,ASW260O
ALP,W,AC------12050-----,VICT,6,V,"Women's SC, Sitting, Victory Ceremony","여자 슈퍼복합, 좌식, 메달 시상식","Women's Super Combined, Sitting, Victory Ceremony","여자 슈퍼복합, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASW260M
ALP,W,DH----------------,----,8,,Women's Downhill,여자 활강,Women's Downhill,여자 활강,,,ASW0100
ALP,W,DH----------------,TRNO,1,T,"Women's Downhill, Training Run","여자 활강, 공식연습","Women's Downhill, Training Run","여자 활강, 공식연습",Training Run,연습 런,ASW010O
ALP,W,DH------03030-----,----,8,,"Women's Downhill, Visually Impaired","여자 활강, 시각 장애","Women's Downhill, Visually Impaired","여자 활강, 시각 장애",,,ASW3100
ALP,W,DH------03030-----,DRAW,7,D,"Women's Downhill, Vis Imp, Draw","여자 활강, 시각 장애, 추첨","Women's Downhill, Visually Impaired, Draw","여자 활강, 시각 장애, 추첨",Draw,추첨,ASW310E
ALP,W,DH------03030-----,FNL-,3,1,"Women's Downhill, Visually Impaired","여자 활강, 시각 장애","Women's Downhill, Visually Impaired","여자 활강, 시각 장애",,,ASW3101
ALP,W,DH------03030-----,TRNO,1,T,"Women's Downhill, Vis Imp, Trng Run","여자 활강, 시각 장애, 공식연습","Women's Downhill, Visually Impaired, Training Run","여자 활강, 시각 장애, 공식연습",Training Run,공식연습,ASW310O
ALP,W,DH------03030-----,VICT,6,V,"Women's Downhill, Vis Imp, Vict. Cer.","여자 활강, 시각 장애, 메달 시상식","Women's Downhill, Visually Impaired, Victory Ceremony","여자 활강, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASW310M
ALP,W,DH------09110-----,----,8,,"Women's Downhill, Standing","여자 활강, 입식","Women's Downhill, Standing","여자 활강, 입식",,,ASW1100
ALP,W,DH------09110-----,DRAW,7,D,"Women's Downhill, Standing, Draw","여자 활강, 입식, 추첨","Women's Downhill, Standing, Draw","여자 활강, 입식, 추첨",Draw,추첨,ASW110E
ALP,W,DH------09110-----,FNL-,3,1,"Women's Downhill, Standing","여자 활강, 입식","Women's Downhill, Standing","여자 활강, 입식",,,ASW1101
ALP,W,DH------09110-----,TRNO,1,T,"Women's Downhill, Standing, Trng Run","여자 활강, 입식, 공식연습","Women's Downhill, Standing, Training Run","여자 활강, 입식, 공식연습",Training Run,공식연습,ASW110O
ALP,W,DH------09110-----,VICT,6,V,"Women's Downhill, Stand., Vict. Ceremony","여자 활강, 입식, 메달 시상식","Women's Downhill, Standing, Victory Ceremony","여자 활강, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASW110M
ALP,W,DH------12050-----,----,8,,"Women's Downhill, Sitting","여자 활강, 좌식","Women's Downhill, Sitting","여자 활강, 좌식",,,ASW2100
ALP,W,DH------12050-----,DRAW,7,D,"Women's Downhill, Sitting, Draw","여자 활강, 좌식, 추첨","Women's Downhill, Sitting, Draw","여자 활강, 좌식, 추첨",Draw,추첨,ASW210E
ALP,W,DH------12050-----,FNL-,3,1,"Women's Downhill, Sitting","여자 활강, 좌식","Women's Downhill, Sitting","여자 활강, 좌식",,,ASW2101
ALP,W,DH------12050-----,TRNO,1,T,"Women's Downhill, Sitting, Trng Run","여자 활강, 좌식, 공식연습","Women's Downhill, Sitting, Training Run","여자 활강, 좌식, 공식연습",Training Run,공식연습,ASW210O
ALP,W,DH------12050-----,VICT,6,V,"Women's Downhill, Sitting, Vict. Cer.","여자 활강, 좌식, 메달 시상식","Women's Downhill, Sitting, Victory Ceremony","여자 활강, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASW210M
ALP,W,GS----------------,----,8,,Women's Giant Slalom,여자 대회전,Women's Giant Slalom,여자 대회전,,,ASW0300
ALP,W,GS------03030-----,----,8,,"Women's Giant Slalom, Visually Impaired","여자 대회전, 시각 장애","Women's Giant Slalom, Visually Impaired","여자 대회전, 시각 장애",,,ASW3300
ALP,W,GS------03030-----,DRAW,7,D,"Women's Giant Slalom, Vis Imp, Draw","여자 대회전, 시각 장애, 추첨","Women's Giant Slalom, Visually Impaired, Draw","여자 대회전, 시각 장애, 추첨",Draw,추첨,ASW330E
ALP,W,GS------03030-----,FNL-,3,1,"Women's Giant Slalom, Visually Impaired","여자 대회전, 시각 장애","Women's Giant Slalom, Visually Impaired","여자 대회전, 시각 장애",,,ASW3301
ALP,W,GS------03030-----,VICT,6,V,"Women's G Slalom, Vis Imp, Ceremonies","여자 대회전, 시각 장애, 메달 시상식","Women's Giant Slalom, Visually Impaired, Victory Ceremony","여자 대회전, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASW330M
ALP,W,GS------09110-----,----,8,,"Women's Giant Slalom, Standing","여자 대회전, 입식","Women's Giant Slalom, Standing","여자 대회전, 입식",,,ASW1300
ALP,W,GS------09110-----,DRAW,7,D,"Women's Giant Slalom, Standing, Draw","여자 대회전, 입식, 추첨","Women's Giant Slalom, Standing, Draw","여자 대회전, 입식, 추첨",Draw,추첨,ASW130E
ALP,W,GS------09110-----,FNL-,3,1,"Women's Giant Slalom, Standing","여자 대회전, 입식","Women's Giant Slalom, Standing","여자 대회전, 입식",,,ASW1301
ALP,W,GS------09110-----,VICT,6,V,"Women's G Slalom, Stand, Vict. Ceremony","여자 대회전, 입식, 메달 시상식","Women's Giant Slalom, Standing, Victory Ceremony","여자 대회전, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASW130M
ALP,W,GS------12050-----,----,8,,"Women's Giant Slalom, Sitting","여자 대회전, 좌식","Women's Giant Slalom, Sitting","여자 대회전, 좌식",,,ASW2300
ALP,W,GS------12050-----,DRAW,7,D,"Women's Giant Slalom, Sitting, Draw","여자 대회전, 좌식, 추첨","Women's Giant Slalom, Sitting, Draw","여자 대회전, 좌식, 추첨",Draw,추첨,ASW230E
ALP,W,GS------12050-----,FNL-,3,1,"Women's Giant Slalom, Sitting","여자 대회전, 좌식","Women's Giant Slalom, Sitting","여자 대회전, 좌식",,,ASW2301
ALP,W,GS------12050-----,VICT,6,V,"Women's G Slalom, Sit., Vict. Ceremony","여자 대회전, 좌식, 메달 시상식","Women's Giant Slalom, Sitting, Victory Ceremony","여자 대회전, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,ASW230M
ALP,W,SG----------------,----,8,,Women's Super-G,여자 슈퍼대회전,Women's Super-G,여자 슈퍼대회전,,,ASW0400
ALP,W,SG------03030-----,----,8,,"Women's Super-G, Visually Impaired","여자 슈퍼대회전, 시각 장애","Women's Super-G, Visually Impaired","여자 슈퍼대회전, 시각 장애",,,ASW3400
ALP,W,SG------03030-----,DRAW,7,D,"Women's Super-G, Vis Imp, Draw","여자 슈퍼대회전, 시각 장애, 추첨","Women's Super-G, Visually Impaired, Draw","여자 슈퍼대회전, 시각 장애, 추첨",Draw,추첨,ASW340E
ALP,W,SG------03030-----,FNL-,3,1,"Women's Super-G, Visually Impaired","여자 슈퍼대회전, 시각 장애","Women's Super-G, Visually Impaired","여자 슈퍼대회전, 시각 장애",,,ASW3401
ALP,W,SG------03030-----,VICT,6,V,"Women's Super-G, Vis Imp, Ceremonies","여자 슈퍼대회전, 시각 장애, 메달 시상식","Women's Super-G, Visually Impaired, Victory Ceremony","여자 슈퍼대회전, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASW340M
ALP,W,SG------09110-----,----,8,,"Women's Super-G, Standing","여자 슈퍼대회전, 입식","Women's Super-G, Standing","여자 슈퍼대회전, 입식",,,ASW1400
ALP,W,SG------09110-----,DRAW,7,D,"Women's Super-G, Standing, Draw","여자 슈퍼대회전, 입식, 추첨","Women's Super-G, Standing, Draw","여자 슈퍼대회전, 입식, 추첨",Draw,추첨,ASW140E
ALP,W,SG------09110-----,FNL-,3,1,"Women's Super-G, Standing","여자 슈퍼대회전, 입식","Women's Super-G, Standing","여자 슈퍼대회전, 입식",,,ASW1401
ALP,W,SG------09110-----,VICT,6,V,"Women's Super-G, Stand., Vict. Ceremony","여자 슈퍼대회전, 입식, 메달 시상식","Women's Super-G, Standing, Victory Ceremony","여자 슈퍼대회전, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASW140M
ALP,W,SG------12050-----,----,8,,"Women's Super-G, Sitting","여자 슈퍼대회전, 좌식","Women's Super-G, Sitting","여자 슈퍼대회전, 좌식",,,ASW2400
ALP,W,SG------12050-----,DRAW,7,D,"Women's Super-G, Sitting, Draw","여자 슈퍼대회전, 좌식, 추첨","Women's Super-G, Sitting, Draw","여자 슈퍼대회전, 좌식, 추첨",Draw,추첨,ASW240E
ALP,W,SG------12050-----,FNL-,3,1,"Women's Super-G, Sitting","여자 슈퍼대회전, 좌식","Women's Super-G, Sitting","여자 슈퍼대회전, 좌식",,,ASW2401
